,Team,Offensive AEP,Defensive AEP
0,ARI,2.5375694262768413,2.4336507301577734
1,ATL,1.8167227342661152,2.321545198502297
2,BAL,2.375242294152618,2.4493477575820566
3,BUF,2.690603910154447,1.890558214918827
4,CAR,2.0423625514436567,2.1904155761273825
5,CHI,2.139721026362068,2.3537688027147814
6,CIN,2.511558374332217,2.1624359157586213
7,CLE,2.1432579158750285,1.924880213856497
8,DAL,2.6170336584073004,1.8457557929116346
9,DEN,2.419511973791756,2.3288046973122416
10,DET,2.1839041013282885,2.4551118823622344
11,GB,2.852617899582182,2.1924802653563935
12,HOU,1.9637010309102627,2.672342447449436
13,IND,2.2530734083314274,2.4243542091005468
14,JAX,2.1246025073170225,2.529414469578232
15,KC,2.896275744299165,2.3081594883696757
16,LA,2.650445981838402,2.1143932676325683
17,LAC,2.2058457859820817,2.6343384673082917
18,LV,2.638667201571497,2.3216320664934416
19,MIA,2.106507112241462,2.1886210059460165
20,MIN,2.498141292057289,2.1225150386326312
21,NE,2.302475311256158,1.942827045055813
22,NO,2.200267991643628,2.181519281803064
23,NYG,1.71197439427734,2.4372002561581474
24,NYJ,1.873765655393186,2.7724221520371253
25,PHI,2.316476010048434,2.55596218312096
26,PIT,1.920085945120253,2.4600613228844033
27,SEA,2.1987894163988613,2.4492716896252107
28,SF,2.463321264772279,2.1498356255285094
29,TB,2.6164917426549152,1.8192577787286677
30,TEN,2.5610145858814723,2.1518175118963976
31,WAS,2.3668040409919553,2.5938451526825617
