Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.75015,-0.7654,-3.41918,-3.35117,-0,1
1,19,99,-3.41918,-0.618516,-3.41918,-3.35117,-0,1
1,18,99,-3.41918,0.311255,-3.41918,-3.35117,0,1
1,17,99,-1.61332,-0.496521,-3.41918,-3.35117,-0,1
1,15,99,-1.47175,-0.690203,-3.41918,-3.35117,-0,1
1,13,99,-3.41918,-0.745592,-3.41918,-3.35117,-0,1
1,12,99,-3.41918,-1.13929,-3.41918,-3.35117,-3.41918,1
1,10,99,-0.474831,-0.150298,-3.41918,-3.35117,-0.390415,1
1,9,99,-0.143332,0.122165,-3.41918,-3.35117,0,1
1,7,99,0.0762754,0.143788,-3.41918,-3.35117,0,1
1,4,99,0.0347138,0.181446,-3.41918,-3.35117,0,1
1,3,99,0.161692,0.447868,-3.41918,-3.35117,0,1
1,2,99,0.173254,-0.629147,-3.41918,-3.35117,0,0
1,1,99,0.208288,0.803866,-3.41918,-3.35117,0,1
1,20,98,-1.22713,-1.33605,-3.41918,-3.12829,-0,0
1,19,98,0,-0.728885,-3.41918,-3.12829,0,0
1,18,98,-3.41817,0.203,-3.41918,-3.12829,0,1
1,17,98,-1.56011,-0.564951,-3.41918,-3.12829,-0,1
1,15,98,-0.207077,-0.81433,-3.41918,-3.12829,-0,0
1,13,98,-2.58631,-0.777501,-3.41918,-3.12829,-2.58631,1
1,12,98,-1.75964,-0.749294,-3.41918,-3.12829,-1.15343,1
1,9,98,-0.231686,-0.0762146,-3.41918,-3.12829,-0,1
1,7,98,0.0876497,0.163018,-3.41918,-3.12829,0,1
1,4,98,0.0525413,0.243507,-3.41918,-3.12829,0,1
1,3,98,0.197428,0.492399,-3.41918,-3.12829,0,1
1,2,98,0.231093,-0.575183,-3.41918,-3.12829,0,0
1,1,98,0.263227,0.82715,-3.41918,-3.12829,0,1
1,20,97,-1.92084,-0.956841,-3.41918,-2.81209,-1.92084,1
1,19,97,-1.34174,-0.293769,-3.41918,-2.81209,-0,1
1,18,97,-4.13642,0.416265,-3.41918,-2.81209,0,1
1,17,97,-1.53072,-0.471182,-3.41918,-2.81209,-0,1
1,15,97,-0.57627,-0.979142,-3.41918,-2.81209,-0,0
1,13,97,-2.6403,-0.789598,-3.41918,-2.81209,-2.27016,1
1,12,97,-1.98058,-0.758913,-3.41918,-2.81209,-1.16614,1
1,7,97,0.0992639,0.194307,-3.41918,-2.81209,0,1
1,4,97,0.0990624,0.407368,-3.41918,-2.81209,0,1
1,3,97,0.22237,0.547792,-3.41918,-2.81209,0,1
1,2,97,0.276891,-0.55213,-3.41918,-2.81209,0,0
1,20,96,-0.153265,-0.536635,-3.41918,-2.99602,-0,0
1,19,96,-0.709861,-0.597981,-3.41918,-2.99602,-0.597981,1
1,18,96,-2.21918,0.448196,-3.41918,-2.99602,0,1
1,17,96,-0.93847,-0.400059,-3.41918,-2.99602,-0,1
1,15,96,-0.857604,-1.05217,-3.41918,-2.99602,-1.05217,0
1,13,96,-0.233145,-0.491062,-3.41918,-2.99602,-0.233145,0
1,12,96,-0.997431,-0.531023,-3.41918,-2.99602,-0,1
1,9,96,-0.196813,-0.00930652,-3.41918,-2.99602,-0.00930652,1
1,7,96,0.292476,0.3997,-3.41918,-2.99602,0,1
1,4,96,0.119032,0.474407,-3.41918,-2.99602,0,1
1,3,96,0.27,0.566924,-3.41918,-2.99602,0,1
1,2,96,0.304314,-0.491011,-3.41918,-2.99602,0,0
1,19,95,0,0.145881,-3.41918,-2.85377,0,1
1,17,95,-0.73085,-0.342937,-3.41918,-2.85377,-0,1
1,15,95,-0.95654,-1.10581,-3.41918,-2.85377,-1.0525,0
1,13,95,-1.08225,-0.412996,-3.41918,-2.85377,-0,1
1,7,95,0.327667,0.465094,-3.41918,-2.85377,0,1
1,4,95,0.112591,0.498043,-3.41918,-2.85377,0,1
1,2,95,0.349002,-0.457496,-3.41918,-2.85377,0,0
1,1,95,0.7363,0.903683,-3.41918,-2.85377,0,1
1,19,94,0,-0.314813,-3.41918,-2.55553,0,0
1,17,94,-0.907977,-0.340039,-3.41918,-2.55553,-0,1
1,15,94,-0.518078,-0.503355,-3.41918,-2.55553,-0.510716,1
1,13,94,-1.64435,-0.448696,-3.41918,-2.55553,-0,1
1,7,94,0.323975,0.463036,-3.41918,-2.55553,0,1
1,4,94,0.118078,0.513567,-3.41918,-2.55553,0,1
1,2,94,0.380927,-0.374151,-3.41918,-2.55553,0,0
1,1,94,0.857113,0.933499,-3.41918,-2.55553,0,1
1,19,93,-1.15315,-0.432454,-3.41918,-2.51688,-0,1
1,17,93,0.10223,-0.161886,-3.41918,-2.51688,-0.00341625,0
