Score1,Score2,Reward
19,24,-5
16,20,-4
31,37,-6
17,24,-7
12,26,-14
10,9,1
12,31,-19
20,22,-2
16,40,-24
10,33,-23
31,21,10
16,20,-4
7,33,-26
24,20,4
24,32,-8
13,36,-23
23,10,13
14,36,-22
20,10,10
10,6,4
15,27,-12
10,41,-31
16,8,8
20,20,0
14,16,-2
17,20,-3
6,19,-13
26,17,9
30,10,20
7,23,-16
16,9,7
23,23,0
23,7,16
13,31,-18
9,18,-9
9,30,-21
27,31,-4
9,24,-15
7,23,-16
26,27,-1
10,15,-5
36,17,19
24,33,-9
20,38,-18
27,42,-15
17,20,-3
35,34,1
13,38,-25
19,17,2
16,13,3
13,6,7
20,29,-9
14,15,-1
24,27,-3
9,41,-32
17,31,-14
26,24,2
23,7,16
16,12,4
40,17,23
34,26,8
3,19,-16
13,32,-19
9,20,-11
17,14,3
6,27,-21
10,32,-22
10,41,-31
34,31,3
34,38,-4
13,30,-17
6,34,-28
7,30,-23
17,33,-16
19,23,-4
48,14,34
7,34,-27
24,17,7
26,34,-8
19,3,16
27,20,7
27,34,-7
32,10,22
24,20,4
24,21,3
23,34,-11
13,35,-22
33,27,6
14,22,-8
29,21,8
7,33,-26
14,31,-17
14,34,-20
35,6,29
21,23,-2
3,16,-13
10,27,-17
6,24,-18
14,19,-5
22,29,-7
10,30,-20
0,13,-13
3,37,-34
21,27,-6
27,27,0
36,17,19
28,10,18
16,20,-4
23,24,-1
16,17,-1
35,17,18
24,24,0
17,37,-20
20,44,-24
38,21,17
14,33,-19
20,16,4
24,15,9
17,16,1
14,34,-20
19,23,-4
20,24,-4
13,20,-7
17,46,-29
21,44,-23
14,30,-16
31,21,10
21,19,2
16,33,-17
10,23,-13
17,33,-16
27,20,7
21,13,8
34,10,24
23,16,7
7,23,-16
17,38,-21
17,37,-20
29,20,9
10,32,-22
19,23,-4
23,13,10
29,34,-5
30,31,-1
31,45,-14
19,29,-10
16,27,-11
16,40,-24
20,43,-23
3,34,-31
14,27,-13
16,34,-18
7,34,-27
19,20,-1
14,22,-8
20,42,-22
21,41,-20
22,23,-1
17,34,-17
16,28,-12
12,27,-15
20,27,-7
17,24,-7
20,20,0
3,44,-41
13,16,-3
10,20,-10
23,30,-7
26,16,10
13,41,-28
28,48,-20
9,38,-29
17,30,-13
19,31,-12
29,30,-1
14,38,-24
28,20,8
10,9,1
13,33,-20
20,20,0
34,30,4
13,24,-11
17,23,-6
30,45,-15
20,34,-14
5,9,-4
3,13,-10
10,6,4
10,45,-35
17,45,-28
16,24,-8
31,20,11
9,21,-12
10,34,-24
31,20,11
6,23,-17
26,45,-19
31,23,8
6,24,-18
45,23,22
16,24,-8
30,9,21
16,13,3
36,23,13
27,20,7
12,34,-22
22,38,-16
21,24,-3
31,37,-6
13,21,-8
20,17,3
21,18,3
6,29,-23
16,20,-4
10,32,-22
10,27,-17
17,14,3
10,24,-14
0,40,-40
17,20,-3
21,40,-19
10,41,-31
31,17,14
23,23,0
20,34,-14
24,34,-10
30,31,-1
31,21,10
13,20,-7
27,42,-15
7,38,-31
10,26,-16
31,34,-3
13,22,-9
20,31,-11
20,22,-2
6,44,-38
16,29,-13
35,17,18
10,34,-24
13,26,-13
20,24,-4
14,44,-30
21,14,7
24,30,-6
14,27,-13
6,40,-34
23,24,-1
13,20,-7
17,10,7
17,17,0
9,30,-21
16,44,-28
27,41,-14
20,23,-3
37,37,0
32,19,13
17,19,-2
24,30,-6
27,20,7
19,9,10
24,22,2
23,24,-1
10,12,-2
13,11,2
17,16,1
13,23,-10
19,17,2
16,42,-26
7,41,-34
19,21,-2
7,30,-23
13,26,-13
13,35,-22
23,3,20
26,28,-2
13,43,-30
28,33,-5
15,7,8
41,20,21
9,30,-21
16,23,-7
0,21,-21
17,26,-9
19,34,-15
16,20,-4
30,23,7
6,31,-25
15,16,-1
13,20,-7
22,38,-16
0,34,-34
10,44,-34
23,13,10
18,7,11
14,23,-9
36,7,29
20,37,-17
23,26,-3
34,10,24
3,24,-21
26,19,7
35,14,21
32,13,19
17,47,-30
23,21,2
13,23,-10
27,27,0
23,17,6
20,38,-18
7,27,-20
25,17,8
10,20,-10
16,27,-11
13,37,-24
26,14,12
22,10,12
19,7,12
36,3,33
20,27,-7
6,6,0
9,20,-11
34,20,14
33,28,5
10,30,-20
41,10,31
17,45,-28
6,30,-24
13,27,-14
10,22,-12
12,10,2
23,33,-10
24,45,-21
7,35,-28
3,27,-24
14,40,-26
20,16,4
6,40,-34
26,20,6
14,31,-17
20,30,-10
14,14,0
30,17,13
23,24,-1
16,23,-7
10,30,-20
10,26,-16
16,33,-17
21,29,-8
34,16,18
6,35,-29
12,34,-22
6,16,-10
30,16,14
10,18,-8
35,20,15
17,24,-7
17,28,-11
33,20,13
16,16,0
24,33,-9
10,19,-9
16,34,-18
24,16,8
21,14,7
22,14,8
14,27,-13
