Score1,Score2,Reward
2,57,-55
13,43,-30
0,50,-50
10,26,-16
3,30,-27
13,24,-11
14,23,-9
17,28,-11
17,19,-2
7,40,-33
14,44,-30
7,60,-53
6,31,-25
21,28,-7
6,25,-19
20,33,-13
16,24,-8
7,24,-17
21,6,15
14,27,-13
15,31,-16
0,55,-55
14,53,-39
0,24,-24
7,37,-30
28,23,5
29,27,2
10,33,-23
21,31,-10
24,30,-6
14,49,-35
3,29,-26
14,34,-20
21,33,-12
14,36,-22
17,24,-7
0,43,-43
7,25,-18
0,20,-20
17,23,-6
14,44,-30
17,28,-11
14,10,4
27,30,-3
21,34,-13
7,17,-10
21,24,-3
14,16,-2
7,54,-47
16,17,-1
36,14,22
23,14,9
28,26,2
14,34,-20
7,33,-26
21,31,-10
21,15,6
35,16,19
41,31,10
10,27,-17
21,34,-13
7,23,-16
21,31,-10
7,33,-26
21,13,8
21,39,-18
13,21,-8
21,35,-14
17,36,-19
38,27,11
14,15,-1
30,36,-6
6,24,-18
14,19,-5
7,38,-31
21,34,-13
14,17,-3
6,19,-13
10,34,-24
0,28,-28
21,34,-13
29,23,6
21,14,7
21,23,-2
14,17,-3
28,31,-3
14,23,-9
20,20,0
21,19,2
14,35,-21
0,20,-20
7,23,-16
21,7,14
14,48,-34
28,10,18
14,40,-26
13,10,3
21,23,-2
7,17,-10
20,28,-8
21,0,21
14,23,-9
7,29,-22
14,36,-22
14,35,-21
31,17,14
7,29,-22
14,25,-11
7,12,-5
21,22,-1
35,7,28
9,26,-17
7,32,-25
7,26,-19
24,7,17
7,37,-30
21,31,-10
21,29,-8
14,44,-30
35,48,-13
7,26,-19
14,26,-12
14,16,-2
28,31,-3
21,33,-12
21,26,-5
21,36,-15
7,19,-12
7,29,-22
7,34,-27
28,17,11
9,24,-15
21,17,4
35,23,12
21,20,1
24,33,-9
28,17,11
19,6,13
14,26,-12
41,24,17
28,16,12
16,37,-21
7,17,-10
28,23,5
28,42,-14
19,48,-29
14,20,-6
28,38,-10
27,38,-11
14,36,-22
26,47,-21
7,41,-34
19,49,-30
14,17,-3
14,16,-2
21,20,1
24,43,-19
21,13,8
14,27,-13
14,18,-4
7,47,-40
3,43,-40
21,23,-2
21,38,-17
14,31,-17
27,26,1
21,13,8
7,47,-40
14,37,-23
27,38,-11
21,34,-13
21,34,-13
21,38,-17
14,20,-6
7,41,-34
0,30,-30
28,30,-2
21,13,8
21,36,-15
27,28,-1
14,17,-3
7,38,-31
21,27,-6
21,10,11
21,9,12
14,17,-3
14,33,-19
7,48,-41
13,16,-3
0,31,-31
35,17,18
35,17,18
21,31,-10
28,27,1
21,20,1
14,17,-3
7,36,-29
28,13,15
24,19,5
21,29,-8
14,24,-10
28,19,9
21,27,-6
7,19,-12
7,22,-15
28,24,4
21,17,4
0,33,-33
16,37,-21
35,15,20
13,34,-21
14,13,1
13,36,-23
21,22,-1
28,20,8
42,27,15
35,13,22
37,27,10
23,41,-18
31,38,-7
21,22,-1
20,28,-8
13,17,-4
14,29,-15
35,31,4
21,24,-3
27,30,-3
20,43,-23
16,27,-11
28,41,-13
28,45,-17
7,47,-40
14,29,-15
21,24,-3
14,20,-6
10,20,-10
14,28,-14
7,27,-20
13,20,-7
17,40,-23
21,48,-27
21,34,-13
17,45,-28
21,27,-6
31,26,5
21,41,-20
14,20,-6
13,23,-10
14,36,-22
21,27,-6
10,23,-13
13,39,-26
7,36,-29
21,35,-14
13,19,-6
7,13,-6
10,27,-17
21,28,-7
35,17,18
27,10,17
7,17,-10
14,20,-6
14,30,-16
21,44,-23
23,38,-15
21,37,-16
14,34,-20
21,23,-2
21,24,-3
14,26,-12
21,17,4
28,17,11
7,29,-22
21,21,0
21,3,18
21,31,-10
28,20,8
22,17,5
