Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.92973,-1.3436,-3.41916,-3.35117,-1.3436,1
1,19,99,-2.7589,-0.135389,-3.41916,-3.35117,-0.135389,1
1,18,99,-1.91386,-0.0939164,-3.41916,-3.35117,-0.0939164,1
1,17,99,-1.41863,-1.17062,-3.41916,-3.35117,-1.17062,1
1,15,99,-0.707727,-1.07855,-3.41916,-3.35117,-1.07855,0
1,13,99,-1.04486,-1.31329,-3.41916,-3.35117,-1.31329,0
1,12,99,-0.677618,-1.18726,-3.41916,-3.35117,-0.677618,0
1,10,99,-0.726902,0.432812,-3.41916,-3.35117,0.432812,1
1,9,99,-0.332961,0.699346,-3.41916,-3.35117,0.699346,1
1,7,99,-0.287073,0.595925,-3.41916,-3.35117,0.595925,1
1,4,99,-0.0278427,0.509175,-3.41916,-3.35117,0.509175,1
1,3,99,0.188495,0.298021,-3.41916,-3.35117,0.298021,1
1,2,99,-0.250912,0.199825,-3.41916,-3.35117,0.199825,1
1,1,99,-0.0851079,-0.580125,-3.41916,-3.35117,-0.580125,0
1,20,98,-1.71316,-1.38863,-3.41916,-3.12829,-1.38863,1
1,19,98,-2.3826,-0.00859135,-3.41916,-3.12829,-0.00859135,1
1,18,98,-1.66168,-0.0492965,-3.41916,-3.12829,-0.0492965,1
1,17,98,-1.14516,-1.07328,-3.41916,-3.12829,-1.07328,1
1,15,98,-0.647152,-0.884268,-3.41916,-3.12829,-0.884268,0
1,13,98,-0.831285,-1.35789,-3.41916,-3.12829,-0.831285,0
1,12,98,-0.317224,0.222612,-3.41916,-3.12829,0.222612,1
1,9,98,-0.040204,0.710006,-3.41916,-3.12829,0.710006,1
1,7,98,0.0301786,0.581216,-3.41916,-3.12829,0.581216,1
1,4,98,0.000112853,0.595059,-3.41916,-3.12829,0.595059,1
1,3,98,0.18597,0.357143,-3.41916,-3.12829,0.357143,1
1,2,98,-0.000608922,0.338958,-3.41916,-3.12829,0.338958,1
1,1,98,-0.538105,-0.379337,-3.41916,-3.12829,-0.379337,1
