Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,0.321188,0.567102,-1000,-3.35117,0.567102,1
1,19,99,-1.75072,4.7567,-1000,-3.35117,4.7567,1
1,18,99,-1.37216,6.75434,-1000,-3.35117,6.75434,1
1,17,99,-0.638086,4.52294,-1000,-3.35117,4.52294,1
1,15,99,4.37003,1.63913,-1000,-3.35117,4.37003,0
1,13,99,0.464683,4.34853,-1000,-3.35117,4.34853,1
1,12,99,0.398029,1.44034,-1000,-3.35117,1.44034,1
1,10,99,5.89737,5.43228,-1000,-3.35117,5.89737,0
1,9,99,5.92442,5.42647,-1000,-3.35117,5.92442,0
1,7,99,5.45225,4.26401,-1000,-3.35117,5.45225,0
1,4,99,6.55668,6.65002,-1000,-3.35117,6.65002,1
1,3,99,5.90256,6.60654,-1000,-3.35117,6.60654,1
1,2,99,6.32997,6.32997,-1000,-3.35117,6.32997,0
1,1,99,6.48999,6.53095,-1000,-3.35117,6.53095,1
2,20,99,-2.69166,0.567102,-1000,-3.35117,0.567102,1
2,18,99,-0.172811,-0.0936935,-1000,-3.35117,-0.0936935,1
2,17,99,-0.222941,0.652916,-1000,-3.35117,0.652916,1
2,16,99,-0.219223,-2.34846,-1000,-3.35117,-0.219223,0
2,15,99,-0.422418,-0.580764,-1000,-3.35117,-0.422418,0
2,13,99,3.55046,-0.150869,-1000,-3.35117,3.55046,0
2,10,99,1.31098,1.35673,-1000,-3.35117,1.35673,1
2,8,99,1.25967,6.53095,-1000,-3.35117,6.53095,1
2,7,99,2.1754,4.26401,-1000,-3.35117,4.26401,1
2,4,99,5.91816,6.55668,-1000,-3.35117,6.55668,1
2,3,99,5.51886,6.60654,-1000,-3.35117,6.60654,1
2,2,99,-0.884444,6.32997,-1000,-3.35117,6.32997,1
2,1,99,0.884824,6.53095,-1000,-3.35117,6.53095,1
3,20,99,-2.58671,-2.99602,-1000,-3.35117,-2.58671,0
3,16,99,-2.95335,-2.66448,-1000,-3.35117,-2.66448,1
3,15,99,-3.35117,-3.10247,-1000,-3.35117,-3.10247,1
3,13,99,-3.27373,-2.45927,-1000,-3.35117,-2.45927,1
3,11,99,-2.90522,-3.38516,-1000,-3.35117,-2.90522,0
3,10,99,-2.45927,0.91882,-1000,-3.35117,0.91882,1
3,9,99,-2.65652,1.64466,-1000,-3.35117,1.64466,1
3,8,99,1.77423,0.928589,-1000,-3.35117,1.77423,0
3,5,99,-3.38516,0.894738,-1000,-3.35117,0.894738,1
3,4,99,-3.35117,5.94224,-1000,-3.35117,5.94224,1
3,2,99,6.32997,1.42908,-1000,-3.35117,6.32997,0
3,1,99,1.4894,1.63879,-1000,-3.35117,1.63879,1
4,17,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,16,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,15,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,14,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,13,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,12,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,9,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,8,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,7,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,5,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,3,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,1,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
1,20,98,0.253833,0.538567,-1000,-3.12829,0.538567,1
1,19,98,-1.64149,4.80425,-1000,-3.12829,4.80425,1
1,18,98,-1.39126,6.86768,-1000,-3.12829,6.86768,1
1,17,98,-0.612087,4.54882,-1000,-3.12829,4.54882,1
1,15,98,4.41603,1.64098,-1000,-3.12829,4.41603,0
1,13,98,2.16942,4.33884,-1000,-3.12829,4.33884,1
1,12,98,2.17426,1.89302,-1000,-3.12829,2.17426,0
1,10,98,6.0654,5.45251,-1000,-3.12829,6.0654,0
1,9,98,5.86169,5.13379,-1000,-3.12829,5.86169,0
1,7,98,5.42747,4.32038,-1000,-3.12829,5.42747,0
1,4,98,6.60212,6.70445,-1000,-3.12829,6.70445,1
1,3,98,5.51937,5.88251,-1000,-3.12829,5.88251,1
1,2,98,6.20933,6.20933,-1000,-3.12829,6.20933,0
1,1,98,6.45689,5.86288,-1000,-3.12829,6.45689,0
2,20,98,-2.581,0.538567,-1000,-3.12829,0.538567,1
2,18,98,-0.123367,-0.0822764,-1000,-3.12829,-0.0822764,1
2,17,98,-0.196344,0.67484,-1000,-3.12829,0.67484,1
2,16,98,-0.135818,-2.09035,-1000,-3.12829,-0.135818,0
2,15,98,-0.287854,-0.576479,-1000,-3.12829,-0.287854,0
2,13,98,4.28492,0.306666,-1000,-3.12829,4.28492,0
2,10,98,1.45301,1.53892,-1000,-3.12829,1.53892,1
2,7,98,2.05879,4.32038,-1000,-3.12829,4.32038,1
2,4,98,6.60212,6.54449,-1000,-3.12829,6.60212,0
2,3,98,5.5294,5.88251,-1000,-3.12829,5.88251,1
2,2,98,-0.71902,6.20933,-1000,-3.12829,6.20933,1
2,1,98,0.852248,5.86288,-1000,-3.12829,5.86288,1
3,20,98,-2.69693,-2.85377,-1000,-3.12829,-2.69693,0
3,16,98,-2.82258,-2.69792,-1000,-3.12829,-2.69792,1
3,15,98,-3.12829,-2.84191,-1000,-3.12829,-2.84191,1
3,13,98,-1.40604,-2.36134,-1000,-3.12829,-1.40604,0
3,11,98,-2.74481,-3.27373,-1000,-3.12829,-2.74481,0
3,10,98,-2.36134,0.997682,-1000,-3.12829,0.997682,1
3,9,98,-2.45843,1.70314,-1000,-3.12829,1.70314,1
3,8,98,1.83182,1.03026,-1000,-3.12829,1.83182,0
