Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.99686,-1.03056,-3.41916,-3.35117,-1.03056,1
1,19,99,-1.43071,-0.328791,-3.41916,-3.35117,-0.328791,1
1,18,99,-1.70596,-1.26646,-3.41916,-3.35117,-1.26646,1
1,17,99,-1.00154,-1.16713,-3.41916,-3.35117,-1.16713,0
1,15,99,-0.86352,-1.62568,-3.41916,-3.35117,-1.62568,0
1,13,99,-0.93232,-0.266533,-3.41916,-3.35117,-0.266533,1
1,12,99,-0.363953,-0.74194,-3.41916,-3.35117,-0.363953,0
1,10,99,-0.457673,-0.29436,-3.41916,-3.35117,-0.457673,1
1,9,99,-0.304041,0.0705305,-3.41916,-3.35117,0.0705305,1
1,7,99,0.286916,0.165898,-3.41916,-3.35117,0.165898,0
1,4,99,0.139762,0.395561,-3.41916,-3.35117,0.395561,1
1,3,99,0.283612,0.173641,-3.41916,-3.35117,0.173641,0
1,2,99,0.246666,0.224971,-3.41916,-3.35117,0.224971,0
1,1,99,-0.108565,0.125676,-3.41916,-3.35117,0.125676,1
1,20,98,-1.80669,-1.02062,-3.41916,-3.12829,-1.02062,1
1,19,98,-1.20228,-0.282445,-3.41916,-3.12829,-0.282445,1
1,18,98,-1.52675,-1.22973,-3.41916,-3.12829,-1.22973,1
1,17,98,-0.90712,-1.03746,-3.41916,-3.12829,-1.03746,0
1,15,98,-0.736979,-1.46695,-3.41916,-3.12829,-1.46695,0
1,13,98,-0.560848,-0.180522,-3.41916,-3.12829,-0.560848,1
1,12,98,-0.0126663,-0.38215,-3.41916,-3.12829,-0.38215,0
1,9,98,-0.315354,0.140238,-3.41916,-3.12829,0.140238,1
1,7,98,0.302966,0.266059,-3.41916,-3.12829,0.266059,0
1,4,98,0.180625,0.514841,-3.41916,-3.12829,0.514841,1
1,3,98,0.363617,0.279433,-3.41916,-3.12829,0.279433,0
1,2,98,0.166333,0.384876,-3.41916,-3.12829,0.384876,1
1,1,98,0.073016,0.238129,-3.41916,-3.12829,0.238129,1
1,20,97,-1.63516,-1.0261,-3.41916,-2.81209,-1.63516,1
1,19,97,-1.21355,-0.479883,-3.41916,-2.81209,-0.479883,1
1,18,97,-1.43722,-1.22675,-3.41916,-2.81209,-1.22675,1
1,17,97,-0.72492,-1.025,-3.41916,-2.81209,-1.025,0
1,15,97,-0.52666,-1.38675,-3.41916,-2.81209,-1.38675,0
1,13,97,-0.242929,-0.113165,-3.41916,-2.81209,-0.113165,1
1,12,97,0.0610007,-0.284587,-3.41916,-2.81209,-0.284587,0
1,7,97,0.328881,0.326137,-3.41916,-2.81209,0.326137,0
1,4,97,0.21031,0.385129,-3.41916,-2.81209,0.385129,1
1,3,97,0.536796,0.356794,-3.41916,-2.81209,0.356794,0
1,2,97,0.348246,0.30142,-3.41916,-2.81209,0.30142,0
1,20,96,-1.51339,-1.05665,-3.41916,-2.99602,-1.05665,1
1,19,96,-0.957618,-0.308404,-3.41916,-2.99602,-0.308404,1
1,18,96,-1.19725,-1.29333,-3.41916,-2.99602,-1.29333,0
1,17,96,-0.7006,-0.984983,-3.41916,-2.99602,-0.984983,0
1,15,96,-0.310879,-1.32938,-3.41916,-2.99602,-1.32938,0
1,13,96,-0.0699732,0.0761164,-3.41916,-2.99602,-0.0699732,1
1,12,96,0.161442,-0.157052,-3.41916,-2.99602,-0.157052,0
1,9,96,-0.0762873,0.2558,-3.41916,-2.99602,0.2558,1
1,7,96,0.388905,0.350355,-3.41916,-2.99602,0.350355,0
