Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.15768,-1.42455,-3.41916,-3.35117,-1.42455,1
1,19,99,-1.78234,-0.639477,-3.41916,-3.35117,-0.639477,1
1,18,99,-2.20148,-0.886438,-3.41916,-3.35117,-0.886438,1
1,17,99,-1.13521,-0.477153,-3.41916,-3.35117,-0.477153,1
1,15,99,-1.0325,-1.26539,-3.41916,-3.35117,-1.26539,0
1,13,99,-1.31033,-1.12505,-3.41916,-3.35117,-1.12505,1
1,12,99,-1.50684,-0.617215,-3.41916,-3.35117,-1.50684,1
1,10,99,-0.818129,-0.847768,-3.41916,-3.35117,-0.847768,0
1,9,99,-0.743624,0.129161,-3.41916,-3.35117,0.129161,1
1,7,99,-0.162433,-0.685914,-3.41916,-3.35117,-0.685914,0
1,4,99,-0.668357,-0.196158,-3.41916,-3.35117,-0.196158,1
1,3,99,-0.561945,-0.427409,-3.41916,-3.35117,-0.427409,1
1,2,99,-0.526413,-0.472959,-3.41916,-3.35117,-0.472959,1
1,1,99,-1.1887,-1.27678,-3.41916,-3.35117,-1.27678,0
1,20,98,-1.9531,-1.40808,-3.41916,-3.12829,-1.40808,1
1,19,98,-1.39734,-0.434044,-3.41916,-3.12829,-0.434044,1
1,18,98,-1.98342,-0.815975,-3.41916,-3.12829,-0.815975,1
1,17,98,-0.917377,-0.376826,-3.41916,-3.12829,-0.376826,1
1,15,98,-0.968765,-1.08775,-3.41916,-3.12829,-1.08775,0
1,13,98,-1.02294,-1.18703,-3.41916,-3.12829,-1.02294,0
1,12,98,-1.26979,-0.313937,-3.41916,-3.12829,-0.313937,1
1,9,98,-0.564358,0.0840055,-3.41916,-3.12829,0.0840055,1
1,7,98,-0.131462,-0.617171,-3.41916,-3.12829,-0.617171,0
1,4,98,-0.557427,-0.128256,-3.41916,-3.12829,-0.128256,1
1,3,98,-0.372519,-0.279102,-3.41916,-3.12829,-0.279102,1
1,2,98,-0.509062,-0.41763,-3.41916,-3.12829,-0.41763,1
1,1,98,-1.06,-1.06643,-3.41916,-3.12829,-1.06643,0
1,20,97,-1.75459,-1.34886,-3.41916,-2.81209,-1.75459,1
1,19,97,-1.29449,-0.584085,-3.41916,-2.81209,-0.584085,1
1,18,97,-1.56024,-0.64448,-3.41916,-2.81209,-0.64448,1
1,17,97,-0.820137,-0.361811,-3.41916,-2.81209,-0.361811,1
1,15,97,-0.778713,-0.933143,-3.41916,-2.81209,-0.933143,0
1,13,97,-0.804531,-0.953329,-3.41916,-2.81209,-0.953329,0
1,12,97,-1.24027,-0.206885,-3.41916,-2.81209,-0.206885,1
1,7,97,-0.174972,-0.480806,-3.41916,-2.81209,-0.480806,0
1,4,97,-0.479951,-0.00240874,-3.41916,-2.81209,-0.00240874,1
1,3,97,-0.331506,-0.185898,-3.41916,-2.81209,-0.185898,1
1,2,97,-0.431918,-0.296528,-3.41916,-2.81209,-0.296528,1
1,20,96,-1.39829,-1.18547,-3.41916,-2.99602,-1.18547,1
1,19,96,-1.24769,-0.530239,-3.41916,-2.99602,-0.530239,1
1,18,96,-1.44754,-0.752157,-3.41916,-2.99602,-0.752157,1
1,17,96,-0.750301,-0.539316,-3.41916,-2.99602,-0.539316,1
1,15,96,-0.497738,-0.95867,-3.41916,-2.99602,-0.95867,0
1,13,96,-0.556853,-0.679286,-3.41916,-2.99602,-0.556853,0
1,12,96,-1.1175,-0.137016,-3.41916,-2.99602,-0.137016,1
1,9,96,-0.412948,0.354757,-3.41916,-2.99602,0.354757,1
1,7,96,-0.092336,-0.479976,-3.41916,-2.99602,-0.479976,0
1,4,96,-0.395059,-0.00254481,-3.41916,-2.99602,-0.00254481,1
1,3,96,-0.214983,-0.135501,-3.41916,-2.99602,-0.135501,1
1,2,96,-0.291936,-0.258551,-3.41916,-2.99602,-0.258551,1
1,19,95,-1.13998,-0.348007,-3.41916,-2.85377,-0.348007,1
1,17,95,-0.856905,-0.511369,-3.41916,-2.85377,-0.511369,1
1,15,95,-0.505954,-1.06261,-3.41916,-2.85377,-1.06261,0
1,13,95,-0.40332,-0.589516,-3.41916,-2.85377,-0.589516,0
1,7,95,0.00252733,-0.460545,-3.41916,-2.85377,-0.460545,0
1,4,95,-0.347394,0.0842627,-3.41916,-2.85377,0.0842627,1
1,2,95,-0.147745,-0.0676127,-3.41916,-2.85377,-0.0676127,1
1,1,95,-0.183821,-0.875949,-3.41916,-2.85377,-0.875949,0
1,19,94,-0.983972,-0.185314,-3.41916,-2.55553,-0.185314,1
1,17,94,-0.740295,-0.394967,-3.41916,-2.55553,-0.394967,1
1,15,94,-0.464192,-0.82326,-3.41916,-2.55553,-0.82326,0
1,13,94,-0.258622,-0.614272,-3.41916,-2.55553,-0.614272,0
1,7,94,0.136509,-0.338521,-3.41916,-2.55553,-0.338521,0
1,4,94,-0.298824,0.0777218,-3.41916,-2.55553,0.0777218,1
1,2,94,-0.188119,-0.114717,-3.41916,-2.55553,-0.114717,1
1,1,94,-0.045883,-0.830681,-3.41916,-2.55553,-0.830681,0
1,19,93,-1.13463,-0.38501,-3.41916,-2.51688,-0.38501,1
1,17,93,-0.626373,-0.306545,-3.41916,-2.51688,-0.306545,1
1,15,93,-0.689687,-0.847082,-3.41916,-2.51688,-0.847082,0
1,13,93,-0.231185,-0.74133,-3.41916,-2.51688,-0.74133,0
1,7,93,0.206575,-0.260039,-3.41916,-2.51688,-0.260039,0
1,4,93,-0.158332,0.175142,-3.41916,-2.51688,0.175142,1
1,2,93,-0.0353927,0.0384012,-3.41916,-2.51688,0.0384012,1
1,1,93,-0.0100469,-0.745145,-3.41916,-2.51688,-0.745145,0
1,19,92,-1.10432,-0.300936,-6.43894,-2.39982,-0.300936,1
1,17,92,-0.469578,-0.182805,-6.43894,-2.39982,-0.182805,1
1,15,92,-0.508628,-0.825379,-6.43894,-2.39982,-0.825379,0
1,13,92,-0.298139,-0.55664,-6.43894,-2.39982,-0.55664,0
1,7,92,0.268512,-0.220633,-6.43894,-2.39982,-0.220633,0
1,4,92,-0.143847,0.209798,-6.43894,-2.39982,0.209798,1
1,2,92,-0.073895,0.016623,-6.43894,-2.39982,0.016623,1
1,1,92,0.0628285,-0.662818,-6.43894,-2.39982,-0.662818,0
1,19,91,-1.01055,-0.195532,-6.29331,-2.45927,-0.195532,1
1,17,91,-0.64778,-0.257575,-6.29331,-2.45927,-0.257575,1
1,15,91,-0.38924,-0.667983,-6.29331,-2.45927,-0.38924,0
1,13,91,-0.387676,-0.563718,-6.29331,-2.45927,-0.563718,0
1,7,91,0.461856,0.00105992,-6.29331,-2.45927,0.00105992,0
1,4,91,-0.145652,0.233001,-6.29331,-2.45927,0.233001,1
1,2,91,0.0257463,0.146802,-6.29331,-2.45927,0.146802,1
1,1,91,0.0156587,-0.66253,-6.29331,-2.45927,-0.66253,0
1,19,90,-0.786382,-0.085268,-6.05291,-2.36134,-0.085268,1
1,17,90,-0.782987,-0.254425,-6.05291,-2.36134,-0.254425,1
1,15,90,-0.255173,-0.528278,-6.05291,-2.36134,-0.528278,0
1,13,90,-0.274063,-0.553407,-6.05291,-2.36134,-0.553407,0
1,7,90,0.378649,-0.0310033,-6.05291,-2.36134,-0.0310033,0
1,4,90,-0.00979481,0.373107,-6.05291,-2.36134,0.373107,1
1,2,90,0.184561,0.0846494,-6.05291,-2.36134,0.0846494,0
1,1,90,0.18542,-0.502205,-6.05291,-2.36134,-0.502205,0
1,19,89,-1.17168,-0.349179,-5.75042,-2.39784,-0.349179,1
1,17,89,-0.62982,-0.00179551,-5.75042,-2.39784,-0.62982,1
1,15,89,-0.380931,-0.659685,-5.75042,-2.39784,-0.659685,0
1,13,89,-0.088851,-0.500984,-5.75042,-2.39784,-0.500984,0
1,7,89,0.592885,0.114201,-5.75042,-2.39784,0.114201,0
1,4,89,0.0969023,0.359593,-5.75042,-2.39784,0.359593,1
1,2,89,0.0143165,0.0708186,-5.75042,-2.39784,0.0708186,1
1,1,89,0.114769,0.0832992,-5.75042,-2.39784,0.0832992,0
1,19,88,-0.568272,0.12356,-5.55605,-2.24038,-0.568272,1
1,17,88,-0.486435,-0.106481,-5.55605,-2.24038,-0.106481,1
1,15,88,-0.442827,-0.54827,-5.55605,-2.24038,-0.54827,0
1,13,88,0.0202906,-0.366169,-5.55605,-2.24038,-0.366169,0
1,7,88,0.706646,0.244391,-5.55605,-2.24038,0.244391,0
1,4,88,0.33375,0.54059,-5.55605,-2.24038,0.54059,1
1,2,88,0.159837,0.218269,-5.55605,-2.24038,0.218269,1
1,1,88,0.175752,-0.385483,-5.55605,-2.24038,-0.385483,0
1,19,87,-0.520936,0.114327,-5.60239,-2.09737,0.114327,1
1,17,87,-0.863617,-0.292575,-5.60239,-2.09737,-0.292575,1
1,15,87,-0.25919,-0.297308,-5.60239,-2.09737,-0.297308,0
1,13,87,-0.0504921,-0.310433,-5.60239,-2.09737,-0.310433,0
1,7,87,0.774934,0.19246,-5.60239,-2.09737,0.19246,0
1,4,87,0.650073,0.710601,-5.60239,-2.09737,0.710601,1
1,2,87,0.381369,0.420036,-5.60239,-2.09737,0.420036,1
1,1,87,0.310017,-0.254453,-5.60239,-2.09737,-0.254453,0
1,19,86,-0.396423,0.243284,-5.61978,-2.01828,0.243284,1
1,17,86,-0.229034,0.257285,-5.61978,-2.01828,-0.229034,1
1,15,86,-0.249644,-0.374128,-5.61978,-2.01828,-0.374128,0
1,13,86,0.0294199,-0.15448,-5.61978,-2.01828,0.0294199,0
1,7,86,0.811548,0.415896,-5.61978,-2.01828,0.415896,0
1,4,86,0.75244,0.798395,-5.61978,-2.01828,0.798395,1
1,2,86,0.613827,0.450307,-5.61978,-2.01828,0.450307,0
1,1,86,0.246661,-0.222053,-5.61978,-2.01828,-0.222053,0
1,19,85,-0.171169,-1.25711,-5.14185,-2.10808,-1.25711,0
1,17,85,-0.00316355,-0.348681,-5.14185,-2.10808,-0.348681,0
1,15,85,-0.622523,-0.0740653,-5.14185,-2.10808,-0.0740653,1
1,13,85,0.427525,0.386892,-5.14185,-2.10808,0.386892,0
1,7,85,-0.068567,0.209843,-5.14185,-2.10808,0.209843,1
1,4,85,0.750758,-0.305834,-5.14185,-2.10808,-0.305834,0
1,2,85,0.844272,0.400971,-5.14185,-2.10808,0.400971,0
1,1,85,0.512729,1.32513,-5.14185,-2.10808,1.32513,1
1,19,84,-0.351331,-1.23765,-5.35927,-2.00544,-1.23765,0
1,17,84,0.195984,-0.224046,-5.35927,-2.00544,-0.224046,0
1,15,84,-0.0395921,0.470174,-5.35927,-2.00544,0.470174,1
1,13,84,0.162082,0.101309,-5.35927,-2.00544,0.101309,0
1,7,84,-0.112269,0.183083,-5.35927,-2.00544,0.183083,1
1,4,84,0.880648,-0.370514,-5.35927,-2.00544,-0.370514,0
1,2,84,0.916768,0.457429,-5.35927,-2.00544,0.457429,0
1,1,84,0.796084,1.39657,-5.35927,-2.00544,1.39657,1
1,19,83,-0.0821994,-1.04549,-5.22327,-1.89942,-0.0821994,0
1,17,83,0.142841,-0.221129,-5.22327,-1.89942,-0.221129,0
1,15,83,-0.0961853,0.475027,-5.22327,-1.89942,0.475027,1
1,13,83,0.248101,-0.032594,-5.22327,-1.89942,-0.032594,0
1,7,83,0.171579,0.347109,-5.22327,-1.89942,0.347109,1
1,4,83,0.96484,-0.347079,-5.22327,-1.89942,-0.347079,0
1,2,83,1.02219,0.381636,-5.22327,-1.89942,0.381636,0
1,1,83,0.862264,1.46478,-5.22327,-1.89942,1.46478,1
1,19,82,-0.16805,-1.24837,-5.04662,-1.89873,-1.24837,0
1,17,82,0.0465902,-0.358419,-5.04662,-1.89873,0.0465902,0
1,15,82,0.0675847,0.654702,-5.04662,-1.89873,0.654702,1
1,13,82,0.538399,0.369668,-5.04662,-1.89873,0.369668,0
1,9,82,0.187903,1.15775,-5.04662,-1.89873,1.15775,1
1,7,82,0.32472,0.344434,-5.04662,-1.89873,0.344434,1
1,4,82,0.834588,-0.46584,-5.04662,-1.89873,-0.46584,0
1,2,82,1.05455,0.522881,-5.04662,-1.89873,0.522881,0
1,1,82,0.923294,1.55927,-5.04662,-1.89873,1.55927,1
1,19,81,-0.440933,-1.34426,-4.70389,-1.77463,-1.34426,0
1,17,81,0.272832,-0.103527,-4.70389,-1.77463,-0.103527,0
1,15,81,0.142939,0.668421,-4.70389,-1.77463,0.668421,1
1,13,81,0.558716,0.409197,-4.70389,-1.77463,0.409197,0
1,7,81,0.213355,0.322542,-4.70389,-1.77463,0.322542,1
1,4,81,0.965033,-0.411892,-4.70389,-1.77463,-0.411892,0
1,2,81,1.17221,0.541211,-4.70389,-1.77463,0.541211,0
1,1,81,1.00922,1.57642,-4.70389,-1.77463,1.57642,1
1,19,80,-0.00889947,-0.99276,-4.82344,-1.66435,-0.99276,0
1,17,80,0.293696,-0.161367,-4.82344,-1.66435,-0.161367,0
1,15,80,0.019186,0.562293,-4.82344,-1.66435,0.562293,1
1,13,80,0.746679,0.611794,-4.82344,-1.66435,0.611794,0
1,7,80,0.273141,0.454271,-4.82344,-1.66435,0.454271,1
1,4,80,0.937086,-0.259695,-4.82344,-1.66435,-0.259695,0
1,2,80,1.17549,0.61234,-4.82344,-1.66435,0.61234,0
1,1,80,1.06691,1.59377,-4.82344,-1.66435,1.59377,1
1,19,79,0.04663,-0.967749,-4.30456,-1.7295,-0.967749,0
1,17,79,0.0986078,-0.225215,-4.30456,-1.7295,-0.225215,0
1,15,79,0.275103,0.805161,-4.30456,-1.7295,0.805161,1
1,13,79,0.779199,0.671333,-4.30456,-1.7295,0.671333,0
1,9,79,0.0672786,1.3506,-4.30456,-1.7295,1.3506,1
1,7,79,0.601886,0.629555,-4.30456,-1.7295,0.629555,1
1,4,79,1.06934,-0.173743,-4.30456,-1.7295,-0.173743,0
1,2,79,1.10923,0.62744,-4.30456,-1.7295,0.62744,0
1,1,79,1.05695,1.662,-4.30456,-1.7295,1.662,1
1,19,78,-0.163188,-0.981633,-4.65291,-1.66623,-0.981633,0
1,17,78,0.560764,0.0310041,-4.65291,-1.66623,0.0310041,0
1,15,78,0.108404,0.755087,-4.65291,-1.66623,0.755087,1
1,13,78,0.692291,0.439738,-4.65291,-1.66623,0.439738,0
1,9,78,0.57231,1.37283,-4.65291,-1.66623,1.37283,1
1,7,78,0.225425,0.520104,-4.65291,-1.66623,0.520104,1
1,4,78,1.20766,-0.154006,-4.65291,-1.66623,-0.154006,0
1,2,78,1.27082,0.892362,-4.65291,-1.66623,0.892362,0
1,1,78,1.05269,1.78646,-4.65291,-1.66623,1.78646,1
1,19,77,-0.115086,-0.889708,-4.67517,-1.58996,-0.889708,0
1,17,77,0.460111,0.0968112,-4.67517,-1.58996,0.0968112,0
1,15,77,-0.027015,0.586924,-4.67517,-1.58996,0.586924,1
1,13,77,0.86125,0.726024,-4.67517,-1.58996,0.726024,0
1,9,77,0.556839,1.37349,-4.67517,-1.58996,1.37349,1
1,7,77,0.229939,0.79575,-4.67517,-1.58996,0.79575,1
1,4,77,1.23456,0.0829729,-4.67517,-1.58996,0.0829729,0
1,2,77,1.37629,0.932953,-4.67517,-1.58996,0.932953,0
1,1,77,1.15007,1.87251,-4.67517,-1.58996,1.87251,1
1,19,76,0.272341,-0.793398,-4.75214,-1.45125,-0.793398,0
1,17,76,0.397663,0.0528107,-4.75214,-1.45125,0.0528107,0
1,15,76,0.322361,0.949633,-4.75214,-1.45125,0.949633,1
1,13,76,0.917303,0.742341,-4.75214,-1.45125,0.742341,0
1,9,76,0.629552,1.46271,-4.75214,-1.45125,1.46271,1
1,7,76,0.604478,0.71091,-4.75214,-1.45125,0.71091,1
1,4,76,1.35547,0.17178,-4.75214,-1.45125,0.17178,0
1,2,76,1.33843,0.800906,-4.75214,-1.45125,0.800906,0
1,1,76,1.29925,1.91319,-4.75214,-1.45125,1.91319,1
1,19,75,0.163531,-0.997722,-4.90201,-1.41384,-0.997722,0
1,17,75,0.458576,0.0377973,-4.90201,-1.41384,0.0377973,0
1,15,75,0.339181,0.974177,-4.90201,-1.41384,0.339181,1
1,13,75,0.881403,0.470611,-4.90201,-1.41384,0.470611,0
1,9,75,0.875108,1.5506,-4.90201,-1.41384,1.5506,1
1,7,75,0.625794,0.726492,-4.90201,-1.41384,0.726492,1
1,4,75,1.2519,0.100773,-4.90201,-1.41384,0.100773,0
1,2,75,1.47342,1.00773,-4.90201,-1.41384,1.00773,0
1,1,75,1.2302,1.98088,-4.90201,-1.41384,1.98088,1
1,19,74,0.225887,-1.00924,-4.86797,-1.45906,-1.00924,0
1,17,74,0.668844,0.221044,-4.86797,-1.45906,0.668844,0
1,15,74,0.230508,0.898452,-4.86797,-1.45906,0.898452,1
1,13,74,1.14332,0.964423,-4.86797,-1.45906,0.964423,0
1,9,74,0.60655,1.48298,-4.86797,-1.45906,1.48298,1
1,7,74,0.677296,0.840369,-4.86797,-1.45906,0.840369,1
1,4,74,1.43565,0.0738498,-4.86797,-1.45906,0.0738498,0
1,2,74,1.5579,1.03708,-4.86797,-1.45906,1.03708,0
1,1,74,1.4029,2.03902,-4.86797,-1.45906,2.03902,1
1,19,73,0.220253,-0.98053,-4.58061,-1.30758,-0.98053,0
1,17,73,0.270057,0.159081,-4.58061,-1.30758,0.159081,0
1,15,73,0.335742,1.04887,-4.58061,-1.30758,1.04887,1
1,13,73,1.19167,0.944721,-4.58061,-1.30758,0.944721,0
1,9,73,0.976529,1.5845,-4.58061,-1.30758,1.5845,1
1,7,73,0.651056,0.930619,-4.58061,-1.30758,0.930619,1
1,4,73,1.32905,0.224746,-4.58061,-1.30758,0.224746,0
