Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.21561,-1.36831,-3.41916,-3.35117,-1.36831,1
1,19,99,-2.42528,-0.836731,-3.41916,-3.35117,-0.836731,1
1,18,99,-1.47253,-1.27718,-3.41916,-3.35117,-1.27718,1
1,17,99,-1.76964,-1.04559,-3.41916,-3.35117,-1.04559,1
1,15,99,-1.24663,-2.119,-3.41916,-3.35117,-2.119,0
1,13,99,-1.2086,-0.435541,-3.41916,-3.35117,-0.435541,1
1,12,99,-1.39623,-0.860344,-3.41916,-3.35117,-1.39623,1
1,10,99,-1.06585,-0.446012,-3.41916,-3.35117,-0.446012,1
1,9,99,-0.684936,-0.518031,-3.41916,-3.35117,-0.518031,1
1,7,99,-1.07328,0.177938,-3.41916,-3.35117,0.177938,1
1,4,99,-0.466245,-0.152614,-3.41916,-3.35117,-0.152614,1
1,3,99,-0.0832256,-0.319434,-3.41916,-3.35117,-0.319434,0
1,2,99,-0.456066,-0.139492,-3.41916,-3.35117,-0.139492,1
1,1,99,-1.25364,-0.844559,-3.41916,-3.35117,-0.844559,1
1,20,98,-2.09317,-1.38452,-3.41916,-3.12829,-1.38452,1
1,19,98,-2.11886,-0.825625,-3.41916,-3.12829,-0.825625,1
1,18,98,-1.29468,-1.34776,-3.41916,-3.12829,-1.34776,0
1,17,98,-1.22499,-1.01877,-3.41916,-3.12829,-1.01877,1
1,15,98,-1.19091,-2.05446,-3.41916,-3.12829,-2.05446,0
1,13,98,-1.09387,-0.518739,-3.41916,-3.12829,-1.09387,1
1,12,98,-1.00817,-0.33218,-3.41916,-3.12829,-0.33218,1
1,9,98,-0.571702,-0.539906,-3.41916,-3.12829,-0.539906,1
1,7,98,-0.791511,0.192577,-3.41916,-3.12829,0.192577,1
1,4,98,-0.363558,-0.0527255,-3.41916,-3.12829,-0.0527255,1
1,3,98,-0.17285,0.0285356,-3.41916,-3.12829,0.0285356,1
1,2,98,-0.443736,-0.190127,-3.41916,-3.12829,-0.190127,1
1,1,98,-0.812733,-0.694698,-3.41916,-3.12829,-0.694698,1
1,20,97,-1.93176,-1.28377,-3.41916,-2.81209,-1.93176,1
1,19,97,-1.76356,-0.787231,-3.41916,-2.81209,-0.787231,1
1,18,97,-1.29655,-1.26435,-3.41916,-2.81209,-1.26435,1
1,17,97,-1.09071,-1.01843,-3.41916,-2.81209,-1.01843,1
1,15,97,-0.976625,-1.9049,-3.41916,-2.81209,-1.9049,0
1,13,97,-1.02398,-0.389075,-3.41916,-2.81209,-0.389075,1
1,12,97,-1.01842,-0.472315,-3.41916,-2.81209,-0.472315,1
1,7,97,-0.832834,0.469704,-3.41916,-2.81209,0.469704,1
1,4,97,-0.212939,-0.010682,-3.41916,-2.81209,-0.010682,1
1,3,97,-0.292525,-0.161571,-3.41916,-2.81209,-0.161571,1
1,2,97,-0.149364,-0.33515,-3.41916,-2.81209,-0.33515,0
1,20,96,-1.77978,-1.14478,-3.41916,-2.99602,-1.14478,1
1,19,96,-1.75609,-0.831701,-3.41916,-2.99602,-0.831701,1
1,18,96,-1.10555,-1.25406,-3.41916,-2.99602,-1.25406,0
1,17,96,-1.01998,-0.871679,-3.41916,-2.99602,-0.871679,1
1,15,96,-0.781622,-1.92629,-3.41916,-2.99602,-1.92629,0
1,13,96,-0.82334,-0.310819,-3.41916,-2.99602,-0.82334,1
1,12,96,-0.849084,-0.333703,-3.41916,-2.99602,-0.333703,1
1,9,96,-0.280711,-0.685575,-3.41916,-2.99602,-0.685575,0
1,7,96,-0.845867,0.63072,-3.41916,-2.99602,0.63072,1
1,4,96,-0.134483,0.13447,-3.41916,-2.99602,0.13447,1
1,3,96,-0.132971,0.0650551,-3.41916,-2.99602,0.0650551,1
1,2,96,-0.0342531,0.075363,-3.41916,-2.99602,0.075363,1
1,19,95,-1.62807,-0.730044,-3.41916,-2.85377,-0.730044,1
1,17,95,-1.00426,-0.919623,-3.41916,-2.85377,-0.919623,1
1,15,95,-0.731022,-2.01235,-3.41916,-2.85377,-2.01235,0
1,13,95,-0.500739,-0.0706787,-3.41916,-2.85377,-0.0706787,1
1,7,95,-0.651038,0.482266,-3.41916,-2.85377,0.482266,1
1,4,95,-0.284772,-0.0752981,-3.41916,-2.85377,-0.0752981,1
1,2,95,-0.138734,-0.244245,-3.41916,-2.85377,-0.244245,0
1,1,95,-0.113077,-0.620763,-3.41916,-2.85377,-0.620763,0
1,19,94,-1.46311,-0.542422,-3.41916,-2.55553,-0.542422,1
1,17,94,-0.949132,-0.767503,-3.41916,-2.55553,-0.767503,1
1,15,94,-0.645747,-1.33114,-3.41916,-2.55553,-1.33114,0
1,13,94,-0.449111,-0.0486703,-3.41916,-2.55553,-0.0486703,1
1,7,94,-0.551532,0.685315,-3.41916,-2.55553,0.685315,1
1,4,94,-0.198096,0.167838,-3.41916,-2.55553,0.167838,1
1,2,94,-0.0556281,0.385657,-3.41916,-2.55553,0.385657,1
1,1,94,-0.0818309,-0.231744,-3.41916,-2.55553,-0.231744,0
1,19,93,-1.51767,-0.590966,-3.41916,-2.51688,-0.590966,1
1,17,93,-0.842042,-0.601303,-3.41916,-2.51688,-0.601303,1
1,15,93,-0.719674,-1.35593,-3.41916,-2.51688,-1.35593,0
1,13,93,-0.583193,-0.162535,-3.41916,-2.51688,-0.162535,1
1,7,93,-0.455139,0.600485,-3.41916,-2.51688,0.600485,1
1,4,93,-0.054776,0.0654306,-3.41916,-2.51688,0.0654306,1
1,2,93,0.0420382,-0.158391,-3.41916,-2.51688,-0.158391,0
1,1,93,0.284767,-0.634097,-3.41916,-2.51688,-0.634097,0
1,19,92,-1.52779,-0.42801,-6.43894,-2.39982,-0.42801,1
1,17,92,-0.709009,-0.532377,-6.43894,-2.39982,-0.532377,1
1,15,92,-0.630102,-1.24642,-6.43894,-2.39982,-1.24642,0
1,13,92,-0.358063,0.0676205,-6.43894,-2.39982,0.0676205,1
1,7,92,-0.313768,0.736463,-6.43894,-2.39982,0.736463,1
1,4,92,-0.060591,0.158494,-6.43894,-2.39982,0.158494,1
1,2,92,0.209938,0.264109,-6.43894,-2.39982,0.264109,1
1,1,92,0.155652,-0.542842,-6.43894,-2.39982,-0.542842,0
1,19,91,-1.36555,-0.189744,-6.29331,-2.45927,-0.189744,1
1,17,91,-0.707727,-0.425573,-6.29331,-2.45927,-0.425573,1
1,15,91,-0.510082,-1.09089,-6.29331,-2.45927,-0.510082,0
1,13,91,-0.454195,0.135249,-6.29331,-2.45927,0.135249,1
1,7,91,-0.351092,0.733598,-6.29331,-2.45927,0.733598,1
1,4,91,-0.0794816,0.0387361,-6.29331,-2.45927,0.0387361,1
1,2,91,0.0759874,0.212797,-6.29331,-2.45927,0.212797,1
1,1,91,-0.125073,-0.467204,-6.29331,-2.45927,-0.467204,0
1,19,90,-1.46964,-0.445914,-6.05291,-2.36134,-0.445914,1
1,17,90,-1.11365,-0.639953,-6.05291,-2.36134,-0.639953,1
1,15,90,-0.450465,-1.01973,-6.05291,-2.36134,-1.01973,0
1,13,90,-0.361907,0.0355657,-6.05291,-2.36134,0.0355657,1
1,7,90,-0.483244,0.935035,-6.05291,-2.36134,0.935035,1
1,4,90,-0.228013,-0.093304,-6.05291,-2.36134,-0.093304,1
1,2,90,0.106745,0.621557,-6.05291,-2.36134,0.621557,1
1,1,90,0.317042,-0.19044,-6.05291,-2.36134,-0.19044,0
1,19,89,-1.68076,-0.340372,-5.75042,-2.39784,-0.340372,1
1,17,89,-0.894555,-0.463116,-5.75042,-2.39784,-0.894555,1
1,15,89,-0.403326,-1.08162,-5.75042,-2.39784,-1.08162,0
1,13,89,-0.19277,0.244066,-5.75042,-2.39784,0.244066,1
1,7,89,0.168018,1.29737,-5.75042,-2.39784,1.29737,1
1,4,89,-0.140089,0.0427751,-5.75042,-2.39784,0.0427751,1
1,2,89,-0.0257077,0.352446,-5.75042,-2.39784,0.352446,1
1,1,89,0.472876,0.1418,-5.75042,-2.39784,0.1418,0
1,19,88,-1.34718,-0.0490977,-5.55605,-2.24038,-1.34718,1
1,17,88,-1.05182,-0.603378,-5.55605,-2.24038,-0.603378,1
1,15,88,-0.561843,-1.01663,-5.55605,-2.24038,-1.01663,0
1,13,88,-0.0953491,0.351659,-5.55605,-2.24038,0.351659,1
1,7,88,0.309792,1.18065,-5.55605,-2.24038,1.18065,1
1,4,88,-0.122777,0.147809,-5.55605,-2.24038,0.147809,1
1,2,88,-0.0333458,0.259013,-5.55605,-2.24038,0.259013,1
1,1,88,0.39046,-0.289849,-5.55605,-2.24038,-0.289849,0
1,19,87,-1.17907,0.0199945,-5.60239,-2.09737,0.0199945,1
1,17,87,-1.13666,-0.743161,-5.60239,-2.09737,-0.743161,1
1,15,87,-0.254642,-0.806204,-5.60239,-2.09737,-0.806204,0
1,13,87,-0.00631365,0.316503,-5.60239,-2.09737,0.316503,1
1,7,87,0.205583,1.08415,-5.60239,-2.09737,1.08415,1
1,4,87,0.62441,0.403038,-5.60239,-2.09737,0.403038,0
1,2,87,0.156626,0.211091,-5.60239,-2.09737,0.211091,1
1,1,87,0.0880791,-0.356114,-5.60239,-2.09737,-0.356114,0
1,19,86,-1.15844,0.159732,-5.61978,-2.01828,0.159732,1
1,17,86,-0.773067,-0.289191,-5.61978,-2.01828,-0.773067,1
