Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.91325,-1.38558,-3.41916,-3.35117,-1.38558,1
1,19,99,-1.88371,-0.220163,-3.41916,-3.35117,-0.220163,1
1,18,99,-2.12999,-0.581556,-3.41916,-3.35117,-0.581556,1
1,17,99,-1.13295,-1.01045,-3.41916,-3.35117,-1.01045,1
1,15,99,-0.86596,-0.980295,-3.41916,-3.35117,-0.980295,0
1,13,99,-1.08419,-0.406517,-3.41916,-3.35117,-0.406517,1
1,12,99,-1.06482,-0.782094,-3.41916,-3.35117,-1.06482,1
1,10,99,-0.380381,0.230966,-3.41916,-3.35117,-0.380381,1
1,9,99,-0.121883,0.40551,-3.41916,-3.35117,0.40551,1
1,7,99,-0.361986,-0.468421,-3.41916,-3.35117,-0.468421,0
1,4,99,0.0402317,0.424444,-3.41916,-3.35117,0.424444,1
1,3,99,-0.220848,0.482587,-3.41916,-3.35117,0.482587,1
1,2,99,-0.421772,0.239077,-3.41916,-3.35117,0.239077,1
1,1,99,-0.210045,-0.77906,-3.41916,-3.35117,-0.77906,0
1,20,98,-1.71036,-1.37295,-3.41916,-3.12829,-1.37295,1
1,19,98,-1.54924,-0.112524,-3.41916,-3.12829,-0.112524,1
1,18,98,-1.98837,-0.572222,-3.41916,-3.12829,-0.572222,1
1,17,98,-0.851219,-0.956391,-3.41916,-3.12829,-0.956391,0
1,15,98,-0.934256,-1.06823,-3.41916,-3.12829,-1.06823,0
1,13,98,-0.817822,-0.382668,-3.41916,-3.12829,-0.817822,1
1,12,98,-0.560866,-0.344918,-3.41916,-3.12829,-0.344918,1
1,9,98,-0.128671,0.666686,-3.41916,-3.12829,0.666686,1
1,7,98,-0.262292,-0.391554,-3.41916,-3.12829,-0.391554,0
1,4,98,0.117817,0.782472,-3.41916,-3.12829,0.782472,1
1,3,98,0.103264,0.738587,-3.41916,-3.12829,0.738587,1
1,2,98,-0.236323,0.527515,-3.41916,-3.12829,0.527515,1
1,1,98,0.01739,-0.722846,-3.41916,-3.12829,-0.722846,0
1,20,97,-1.50281,-1.35474,-3.41916,-2.81209,-1.50281,1
1,19,97,-1.42699,-0.14934,-3.41916,-2.81209,-0.14934,1
1,18,97,-1.41647,-0.493967,-3.41916,-2.81209,-0.493967,1
1,17,97,-0.888317,-0.967701,-3.41916,-2.81209,-0.967701,0
1,15,97,-0.663178,-0.740309,-3.41916,-2.81209,-0.740309,0
1,13,97,-0.550878,-0.254893,-3.41916,-2.81209,-0.254893,1
1,12,97,-0.404156,-0.226548,-3.41916,-2.81209,-0.226548,1
1,7,97,-0.237744,-0.046546,-3.41916,-2.81209,-0.046546,1
1,4,97,0.139327,0.550477,-3.41916,-2.81209,0.550477,1
1,3,97,0.545084,0.629482,-3.41916,-2.81209,0.629482,1
1,2,97,0.275407,0.396771,-3.41916,-2.81209,0.396771,1
1,20,96,-1.35289,-1.08893,-3.41916,-2.99602,-1.08893,1
1,19,96,-1.44238,-0.126775,-3.41916,-2.99602,-0.126775,1
1,18,96,-1.43896,-0.477653,-3.41916,-2.99602,-0.477653,1
1,17,96,-0.573038,-0.81332,-3.41916,-2.99602,-0.81332,0
1,15,96,-0.393275,-0.765358,-3.41916,-2.99602,-0.765358,0
1,13,96,-0.589216,-0.216411,-3.41916,-2.99602,-0.589216,1
1,12,96,-0.185968,-0.186228,-3.41916,-2.99602,-0.186228,0
1,9,96,-0.00972151,0.733728,-3.41916,-2.99602,0.733728,1
1,7,96,-0.325895,-0.17697,-3.41916,-2.99602,-0.17697,1
1,4,96,0.204603,0.746321,-3.41916,-2.99602,0.746321,1
1,3,96,0.319388,0.802706,-3.41916,-2.99602,0.802706,1
1,2,96,0.587563,0.386393,-3.41916,-2.99602,0.386393,0
1,19,95,-1.31391,-0.0384736,-3.41916,-2.85377,-0.0384736,1
1,17,95,-0.64404,-0.811471,-3.41916,-2.85377,-0.811471,0
1,15,95,-0.51243,-0.877709,-3.41916,-2.85377,-0.877709,0
1,13,95,-0.266015,-0.16755,-3.41916,-2.85377,-0.16755,1
1,7,95,-0.293993,-0.286653,-3.41916,-2.85377,-0.286653,1
1,4,95,0.231842,0.625943,-3.41916,-2.85377,0.625943,1
1,2,95,0.595872,0.865514,-3.41916,-2.85377,0.865514,1
1,1,95,0.796693,-0.445132,-3.41916,-2.85377,-0.445132,0
1,19,94,-1.33153,-0.0401585,-3.41916,-2.55553,-0.0401585,1
1,17,94,-0.591895,-0.754867,-3.41916,-2.55553,-0.754867,0
1,15,94,-0.421427,-0.537326,-3.41916,-2.55553,-0.537326,0
1,13,94,-0.164132,-0.125825,-3.41916,-2.55553,-0.125825,1
1,7,94,0.0260317,0.0949868,-3.41916,-2.55553,0.0949868,1
1,4,94,0.351638,0.700381,-3.41916,-2.55553,0.700381,1
1,2,94,0.631211,0.560878,-3.41916,-2.55553,0.560878,0
1,1,94,0.921331,-0.262897,-3.41916,-2.55553,-0.262897,0
1,19,93,-1.4268,-0.104762,-3.41916,-2.51688,-0.104762,1
1,17,93,-0.382675,-0.574151,-3.41916,-2.51688,-0.574151,0
1,15,93,-0.416812,-0.574296,-3.41916,-2.51688,-0.574296,0
1,13,93,-0.192849,-0.285943,-3.41916,-2.51688,-0.285943,0
1,7,93,0.15535,-0.0135371,-3.41916,-2.51688,-0.0135371,0
1,4,93,-0.0142133,0.697757,-3.41916,-2.51688,0.697757,1
1,2,93,0.53583,0.885965,-3.41916,-2.51688,0.885965,1
1,1,93,0.712643,-0.240786,-3.41916,-2.51688,-0.240786,0
1,19,92,-1.42699,-0.107431,-6.43894,-2.39982,-0.107431,1
1,17,92,-0.398459,-0.555602,-6.43894,-2.39982,-0.555602,0
1,15,92,-0.321183,-0.467221,-6.43894,-2.39982,-0.467221,0
1,13,92,-0.13051,-0.169555,-6.43894,-2.39982,-0.169555,0
1,7,92,0.139002,0.138985,-6.43894,-2.39982,0.138985,0
1,4,92,0.336931,0.616092,-6.43894,-2.39982,0.616092,1
1,2,92,0.589742,0.610526,-6.43894,-2.39982,0.610526,1
1,1,92,0.991719,-0.219142,-6.43894,-2.39982,-0.219142,0
1,19,91,-1.35407,-0.050962,-6.29331,-2.45927,-0.050962,1
1,17,91,-0.456122,-0.707485,-6.29331,-2.45927,-0.707485,0
1,15,91,-0.276269,-0.281218,-6.29331,-2.45927,-0.276269,0
1,13,91,-0.142169,-0.00406893,-6.29331,-2.45927,-0.00406893,1
1,7,91,0.322555,0.314481,-6.29331,-2.45927,0.314481,0
1,4,91,0.419479,0.843644,-6.29331,-2.45927,0.843644,1
1,2,91,0.595324,0.590078,-6.29331,-2.45927,0.590078,0
1,1,91,1.01722,-0.0794324,-6.29331,-2.45927,-0.0794324,0
1,19,90,-1.53038,-0.266954,-6.05291,-2.36134,-0.266954,1
1,17,90,-0.723531,-0.934249,-6.05291,-2.36134,-0.934249,0
1,15,90,-0.362517,-0.285571,-6.05291,-2.36134,-0.285571,1
1,13,90,-0.172686,0.128725,-6.05291,-2.36134,0.128725,1
1,7,90,0.358874,0.418898,-6.05291,-2.36134,0.418898,1
1,4,90,0.462354,0.863916,-6.05291,-2.36134,0.863916,1
1,2,90,0.687673,0.813742,-6.05291,-2.36134,0.813742,1
1,1,90,0.776636,-0.21538,-6.05291,-2.36134,-0.21538,0
1,19,89,-1.23575,0.017133,-5.75042,-2.39784,0.017133,1
1,17,89,-0.514446,-0.606816,-5.75042,-2.39784,-0.514446,0
1,15,89,-0.35018,-0.498376,-5.75042,-2.39784,-0.498376,0
1,13,89,0.14235,0.10819,-5.75042,-2.39784,0.10819,0
1,7,89,0.474945,0.427875,-5.75042,-2.39784,0.427875,0
1,4,89,0.451272,0.985225,-5.75042,-2.39784,0.985225,1
1,2,89,0.641477,0.692977,-5.75042,-2.39784,0.692977,1
1,1,89,0.678857,1.04359,-5.75042,-2.39784,1.04359,1
1,19,88,-1.41414,-0.0537113,-5.55605,-2.24038,-1.41414,1
1,17,88,-0.629786,-0.738256,-5.55605,-2.24038,-0.738256,0
1,15,88,-0.618351,-0.558196,-5.55605,-2.24038,-0.558196,1
1,13,88,0.0839052,0.165184,-5.55605,-2.24038,0.165184,1
1,7,88,0.50876,0.513742,-5.55605,-2.24038,0.513742,1
1,4,88,0.694884,0.946918,-5.55605,-2.24038,0.946918,1
1,2,88,0.874937,0.743366,-5.55605,-2.24038,0.743366,0
1,1,88,0.763948,-0.00715606,-5.55605,-2.24038,-0.00715606,0
1,19,87,-1.14449,0.0705861,-5.60239,-2.09737,0.0705861,1
1,17,87,-0.581355,-0.665491,-5.60239,-2.09737,-0.665491,0
1,15,87,-0.470315,-0.29455,-5.60239,-2.09737,-0.29455,1
1,13,87,-0.138435,-0.0683042,-5.60239,-2.09737,-0.0683042,1
1,7,87,0.522916,0.381705,-5.60239,-2.09737,0.381705,0
1,4,87,0.857732,1.17203,-5.60239,-2.09737,1.17203,1
1,2,87,0.848118,0.89768,-5.60239,-2.09737,0.89768,1
1,1,87,1.19487,0.0459216,-5.60239,-2.09737,0.0459216,0
1,19,86,-0.99461,0.122446,-5.61978,-2.01828,0.122446,1
1,17,86,-0.481062,-0.594244,-5.61978,-2.01828,-0.481062,0
1,15,86,-0.596002,-0.452876,-5.61978,-2.01828,-0.452876,1
1,13,86,-0.316325,-0.238156,-5.61978,-2.01828,-0.316325,1
1,7,86,0.573341,0.527199,-5.61978,-2.01828,0.527199,0
1,4,86,0.9696,1.01259,-5.61978,-2.01828,1.01259,1
1,2,86,1.02261,1.08304,-5.61978,-2.01828,1.08304,1
1,1,86,0.865501,0.108024,-5.61978,-2.01828,0.108024,0
1,19,85,-0.389435,-0.67539,-5.14185,-2.10808,-0.67539,0
1,17,85,-0.7393,-0.743164,-5.14185,-2.10808,-0.743164,0
1,15,85,-0.652887,0.25068,-5.14185,-2.10808,0.25068,1
1,13,85,-0.0671093,0.526769,-5.14185,-2.10808,0.526769,1
1,7,85,0.247736,-0.10919,-5.14185,-2.10808,-0.10919,0
1,4,85,1.09846,0.469918,-5.14185,-2.10808,0.469918,0
1,2,85,1.20078,0.259299,-5.14185,-2.10808,0.259299,0
1,1,85,1.13571,1.33109,-5.14185,-2.10808,1.33109,1
1,19,84,-0.394374,-0.633559,-5.35927,-2.00544,-0.633559,0
1,17,84,-0.637694,-0.695383,-5.35927,-2.00544,-0.695383,0
1,15,84,-0.588971,-0.0475976,-5.35927,-2.00544,-0.0475976,1
1,13,84,-0.22211,0.347424,-5.35927,-2.00544,0.347424,1
1,7,84,0.262272,-0.025857,-5.35927,-2.00544,-0.025857,0
1,4,84,1.22497,0.573834,-5.35927,-2.00544,0.573834,0
1,2,84,1.14866,0.317657,-5.35927,-2.00544,0.317657,0
1,1,84,0.997251,1.34947,-5.35927,-2.00544,1.34947,1
1,19,83,-0.1499,-0.439846,-5.22327,-1.89942,-0.1499,0
1,17,83,-0.651736,-0.672742,-5.22327,-1.89942,-0.672742,0
1,15,83,-0.352444,0.0779198,-5.22327,-1.89942,0.0779198,1
1,13,83,-0.185425,0.494633,-5.22327,-1.89942,0.494633,1
1,7,83,0.515044,0.0367816,-5.22327,-1.89942,0.0367816,0
1,4,83,1.28883,0.65833,-5.22327,-1.89942,0.65833,0
