Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-0.824048,3.94591,-1000,-3.35117,3.94591,1
1,19,99,0.321911,5.9746,-1000,-3.35117,5.9746,1
1,18,99,1.19447,5.8081,-1000,-3.35117,5.8081,1
1,17,99,-3.41916,3.38229,-1000,-3.35117,3.38229,1
1,15,99,3.32024,3.45745,-1000,-3.35117,3.45745,1
1,13,99,-1.28428,3.40564,-1000,-3.35117,3.40564,1
1,12,99,4.70722,2.32662,-1000,-3.35117,4.70722,0
1,10,99,4.44261,5.96103,-1000,-3.35117,5.96103,1
1,9,99,4.5582,3.5403,-1000,-3.35117,4.5582,0
1,7,99,3.70063,4.83083,-1000,-3.35117,4.83083,1
1,4,99,5.89397,5.86538,-1000,-3.35117,5.89397,0
1,3,99,5.8785,5.88436,-1000,-3.35117,5.88436,1
1,2,99,5.95434,5.91349,-1000,-3.35117,5.95434,0
1,1,99,5.93643,5.93643,-1000,-3.35117,5.93643,0
2,20,99,-2.34982,3.94591,-1000,-3.35117,3.94591,1
2,18,99,1.69083,3.82602,-1000,-3.35117,3.82602,1
2,17,99,-0.296927,1.8367,-1000,-3.35117,1.8367,1
2,16,99,3.90659,-2.77425,-1000,-3.35117,3.90659,0
2,15,99,-2.2476,-0.370772,-1000,-3.35117,-0.370772,1
2,13,99,1.75912,5.80021,-1000,-3.35117,5.80021,1
2,10,99,5.82871,-0.194808,-1000,-3.35117,5.82871,0
2,8,99,5.52574,-2.76406,-1000,-3.35117,5.52574,0
2,7,99,3.70063,1.32275,-1000,-3.35117,3.70063,0
2,4,99,5.71128,5.93054,-1000,-3.35117,5.93054,1
2,3,99,5.87366,5.88436,-1000,-3.35117,5.88436,1
2,2,99,5.23016,5.95434,-1000,-3.35117,5.95434,1
2,1,99,5.93643,5.9114,-1000,-3.35117,5.93643,0
3,20,99,-2.36134,-2.95335,-1000,-3.35117,-2.36134,0
3,16,99,1.77055,-2.93402,-1000,-3.35117,1.77055,0
3,15,99,-2.79577,-2.36134,-1000,-3.35117,-2.36134,1
3,13,99,-2.52623,1.35675,-1000,-3.35117,1.35675,1
3,11,99,-3.35117,-2.48807,-1000,-3.35117,-2.48807,1
3,10,99,-2.45927,1.79692,-1000,-3.35117,1.79692,1
3,9,99,-2.85377,1.18116,-1000,-3.35117,1.18116,1
3,8,99,-2.85377,-2.76406,-1000,-3.35117,-2.76406,1
3,5,99,-2.85377,5.91656,-1000,-3.35117,5.91656,1
3,4,99,-3.08163,5.54378,-1000,-3.35117,5.54378,1
3,2,99,5.87022,-3.35117,-1000,-3.35117,5.87022,0
3,1,99,5.75814,1.22846,-1000,-3.35117,5.75814,0
4,17,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,16,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,15,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,14,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,13,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,12,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,9,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,8,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,7,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,5,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,3,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,1,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
1,20,98,-0.797781,3.90444,-1000,-3.12829,3.90444,1
1,19,98,0.276049,3.9944,-1000,-3.12829,3.9944,1
1,18,98,1.24215,5.90347,-1000,-3.12829,5.90347,1
1,17,98,-3.41916,3.41514,-1000,-3.12829,3.41514,1
1,15,98,3.72417,3.39629,-1000,-3.12829,3.72417,0
1,13,98,-1.22796,3.45744,-1000,-3.12829,3.45744,1
1,12,98,4.52571,3.29629,-1000,-3.12829,4.52571,0
1,10,98,4.55944,5.89056,-1000,-3.12829,5.89056,1
1,9,98,4.60168,3.20816,-1000,-3.12829,4.60168,0
1,7,98,3.44691,4.66267,-1000,-3.12829,4.66267,1
1,4,98,5.90266,5.99961,-1000,-3.12829,5.99961,1
1,3,98,5.95488,5.92747,-1000,-3.12829,5.95488,0
1,2,98,5.89609,5.93919,-1000,-3.12829,5.93919,1
1,1,98,5.85624,5.85624,-1000,-3.12829,5.85624,0
2,20,98,-2.22935,3.90444,-1000,-3.12829,3.90444,1
2,18,98,1.67441,4.06298,-1000,-3.12829,4.06298,1
2,17,98,-0.203269,1.90133,-1000,-3.12829,1.90133,1
2,16,98,3.86053,-2.76094,-1000,-3.12829,3.86053,0
2,15,98,-2.12933,-0.321635,-1000,-3.12829,-0.321635,1
2,13,98,1.88907,6.09335,-1000,-3.12829,6.09335,1
2,10,98,5.71646,0.377118,-1000,-3.12829,5.71646,0
2,7,98,3.44691,1.19539,-1000,-3.12829,3.44691,0
2,4,98,5.87758,5.90587,-1000,-3.12829,5.90587,1
2,3,98,5.92747,5.63638,-1000,-3.12829,5.92747,0
2,2,98,5.89609,5.87878,-1000,-3.12829,5.89609,0
