Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.36087,-1.01674,-3.41916,-3.35117,-1.01674,1
1,19,99,-2.72077,-1.01596,-3.41916,-3.35117,-1.01596,1
1,18,99,-2.22185,-0.567801,-3.41916,-3.35117,-0.567801,1
1,17,99,-1.57096,-0.887163,-3.41916,-3.35117,-0.887163,1
1,15,99,-1.08759,-1.277,-3.41916,-3.35117,-1.277,0
1,13,99,-1.25494,-1.04236,-3.41916,-3.35117,-1.04236,1
1,12,99,-0.882032,-0.866038,-3.41916,-3.35117,-0.882032,1
1,10,99,-0.83957,-0.76891,-3.41916,-3.35117,-0.83957,1
1,9,99,-0.29242,-0.315547,-3.41916,-3.35117,-0.315547,0
1,7,99,-0.699838,-0.67979,-3.41916,-3.35117,-0.67979,1
1,4,99,-0.556915,-0.348165,-3.41916,-3.35117,-0.348165,1
1,3,99,-0.360783,-0.119331,-3.41916,-3.35117,-0.119331,1
1,2,99,-0.44895,-0.329232,-3.41916,-3.35117,-0.329232,1
1,1,99,-0.814073,-0.966501,-3.41916,-3.35117,-0.966501,0
1,20,98,-2.20021,-1.15243,-3.41916,-3.12829,-1.15243,1
1,19,98,-2.37587,-0.799628,-3.41916,-3.12829,-0.799628,1
1,18,98,-2.16448,-0.815743,-3.41916,-3.12829,-0.815743,1
1,17,98,-1.27392,-0.872213,-3.41916,-3.12829,-0.872213,1
1,15,98,-0.801328,-1.08179,-3.41916,-3.12829,-1.08179,0
1,13,98,-0.938565,-1.09151,-3.41916,-3.12829,-0.938565,0
1,12,98,-0.590188,-0.624691,-3.41916,-3.12829,-0.624691,0
1,9,98,-0.210785,-0.174281,-3.41916,-3.12829,-0.174281,1
1,7,98,-0.621561,-0.580156,-3.41916,-3.12829,-0.580156,1
1,4,98,-0.453372,-0.213725,-3.41916,-3.12829,-0.213725,1
1,3,98,-0.247785,0.0476472,-3.41916,-3.12829,0.0476472,1
1,2,98,-0.380469,-0.121013,-3.41916,-3.12829,-0.121013,1
1,1,98,-0.827853,-0.858071,-3.41916,-3.12829,-0.858071,0
1,20,97,-1.99553,-1.14048,-3.41916,-2.81209,-1.99553,1
1,19,97,-2.02058,-0.81607,-3.41916,-2.81209,-0.81607,1
1,18,97,-1.74902,-0.52823,-3.41916,-2.81209,-0.52823,1
1,17,97,-1.29209,-1.00829,-3.41916,-2.81209,-1.00829,1
1,15,97,-0.732059,-1.06691,-3.41916,-2.81209,-1.06691,0
1,13,97,-0.791823,-0.915492,-3.41916,-2.81209,-0.915492,0
1,12,97,-0.569983,-0.547355,-3.41916,-2.81209,-0.547355,1
1,7,97,-0.376027,-0.43154,-3.41916,-2.81209,-0.43154,0
1,4,97,-0.43779,-0.171807,-3.41916,-2.81209,-0.171807,1
1,3,97,-0.264036,-0.0147078,-3.41916,-2.81209,-0.0147078,1
1,2,97,-0.264269,-0.196598,-3.41916,-2.81209,-0.196598,1
1,20,96,-1.77559,-0.823169,-3.41916,-2.99602,-0.823169,1
1,19,96,-1.97216,-0.941504,-3.41916,-2.99602,-0.941504,1
