Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.80726,0.918557,-1000,-3.35117,0.918557,1
1,19,99,-3.41916,6.68267,-1000,-3.35117,6.68267,1
1,18,99,6.31002,6.31002,-1000,-3.35117,6.31002,0
1,17,99,1.17049,4.45348,-1000,-3.35117,4.45348,1
1,15,99,1.10758,2.94365,-1000,-3.35117,2.94365,1
1,13,99,0.0408651,1.24345,-1000,-3.35117,1.24345,1
1,12,99,3.66352,6.68646,-1000,-3.35117,6.68646,1
1,10,99,4.45156,5.82376,-1000,-3.35117,5.82376,1
1,9,99,4.35538,4.33672,-1000,-3.35117,4.35538,0
1,7,99,4.08375,4.18988,-1000,-3.35117,4.18988,1
1,4,99,3.58087,3.58087,-1000,-3.35117,3.58087,0
1,3,99,6.71099,6.71099,-1000,-3.35117,6.71099,0
1,2,99,6.57805,6.57805,-1000,-3.35117,6.57805,0
1,1,99,6.57805,6.57805,-1000,-3.35117,6.57805,0
2,20,99,-1.81216,-0.195354,-1000,-3.35117,-0.195354,1
2,18,99,1.08571,-2.60755,-1000,-3.35117,1.08571,0
2,17,99,2.21266,-2.36764,-1000,-3.35117,2.21266,0
2,16,99,1.06419,1.29222,-1000,-3.35117,1.29222,1
2,15,99,-0.326082,1.03051,-1000,-3.35117,1.03051,1
2,13,99,1.24345,0.716711,-1000,-3.35117,1.24345,0
2,10,99,1.9108,4.92551,-1000,-3.35117,4.92551,1
2,8,99,3.48055,4.24752,-1000,-3.35117,4.24752,1
2,7,99,4.18453,4.18988,-1000,-3.35117,4.18988,1
2,4,99,3.34612,3.58087,-1000,-3.35117,3.58087,1
2,3,99,3.03348,6.71099,-1000,-3.35117,6.71099,1
2,2,99,6.57805,4.94646,-1000,-3.35117,6.57805,0
2,1,99,6.57805,5.80337,-1000,-3.35117,6.57805,0
3,20,99,-2.69792,-2.95335,-1000,-3.35117,-2.69792,0
3,16,99,-3.35117,-2.2486,-1000,-3.35117,-2.2486,1
3,15,99,-2.79577,-4.32732,-1000,-3.35117,-2.79577,0
3,13,99,-2.24038,1.66697,-1000,-3.35117,1.66697,1
3,11,99,-2.45927,-2.39784,-1000,-3.35117,-2.39784,1
