Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.1923,-0.913564,-3.41916,-3.35117,-0.913564,1
1,19,99,-2.73699,-0.48146,-3.41916,-3.35117,-0.48146,1
1,18,99,-2.27431,-0.441814,-3.41916,-3.35117,-0.441814,1
1,17,99,-1.3576,-1.90412,-3.41916,-3.35117,-1.90412,0
1,15,99,-1.15284,-0.92097,-3.41916,-3.35117,-0.92097,1
1,13,99,-1.63904,-0.884936,-3.41916,-3.35117,-0.884936,1
1,12,99,-1.37201,-1.21691,-3.41916,-3.35117,-1.37201,1
1,10,99,-0.591918,-0.291815,-3.41916,-3.35117,-0.291815,1
1,9,99,-0.783,-0.154823,-3.41916,-3.35117,-0.154823,1
1,7,99,-0.86326,-0.0358477,-3.41916,-3.35117,-0.0358477,1
1,4,99,-0.179197,0.06339,-3.41916,-3.35117,0.06339,1
1,3,99,-0.201245,0.0211394,-3.41916,-3.35117,0.0211394,1
1,2,99,-0.351221,-0.398483,-3.41916,-3.35117,-0.398483,0
1,1,99,-1.85212,-0.920338,-3.41916,-3.35117,-0.920338,1
1,20,98,-2.17234,-1.15156,-3.41916,-3.12829,-1.15156,1
1,19,98,-2.49707,-0.25782,-3.41916,-3.12829,-0.25782,1
1,18,98,-1.85085,-0.383842,-3.41916,-3.12829,-0.383842,1
1,17,98,-1.17445,-1.84307,-3.41916,-3.12829,-1.84307,0
1,15,98,-0.948845,-0.898957,-3.41916,-3.12829,-0.898957,1
1,13,98,-1.07843,-1.31142,-3.41916,-3.12829,-1.07843,0
1,12,98,-1.02648,-0.864711,-3.41916,-3.12829,-0.864711,1
1,9,98,-0.731232,-0.0601272,-3.41916,-3.12829,-0.0601272,1
1,7,98,-0.489149,0.0484903,-3.41916,-3.12829,0.0484903,1
1,4,98,-0.264996,0.191035,-3.41916,-3.12829,0.191035,1
1,3,98,-0.210541,0.170123,-3.41916,-3.12829,0.170123,1
1,2,98,-0.271313,-0.373659,-3.41916,-3.12829,-0.373659,0
1,1,98,-1.78535,-0.703723,-3.41916,-3.12829,-0.703723,1
1,20,97,-1.98391,-1.04361,-3.41916,-2.81209,-1.98391,1
1,19,97,-2.07388,-0.646202,-3.41916,-2.81209,-0.646202,1
1,18,97,-2.01876,-0.340297,-3.41916,-2.81209,-0.340297,1
1,17,97,-1.24963,-1.64395,-3.41916,-2.81209,-1.64395,0
1,15,97,-0.797603,-0.696189,-3.41916,-2.81209,-0.696189,1
1,13,97,-0.986856,-0.783116,-3.41916,-2.81209,-0.783116,1
1,12,97,-1.04276,-0.877471,-3.41916,-2.81209,-0.877471,1
1,7,97,-0.436298,0.112081,-3.41916,-2.81209,0.112081,1
1,4,97,-0.133133,0.0914685,-3.41916,-2.81209,0.0914685,1
1,3,97,-0.161342,0.161073,-3.41916,-2.81209,0.161073,1
1,2,97,-0.208393,-0.214862,-3.41916,-2.81209,-0.214862,0
1,20,96,-1.61975,-0.78869,-3.41916,-2.99602,-0.78869,1
1,19,96,-1.97463,-0.366654,-3.41916,-2.99602,-0.366654,1
1,18,96,-2.00963,-0.591726,-3.41916,-2.99602,-0.591726,1
1,17,96,-0.86624,-1.60952,-3.41916,-2.99602,-1.60952,0
1,15,96,-0.702858,-0.800583,-3.41916,-2.99602,-0.800583,0
1,13,96,-0.83743,-0.976616,-3.41916,-2.99602,-0.83743,0
1,12,96,-1.01301,-0.701283,-3.41916,-2.99602,-0.701283,1
1,9,96,-0.43266,0.0568679,-3.41916,-2.99602,0.0568679,1
1,7,96,-0.279243,0.136001,-3.41916,-2.99602,0.136001,1
1,4,96,0.0470316,0.280976,-3.41916,-2.99602,0.280976,1
1,3,96,-0.00664467,0.145096,-3.41916,-2.99602,0.145096,1
1,2,96,-0.111098,-0.148424,-3.41916,-2.99602,-0.148424,0
1,19,95,-1.84719,-0.151939,-3.41916,-2.85377,-0.151939,1
1,17,95,-1.2697,-1.77819,-3.41916,-2.85377,-1.77819,0
1,15,95,-0.671193,-1.13915,-3.41916,-2.85377,-1.13915,0
1,13,95,-0.549654,-0.644863,-3.41916,-2.85377,-0.644863,0
1,7,95,-0.0112408,0.323776,-3.41916,-2.85377,0.323776,1
1,4,95,-0.0642987,0.29474,-3.41916,-2.85377,0.29474,1
1,2,95,-0.0595955,-0.193861,-3.41916,-2.85377,-0.193861,0
1,1,95,-0.0974522,-0.521005,-3.41916,-2.85377,-0.521005,0
1,19,94,-1.64165,-0.0698873,-3.41916,-2.55553,-0.0698873,1
1,17,94,-1.05765,-1.52803,-3.41916,-2.55553,-1.52803,0
1,15,94,-0.613337,-0.605265,-3.41916,-2.55553,-0.605265,1
1,13,94,-0.523978,-0.735215,-3.41916,-2.55553,-0.735215,0
1,7,94,-0.16786,0.239153,-3.41916,-2.55553,0.239153,1
1,4,94,0.0214817,0.30842,-3.41916,-2.55553,0.30842,1
1,2,94,-0.0373145,-0.10335,-3.41916,-2.55553,-0.10335,0
1,1,94,-0.176151,-0.367605,-3.41916,-2.55553,-0.367605,0
1,19,93,-1.67532,-0.0848995,-3.41916,-2.51688,-0.0848995,1
1,17,93,-0.772273,-1.34002,-3.41916,-2.51688,-1.34002,0
1,15,93,-1.01257,-0.782539,-3.41916,-2.51688,-0.782539,1
1,13,93,-0.848255,-0.790996,-3.41916,-2.51688,-0.790996,1
1,7,93,-0.080327,0.292542,-3.41916,-2.51688,0.292542,1
1,4,93,0.116657,0.395343,-3.41916,-2.51688,0.395343,1
1,2,93,0.0591343,0.00817063,-3.41916,-2.51688,0.00817063,0
1,1,93,-0.0346476,-0.430972,-3.41916,-2.51688,-0.430972,0
1,19,92,-1.73211,-0.171589,-6.43894,-2.39982,-0.171589,1
1,17,92,-0.662349,-1.25887,-6.43894,-2.39982,-1.25887,0
1,15,92,-0.578099,-0.709512,-6.43894,-2.39982,-0.709512,0
1,13,92,-0.347253,-0.668633,-6.43894,-2.39982,-0.668633,0
1,7,92,0.0151273,0.30064,-6.43894,-2.39982,0.30064,1
1,4,92,0.323107,0.337749,-6.43894,-2.39982,0.337749,1
1,2,92,0.0796189,0.000960338,-6.43894,-2.39982,0.000960338,0
1,1,92,0.127822,-0.441636,-6.43894,-2.39982,-0.441636,0
1,19,91,-1.61579,-0.0429874,-6.29331,-2.45927,-0.0429874,1
1,17,91,-0.876158,-1.41056,-6.29331,-2.45927,-1.41056,0
1,15,91,-0.394056,-0.339911,-6.29331,-2.45927,-0.394056,1
1,13,91,-0.686305,-0.776894,-6.29331,-2.45927,-0.776894,0
1,7,91,0.0542518,0.547323,-6.29331,-2.45927,0.547323,1
1,4,91,0.231537,0.483523,-6.29331,-2.45927,0.483523,1
1,2,91,0.134798,0.206026,-6.29331,-2.45927,0.206026,1
1,1,91,-0.0152359,-0.219939,-6.29331,-2.45927,-0.219939,0
1,19,90,-1.60887,-0.141584,-6.05291,-2.36134,-0.141584,1
1,17,90,-0.869761,-1.427,-6.05291,-2.36134,-1.427,0
1,15,90,-0.25259,-0.330593,-6.05291,-2.36134,-0.330593,0
1,13,90,-0.517688,-0.628513,-6.05291,-2.36134,-0.628513,0
1,7,90,0.161437,0.787156,-6.05291,-2.36134,0.787156,1
1,4,90,0.141736,0.492613,-6.05291,-2.36134,0.492613,1
1,2,90,0.518165,0.253952,-6.05291,-2.36134,0.253952,0
1,1,90,0.199192,-0.244867,-6.05291,-2.36134,-0.244867,0
1,19,89,-1.79055,-0.189976,-5.75042,-2.39784,-0.189976,1
1,17,89,-0.8743,-1.22012,-5.75042,-2.39784,-0.8743,0
1,15,89,-0.303351,-0.485187,-5.75042,-2.39784,-0.485187,0
1,13,89,-0.107842,-0.446965,-5.75042,-2.39784,-0.446965,0
1,7,89,0.322589,0.82016,-5.75042,-2.39784,0.82016,1
1,4,89,0.117438,0.456032,-5.75042,-2.39784,0.456032,1
1,2,89,0.246545,0.176541,-5.75042,-2.39784,0.176541,0
1,1,89,0.359162,0.556614,-5.75042,-2.39784,0.556614,1
1,19,88,-1.5738,0.195295,-5.55605,-2.24038,-1.5738,1
1,17,88,-1.01532,-1.343,-5.55605,-2.24038,-1.343,0
1,15,88,-0.371873,-0.261987,-5.55605,-2.24038,-0.261987,1
1,13,88,-0.10604,-0.46032,-5.55605,-2.24038,-0.46032,0
1,7,88,0.36456,0.734861,-5.55605,-2.24038,0.734861,1
1,4,88,0.332154,0.581007,-5.55605,-2.24038,0.581007,1
1,2,88,0.249689,0.425397,-5.55605,-2.24038,0.425397,1
1,1,88,0.284867,-0.106451,-5.55605,-2.24038,-0.106451,0
1,19,87,-1.27632,0.227495,-5.60239,-2.09737,0.227495,1
1,17,87,-1.25699,-1.32959,-5.60239,-2.09737,-1.32959,0
1,15,87,-0.317551,-0.0376868,-5.60239,-2.09737,-0.0376868,1
1,13,87,-0.279389,-0.519444,-5.60239,-2.09737,-0.519444,0
1,7,87,0.359531,0.872113,-5.60239,-2.09737,0.872113,1
1,4,87,0.624386,0.433945,-5.60239,-2.09737,0.433945,0
1,2,87,0.33564,0.269467,-5.60239,-2.09737,0.269467,0
1,1,87,0.227004,-0.0343075,-5.60239,-2.09737,-0.0343075,0
1,19,86,-1.22755,0.158136,-5.61978,-2.01828,0.158136,1
1,17,86,-0.741056,-0.996987,-5.61978,-2.01828,-0.741056,0
1,15,86,-0.285227,-0.379467,-5.61978,-2.01828,-0.379467,0
1,13,86,-0.190766,-0.441559,-5.61978,-2.01828,-0.190766,0
1,7,86,0.709182,0.994814,-5.61978,-2.01828,0.994814,1
1,4,86,0.67337,0.683775,-5.61978,-2.01828,0.683775,1
1,2,86,0.589112,0.293669,-5.61978,-2.01828,0.293669,0
1,1,86,-0.143344,-0.0080806,-5.61978,-2.01828,-0.0080806,1
1,19,85,0.5475,-0.295691,-5.14185,-2.10808,-0.295691,0
1,17,85,-0.146265,-0.168927,-5.14185,-2.10808,-0.168927,0
1,15,85,-0.454475,-0.498842,-5.14185,-2.10808,-0.498842,0
1,13,85,0.00862403,0.368502,-5.14185,-2.10808,0.368502,1
1,7,85,0.520925,0.586473,-5.14185,-2.10808,0.586473,1
1,4,85,0.660097,0.174258,-5.14185,-2.10808,0.174258,0
1,2,85,0.812916,0.748626,-5.14185,-2.10808,0.748626,0
1,1,85,0.673745,1.11258,-5.14185,-2.10808,1.11258,1
1,19,84,0.530759,-0.35228,-5.35927,-2.00544,-0.35228,0
1,17,84,-0.217515,-0.216067,-5.35927,-2.00544,-0.216067,1
1,15,84,0.0964446,0.208146,-5.35927,-2.00544,0.208146,1
1,13,84,-0.0364763,-0.0673103,-5.35927,-2.00544,-0.0673103,0
1,7,84,0.565055,0.441832,-5.35927,-2.00544,0.441832,0
1,4,84,0.68121,0.164506,-5.35927,-2.00544,0.164506,0
1,2,84,0.763261,0.595308,-5.35927,-2.00544,0.595308,0
1,1,84,0.612256,1.01801,-5.35927,-2.00544,1.01801,1
1,19,83,0.748515,-0.0197114,-5.22327,-1.89942,0.748515,0
1,17,83,-0.133862,-0.0568479,-5.22327,-1.89942,-0.0568479,1
1,15,83,0.16872,0.265406,-5.22327,-1.89942,0.265406,1
1,13,83,-0.0192975,-0.361841,-5.22327,-1.89942,-0.361841,0
1,7,83,0.915617,0.755885,-5.22327,-1.89942,0.755885,0
1,4,83,0.92323,-0.229887,-5.22327,-1.89942,-0.229887,0
1,2,83,0.937667,0.613027,-5.22327,-1.89942,0.613027,0
1,1,83,0.492984,1.34006,-5.22327,-1.89942,1.34006,1
1,19,82,0.0523815,-0.380199,-5.04662,-1.89873,-0.380199,0
1,17,82,-0.139214,-0.287133,-5.04662,-1.89873,-0.139214,0
1,15,82,0.0728535,0.0599185,-5.04662,-1.89873,0.0599185,0
1,13,82,0.273135,0.414146,-5.04662,-1.89873,0.414146,1
1,9,82,0.958336,-0.251969,-5.04662,-1.89873,-0.251969,0
1,7,82,0.816051,0.710899,-5.04662,-1.89873,0.710899,0
1,4,82,0.824601,0.119342,-5.04662,-1.89873,0.119342,0
1,2,82,1.09601,0.674507,-5.04662,-1.89873,0.674507,0
1,1,82,0.745845,1.45766,-5.04662,-1.89873,1.45766,1
1,19,81,0.0404023,-0.200618,-4.70389,-1.77463,-0.200618,0
1,17,81,0.104778,0.0604636,-4.70389,-1.77463,0.0604636,0
1,15,81,0.205794,0.270594,-4.70389,-1.77463,0.270594,1
1,13,81,0.314464,0.394872,-4.70389,-1.77463,0.394872,1
1,7,81,0.921315,0.771103,-4.70389,-1.77463,0.771103,0
1,4,81,0.858086,0.380419,-4.70389,-1.77463,0.380419,0
1,2,81,1.1707,1.12572,-4.70389,-1.77463,1.12572,0
1,1,81,0.754563,1.60486,-4.70389,-1.77463,1.60486,1
1,19,80,0.415242,0.141324,-4.82344,-1.66435,0.141324,0
1,17,80,-0.216117,-0.250839,-4.82344,-1.66435,-0.250839,0
1,15,80,0.29461,0.0510264,-4.82344,-1.66435,0.0510264,0
1,13,80,0.140241,0.165674,-4.82344,-1.66435,0.165674,1
1,7,80,0.989629,0.838348,-4.82344,-1.66435,0.838348,0
1,4,80,1.07355,0.487701,-4.82344,-1.66435,0.487701,0
1,2,80,0.947514,0.917068,-4.82344,-1.66435,0.917068,0
1,1,80,0.86757,1.67179,-4.82344,-1.66435,1.67179,1
1,19,79,0.646864,-0.0204742,-4.30456,-1.7295,-0.0204742,0
1,17,79,-0.0986366,-0.106801,-4.30456,-1.7295,-0.106801,0
1,15,79,0.523853,0.580005,-4.30456,-1.7295,0.580005,1
1,13,79,0.286684,0.408434,-4.30456,-1.7295,0.408434,1
1,9,79,0.0339934,-0.727137,-4.30456,-1.7295,-0.727137,0
