Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,2.33573,2.33573,-1000,-3.35117,2.33573,0
1,19,99,-1.00318,0.584339,-1000,-3.35117,0.584339,1
1,18,99,-0.886797,5.46703,-1000,-3.35117,5.46703,1
1,17,99,-1.15097,3.11456,-1000,-3.35117,3.11456,1
1,15,99,3.84226,0.21068,-1000,-3.35117,3.84226,0
1,13,99,-1.17304,0.870457,-1000,-3.35117,0.870457,1
1,12,99,5.02579,-0.826916,-1000,-3.35117,5.02579,0
1,10,99,2.01335,5.46913,-1000,-3.35117,5.46913,1
1,9,99,3.65143,1.00722,-1000,-3.35117,3.65143,0
1,7,99,4.57854,6.44121,-1000,-3.35117,6.44121,1
1,4,99,6.10976,5.8378,-1000,-3.35117,6.10976,0
1,3,99,6.32113,6.31022,-1000,-3.35117,6.32113,0
1,2,99,1.42514,1.42514,-1000,-3.35117,1.42514,0
1,1,99,5.96799,6.04848,-1000,-3.35117,6.04848,1
2,20,99,2.33573,-2.22715,-1000,-3.35117,2.33573,0
2,18,99,-2.52623,2.49239,-1000,-3.35117,2.49239,1
2,17,99,-2.41518,-2.40651,-1000,-3.35117,-2.40651,1
2,16,99,-2.5074,-3.13771,-1000,-3.35117,-2.5074,0
2,15,99,-2.62752,-3.02298,-1000,-3.35117,-2.62752,0
2,13,99,1.07309,-0.319593,-1000,-3.35117,1.07309,0
2,10,99,-3.01256,4.09489,-1000,-3.35117,4.09489,1
2,8,99,-0.956695,3.4427,-1000,-3.35117,3.4427,1
2,7,99,2.71588,1.94025,-1000,-3.35117,2.71588,0
2,4,99,-0.864966,5.78811,-1000,-3.35117,5.78811,1
2,3,99,5.78675,6.31022,-1000,-3.35117,6.31022,1
2,2,99,1.42514,1.14407,-1000,-3.35117,1.42514,0
2,1,99,-3.41916,6.04848,-1000,-3.35117,6.04848,1
3,20,99,-2.55205,-3.17359,-1000,-3.35117,-2.55205,0
3,16,99,-2.85625,-4.35522,-1000,-3.35117,-2.85625,0
3,15,99,-2.79577,-4.00204,-1000,-3.35117,-2.79577,0
3,13,99,-3.38516,1.81925,-1000,-3.35117,1.81925,1
3,11,99,-2.85377,-3.35117,-1000,-3.35117,-2.85377,0
3,10,99,-3.38516,6.4455,-1000,-3.35117,6.4455,1
3,9,99,-2.85377,-3.10247,-1000,-3.35117,-2.85377,0
3,8,99,-3.10247,-2.95335,-1000,-3.35117,-2.95335,1
3,5,99,-3.38516,1.42004,-1000,-3.35117,1.42004,1
3,4,99,-3.35117,-3.17359,-1000,-3.35117,-3.17359,1
3,2,99,1.14407,-3.35117,-1000,-3.35117,1.14407,0
3,1,99,1.21779,-3.35117,-1000,-3.35117,1.21779,0
4,17,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,16,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,15,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,14,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,13,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,12,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,9,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,8,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,7,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,5,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,3,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,1,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
1,20,98,2.25307,2.25307,-1000,-3.12829,2.25307,0
1,19,98,-0.686499,0.582333,-1000,-3.12829,0.582333,1
1,18,98,-0.896777,5.48141,-1000,-3.12829,5.48141,1
1,17,98,-0.886797,3.23558,-1000,-3.12829,3.23558,1
1,15,98,4.12415,0.575287,-1000,-3.12829,4.12415,0
1,13,98,-1.10468,1.24612,-1000,-3.12829,1.24612,1
1,12,98,4.62924,0.956944,-1000,-3.12829,4.62924,0
1,10,98,2.09863,5.53037,-1000,-3.12829,5.53037,1
1,9,98,3.71925,1.08317,-1000,-3.12829,3.71925,0
1,7,98,4.55647,6.33204,-1000,-3.12829,6.33204,1
1,4,98,6.02809,5.80929,-1000,-3.12829,6.02809,0
1,3,98,6.30074,6.33204,-1000,-3.12829,6.33204,1
1,2,98,1.42004,1.42004,-1000,-3.12829,1.42004,0
1,1,98,5.92146,6.05618,-1000,-3.12829,6.05618,1
2,20,98,2.25307,-2.21994,-1000,-3.12829,2.25307,0
2,18,98,-2.54669,2.48922,-1000,-3.12829,2.48922,1
2,17,98,-1.47633,-1.85836,-1000,-3.12829,-1.47633,0
2,16,98,-2.43911,-3.09111,-1000,-3.12829,-2.43911,0
2,15,98,-2.48708,-2.96328,-1000,-3.12829,-2.48708,0
2,13,98,1.20981,-0.278288,-1000,-3.12829,1.20981,0
2,10,98,-1.34896,4.20144,-1000,-3.12829,4.20144,1
2,7,98,2.7809,2.0611,-1000,-3.12829,2.7809,0
2,4,98,-0.631403,5.83183,-1000,-3.12829,5.83183,1
2,3,98,5.78032,6.33204,-1000,-3.12829,6.33204,1
2,2,98,1.42004,1.3796,-1000,-3.12829,1.42004,0
2,1,98,-3.41916,6.05618,-1000,-3.12829,6.05618,1
3,20,98,-2.4296,-2.99103,-1000,-3.12829,-2.4296,0
3,16,98,-2.76306,-4.17578,-1000,-3.12829,-2.76306,0
3,15,98,-2.61283,-3.90173,-1000,-3.12829,-2.61283,0
3,13,98,-1.56415,1.82205,-1000,-3.12829,1.82205,1
3,11,98,-2.55553,-3.12829,-1000,-3.12829,-2.55553,0
3,10,98,-1.56415,6.54611,-1000,-3.12829,6.54611,1
3,9,98,-2.55553,-2.84191,-1000,-3.12829,-2.55553,0
3,8,98,-2.84191,-2.82258,-1000,-3.12829,-2.82258,1
3,5,98,-1.56415,1.51103,-1000,-3.12829,1.51103,1
3,4,98,-3.12829,-2.99103,-1000,-3.12829,-2.99103,1
3,2,98,1.3796,-3.12829,-1000,-3.12829,1.3796,0
3,1,98,1.32601,-3.12829,-1000,-3.12829,1.32601,0
4,17,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,16,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,15,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,14,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,13,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,12,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,9,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,8,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,7,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,5,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,3,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,1,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
1,20,97,2.42531,2.42531,-1000,-2.81209,2.42531,0
1,19,97,-0.683075,0.8086,-1000,-2.81209,0.8086,1
1,18,97,-0.527021,5.52353,-1000,-2.81209,5.52353,1
1,17,97,-0.896777,3.30525,-1000,-2.81209,3.30525,1
1,15,97,4.37366,1.2616,-1000,-2.81209,4.37366,0
1,13,97,0.647722,1.25931,-1000,-2.81209,1.25931,1
1,12,97,4.75849,1.04726,-1000,-2.81209,4.75849,0
1,7,97,4.72886,6.26944,-1000,-2.81209,6.26944,1
1,4,97,6.01978,5.91508,-1000,-2.81209,6.01978,0
1,3,97,6.26434,6.26944,-1000,-2.81209,6.26944,1
1,2,97,3.22061,3.22061,-1000,-2.81209,3.22061,0
1,10,97,2.09795,5.52254,-1000,-2.81209,5.52254,1
1,1,97,5.90489,6.02945,-1000,-2.81209,6.02945,1
2,20,97,2.42531,-2.1333,-1000,-2.81209,2.42531,0
2,18,97,-2.43603,2.56781,-1000,-2.81209,2.56781,1
2,17,97,-1.39549,-1.74643,-1000,-2.81209,-1.39549,0
2,16,97,-2.39883,-1.26312,-1000,-2.81209,-1.26312,1
2,15,97,-2.40651,-1.21955,-1000,-2.81209,-1.21955,1
2,13,97,1.29544,-0.195416,-1000,-2.81209,1.29544,0
2,12,97,1.04726,-2.53827,-1000,-2.81209,1.04726,0
2,10,97,-1.30378,4.12364,-1000,-2.81209,4.12364,1
2,6,99,1.66596,-0.835851,-1000,-3.35117,1.66596,0
1,14,97,4.95737,4.05811,-1000,-2.81209,4.95737,0
2,8,97,-0.430836,3.37069,-1000,-2.81209,3.37069,1
2,7,97,3.18828,2.11351,-1000,-2.81209,3.18828,0
1,14,99,4.99353,3.92822,-1000,-3.35117,4.99353,0
2,6,97,1.90898,-0.793419,-1000,-2.81209,1.90898,0
2,4,97,-0.397777,6.04984,-1000,-2.81209,6.04984,1
2,3,97,5.78947,6.26944,-1000,-2.81209,6.26944,1
2,2,97,3.22061,1.48733,-1000,-2.81209,3.22061,0
2,1,97,0,6.02945,-1000,-2.81209,6.02945,1
3,20,97,-2.22747,-2.68381,-1000,-2.81209,-2.22747,0
3,16,97,-2.52623,-3.92935,-1000,-2.81209,-2.52623,0
3,15,97,-2.41518,-3.78211,-1000,-2.81209,-2.41518,0
3,13,97,-1.40604,1.85777,-1000,-2.81209,1.85777,1
3,11,97,-2.51688,-2.81209,-1000,-2.81209,-2.51688,0
3,10,97,-1.40604,6.48194,-1000,-2.81209,6.48194,1
3,9,97,-2.51688,-2.66448,-1000,-2.81209,-2.51688,0
3,8,97,-2.66448,-2.60596,-1000,-2.81209,-2.60596,1
3,5,97,-1.40604,2.2166,-1000,-2.81209,2.2166,1
3,4,97,-2.81209,-2.68381,-1000,-2.81209,-2.68381,1
3,2,97,1.48733,-2.81209,-1000,-2.81209,1.48733,0
3,1,97,1.48869,-2.81209,-1000,-2.81209,1.48869,0
4,17,97,-6.05291,-6.05291,-1000,-2.81209,-2.81209,3
4,16,97,-6.05291,-6.05291,-1000,-2.81209,-2.81209,3
4,15,97,-6.05291,-6.05291,-1000,-2.81209,-2.81209,3
4,13,97,-6.05291,-6.05291,-1000,-2.81209,-2.81209,3
4,12,97,-6.05291,-6.05291,-1000,-2.81209,-2.81209,3
4,9,97,-6.05291,-6.05291,-1000,-2.81209,-2.81209,3
4,8,97,-6.05291,-6.05291,-1000,-2.81209,-2.81209,3
4,7,97,-6.05291,-6.05291,-1000,-2.81209,-2.81209,3
4,5,97,-6.05291,-6.05291,-1000,-2.81209,-2.81209,3
4,1,97,-6.05291,-6.05291,-1000,-2.81209,-2.81209,3
1,20,96,2.69457,2.69457,-1000,-2.99602,2.69457,0
1,19,96,1.38575,1.14125,-1000,-2.99602,1.38575,0
1,18,96,0.891015,6.04384,-1000,-2.99602,6.04384,1
1,17,96,-0.527021,3.2327,-1000,-2.99602,3.2327,1
1,15,96,4.49492,1.2674,-1000,-2.99602,4.49492,0
2,8,98,-0.525734,3.47982,-1000,-3.12829,3.47982,1
2,6,98,1.80225,-0.887885,-1000,-3.12829,1.80225,0
1,14,96,4.17092,4.40558,-1000,-2.99602,4.40558,1
1,13,96,0.688288,1.36205,-1000,-2.99602,1.36205,1
1,12,96,4.82246,1.12421,-1000,-2.99602,4.82246,0
1,9,96,3.3828,1.31945,-1000,-2.99602,3.3828,0
1,7,96,4.76093,6.25923,-1000,-2.99602,6.25923,1
1,4,96,6.11534,5.94858,-1000,-2.99602,6.11534,0
1,3,96,6.35022,6.25923,-1000,-2.99602,6.35022,0
1,2,96,2.2166,2.2166,-1000,-2.99602,2.2166,0
1,10,96,1.93181,5.63932,-1000,-2.99602,5.63932,1
1,1,96,5.93038,6.07129,-1000,-2.99602,6.07129,1
2,20,96,2.69457,-2.02452,-1000,-2.99602,2.69457,0
2,18,96,-2.33181,5.88102,-1000,-2.99602,5.88102,1
2,17,96,-1.21384,-1.61606,-1000,-2.99602,-1.21384,0
2,16,96,-2.34982,-1.27335,-1000,-2.99602,-1.27335,1
2,15,96,-1.85836,-1.19941,-1000,-2.99602,-1.19941,1
2,13,96,1.37658,-0.182002,-1000,-2.99602,1.37658,0
2,12,96,1.12421,-2.45256,-1000,-2.99602,1.12421,0
2,10,96,-1.22922,3.7299,-1000,-2.99602,3.7299,1
2,7,96,3.26262,2.1039,-1000,-2.99602,3.26262,0
1,14,98,4.8363,4.00194,-1000,-3.12829,4.8363,0
2,8,96,-0.420574,3.45316,-1000,-2.99602,3.45316,1
2,6,96,1.93363,-0.368141,-1000,-2.99602,1.93363,0
2,4,96,-0.440082,6.10769,-1000,-2.99602,6.10769,1
2,3,96,5.88334,6.25923,-1000,-2.99602,6.25923,1
2,2,96,2.2166,1.39215,-1000,-2.99602,2.2166,0
2,1,96,0,6.07129,-1000,-2.99602,6.07129,1
3,20,96,-2.2078,-2.75645,-1000,-2.99602,-2.2078,0
3,16,96,-2.54669,-3.84995,-1000,-2.99602,-2.54669,0
3,13,96,-1.49801,1.87477,-1000,-2.99602,1.87477,1
3,11,96,-2.39982,-2.99602,-1000,-2.99602,-2.39982,0
3,10,96,-1.49801,5.54592,-1000,-2.99602,5.54592,1
3,9,96,-2.39982,-2.69792,-1000,-2.99602,-2.39982,0
3,8,96,-2.69792,-2.72764,-1000,-2.99602,-2.69792,0
3,5,96,-1.49801,2.22554,-1000,-2.99602,2.22554,1
3,4,96,-2.99602,-2.75645,-1000,-2.99602,-2.75645,1
3,2,96,1.39215,-2.99602,-1000,-2.99602,1.39215,0
3,1,96,1.44366,-2.99602,-1000,-2.99602,1.44366,0
4,17,96,-5.75042,-5.75042,-1000,-2.99602,-2.99602,3
4,16,96,-5.75042,-5.75042,-1000,-2.99602,-2.99602,3
4,15,96,-5.75042,-5.75042,-1000,-2.99602,-2.99602,3
4,13,96,-5.75042,-5.75042,-1000,-2.99602,-2.99602,3
4,12,96,-5.75042,-5.75042,-1000,-2.99602,-2.99602,3
4,9,96,-5.75042,-5.75042,-1000,-2.99602,-2.99602,3
4,8,96,-5.75042,-5.75042,-1000,-2.99602,-2.99602,3
4,7,96,-5.75042,-5.75042,-1000,-2.99602,-2.99602,3
4,5,96,-5.75042,-5.75042,-1000,-2.99602,-2.99602,3
4,1,96,-5.75042,-5.75042,-1000,-2.99602,-2.99602,3
1,19,95,1.52281,1.24812,-1000,-2.85377,1.52281,0
1,17,95,0.891015,5.08697,-1000,-2.85377,5.08697,1
1,15,95,3.67785,1.29024,-1000,-2.85377,3.67785,0
