Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.22963,0.179668,-1000,-3.35117,0.179668,1
1,19,99,-2.30954,3.25976,-1000,-3.35117,3.25976,1
1,18,99,-1.67605,6.41893,-1000,-3.35117,6.41893,1
1,17,99,-3.41916,4.31372,-1000,-3.35117,4.31372,1
1,15,99,-1.74842,3.4625,-1000,-3.35117,3.4625,1
1,13,99,4.30546,6.53246,-1000,-3.35117,6.53246,1
1,12,99,6.47225,2.53346,-1000,-3.35117,6.47225,0
1,10,99,3.30131,4.89546,-1000,-3.35117,4.89546,1
1,9,99,-0.811584,-0.811584,-1000,-3.35117,-0.811584,0
1,7,99,5.91282,2.63169,-1000,-3.35117,5.91282,0
1,4,99,3.86609,3.31517,-1000,-3.35117,3.86609,0
1,3,99,3.52876,1.71355,-1000,-3.35117,3.52876,0
1,2,99,4.63399,5.56189,-1000,-3.35117,5.56189,1
1,1,99,5.38414,5.37835,-1000,-3.35117,5.38414,0
2,20,99,-2.11293,1.02294,-1000,-3.35117,1.02294,1
2,18,99,-2.58051,6.41347,-1000,-3.35117,6.41347,1
2,17,99,-2.34125,-0.0474047,-1000,-3.35117,-0.0474047,1
2,16,99,2.08851,-2.93875,-1000,-3.35117,2.08851,0
2,15,99,1.86023,-3.10747,-1000,-3.35117,1.86023,0
2,13,99,-2.08125,6.53246,-1000,-3.35117,6.53246,1
2,10,99,4.63815,-3.35117,-1000,-3.35117,4.63815,0
2,8,99,-2.5134,1.15113,-1000,-3.35117,1.15113,1
2,7,99,3.28835,-2.8939,-1000,-3.35117,3.28835,0
2,4,99,-0.907867,1.28635,-1000,-3.35117,1.28635,1
2,3,99,1.71355,1.65783,-1000,-3.35117,1.71355,0
2,2,99,0.969781,4.63399,-1000,-3.35117,4.63399,1
2,1,99,5.37835,4.63399,-1000,-3.35117,5.37835,0
3,20,99,-2.67868,-3.23973,-1000,-3.35117,-2.67868,0
3,16,99,-2.67868,-2.45835,-1000,-3.35117,-2.45835,1
3,15,99,-2.79577,-5.47311,-1000,-3.35117,-2.79577,0
3,13,99,-2.66448,-3.35117,-1000,-3.35117,-2.66448,0
3,11,99,-2.45927,1.96901,-1000,-3.35117,1.96901,1
3,10,99,-3.38516,-3.35117,-1000,-3.35117,-3.35117,1
3,9,99,-2.85377,-3.35117,-1000,-3.35117,-2.85377,0
3,8,99,1.41215,1.11709,-1000,-3.35117,1.41215,0
3,5,99,5.34387,-3.35117,-1000,-3.35117,5.34387,0
