Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.16771,-1.50434,-3.41916,-3.35117,-1.50434,1
1,19,99,-1.72753,-0.100253,-3.41916,-3.35117,-0.100253,1
1,18,99,-2.45934,0.00270346,-3.41916,-3.35117,0.00270346,1
1,17,99,-2.63003,-1.88187,-3.41916,-3.35117,-1.88187,1
1,15,99,-0.867642,-1.44378,-3.41916,-3.35117,-1.44378,0
1,13,99,-1.22082,-0.716281,-3.41916,-3.35117,-0.716281,1
1,12,99,-0.970288,-1.13177,-3.41916,-3.35117,-0.970288,0
1,10,99,-1.6403,-0.725756,-3.41916,-3.35117,-1.6403,1
1,9,99,-1.04218,-0.256639,-3.41916,-3.35117,-0.256639,1
1,7,99,-0.0204924,0.564546,-3.41916,-3.35117,0.564546,1
1,4,99,-0.426276,-0.278202,-3.41916,-3.35117,-0.278202,1
1,3,99,-0.657415,0.0325524,-3.41916,-3.35117,0.0325524,1
1,2,99,-0.685003,-0.164322,-3.41916,-3.35117,-0.164322,1
1,1,99,-1.24231,-0.982429,-3.41916,-3.35117,-0.982429,1
1,20,98,-1.54946,-1.19747,-3.41916,-3.12829,-1.19747,1
1,19,98,-1.2808,0.0441778,-3.41916,-3.12829,0.0441778,1
1,18,98,-2.28485,0.0894397,-3.41916,-3.12829,0.0894397,1
1,17,98,-2.2923,-1.70368,-3.41916,-3.12829,-1.70368,1
1,15,98,-0.858232,-1.13318,-3.41916,-3.12829,-1.13318,0
1,13,98,-0.889747,-0.641639,-3.41916,-3.12829,-0.889747,1
1,12,98,-0.431325,-0.943762,-3.41916,-3.12829,-0.943762,0
1,9,98,-0.517601,-0.231995,-3.41916,-3.12829,-0.231995,1
1,7,98,0.0488065,0.619457,-3.41916,-3.12829,0.619457,1
1,4,98,-0.369084,-0.188473,-3.41916,-3.12829,-0.188473,1
1,3,98,-0.525454,0.118092,-3.41916,-3.12829,0.118092,1
1,2,98,-0.632481,-0.0570102,-3.41916,-3.12829,-0.0570102,1
1,1,98,-1.20295,-0.839886,-3.41916,-3.12829,-0.839886,1
1,20,97,-0.954181,-1.23636,-3.41916,-2.81209,-0.954181,0
1,19,97,-0.926533,0.109122,-3.41916,-2.81209,0.109122,1
1,18,97,-1.35606,0.0640911,-3.41916,-2.81209,0.0640911,1
1,17,97,-2.2473,-1.68757,-3.41916,-2.81209,-1.68757,1
1,15,97,-0.64235,-1.21542,-3.41916,-2.81209,-1.21542,0
1,13,97,-0.685528,-0.61686,-3.41916,-2.81209,-0.61686,1
1,12,97,-0.215412,-0.877655,-3.41916,-2.81209,-0.877655,0
1,7,97,0.0742108,0.706879,-3.41916,-2.81209,0.706879,1
1,4,97,-0.26294,-0.0597879,-3.41916,-2.81209,-0.0597879,1
1,3,97,-0.283512,0.209708,-3.41916,-2.81209,0.209708,1
1,2,97,-0.348992,0.0316713,-3.41916,-2.81209,0.0316713,1
1,20,96,-0.752514,-1.12331,-3.41916,-2.99602,-1.12331,0
1,19,96,-0.428997,0.0471911,-3.41916,-2.99602,0.0471911,1
1,18,96,-1.36098,0.0127421,-3.41916,-2.99602,0.0127421,1
1,17,96,-0.919806,-1.67457,-3.41916,-2.99602,-1.67457,0
1,15,96,-0.360164,-1.10181,-3.41916,-2.99602,-1.10181,0
1,13,96,-0.836975,-0.615947,-3.41916,-2.99602,-0.836975,1
1,12,96,-0.080523,-0.770572,-3.41916,-2.99602,-0.770572,0
1,9,96,-0.344078,0.0192731,-3.41916,-2.99602,0.0192731,1
1,7,96,0.173317,0.778164,-3.41916,-2.99602,0.778164,1
1,4,96,-0.167805,0.043902,-3.41916,-2.99602,0.043902,1
1,3,96,-0.123497,0.331115,-3.41916,-2.99602,0.331115,1
1,2,96,-0.151625,0.135341,-3.41916,-2.99602,0.135341,1
1,19,95,-0.371007,0.244902,-3.41916,-2.85377,0.244902,1
1,17,95,-0.963523,-1.67321,-3.41916,-2.85377,-1.67321,0
1,15,95,-0.365918,-1.05889,-3.41916,-2.85377,-1.05889,0
1,13,95,-0.53391,-0.387263,-3.41916,-2.85377,-0.387263,1
1,7,95,0.0976763,0.79162,-3.41916,-2.85377,0.79162,1
1,4,95,-0.0582444,0.130259,-3.41916,-2.85377,0.130259,1
1,2,95,-0.11596,0.198747,-3.41916,-2.85377,0.198747,1
1,1,95,0.0843472,-0.644099,-3.41916,-2.85377,-0.644099,0
1,19,94,-0.311425,0.234718,-3.41916,-2.55553,0.234718,1
1,17,94,-0.594524,-1.31244,-3.41916,-2.55553,-1.31244,0
1,15,94,-0.236629,-0.955173,-3.41916,-2.55553,-0.955173,0
1,13,94,-0.386104,-0.231512,-3.41916,-2.55553,-0.231512,1
1,7,94,0.345919,0.902221,-3.41916,-2.55553,0.902221,1
1,4,94,0.0121644,0.128706,-3.41916,-2.55553,0.128706,1
1,2,94,0.0267699,0.285201,-3.41916,-2.55553,0.285201,1
1,1,94,0.193084,-0.466549,-3.41916,-2.55553,-0.466549,0
1,19,93,-0.115244,0.231881,-3.41916,-2.51688,0.231881,1
1,17,93,-0.550107,-1.13025,-3.41916,-2.51688,-1.13025,0
1,15,93,-0.437341,-0.581581,-3.41916,-2.51688,-0.581581,0
1,13,93,-0.386565,-0.188638,-3.41916,-2.51688,-0.188638,1
1,7,93,0.429981,0.733626,-3.41916,-2.51688,0.733626,1
1,4,93,0.0529151,0.161151,-3.41916,-2.51688,0.161151,1
1,2,93,0.0839786,0.43128,-3.41916,-2.51688,0.43128,1
1,1,93,0.198588,-0.411985,-3.41916,-2.51688,-0.411985,0
1,19,92,-0.123025,0.337098,-6.43894,-2.39982,0.337098,1
1,17,92,-0.524726,-1.10883,-6.43894,-2.39982,-1.10883,0
1,15,92,-0.246556,-0.59923,-6.43894,-2.39982,-0.59923,0
1,13,92,-0.427806,-0.246556,-6.43894,-2.39982,-0.246556,1
1,7,92,0.47352,0.76027,-6.43894,-2.39982,0.76027,1
1,4,92,0.0316545,0.21626,-6.43894,-2.39982,0.21626,1
1,2,92,0.0872549,0.256219,-6.43894,-2.39982,0.256219,1
1,1,92,0.33387,-0.334503,-6.43894,-2.39982,-0.334503,0
1,19,91,-0.22972,0.594837,-6.29331,-2.45927,0.594837,1
1,17,91,-0.370918,-1.10013,-6.29331,-2.45927,-1.10013,0
1,15,91,-0.203377,-0.687426,-6.29331,-2.45927,-0.203377,0
1,13,91,-0.35075,-0.00635041,-6.29331,-2.45927,-0.00635041,1
1,7,91,0.84354,0.896763,-6.29331,-2.45927,0.896763,1
1,4,91,0.189868,0.33893,-6.29331,-2.45927,0.33893,1
1,2,91,0.243983,0.399655,-6.29331,-2.45927,0.399655,1
1,1,91,0.358294,-0.384496,-6.29331,-2.45927,-0.384496,0
1,19,90,-0.506186,0.383988,-6.05291,-2.36134,0.383988,1
1,17,90,-0.411661,-1.12259,-6.05291,-2.36134,-1.12259,0
1,15,90,-0.24005,-0.421843,-6.05291,-2.36134,-0.421843,0
1,13,90,-0.298488,0.0945559,-6.05291,-2.36134,0.0945559,1
1,7,90,0.725147,0.969626,-6.05291,-2.36134,0.969626,1
1,4,90,0.298243,0.348869,-6.05291,-2.36134,0.348869,1
1,2,90,0.300639,0.363249,-6.05291,-2.36134,0.363249,1
1,1,90,0.429145,-0.198049,-6.05291,-2.36134,-0.198049,0
1,19,89,-0.0660351,0.56758,-5.75042,-2.39784,0.56758,1
1,17,89,-0.617147,-0.977158,-5.75042,-2.39784,-0.617147,0
1,15,89,-0.0376526,-0.51779,-5.75042,-2.39784,-0.51779,0
1,13,89,-0.168511,0.10344,-5.75042,-2.39784,0.10344,1
1,7,89,0.943865,1.05868,-5.75042,-2.39784,1.05868,1
1,4,89,0.230942,0.288245,-5.75042,-2.39784,0.288245,1
1,2,89,0.312095,0.530294,-5.75042,-2.39784,0.530294,1
1,1,89,0.161807,-0.249518,-5.75042,-2.39784,-0.249518,0
1,19,88,-0.336888,0.508631,-5.55605,-2.24038,-0.336888,1
1,17,88,-0.381282,-1.0332,-5.55605,-2.24038,-1.0332,0
1,15,88,-0.196598,-0.597858,-5.55605,-2.24038,-0.597858,0
1,13,88,-0.00485884,0.200383,-5.55605,-2.24038,0.200383,1
1,7,88,0.963994,1.06232,-5.55605,-2.24038,1.06232,1
1,4,88,0.556713,0.600999,-5.55605,-2.24038,0.600999,1
1,2,88,0.451069,0.636947,-5.55605,-2.24038,0.636947,1
1,1,88,0.479105,-0.0947315,-5.55605,-2.24038,-0.0947315,0
1,19,87,-0.174548,0.68395,-5.60239,-2.09737,0.68395,1
1,17,87,-0.253101,-0.893928,-5.60239,-2.09737,-0.893928,0
1,15,87,-0.234715,-0.136202,-5.60239,-2.09737,-0.136202,1
1,13,87,-0.0807396,0.0686978,-5.60239,-2.09737,0.0686978,1
1,7,87,1.00163,1.03006,-5.60239,-2.09737,1.03006,1
1,4,87,0.536393,0.762086,-5.60239,-2.09737,0.762086,1
1,2,87,0.536644,0.740756,-5.60239,-2.09737,0.740756,1
1,1,87,0.589991,-0.131868,-5.60239,-2.09737,-0.131868,0
1,19,86,-0.314104,0.613307,-5.61978,-2.01828,0.613307,1
1,17,86,-0.0232732,-0.592138,-5.61978,-2.01828,-0.0232732,0
1,15,86,-0.255283,-0.242493,-5.61978,-2.01828,-0.242493,1
1,13,86,-0.237514,0.0146311,-5.61978,-2.01828,-0.237514,1
1,7,86,1.16291,1.05961,-5.61978,-2.01828,1.05961,0
1,4,86,0.810141,0.802785,-5.61978,-2.01828,0.802785,0
1,2,86,0.867766,0.806244,-5.61978,-2.01828,0.806244,0
1,1,86,0.692486,-0.0390731,-5.61978,-2.01828,-0.0390731,0
1,19,85,-0.538438,-0.830815,-5.14185,-2.10808,-0.830815,0
1,17,85,-0.474293,-0.790355,-5.14185,-2.10808,-0.790355,0
1,15,85,-0.127718,0.762048,-5.14185,-2.10808,0.762048,1
1,13,85,0.287776,1.23565,-5.14185,-2.10808,1.23565,1
1,7,85,0.706797,0.947176,-5.14185,-2.10808,0.947176,1
1,4,85,0.869444,0.500374,-5.14185,-2.10808,0.500374,0
1,2,85,0.615555,0.925871,-5.14185,-2.10808,0.925871,1
1,1,85,0.869632,1.33911,-5.14185,-2.10808,1.33911,1
1,19,84,-0.153619,-0.438775,-5.35927,-2.00544,-0.438775,0
1,17,84,-0.53867,-0.836292,-5.35927,-2.00544,-0.836292,0
1,15,84,0.0219298,0.77503,-5.35927,-2.00544,0.77503,1
1,13,84,0.374104,1.1098,-5.35927,-2.00544,1.1098,1
1,7,84,0.893486,1.05996,-5.35927,-2.00544,1.05996,1
1,4,84,0.937227,0.474183,-5.35927,-2.00544,0.474183,0
1,2,84,0.621636,1.11626,-5.35927,-2.00544,1.11626,1
1,1,84,0.847761,1.25109,-5.35927,-2.00544,1.25109,1
1,19,83,0.0988703,-0.206686,-5.22327,-1.89942,0.0988703,0
1,17,83,-0.61172,-0.833482,-5.22327,-1.89942,-0.833482,0
1,15,83,0.125186,0.944583,-5.22327,-1.89942,0.944583,1
1,13,83,0.436812,1.19172,-5.22327,-1.89942,1.19172,1
1,7,83,1.00223,0.738072,-5.22327,-1.89942,0.738072,0
1,4,83,0.996824,0.628674,-5.22327,-1.89942,0.628674,0
1,2,83,0.796972,1.21474,-5.22327,-1.89942,1.21474,1
1,1,83,0.86515,1.32614,-5.22327,-1.89942,1.32614,1
1,19,82,-0.394242,-0.852326,-5.04662,-1.89873,-0.852326,0
1,17,82,-0.456902,-0.525984,-5.04662,-1.89873,-0.456902,0
1,15,82,0.0569889,0.711625,-5.04662,-1.89873,0.711625,1
1,13,82,0.593419,1.14953,-5.04662,-1.89873,1.14953,1
1,9,82,0.293681,0.837734,-5.04662,-1.89873,0.837734,1
1,7,82,1.03063,1.15587,-5.04662,-1.89873,1.15587,1
1,4,82,1.03417,0.564805,-5.04662,-1.89873,0.564805,0
1,2,82,0.897203,1.17657,-5.04662,-1.89873,1.17657,1
1,1,82,0.948069,1.19283,-5.04662,-1.89873,1.19283,1
1,19,81,0.0455288,-0.2174,-4.70389,-1.77463,-0.2174,0
1,17,81,-0.175729,-0.426745,-4.70389,-1.77463,-0.426745,0
1,15,81,0.0528248,0.953158,-4.70389,-1.77463,0.953158,1
1,13,81,0.566127,1.25524,-4.70389,-1.77463,1.25524,1
1,7,81,1.10908,1.3011,-4.70389,-1.77463,1.3011,1
1,4,81,1.14312,0.675745,-4.70389,-1.77463,0.675745,0
1,2,81,0.884233,1.25695,-4.70389,-1.77463,1.25695,1
1,1,81,0.880121,1.2781,-4.70389,-1.77463,1.2781,1
1,19,80,0.245327,-0.0985648,-4.82344,-1.66435,-0.0985648,0
1,17,80,-0.629318,-0.935331,-4.82344,-1.66435,-0.935331,0
1,15,80,0.00287229,1.04125,-4.82344,-1.66435,1.04125,1
1,13,80,0.300379,1.27083,-4.82344,-1.66435,1.27083,1
1,7,80,1.09094,1.15154,-4.82344,-1.66435,1.15154,1
1,4,80,1.17207,0.731707,-4.82344,-1.66435,0.731707,0
1,2,80,0.991176,1.24646,-4.82344,-1.66435,1.24646,1
1,1,80,0.905728,1.51067,-4.82344,-1.66435,1.51067,1
1,19,79,0.47814,0.13118,-4.30456,-1.7295,0.13118,0
1,17,79,-0.317273,-0.535548,-4.30456,-1.7295,-0.535548,0
1,15,79,0.399273,0.997428,-4.30456,-1.7295,0.997428,1
1,13,79,0.356527,1.19733,-4.30456,-1.7295,1.19733,1
1,9,79,0.331302,0.823983,-4.30456,-1.7295,0.823983,1
1,7,79,1.09439,1.39403,-4.30456,-1.7295,1.39403,1
1,4,79,1.17782,0.642838,-4.30456,-1.7295,0.642838,0
1,2,79,0.974952,1.29555,-4.30456,-1.7295,1.29555,1
1,1,79,0.94735,1.4079,-4.30456,-1.7295,1.4079,1
1,19,78,0.192574,-0.051001,-4.65291,-1.66623,-0.051001,0
1,17,78,-0.114178,-0.445434,-4.65291,-1.66623,-0.445434,0
1,15,78,-0.0331917,0.714309,-4.65291,-1.66623,-0.0331917,1
1,13,78,0.4923,1.31524,-4.65291,-1.66623,1.31524,1
1,9,78,0.255895,0.746277,-4.65291,-1.66623,0.746277,1
1,7,78,1.17042,1.38053,-4.65291,-1.66623,1.38053,1
1,4,78,1.22282,0.764508,-4.65291,-1.66623,0.764508,0
1,2,78,1.02528,1.28342,-4.65291,-1.66623,1.28342,1
1,1,78,1.03357,1.70846,-4.65291,-1.66623,1.70846,1
1,19,77,0.142985,0.0540035,-4.67517,-1.58996,0.0540035,0
1,17,77,-0.0215798,-0.185777,-4.67517,-1.58996,-0.185777,0
1,15,77,0.0889571,0.69934,-4.67517,-1.58996,0.69934,1
1,13,77,0.721882,1.56817,-4.67517,-1.58996,1.56817,1
1,9,77,0.402254,0.928852,-4.67517,-1.58996,0.928852,1
1,7,77,1.00263,1.25681,-4.67517,-1.58996,1.25681,1
1,4,77,1.21488,0.878609,-4.67517,-1.58996,0.878609,0
1,2,77,1.15303,1.32919,-4.67517,-1.58996,1.32919,1
1,1,77,1.0907,1.69378,-4.67517,-1.58996,1.69378,1
1,19,76,-0.0543462,0.129341,-4.75214,-1.45125,0.129341,1
