Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.81348,-0.343548,-1000,-3.35117,-0.343548,1
1,19,99,1.57527,3.88747,-1000,-3.35117,3.88747,1
1,18,99,-1.48541,6.04334,-1000,-3.35117,6.04334,1
1,17,99,1.56192,4.07637,-1000,-3.35117,4.07637,1
1,15,99,0.702776,-2.3201,-1000,-3.35117,0.702776,0
1,13,99,1.34148,5.129,-1000,-3.35117,5.129,1
1,12,99,6.29406,6.90329,-1000,-3.35117,6.90329,1
1,10,99,6.85154,6.30254,-1000,-3.35117,6.85154,0
1,9,99,6.92191,6.90329,-1000,-3.35117,6.92191,0
1,7,99,6.7705,6.10485,-1000,-3.35117,6.7705,0
1,4,99,6.3754,6.26068,-1000,-3.35117,6.3754,0
1,3,99,6.64642,6.64642,-1000,-3.35117,6.64642,0
1,2,99,4.08877,4.08877,-1000,-3.35117,4.08877,0
1,1,99,6.2505,6.2505,-1000,-3.35117,6.2505,0
2,20,99,-2.42855,-0.50135,-1000,-3.35117,-0.50135,1
2,18,99,-0.176923,-2.67868,-1000,-3.35117,-0.176923,0
2,17,99,-2.18981,0.379009,-1000,-3.35117,0.379009,1
2,16,99,5.94058,-2.85303,-1000,-3.35117,5.94058,0
2,15,99,-2.35798,-2.3201,-1000,-3.35117,-2.3201,1
2,13,99,6.10213,-0.161829,-1000,-3.35117,6.10213,0
2,10,99,6.88444,6.49531,-1000,-3.35117,6.88444,0
2,8,99,4.17182,4.50521,-1000,-3.35117,4.50521,1
2,7,99,4.4268,6.66683,-1000,-3.35117,6.66683,1
2,4,99,6.45265,6.3754,-1000,-3.35117,6.45265,0
2,3,99,6.59336,6.64642,-1000,-3.35117,6.64642,1
2,2,99,1.75138,4.08877,-1000,-3.35117,4.08877,1
2,1,99,-3.41916,6.2505,-1000,-3.35117,6.2505,1
3,20,99,-2.90405,-3.17359,-1000,-3.35117,-2.90405,0
3,16,99,1.8501,-3.35117,-1000,-3.35117,1.8501,0
3,15,99,-2.24038,-2.85625,-1000,-3.35117,-2.24038,0
3,13,99,-2.55553,-2.90522,-1000,-3.35117,-2.55553,0
3,11,99,-3.23973,-2.90522,-1000,-3.35117,-2.90522,1
3,10,99,-2.85377,6.92868,-1000,-3.35117,6.92868,1
3,9,99,-2.65652,6.86369,-1000,-3.35117,6.86369,1
3,8,99,-2.70465,2.14885,-1000,-3.35117,2.14885,1
3,5,99,1.71921,1.55074,-1000,-3.35117,1.71921,0
3,4,99,1.71921,1.62244,-1000,-3.35117,1.71921,0
3,2,99,-3.35117,1.49767,-1000,-3.35117,1.49767,1
3,1,99,6.2505,-3.35117,-1000,-3.35117,6.2505,0
4,17,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,16,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,15,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,14,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,13,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,12,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,9,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,8,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
