Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.13135,-1.0607,-3.41916,-3.35117,-1.0607,1
1,19,99,-1.78472,-0.594773,-3.41916,-3.35117,-0.594773,1
1,18,99,-1.73163,-0.224241,-3.41916,-3.35117,-0.224241,1
1,17,99,-1.83486,-0.159565,-3.41916,-3.35117,-0.159565,1
1,15,99,-0.856627,-1.38407,-3.41916,-3.35117,-1.38407,0
1,13,99,-1.20591,-0.691863,-3.41916,-3.35117,-0.691863,1
1,12,99,-0.685072,-0.775678,-3.41916,-3.35117,-0.685072,0
1,10,99,-0.214171,-0.466527,-3.41916,-3.35117,-0.466527,0
1,9,99,-0.14052,-0.124344,-3.41916,-3.35117,-0.124344,1
1,7,99,-0.106674,0.365141,-3.41916,-3.35117,0.365141,1
1,4,99,-0.262976,-0.168914,-3.41916,-3.35117,-0.168914,1
1,3,99,-0.429869,-0.0992515,-3.41916,-3.35117,-0.0992515,1
1,2,99,-0.163705,-0.281124,-3.41916,-3.35117,-0.281124,0
1,1,99,-1.96952,-0.48415,-3.41916,-3.35117,-0.48415,1
1,20,98,-1.85866,-0.890799,-3.41916,-3.12829,-0.890799,1
1,19,98,-1.50256,-0.542239,-3.41916,-3.12829,-0.542239,1
1,18,98,-1.49361,-0.191745,-3.41916,-3.12829,-0.191745,1
1,17,98,-1.25125,-0.216063,-3.41916,-3.12829,-0.216063,1
1,15,98,-0.878013,-1.21803,-3.41916,-3.12829,-1.21803,0
1,13,98,-0.860321,-0.687605,-3.41916,-3.12829,-0.860321,1
1,12,98,-0.417607,-0.111746,-3.41916,-3.12829,-0.111746,1
1,9,98,-0.106193,-0.0454009,-3.41916,-3.12829,-0.0454009,1
1,7,98,-0.00767087,0.461383,-3.41916,-3.12829,0.461383,1
1,4,98,-0.139122,-0.0647462,-3.41916,-3.12829,-0.0647462,1
1,3,98,-0.285781,-0.0818618,-3.41916,-3.12829,-0.0818618,1
1,2,98,-0.0724469,-0.150776,-3.41916,-3.12829,-0.150776,0
1,1,98,-1.89262,-0.357333,-3.41916,-3.12829,-0.357333,1
1,20,97,-1.58578,-0.867664,-3.41916,-2.81209,-1.58578,1
1,19,97,-1.50562,-0.512024,-3.41916,-2.81209,-0.512024,1
1,18,97,-1.11283,-0.0610836,-3.41916,-2.81209,-0.0610836,1
1,17,97,-1.13066,-0.137277,-3.41916,-2.81209,-0.137277,1
1,15,97,-0.645829,-1.15567,-3.41916,-2.81209,-1.15567,0
1,13,97,-0.70648,-0.583731,-3.41916,-2.81209,-0.583731,1
1,12,97,-0.363638,0.0131905,-3.41916,-2.81209,0.0131905,1
1,7,97,0.0472173,0.58226,-3.41916,-2.81209,0.58226,1
1,4,97,-0.0852165,0.0709459,-3.41916,-2.81209,0.0709459,1
1,3,97,-0.0871641,0.173292,-3.41916,-2.81209,0.173292,1
1,2,97,-0.0661046,-0.116584,-3.41916,-2.81209,-0.116584,0
1,20,96,-1.504,-0.750824,-3.41916,-2.99602,-0.750824,1
1,19,96,-1.19471,-0.496204,-3.41916,-2.99602,-0.496204,1
1,18,96,-1.06266,-0.0903227,-3.41916,-2.99602,-0.0903227,1
1,17,96,-0.930185,-0.154252,-3.41916,-2.99602,-0.154252,1
1,15,96,-0.420038,-1.09583,-3.41916,-2.99602,-1.09583,0
1,13,96,-0.628357,-0.464374,-3.41916,-2.99602,-0.628357,1
1,12,96,-0.293108,0.0324482,-3.41916,-2.99602,0.0324482,1
1,9,96,0.0227511,0.02943,-3.41916,-2.99602,0.02943,1
1,7,96,0.020215,0.555561,-3.41916,-2.99602,0.555561,1
1,4,96,-0.0433149,0.123531,-3.41916,-2.99602,0.123531,1
1,3,96,0.0845664,0.065175,-3.41916,-2.99602,0.065175,0
1,2,96,0.017361,-0.0457094,-3.41916,-2.99602,-0.0457094,0
1,19,95,-1.03788,-0.36734,-3.41916,-2.85377,-0.36734,1
1,17,95,-0.804107,-0.10872,-3.41916,-2.85377,-0.10872,1
1,15,95,-0.423612,-1.05678,-3.41916,-2.85377,-1.05678,0
1,13,95,-0.319261,-0.381065,-3.41916,-2.85377,-0.381065,0
1,7,95,0.0726459,0.620518,-3.41916,-2.85377,0.620518,1
1,4,95,0.0690386,0.189402,-3.41916,-2.85377,0.189402,1
1,2,95,0.180125,0.059569,-3.41916,-2.85377,0.059569,0
1,1,95,-0.21083,-0.076789,-3.41916,-2.85377,-0.076789,1
1,19,94,-0.996305,-0.169404,-3.41916,-2.55553,-0.169404,1
1,17,94,-0.847486,0.0611215,-3.41916,-2.55553,0.0611215,1
1,15,94,-0.388395,-0.922243,-3.41916,-2.55553,-0.922243,0
1,13,94,-0.163641,-0.141668,-3.41916,-2.55553,-0.141668,1
1,7,94,0.141152,0.702133,-3.41916,-2.55553,0.702133,1
1,4,94,0.119181,0.320152,-3.41916,-2.55553,0.320152,1
