Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.11856,-1.39789,-3.41916,-3.35117,-1.39789,1
1,19,99,-1.71675,-0.325075,-3.41916,-3.35117,-0.325075,1
1,18,99,-1.6896,-0.585121,-3.41916,-3.35117,-0.585121,1
1,17,99,-1.45298,-0.719475,-3.41916,-3.35117,-0.719475,1
1,15,99,-0.960506,-1.70919,-3.41916,-3.35117,-1.70919,0
1,13,99,-0.986366,0.0309007,-3.41916,-3.35117,0.0309007,1
1,12,99,-0.150096,-0.546205,-3.41916,-3.35117,-0.150096,0
1,10,99,-0.0761618,0.63633,-3.41916,-3.35117,0.63633,1
1,9,99,0.760249,-0.062439,-3.41916,-3.35117,-0.062439,0
1,7,99,-0.17251,-0.248474,-3.41916,-3.35117,-0.248474,0
1,4,99,0.182645,0.200886,-3.41916,-3.35117,0.200886,1
1,3,99,0.377889,0.338337,-3.41916,-3.35117,0.338337,0
1,2,99,-0.0368295,0.272637,-3.41916,-3.35117,0.272637,1
1,1,99,0.678163,-0.19597,-3.41916,-3.35117,-0.19597,0
1,20,98,-1.94524,-1.26668,-3.41916,-3.12829,-1.26668,1
1,19,98,-1.41385,-0.306188,-3.41916,-3.12829,-0.306188,1
1,18,98,-1.35627,-0.508358,-3.41916,-3.12829,-0.508358,1
1,17,98,-1.04528,-0.590207,-3.41916,-3.12829,-0.590207,1
1,15,98,-0.952429,-1.33787,-3.41916,-3.12829,-1.33787,0
1,13,98,-0.653775,-0.156867,-3.41916,-3.12829,-0.653775,1
1,12,98,-0.0878923,-0.637699,-3.41916,-3.12829,-0.637699,0
1,9,98,0.767576,-0.0275564,-3.41916,-3.12829,-0.0275564,0
1,7,98,0.106788,-0.220905,-3.41916,-3.12829,-0.220905,0
1,4,98,0.212931,0.68454,-3.41916,-3.12829,0.68454,1
1,3,98,0.398991,0.649001,-3.41916,-3.12829,0.649001,1
1,2,98,0.232958,0.500873,-3.41916,-3.12829,0.500873,1
1,1,98,0.44939,0.0110268,-3.41916,-3.12829,0.0110268,0
1,20,97,-1.567,-1.17084,-3.41916,-2.81209,-1.567,1
1,19,97,-1.39929,-0.480035,-3.41916,-2.81209,-0.480035,1
1,18,97,-1.27363,-0.48959,-3.41916,-2.81209,-0.48959,1
1,17,97,-0.949905,-0.5408,-3.41916,-2.81209,-0.5408,1
1,15,97,-0.660688,-1.4202,-3.41916,-2.81209,-1.4202,0
1,13,97,-0.377118,-0.0592525,-3.41916,-2.81209,-0.0592525,1
1,12,97,0.0169839,-0.431835,-3.41916,-2.81209,-0.431835,0
1,7,97,0.0535007,-0.130914,-3.41916,-2.81209,-0.130914,0
1,4,97,0.257778,0.495931,-3.41916,-2.81209,0.495931,1
1,3,97,0.558292,0.580201,-3.41916,-2.81209,0.580201,1
1,2,97,0.296645,0.4239,-3.41916,-2.81209,0.4239,1
1,20,96,-1.2518,-1.10068,-3.41916,-2.99602,-1.10068,1
1,19,96,-0.965615,-0.187454,-3.41916,-2.99602,-0.187454,1
1,18,96,-1.20349,-0.662516,-3.41916,-2.99602,-0.662516,1
1,17,96,-0.880893,-0.654896,-3.41916,-2.99602,-0.654896,1
1,15,96,-0.339056,-1.29217,-3.41916,-2.99602,-1.29217,0
1,13,96,0.0314991,-0.0445528,-3.41916,-2.99602,0.0314991,0
1,12,96,0.230728,-0.518273,-3.41916,-2.99602,-0.518273,0
1,9,96,0.692477,0.148532,-3.41916,-2.99602,0.148532,0
1,7,96,0.191099,-0.102307,-3.41916,-2.99602,-0.102307,0
1,4,96,0.406927,0.716467,-3.41916,-2.99602,0.716467,1
1,3,96,0.732089,0.845121,-3.41916,-2.99602,0.845121,1
1,2,96,0.673349,0.60385,-3.41916,-2.99602,0.60385,0
1,19,95,-0.981695,0.0784604,-3.41916,-2.85377,0.0784604,1
1,17,95,-0.970598,-0.745442,-3.41916,-2.85377,-0.745442,1
1,15,95,-0.356412,-1.39662,-3.41916,-2.85377,-1.39662,0
1,13,95,0.152114,0.223714,-3.41916,-2.85377,0.223714,1
1,7,95,0.46964,0.28489,-3.41916,-2.85377,0.28489,0
1,4,95,0.305194,0.762988,-3.41916,-2.85377,0.762988,1
1,2,95,0.638552,0.551592,-3.41916,-2.85377,0.551592,0
1,1,95,0.637237,0.221856,-3.41916,-2.85377,0.221856,0
1,19,94,-0.67927,-0.144496,-3.41916,-2.55553,-0.144496,1
1,17,94,-0.698322,-0.420615,-3.41916,-2.55553,-0.420615,1
1,15,94,-0.308394,-1.15036,-3.41916,-2.55553,-1.15036,0
1,13,94,0.575315,0.329334,-3.41916,-2.55553,0.329334,0
1,7,94,0.103526,0.00332174,-3.41916,-2.55553,0.00332174,0
1,4,94,0.2974,0.669915,-3.41916,-2.55553,0.669915,1
1,2,94,0.738895,0.663701,-3.41916,-2.55553,0.663701,0
1,1,94,0.796539,0.338993,-3.41916,-2.55553,0.338993,0
1,19,93,-0.835551,-0.207217,-3.41916,-2.51688,-0.207217,1
1,17,93,-0.762022,-0.460457,-3.41916,-2.51688,-0.460457,1
1,15,93,-0.509571,-1.29228,-3.41916,-2.51688,-1.29228,0
1,13,93,0.484318,0.412879,-3.41916,-2.51688,0.412879,0
1,7,93,0.00794698,-0.124121,-3.41916,-2.51688,-0.124121,0
1,4,93,0.42186,0.739394,-3.41916,-2.51688,0.739394,1
1,2,93,0.882106,0.631544,-3.41916,-2.51688,0.631544,0
1,1,93,1.11178,0.312709,-3.41916,-2.51688,0.312709,0
1,19,92,-0.78692,-0.0175766,-6.43894,-2.39982,-0.0175766,1
1,17,92,-0.487639,-0.281728,-6.43894,-2.39982,-0.281728,1
1,15,92,-0.20456,-1.02484,-6.43894,-2.39982,-1.02484,0
1,13,92,0.485069,0.393439,-6.43894,-2.39982,0.393439,0
1,7,92,0.0607236,-0.027004,-6.43894,-2.39982,-0.027004,0
1,4,92,0.327865,0.87262,-6.43894,-2.39982,0.87262,1
1,2,92,0.807326,0.561537,-6.43894,-2.39982,0.561537,0
1,1,92,0.769726,0.358159,-6.43894,-2.39982,0.358159,0
1,19,91,-0.948028,0.00105873,-6.29331,-2.45927,0.00105873,1
1,17,91,-0.611421,-0.30576,-6.29331,-2.45927,-0.30576,1
1,15,91,-0.192197,-1.01857,-6.29331,-2.45927,-0.192197,0
1,13,91,0.37614,0.315594,-6.29331,-2.45927,0.315594,0
1,7,91,0.126283,0.0889176,-6.29331,-2.45927,0.0889176,0
1,4,91,0.341483,0.789806,-6.29331,-2.45927,0.789806,1
1,2,91,0.88074,0.844062,-6.29331,-2.45927,0.844062,0
1,1,91,1.38867,0.337973,-6.29331,-2.45927,0.337973,0
1,19,90,-0.834174,-0.085607,-6.05291,-2.36134,-0.085607,1
1,17,90,-0.237723,0.0355637,-6.05291,-2.36134,0.0355637,1
1,15,90,-0.164773,-0.796379,-6.05291,-2.36134,-0.796379,0
1,13,90,0.272665,0.471324,-6.05291,-2.36134,0.471324,1
1,7,90,0.300574,0.226813,-6.05291,-2.36134,0.226813,0
1,4,90,0.376453,0.849534,-6.05291,-2.36134,0.849534,1
1,2,90,1.05862,0.667783,-6.05291,-2.36134,0.667783,0
