Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.03895,-0.995835,-3.41916,-3.35117,-0.995835,1
1,19,99,-2.30306,-0.248482,-3.41916,-3.35117,-0.248482,1
1,18,99,-1.69206,-0.536584,-3.41916,-3.35117,-0.536584,1
1,17,99,-1.39196,-0.130017,-3.41916,-3.35117,-0.130017,1
1,15,99,-0.81869,-0.840749,-3.41916,-3.35117,-0.840749,0
1,13,99,-0.92782,-0.176868,-3.41916,-3.35117,-0.176868,1
1,12,99,-0.400283,-0.521002,-3.41916,-3.35117,-0.400283,0
1,10,99,0.146264,-0.05544,-3.41916,-3.35117,0.146264,0
1,9,99,-0.00112573,0.550271,-3.41916,-3.35117,0.550271,1
1,7,99,-0.0324916,0.676514,-3.41916,-3.35117,0.676514,1
1,4,99,0.253499,0.490182,-3.41916,-3.35117,0.490182,1
1,3,99,-0.0601176,0.463082,-3.41916,-3.35117,0.463082,1
1,2,99,0.325947,0.457833,-3.41916,-3.35117,0.457833,1
1,1,99,-2.18625,-0.429365,-3.41916,-3.35117,-0.429365,1
1,20,98,-1.82638,-1.06567,-3.41916,-3.12829,-1.06567,1
1,19,98,-1.90417,-0.183579,-3.41916,-3.12829,-0.183579,1
1,18,98,-1.35933,-0.499294,-3.41916,-3.12829,-0.499294,1
1,17,98,-1.15485,-0.0724117,-3.41916,-3.12829,-0.0724117,1
1,15,98,-0.934699,-0.680792,-3.41916,-3.12829,-0.680792,1
1,13,98,-0.771671,-0.218403,-3.41916,-3.12829,-0.771671,1
1,12,98,0.0139958,-0.0971493,-3.41916,-3.12829,-0.0971493,0
1,9,98,0.0831932,0.584845,-3.41916,-3.12829,0.584845,1
1,7,98,0.203565,0.857474,-3.41916,-3.12829,0.857474,1
1,4,98,0.273867,0.597065,-3.41916,-3.12829,0.597065,1
1,3,98,-0.00862223,0.494313,-3.41916,-3.12829,0.494313,1
1,2,98,0.422743,0.564134,-3.41916,-3.12829,0.564134,1
1,1,98,-2.24472,-0.378995,-3.41916,-3.12829,-0.378995,1
1,20,97,-1.53551,-0.957459,-3.41916,-2.81209,-1.53551,1
1,19,97,-1.66825,-0.198414,-3.41916,-2.81209,-0.198414,1
1,18,97,-1.19127,-0.363627,-3.41916,-2.81209,-0.363627,1
1,17,97,-1.15626,-0.0729758,-3.41916,-2.81209,-0.0729758,1
1,15,97,-0.54286,-0.677264,-3.41916,-2.81209,-0.677264,0
1,13,97,-0.500989,-0.0299846,-3.41916,-2.81209,-0.0299846,1
1,12,97,-0.0129692,-0.146173,-3.41916,-2.81209,-0.146173,0
1,7,97,0.185464,0.929999,-3.41916,-2.81209,0.929999,1
1,4,97,0.322696,0.602039,-3.41916,-2.81209,0.602039,1
1,3,97,0.276941,0.459405,-3.41916,-2.81209,0.459405,1
1,2,97,0.413219,0.562454,-3.41916,-2.81209,0.562454,1
1,20,96,-1.4287,-0.818391,-3.41916,-2.99602,-0.818391,1
1,19,96,-1.61056,-0.273609,-3.41916,-2.99602,-0.273609,1
1,18,96,-1.19633,-0.468142,-3.41916,-2.99602,-0.468142,1
1,17,96,-0.867675,0.0651482,-3.41916,-2.99602,0.0651482,1
1,15,96,-0.287188,-0.545856,-3.41916,-2.99602,-0.545856,0
1,13,96,-0.572703,0.0538193,-3.41916,-2.99602,-0.572703,1
1,12,96,0.320864,0.00094421,-3.41916,-2.99602,0.00094421,0
1,9,96,0.178601,0.658832,-3.41916,-2.99602,0.658832,1
1,7,96,0.259958,0.931999,-3.41916,-2.99602,0.931999,1
1,4,96,0.435114,0.645976,-3.41916,-2.99602,0.645976,1
1,3,96,0.379277,0.634949,-3.41916,-2.99602,0.634949,1
1,2,96,0.536185,0.571224,-3.41916,-2.99602,0.571224,1
1,19,95,-1.49613,-0.067891,-3.41916,-2.85377,-0.067891,1
1,17,95,-0.988339,-0.049161,-3.41916,-2.85377,-0.049161,1
1,15,95,-0.342655,-0.592582,-3.41916,-2.85377,-0.592582,0
1,13,95,-0.209511,0.132199,-3.41916,-2.85377,0.132199,1
1,7,95,0.177012,0.936321,-3.41916,-2.85377,0.936321,1
1,4,95,0.442444,0.591235,-3.41916,-2.85377,0.591235,1
1,2,95,0.580511,0.660076,-3.41916,-2.85377,0.660076,1
1,1,95,0.186663,-0.178819,-3.41916,-2.85377,-0.178819,0
1,19,94,-1.234,0.0337626,-3.41916,-2.55553,0.0337626,1
1,17,94,-0.85712,0.038254,-3.41916,-2.55553,0.038254,1
1,15,94,-0.135672,-0.253364,-3.41916,-2.55553,-0.253364,0
1,13,94,-0.169859,0.284173,-3.41916,-2.55553,0.284173,1
1,7,94,0.327459,1.06061,-3.41916,-2.55553,1.06061,1
1,4,94,0.465048,0.671274,-3.41916,-2.55553,0.671274,1
1,2,94,0.67343,0.683546,-3.41916,-2.55553,0.683546,1
1,1,94,0.180083,-0.122365,-3.41916,-2.55553,-0.122365,0
1,19,93,-1.36949,-0.0704511,-3.41916,-2.51688,-0.0704511,1
1,17,93,-0.600532,0.275626,-3.41916,-2.51688,0.275626,1
1,15,93,-0.357585,-0.45139,-3.41916,-2.51688,-0.45139,0
1,13,93,-0.152281,0.308557,-3.41916,-2.51688,0.308557,1
1,7,93,0.414416,1.08328,-3.41916,-2.51688,1.08328,1
1,4,93,0.433053,0.62872,-3.41916,-2.51688,0.62872,1
1,2,93,0.646455,0.646694,-3.41916,-2.51688,0.646694,1
1,1,93,0.380111,-0.130471,-3.41916,-2.51688,-0.130471,0
1,19,92,-1.23558,0.170358,-6.43894,-2.39982,0.170358,1
1,17,92,-0.530669,0.263473,-6.43894,-2.39982,0.263473,1
1,15,92,-0.189167,-0.359477,-6.43894,-2.39982,-0.359477,0
1,13,92,-0.0213466,0.49543,-6.43894,-2.39982,0.49543,1
1,7,92,0.449731,1.11344,-6.43894,-2.39982,1.11344,1
1,4,92,0.483342,0.724639,-6.43894,-2.39982,0.724639,1
1,2,92,0.630386,0.871939,-6.43894,-2.39982,0.871939,1
1,1,92,0.383045,-0.0212618,-6.43894,-2.39982,-0.0212618,0
1,19,91,-1.38603,0.246495,-6.29331,-2.45927,0.246495,1
1,17,91,-0.625913,0.311267,-6.29331,-2.45927,0.311267,1
1,15,91,0.00687409,-0.0992003,-6.29331,-2.45927,0.00687409,0
1,13,91,-0.17572,0.373274,-6.29331,-2.45927,0.373274,1
1,7,91,0.58519,1.14766,-6.29331,-2.45927,1.14766,1
1,4,91,0.537262,0.677312,-6.29331,-2.45927,0.677312,1
1,2,91,0.714619,0.63555,-6.29331,-2.45927,0.63555,0
1,1,91,0.357339,-0.043494,-6.29331,-2.45927,-0.043494,0
1,19,90,-1.46727,0.110389,-6.05291,-2.36134,0.110389,1
1,17,90,-0.626485,0.373538,-6.05291,-2.36134,0.373538,1
1,15,90,0.11675,-0.0450979,-6.05291,-2.36134,-0.0450979,0
1,13,90,-0.107287,0.380365,-6.05291,-2.36134,0.380365,1
1,7,90,0.565556,1.19208,-6.05291,-2.36134,1.19208,1
1,4,90,0.632913,0.83415,-6.05291,-2.36134,0.83415,1
1,2,90,0.752254,0.752381,-6.05291,-2.36134,0.752381,1
1,1,90,0.439388,-0.0195025,-6.05291,-2.36134,-0.0195025,0
1,19,89,-1.50227,0.301261,-5.75042,-2.39784,0.301261,1
1,17,89,-0.547008,0.335582,-5.75042,-2.39784,-0.547008,1
1,15,89,0.0329966,-0.0933691,-5.75042,-2.39784,-0.0933691,0
1,13,89,0.16628,0.508009,-5.75042,-2.39784,0.508009,1
1,7,89,0.635316,1.24685,-5.75042,-2.39784,1.24685,1
1,4,89,0.596272,0.866687,-5.75042,-2.39784,0.866687,1
1,2,89,0.692264,0.832478,-5.75042,-2.39784,0.832478,1
1,1,89,0.293863,0.168961,-5.75042,-2.39784,0.168961,0
1,19,88,-1.33441,0.3007,-5.55605,-2.24038,-1.33441,1
1,17,88,-0.872686,0.136827,-5.55605,-2.24038,0.136827,1
1,15,88,0.197005,0.0951822,-5.55605,-2.24038,0.0951822,0
1,13,88,0.262977,0.589306,-5.55605,-2.24038,0.589306,1
1,7,88,0.689242,1.29275,-5.55605,-2.24038,1.29275,1
1,4,88,0.905402,0.81173,-5.55605,-2.24038,0.81173,0
1,2,88,0.775639,0.894625,-5.55605,-2.24038,0.894625,1
1,1,88,0.464798,0.135827,-5.55605,-2.24038,0.135827,0
1,19,87,-1.17526,0.41437,-5.60239,-2.09737,0.41437,1
1,17,87,-0.738544,0.37679,-5.60239,-2.09737,0.37679,1
1,15,87,0.137452,-0.0220944,-5.60239,-2.09737,-0.0220944,0
1,13,87,0.21872,0.547237,-5.60239,-2.09737,0.547237,1
1,7,87,0.752612,1.30506,-5.60239,-2.09737,1.30506,1
1,4,87,0.978842,0.923545,-5.60239,-2.09737,0.923545,0
1,2,87,0.848306,0.904105,-5.60239,-2.09737,0.904105,1
1,1,87,0.5617,0.190829,-5.60239,-2.09737,0.190829,0
1,19,86,-1.22277,0.260184,-5.61978,-2.01828,0.260184,1
1,17,86,-0.624934,0.499351,-5.61978,-2.01828,-0.624934,1
1,15,86,-0.222934,-0.259023,-5.61978,-2.01828,-0.259023,0
1,13,86,0.47566,0.712926,-5.61978,-2.01828,0.47566,1
1,7,86,0.809985,1.35061,-5.61978,-2.01828,1.35061,1
1,4,86,0.936229,0.992829,-5.61978,-2.01828,0.992829,1
1,2,86,1.01995,0.8444,-5.61978,-2.01828,0.8444,0
1,1,86,0.515048,0.232239,-5.61978,-2.01828,0.232239,0
