,Score1,Score2
0,10,37
1,7,14
2,25,21
3,25,31
4,14,26
5,9,33
6,14,13
7,10,6
8,26,21
9,34,17
10,10,23
11,22,24
12,19,24
13,9,24
14,3,14
15,17,10
16,26,14
17,27,16
18,20,24
19,34,10
20,14,12
21,13,24
22,45,24
23,27,13
24,21,7
25,28,20
26,14,13
27,10,31
28,37,18
29,10,16
30,40,14
31,28,20
32,20,17
33,16,23
34,31,19
35,10,17
36,3,37
37,17,17
38,13,20
39,21,16
40,23,26
41,28,16
42,13,14
43,24,25
44,19,6
45,14,17
46,10,20
47,13,16
48,10,24
49,14,21
50,26,21
51,14,24
52,27,0
53,23,16
54,17,16
55,20,10
56,17,3
57,34,14
58,20,20
59,24,20
60,20,43
61,14,30
62,21,17
63,7,35
64,42,20
65,31,7
66,19,17
67,9,3
68,17,3
69,16,21
70,21,27
71,17,17
72,17,38
73,20,21
74,26,31
75,17,23
76,13,16
77,34,19
78,20,31
79,10,19
80,31,19
81,17,13
82,17,10
83,40,7
84,6,0
85,16,23
86,17,3
87,0,24
88,12,17
89,27,12
90,10,20
91,17,13
92,24,22
93,14,24
94,15,13
95,10,16
96,7,31
97,30,14
98,13,17
99,19,7
100,24,30
101,17,17
102,27,19
103,17,28
104,27,23
105,9,14
106,17,17
107,16,20
108,31,21
109,18,20
110,0,17
111,24,16
112,17,13
113,16,14
114,3,23
115,13,29
116,9,12
117,14,29
118,31,13
119,10,20
120,21,25
121,12,26
122,14,14
123,13,3
124,21,13
125,20,19
126,3,22
127,34,34
128,31,28
129,26,27
130,6,34
131,16,21
132,16,26
133,13,9
134,10,3
135,27,17
136,35,22
137,15,9
138,6,6
139,19,24
140,6,21
141,16,13
142,16,20
143,20,24
144,30,23
145,10,20
146,17,38
147,13,16
148,10,10
149,23,21
150,24,28
151,9,40
152,27,30
153,13,14
154,26,24
155,10,24
156,20,20
157,16,10
158,16,30
159,27,17
160,30,13
161,13,16
162,20,38
163,23,24
164,20,24
165,13,20
166,21,28
167,20,10
168,16,20
169,9,10
170,28,24
171,7,21
172,22,18
173,13,35
174,17,14
175,14,3
176,13,20
177,16,10
178,27,30
179,10,16
180,10,13
181,14,10
182,27,16
183,13,41
184,23,23
185,10,28
186,6,13
187,16,13
188,7,13
189,27,11
190,10,27
191,31,3
192,24,44
193,10,28
194,22,16
195,6,17
196,7,21
197,9,6
198,13,16
199,19,13
200,14,17
201,12,10
202,7,21
203,17,34
204,24,14
205,24,19
206,10,16
207,0,31
208,17,29
209,23,6
210,17,15
211,13,10
212,16,26
213,0,39
214,23,3
215,14,33
216,13,7
217,21,24
218,23,8
219,20,3
220,21,16
221,19,7
