Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.1725,-0.62234,-3.41916,-3.35117,-0.62234,1
1,19,99,-2.27643,-0.487474,-3.41916,-3.35117,-0.487474,1
1,18,99,-1.7956,-0.913835,-3.41916,-3.35117,-0.913835,1
1,17,99,-1.21808,-1.18191,-3.41916,-3.35117,-1.18191,1
1,15,99,-1.7301,-1.01479,-3.41916,-3.35117,-1.01479,1
1,13,99,-0.990159,-0.350232,-3.41916,-3.35117,-0.350232,1
1,12,99,-0.341618,-0.37349,-3.41916,-3.35117,-0.341618,0
1,10,99,-0.237679,-0.644185,-3.41916,-3.35117,-0.644185,0
1,9,99,-0.460314,-0.632223,-3.41916,-3.35117,-0.632223,0
1,7,99,-0.110797,-0.139456,-3.41916,-3.35117,-0.139456,0
1,4,99,-0.298409,0.132676,-3.41916,-3.35117,0.132676,1
1,3,99,-0.274145,-0.538827,-3.41916,-3.35117,-0.538827,0
1,2,99,-0.244538,-0.114777,-3.41916,-3.35117,-0.114777,1
1,1,99,-1.78048,-0.446953,-3.41916,-3.35117,-0.446953,1
1,20,98,-1.88652,-0.585478,-3.41916,-3.12829,-0.585478,1
1,19,98,-1.89904,-0.347562,-3.41916,-3.12829,-0.347562,1
1,18,98,-1.5878,-0.816816,-3.41916,-3.12829,-0.816816,1
1,17,98,-0.91205,-1.03576,-3.41916,-3.12829,-1.03576,0
1,15,98,-1.16129,-0.907799,-3.41916,-3.12829,-0.907799,1
1,13,98,-0.388518,-0.325025,-3.41916,-3.12829,-0.388518,1
1,12,98,-0.0268763,-0.0475133,-3.41916,-3.12829,-0.0475133,0
1,9,98,-0.0561265,-0.567499,-3.41916,-3.12829,-0.567499,0
1,7,98,0.00153056,0.0428999,-3.41916,-3.12829,0.0428999,1
1,4,98,-0.267678,0.278792,-3.41916,-3.12829,0.278792,1
1,3,98,-0.101765,-0.254708,-3.41916,-3.12829,-0.254708,0
1,2,98,-0.0403116,0.0739722,-3.41916,-3.12829,0.0739722,1
1,1,98,-1.59377,-0.299475,-3.41916,-3.12829,-0.299475,1
1,20,97,-1.80247,-0.706954,-3.41916,-2.81209,-1.80247,1
1,19,97,-1.78175,-0.373907,-3.41916,-2.81209,-0.373907,1
1,18,97,-1.44558,-0.718522,-3.41916,-2.81209,-0.718522,1
1,17,97,-1.05219,-1.07341,-3.41916,-2.81209,-1.07341,0
1,15,97,-1.06889,-0.888501,-3.41916,-2.81209,-0.888501,1
1,13,97,-0.364869,-0.140574,-3.41916,-2.81209,-0.140574,1
1,12,97,0.0951692,0.111137,-3.41916,-2.81209,0.111137,1
