Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.29948,-1.13597,-3.41916,-3.35117,-1.13597,1
1,19,99,-2.16426,-0.386981,-3.41916,-3.35117,-0.386981,1
1,18,99,-2.68977,-0.721059,-3.41916,-3.35117,-0.721059,1
1,17,99,-1.83923,-1.48259,-3.41916,-3.35117,-1.48259,1
1,15,99,-0.860265,-1.2613,-3.41916,-3.35117,-1.2613,0
1,13,99,-0.756765,-0.94835,-3.41916,-3.35117,-0.94835,0
1,12,99,-0.944369,-0.887935,-3.41916,-3.35117,-0.944369,1
1,10,99,-0.446514,-0.206212,-3.41916,-3.35117,-0.206212,1
1,9,99,-0.767588,-0.447075,-3.41916,-3.35117,-0.447075,1
1,7,99,-0.621077,-0.853598,-3.41916,-3.35117,-0.853598,0
1,4,99,-0.488312,-0.0623172,-3.41916,-3.35117,-0.0623172,1
1,3,99,-0.206707,-0.246526,-3.41916,-3.35117,-0.246526,0
1,2,99,-0.490345,-0.32043,-3.41916,-3.35117,-0.32043,1
1,1,99,-0.942901,-0.986797,-3.41916,-3.35117,-0.986797,0
1,20,98,-2.0637,-1.08436,-3.41916,-3.12829,-1.08436,1
1,19,98,-1.88619,-0.513559,-3.41916,-3.12829,-0.513559,1
1,18,98,-1.95884,-0.631377,-3.41916,-3.12829,-0.631377,1
1,17,98,-1.41056,-1.29436,-3.41916,-3.12829,-1.29436,1
1,15,98,-0.783495,-1.05793,-3.41916,-3.12829,-1.05793,0
1,13,98,-0.573762,-0.989547,-3.41916,-3.12829,-0.573762,0
1,12,98,-0.468412,-0.593485,-3.41916,-3.12829,-0.593485,0
1,9,98,-0.491847,-0.346772,-3.41916,-3.12829,-0.346772,1
1,7,98,-0.28043,-0.679336,-3.41916,-3.12829,-0.679336,0
1,4,98,-0.385199,0.0906096,-3.41916,-3.12829,0.0906096,1
1,3,98,-0.0342194,-0.118148,-3.41916,-3.12829,-0.118148,0
1,2,98,-0.357241,-0.123109,-3.41916,-3.12829,-0.123109,1
1,1,98,-0.954816,-0.942948,-3.41916,-3.12829,-0.942948,1
1,20,97,-1.69979,-0.960764,-3.41916,-2.81209,-1.69979,1
1,19,97,-1.77247,-0.731087,-3.41916,-2.81209,-0.731087,1
1,18,97,-1.83226,-0.559822,-3.41916,-2.81209,-0.559822,1
1,17,97,-1.30791,-1.17782,-3.41916,-2.81209,-1.17782,1
1,15,97,-0.577331,-1.00293,-3.41916,-2.81209,-1.00293,0
1,13,97,-0.539292,-0.80655,-3.41916,-2.81209,-0.80655,0
1,12,97,-0.545433,-0.585469,-3.41916,-2.81209,-0.585469,0
1,7,97,-0.168728,-0.605357,-3.41916,-2.81209,-0.605357,0
1,4,97,-0.389629,0.196366,-3.41916,-2.81209,0.196366,1
1,3,97,-0.178508,-0.0406131,-3.41916,-2.81209,-0.0406131,1
1,2,97,-0.371494,-0.0980531,-3.41916,-2.81209,-0.0980531,1
1,20,96,-1.40387,-0.894397,-3.41916,-2.99602,-0.894397,1
1,19,96,-1.53357,-0.224993,-3.41916,-2.99602,-0.224993,1
1,18,96,-1.97135,-0.721623,-3.41916,-2.99602,-0.721623,1
1,17,96,-1.19481,-1.04518,-3.41916,-2.99602,-1.04518,1
1,15,96,-0.374683,-0.885042,-3.41916,-2.99602,-0.885042,0
1,13,96,-0.351574,-0.725825,-3.41916,-2.99602,-0.351574,0
1,12,96,-0.476193,-0.592019,-3.41916,-2.99602,-0.592019,0
1,9,96,-0.468227,-0.372921,-3.41916,-2.99602,-0.372921,1
1,7,96,-0.0643474,-0.581905,-3.41916,-2.99602,-0.581905,0
1,4,96,-0.300087,0.195124,-3.41916,-2.99602,0.195124,1
1,3,96,-0.0557282,-0.0280843,-3.41916,-2.99602,-0.0280843,1
1,2,96,-0.238064,-0.145472,-3.41916,-2.99602,-0.145472,1
1,19,95,-1.45941,-0.0877279,-3.41916,-2.85377,-0.0877279,1
1,17,95,-1.21881,-1.19041,-3.41916,-2.85377,-1.19041,1
1,15,95,-0.338279,-0.856316,-3.41916,-2.85377,-0.338279,0
1,13,95,-0.205518,-0.566493,-3.41916,-2.85377,-0.566493,0
1,7,95,-0.146343,-0.54709,-3.41916,-2.85377,-0.54709,0
1,4,95,-0.179585,0.444966,-3.41916,-2.85377,0.444966,1
1,2,95,-0.15474,-0.0569714,-3.41916,-2.85377,-0.0569714,1
1,1,95,-0.111789,-0.650868,-3.41916,-2.85377,-0.650868,0
1,19,94,-1.41863,-0.169304,-3.41916,-2.55553,-0.169304,1
1,17,94,-1.17054,-0.918554,-3.41916,-2.55553,-0.918554,1
1,15,94,-0.388581,-0.676324,-3.41916,-2.55553,-0.676324,0
1,13,94,-0.0460434,-0.446439,-3.41916,-2.55553,-0.446439,0
1,7,94,-0.100194,-0.560381,-3.41916,-2.55553,-0.560381,0
1,4,94,-0.160789,0.228001,-3.41916,-2.55553,0.228001,1
1,2,94,-0.0266471,-0.0762272,-3.41916,-2.55553,-0.0762272,0
1,1,94,-0.203335,-0.574054,-3.41916,-2.55553,-0.574054,0
1,19,93,-1.38576,0.019051,-3.41916,-2.51688,0.019051,1
1,17,93,-1.14154,-0.778857,-3.41916,-2.51688,-0.778857,1
1,15,93,-0.373948,-0.771823,-3.41916,-2.51688,-0.771823,0
1,13,93,0.0204841,-0.394622,-3.41916,-2.51688,-0.394622,0
1,7,93,-0.0846562,-0.353191,-3.41916,-2.51688,-0.353191,0
1,4,93,-0.0214163,0.538032,-3.41916,-2.51688,0.538032,1
1,2,93,-0.00750851,0.178229,-3.41916,-2.51688,0.178229,1
1,1,93,0.037091,-0.453673,-3.41916,-2.51688,-0.453673,0
1,19,92,-1.29259,0.0182298,-6.43894,-2.39982,0.0182298,1
1,17,92,-1.04673,-0.748434,-6.43894,-2.39982,-0.748434,1
1,15,92,-0.218334,-0.474767,-6.43894,-2.39982,-0.474767,0
1,13,92,0.0852842,-0.43186,-6.43894,-2.39982,-0.43186,0
1,7,92,-0.0795904,-0.444006,-6.43894,-2.39982,-0.444006,0
1,4,92,-0.018004,0.232367,-6.43894,-2.39982,0.232367,1
1,2,92,-0.011551,0.32506,-6.43894,-2.39982,0.32506,1
1,1,92,0.135466,-0.379559,-6.43894,-2.39982,-0.379559,0
1,19,91,-1.33844,0.153814,-6.29331,-2.45927,0.153814,1
1,17,91,-1.05359,-0.764937,-6.29331,-2.45927,-0.764937,1
1,15,91,-0.12148,-0.449196,-6.29331,-2.45927,-0.12148,0
1,13,91,0.0312291,-0.592884,-6.29331,-2.45927,-0.592884,0
1,7,91,-0.0214042,-0.224891,-6.29331,-2.45927,-0.224891,0
1,4,91,-0.128608,0.297677,-6.29331,-2.45927,0.297677,1
1,2,91,0.11042,0.320785,-6.29331,-2.45927,0.320785,1
1,1,91,0.20482,-0.36643,-6.29331,-2.45927,-0.36643,0
1,19,90,-1.39729,0.14035,-6.05291,-2.36134,0.14035,1
1,17,90,-0.974449,-0.692159,-6.05291,-2.36134,-0.692159,1
1,15,90,-0.258731,-0.311613,-6.05291,-2.36134,-0.311613,0
1,13,90,0.163877,-0.225595,-6.05291,-2.36134,-0.225595,0
1,7,90,0.0715933,0.00129402,-6.05291,-2.36134,0.00129402,0
1,4,90,-0.015723,0.333399,-6.05291,-2.36134,0.333399,1
1,2,90,0.190633,0.30444,-6.05291,-2.36134,0.30444,1
1,1,90,0.142435,-0.411819,-6.05291,-2.36134,-0.411819,0
1,19,89,-1.4657,0.212335,-5.75042,-2.39784,0.212335,1
1,17,89,-1.02301,-0.519941,-5.75042,-2.39784,-1.02301,1
1,15,89,-0.261929,-0.327458,-5.75042,-2.39784,-0.261929,0
1,13,89,0.290922,-0.0845233,-5.75042,-2.39784,-0.0845233,0
1,7,89,0.104663,0.134491,-5.75042,-2.39784,0.134491,1
1,4,89,-0.0438588,0.222046,-5.75042,-2.39784,0.222046,1
1,2,89,0.0307333,0.308591,-5.75042,-2.39784,0.308591,1
1,1,89,0.174631,0.0867432,-5.75042,-2.39784,0.0867432,0
1,19,88,-1.24649,0.178419,-5.55605,-2.24038,-1.24649,1
1,17,88,-1.09906,-0.62279,-5.55605,-2.24038,-0.62279,1
1,15,88,-0.199983,-0.33242,-5.55605,-2.24038,-0.33242,0
1,13,88,0.111535,0.0202871,-5.55605,-2.24038,0.0202871,0
1,7,88,0.295938,0.274382,-5.55605,-2.24038,0.274382,0
1,4,88,0.213985,0.267179,-5.55605,-2.24038,0.267179,1
1,2,88,0.0857279,0.568664,-5.55605,-2.24038,0.568664,1
1,1,88,0.389423,-0.26466,-5.55605,-2.24038,-0.26466,0
1,19,87,-1.12363,0.245941,-5.60239,-2.09737,0.245941,1
1,17,87,-1.16707,-0.3723,-5.60239,-2.09737,-0.3723,1
1,15,87,-0.340583,-0.139086,-5.60239,-2.09737,-0.139086,1
1,13,87,0.15971,0.123374,-5.60239,-2.09737,0.123374,0
1,7,87,0.363695,0.386942,-5.60239,-2.09737,0.386942,1
1,4,87,0.480568,0.444415,-5.60239,-2.09737,0.444415,0
1,2,87,0.0651862,0.230734,-5.60239,-2.09737,0.230734,1
1,1,87,0.0325281,-0.297479,-5.60239,-2.09737,-0.297479,0
1,19,86,-0.898205,0.276532,-5.61978,-2.01828,0.276532,1
1,17,86,-0.855742,-0.309335,-5.61978,-2.01828,-0.855742,1
1,15,86,-0.281331,-0.21016,-5.61978,-2.01828,-0.21016,1
1,13,86,0.317136,0.0610591,-5.61978,-2.01828,0.317136,0
1,7,86,0.358639,0.390089,-5.61978,-2.01828,0.390089,1
1,4,86,0.705264,0.339735,-5.61978,-2.01828,0.339735,0
1,2,86,0.462919,0.48389,-5.61978,-2.01828,0.48389,1
1,1,86,0.332135,-0.170528,-5.61978,-2.01828,-0.170528,0
1,19,85,-0.0891925,-0.0243865,-5.14185,-2.10808,-0.0243865,1
1,17,85,-0.429298,-0.0286162,-5.14185,-2.10808,-0.0286162,1
1,15,85,-0.253026,0.699163,-5.14185,-2.10808,0.699163,1
1,13,85,-0.548731,1.2015,-5.14185,-2.10808,1.2015,1
1,7,85,0.366349,-0.389595,-5.14185,-2.10808,-0.389595,0
1,4,85,0.401348,-0.375775,-5.14185,-2.10808,-0.375775,0
1,2,85,0.28804,0.370024,-5.14185,-2.10808,0.370024,1
1,1,85,0.361508,1.02555,-5.14185,-2.10808,1.02555,1
1,19,84,-0.0891172,0.241858,-5.35927,-2.00544,0.241858,1
1,17,84,-0.372663,-0.118032,-5.35927,-2.00544,-0.118032,1
1,15,84,-0.201182,0.654805,-5.35927,-2.00544,0.654805,1
1,13,84,-0.572417,1.11519,-5.35927,-2.00544,1.11519,1
1,7,84,0.660633,-0.234625,-5.35927,-2.00544,-0.234625,0
1,4,84,0.690618,-0.321437,-5.35927,-2.00544,-0.321437,0
1,2,84,0.689234,0.415546,-5.35927,-2.00544,0.415546,0
1,1,84,0.349294,1.13027,-5.35927,-2.00544,1.13027,1
1,19,83,0.100633,0.379588,-5.22327,-1.89942,0.100633,1
1,17,83,-0.464213,-0.13325,-5.22327,-1.89942,-0.13325,1
1,15,83,-0.0820417,0.768893,-5.22327,-1.89942,0.768893,1
1,13,83,0.0317539,1.24405,-5.22327,-1.89942,1.24405,1
1,7,83,0.768259,-0.199899,-5.22327,-1.89942,-0.199899,0
1,4,83,0.717882,-0.356026,-5.22327,-1.89942,-0.356026,0
1,2,83,0.578877,0.47627,-5.22327,-1.89942,0.47627,0
1,1,83,0.6878,1.15677,-5.22327,-1.89942,1.15677,1
1,19,82,-0.0343103,0.196455,-5.04662,-1.89873,0.196455,1
1,17,82,-0.561836,-0.0814908,-5.04662,-1.89873,-0.561836,1
1,15,82,-0.189744,0.648007,-5.04662,-1.89873,0.648007,1
1,13,82,-0.0752244,1.30558,-5.04662,-1.89873,1.30558,1
1,9,82,0.948511,1.35847,-5.04662,-1.89873,1.35847,1
1,7,82,0.817311,-0.0379593,-5.04662,-1.89873,-0.0379593,0
1,4,82,0.786537,-0.352426,-5.04662,-1.89873,-0.352426,0
1,2,82,0.813828,0.606456,-5.04662,-1.89873,0.606456,0
1,1,82,0.480365,1.19248,-5.04662,-1.89873,1.19248,1
1,19,81,0.0228221,0.360076,-4.70389,-1.77463,0.360076,1
1,17,81,-0.291586,-0.455576,-4.70389,-1.77463,-0.455576,0
1,15,81,-0.0379206,0.742915,-4.70389,-1.77463,0.742915,1
1,13,81,0.0845452,1.39728,-4.70389,-1.77463,1.39728,1
1,7,81,0.853562,0.100963,-4.70389,-1.77463,0.100963,0
1,4,81,0.798157,-0.115924,-4.70389,-1.77463,-0.115924,0
1,2,81,0.776667,0.706076,-4.70389,-1.77463,0.706076,0
1,1,81,0.836805,1.25516,-4.70389,-1.77463,1.25516,1
1,19,80,0.121618,0.547606,-4.82344,-1.66435,0.547606,1
1,17,80,0.224104,-0.598563,-4.82344,-1.66435,-0.598563,0
1,15,80,0.0867081,0.857165,-4.82344,-1.66435,0.857165,1
1,13,80,-0.0539594,1.26768,-4.82344,-1.66435,1.26768,1
1,7,80,0.883006,0.158558,-4.82344,-1.66435,0.158558,0
1,4,80,0.957963,-0.0133463,-4.82344,-1.66435,-0.0133463,0
1,2,80,0.843254,0.756989,-4.82344,-1.66435,0.756989,0
1,1,80,0.796969,1.20789,-4.82344,-1.66435,1.20789,1
1,19,79,0.264159,0.732399,-4.30456,-1.7295,0.732399,1
1,17,79,0.295166,-0.540296,-4.30456,-1.7295,-0.540296,0
1,15,79,0.151018,0.829039,-4.30456,-1.7295,0.829039,1
1,13,79,0.0818282,1.37312,-4.30456,-1.7295,1.37312,1
1,9,79,1.05311,1.59652,-4.30456,-1.7295,1.59652,1
1,7,79,1.02379,0.242461,-4.30456,-1.7295,0.242461,0
1,4,79,1.07271,0.0509095,-4.30456,-1.7295,0.0509095,0
1,2,79,0.988863,0.849222,-4.30456,-1.7295,0.849222,0
1,1,79,0.873053,1.43634,-4.30456,-1.7295,1.43634,1
1,19,78,0.307436,0.648547,-4.65291,-1.66623,0.648547,1
1,17,78,0.335573,-0.586155,-4.65291,-1.66623,-0.586155,0
1,15,78,0.0600162,0.696878,-4.65291,-1.66623,0.696878,1
1,13,78,0.369058,1.46724,-4.65291,-1.66623,1.46724,1
1,9,78,0.992782,1.54915,-4.65291,-1.66623,1.54915,1
1,7,78,1.03301,0.321854,-4.65291,-1.66623,0.321854,0
1,4,78,1.12027,0.153794,-4.65291,-1.66623,0.153794,0
1,2,78,1.09164,1.02671,-4.65291,-1.66623,1.02671,0
1,1,78,1.06815,1.4483,-4.65291,-1.66623,1.4483,1
1,19,77,0.0914143,0.682897,-4.67517,-1.58996,0.682897,1
1,17,77,0.497727,-0.156673,-4.67517,-1.58996,-0.156673,0
1,15,77,0.191042,0.795298,-4.67517,-1.58996,0.795298,1
1,13,77,0.373534,1.57781,-4.67517,-1.58996,1.57781,1
1,9,77,1.12104,1.67567,-4.67517,-1.58996,1.67567,1
1,7,77,1.14287,0.413101,-4.67517,-1.58996,0.413101,0
1,4,77,1.29529,0.145368,-4.67517,-1.58996,0.145368,0
1,2,77,1.14344,1.12054,-4.67517,-1.58996,1.12054,0
1,1,77,1.13105,1.5236,-4.67517,-1.58996,1.5236,1
1,19,76,0.158196,0.796599,-4.75214,-1.45125,0.796599,1
1,17,76,0.41738,-0.242148,-4.75214,-1.45125,-0.242148,0
1,15,76,0.279761,0.808588,-4.75214,-1.45125,0.808588,1
1,13,76,0.433412,1.60307,-4.75214,-1.45125,1.60307,1
1,9,76,0.877942,1.60894,-4.75214,-1.45125,1.60894,1
1,7,76,1.00827,0.379475,-4.75214,-1.45125,0.379475,0
1,4,76,1.31258,0.370967,-4.75214,-1.45125,0.370967,0
1,2,76,1.25638,1.24214,-4.75214,-1.45125,1.24214,0
1,1,76,1.26733,1.7064,-4.75214,-1.45125,1.7064,1
1,19,75,0.322931,0.594097,-4.90201,-1.41384,0.594097,1
1,17,75,0.505839,-0.313281,-4.90201,-1.41384,-0.313281,0
1,15,75,0.573749,1.00752,-4.90201,-1.41384,1.00752,1
1,13,75,0.587979,1.7237,-4.90201,-1.41384,1.7237,1
1,9,75,1.03477,1.72401,-4.90201,-1.41384,1.72401,1
1,7,75,1.03798,0.424179,-4.90201,-1.41384,0.424179,0
1,4,75,1.4472,0.421755,-4.90201,-1.41384,0.421755,0
1,2,75,1.4086,1.26093,-4.90201,-1.41384,1.26093,0
1,1,75,1.40599,1.87257,-4.90201,-1.41384,1.87257,1
1,19,74,0.339951,0.692258,-4.86797,-1.45906,0.692258,1
1,17,74,0.685525,-0.0448737,-4.86797,-1.45906,0.685525,0
1,15,74,0.650211,0.90601,-4.86797,-1.45906,0.90601,1
1,13,74,0.594764,1.69576,-4.86797,-1.45906,1.69576,1
1,9,74,1.16893,1.8282,-4.86797,-1.45906,1.8282,1
1,7,74,0.906829,0.414583,-4.86797,-1.45906,0.414583,0
1,4,74,1.66488,0.465275,-4.86797,-1.45906,0.465275,0
1,2,74,1.53562,1.29523,-4.86797,-1.45906,1.29523,0
1,1,74,1.53198,1.96914,-4.86797,-1.45906,1.96914,1
1,19,73,0.303101,0.620288,-4.58061,-1.30758,0.620288,1
1,17,73,0.539288,-0.207213,-4.58061,-1.30758,-0.207213,0
1,15,73,0.471974,0.893325,-4.58061,-1.30758,0.893325,1
1,13,73,0.986371,1.60525,-4.58061,-1.30758,1.60525,1
1,9,73,0.644986,1.76518,-4.58061,-1.30758,1.76518,1
1,7,73,1.03198,0.465516,-4.58061,-1.30758,0.465516,0
1,4,73,1.29272,0.457877,-4.58061,-1.30758,0.457877,0
