Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,3.12874,2.69321,-1000,-3.35117,3.12874,0
1,19,99,-3.41916,3.95748,-1000,-3.35117,3.95748,1
1,18,99,-0.101128,6.38914,-1000,-3.35117,6.38914,1
1,17,99,6.2653,5.4839,-1000,-3.35117,6.2653,0
1,15,99,4.43436,3.63393,-1000,-3.35117,4.43436,0
1,13,99,-3.41916,5.43855,-1000,-3.35117,5.43855,1
1,12,99,6.25838,6.27827,-1000,-3.35117,6.27827,1
1,10,99,6.48786,5.3511,-1000,-3.35117,6.48786,0
1,9,99,6.55877,6.39352,-1000,-3.35117,6.55877,0
1,7,99,6.49852,6.46212,-1000,-3.35117,6.49852,0
1,4,99,6.4801,6.38419,-1000,-3.35117,6.4801,0
1,3,99,6.35709,6.37311,-1000,-3.35117,6.37311,1
1,2,99,6.11486,6.11486,-1000,-3.35117,6.11486,0
1,1,99,6.36206,6.36206,-1000,-3.35117,6.36206,0
2,20,99,2.06762,4.78244,-1000,-3.35117,4.78244,1
2,18,99,0.373425,3.41726,-1000,-3.35117,3.41726,1
2,17,99,2.81334,3.29606,-1000,-3.35117,3.29606,1
2,16,99,-2.39982,-3.04892,-1000,-3.35117,-2.39982,0
2,15,99,2.47517,0.918684,-1000,-3.35117,2.47517,0
2,13,99,-0.790896,-0.790896,-1000,-3.35117,-0.790896,0
2,10,99,4.21646,4.31306,-1000,-3.35117,4.31306,1
2,8,99,6.42641,6.40091,-1000,-3.35117,6.42641,0
2,7,99,6.44785,6.46032,-1000,-3.35117,6.46032,1
2,4,99,6.38419,3.71021,-1000,-3.35117,6.38419,0
2,3,99,6.00641,6.40347,-1000,-3.35117,6.40347,1
2,2,99,1.63585,6.11486,-1000,-3.35117,6.11486,1
2,1,99,6.36206,3.93022,-1000,-3.35117,6.36206,0
3,20,99,-2.01828,-2.69792,-1000,-3.35117,-2.01828,0
3,16,99,-2.67868,-4.35522,-1000,-3.35117,-2.67868,0
3,15,99,-3.35117,-4.82224,-1000,-3.35117,-3.35117,0
3,13,99,-3.35117,1.83737,-1000,-3.35117,1.83737,1
3,11,99,1.56119,-2.79378,-1000,-3.35117,1.56119,0
3,10,99,-2.85377,2.07086,-1000,-3.35117,2.07086,1
3,9,99,-2.65652,1.61242,-1000,-3.35117,1.61242,1
3,8,99,-3.41916,6.5122,-1000,-3.35117,6.5122,1
3,5,99,1.5093,6.43574,-1000,-3.35117,6.43574,1
3,4,99,-3.35117,1.54806,-1000,-3.35117,1.54806,1
3,2,99,6.11486,-3.35117,-1000,-3.35117,6.11486,0
3,1,99,1.50309,-3.35117,-1000,-3.35117,1.50309,0
4,17,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,16,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,15,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,14,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,13,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,12,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,9,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,8,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,7,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,5,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,3,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,1,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
1,20,98,3.14229,2.70977,-1000,-3.12829,3.14229,0
1,19,98,-3.41916,4.01711,-1000,-3.12829,4.01711,1
1,18,98,1.66535,6.36924,-1000,-3.12829,6.36924,1
1,17,98,6.37268,5.41851,-1000,-3.12829,6.37268,0
1,15,98,4.54151,3.72349,-1000,-3.12829,4.54151,0
1,13,98,-1.70958,5.55274,-1000,-3.12829,5.55274,1
1,12,98,6.14882,6.16859,-1000,-3.12829,6.16859,1
1,10,98,6.44906,5.30364,-1000,-3.12829,6.44906,0
1,9,98,6.4518,6.42318,-1000,-3.12829,6.4518,0
1,7,98,6.49153,6.52371,-1000,-3.12829,6.52371,1
1,4,98,6.39973,6.25791,-1000,-3.12829,6.39973,0
1,3,98,6.0689,6.37453,-1000,-3.12829,6.37453,1
1,2,98,6.14045,6.14045,-1000,-3.12829,6.14045,0
1,1,98,6.3933,6.3933,-1000,-3.12829,6.3933,0
2,20,98,2.14515,4.78264,-1000,-3.12829,4.78264,1
2,18,98,0.435188,3.51659,-1000,-3.12829,3.51659,1
2,17,98,2.80135,3.2169,-1000,-3.12829,3.2169,1
2,16,98,-2.45927,-3.02248,-1000,-3.12829,-2.45927,0
2,15,98,2.54581,1.2277,-1000,-3.12829,2.54581,0
2,13,98,0.956795,-0.752785,-1000,-3.12829,0.956795,0
2,10,98,4.17235,4.23803,-1000,-3.12829,4.23803,1
2,7,98,6.5122,6.44907,-1000,-3.12829,6.5122,0
2,4,98,6.25791,3.77048,-1000,-3.12829,6.25791,0
2,3,98,6.12903,6.48361,-1000,-3.12829,6.48361,1
2,2,98,1.77967,6.14045,-1000,-3.12829,6.14045,1
2,1,98,6.3933,4.01792,-1000,-3.12829,6.3933,0
3,20,98,-2.10808,-2.65652,-1000,-3.12829,-2.10808,0
3,16,98,-2.6258,-4.17578,-1000,-3.12829,-2.6258,0
3,15,98,-3.12829,-4.5906,-1000,-3.12829,-3.12829,0
3,13,98,-3.12829,1.91359,-1000,-3.12829,1.91359,1
3,11,98,3.18103,-2.58671,-1000,-3.12829,3.18103,0
3,10,98,-2.55553,1.95139,-1000,-3.12829,1.95139,1
3,9,98,-2.45843,1.70663,-1000,-3.12829,1.70663,1
3,8,98,0,6.55877,-1000,-3.12829,6.55877,1
3,5,98,1.66269,6.56563,-1000,-3.12829,6.56563,1
3,4,98,-3.12829,1.66006,-1000,-3.12829,1.66006,1
3,2,98,6.14045,-3.12829,-1000,-3.12829,6.14045,0
3,1,98,1.63585,-3.12829,-1000,-3.12829,1.63585,0
4,17,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,16,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,15,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,14,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,13,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,12,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,9,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,8,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,7,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,5,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,3,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
4,1,98,-6.29331,-6.29331,-1000,-3.12829,-3.12829,3
1,20,97,2.95278,2.73685,-1000,-2.81209,2.95278,0
1,19,97,-1.70958,3.99635,-1000,-2.81209,3.99635,1
1,18,97,1.68258,6.42306,-1000,-2.81209,6.42306,1
1,17,97,6.46366,5.51541,-1000,-2.81209,6.46366,0
1,15,97,4.49185,2.58683,-1000,-2.81209,4.49185,0
1,13,97,-1.70958,5.52906,-1000,-2.81209,5.52906,1
1,12,97,6.34136,6.24467,-1000,-2.81209,6.34136,0
1,7,97,6.4928,6.51608,-1000,-2.81209,6.51608,1
1,4,97,6.30825,6.25445,-1000,-2.81209,6.30825,0
1,3,97,6.00745,6.29139,-1000,-2.81209,6.29139,1
1,2,97,6.37716,6.37716,-1000,-2.81209,6.37716,0
1,10,97,6.35735,5.30121,-1000,-2.81209,6.35735,0
1,1,97,6.34275,6.34275,-1000,-2.81209,6.34275,0
2,20,97,2.21219,4.33752,-1000,-2.81209,4.33752,1
2,18,97,0.49276,3.55282,-1000,-2.81209,3.55282,1
2,17,97,2.82358,3.3307,-1000,-2.81209,3.3307,1
2,16,97,-2.36134,-1.19898,-1000,-2.81209,-1.19898,1
2,15,97,2.61154,3.25721,-1000,-2.81209,3.25721,1
2,13,97,0.908814,0.908814,-1000,-2.81209,0.908814,0
2,12,97,6.24467,-0.36895,-1000,-2.81209,6.24467,0
2,10,97,4.17937,4.16757,-1000,-2.81209,4.17937,0
2,6,99,6.46384,5.8809,-1000,-3.35117,6.46384,0
1,14,97,6.36968,6.54886,-1000,-2.81209,6.54886,1
2,8,97,6.40675,6.42047,-1000,-2.81209,6.42047,1
2,7,97,6.55877,6.26909,-1000,-2.81209,6.55877,0
1,14,99,6.2376,6.30773,-1000,-3.35117,6.30773,1
2,6,97,6.34168,6.44729,-1000,-2.81209,6.44729,1
2,4,97,6.25445,4.13243,-1000,-2.81209,6.25445,0
2,3,97,6.27136,6.44877,-1000,-2.81209,6.44877,1
2,2,97,1.43817,6.37716,-1000,-2.81209,6.37716,1
2,1,97,6.34275,4.07555,-1000,-2.81209,6.34275,0
