Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.34482,-1.62096,-3.41916,-3.35117,-1.62096,1
1,19,99,-2.15999,-1.13913,-3.41916,-3.35117,-1.13913,1
1,18,99,-2.18207,-1.13344,-3.41916,-3.35117,-1.13344,1
1,17,99,-1.96667,-1.46646,-3.41916,-3.35117,-1.46646,1
1,15,99,-1.27308,-1.74942,-3.41916,-3.35117,-1.74942,0
1,13,99,-1.8024,-1.92964,-3.41916,-3.35117,-1.92964,0
1,12,99,-1.26137,-1.07302,-3.41916,-3.35117,-1.26137,1
1,10,99,-1.30731,-0.416377,-3.41916,-3.35117,-1.30731,1
1,9,99,-1.05881,-0.671956,-3.41916,-3.35117,-0.671956,1
1,7,99,-0.742556,-0.695295,-3.41916,-3.35117,-0.695295,1
1,4,99,-0.245375,-0.306604,-3.41916,-3.35117,-0.306604,0
1,3,99,-0.712166,-0.447746,-3.41916,-3.35117,-0.447746,1
1,2,99,-1.07459,-0.492497,-3.41916,-3.35117,-0.492497,1
1,1,99,-0.486341,-1.32971,-3.41916,-3.35117,-1.32971,0
1,20,98,-2.13007,-1.65839,-3.41916,-3.12829,-1.65839,1
1,19,98,-1.74168,-0.883824,-3.41916,-3.12829,-0.883824,1
1,18,98,-1.98979,-1.12298,-3.41916,-3.12829,-1.12298,1
1,17,98,-1.62306,-1.51641,-3.41916,-3.12829,-1.51641,1
1,15,98,-1.22623,-1.51821,-3.41916,-3.12829,-1.51821,0
1,13,98,-1.38846,-1.86518,-3.41916,-3.12829,-1.38846,0
1,12,98,-0.997208,-0.846102,-3.41916,-3.12829,-0.846102,1
1,9,98,-0.997897,-0.641242,-3.41916,-3.12829,-0.641242,1
1,7,98,-0.544249,-0.732817,-3.41916,-3.12829,-0.732817,0
1,4,98,-0.333373,-0.314329,-3.41916,-3.12829,-0.314329,1
1,3,98,-0.463037,-0.421784,-3.41916,-3.12829,-0.421784,1
1,2,98,-0.95577,-0.310691,-3.41916,-3.12829,-0.310691,1
1,1,98,-0.535243,-1.2248,-3.41916,-3.12829,-1.2248,0
1,20,97,-1.7165,-1.66215,-3.41916,-2.81209,-1.7165,1
1,19,97,-1.61641,-0.984272,-3.41916,-2.81209,-0.984272,1
1,18,97,-1.62543,-0.990746,-3.41916,-2.81209,-0.990746,1
1,17,97,-1.54121,-1.51548,-3.41916,-2.81209,-1.51548,1
1,15,97,-0.893768,-1.5041,-3.41916,-2.81209,-1.5041,0
1,13,97,-1.21289,-1.80095,-3.41916,-2.81209,-1.80095,0
1,12,97,-0.970182,-0.704691,-3.41916,-2.81209,-0.704691,1
1,7,97,-0.451422,-0.645147,-3.41916,-2.81209,-0.645147,0
1,4,97,-0.201768,-0.143171,-3.41916,-2.81209,-0.143171,1
1,3,97,-0.469887,-0.465943,-3.41916,-2.81209,-0.465943,1
1,2,97,-0.6663,-0.260387,-3.41916,-2.81209,-0.260387,1
1,20,96,-1.50676,-1.61447,-3.41916,-2.99602,-1.61447,0
1,19,96,-1.48227,-0.939676,-3.41916,-2.99602,-0.939676,1
1,18,96,-1.55793,-1.07292,-3.41916,-2.99602,-1.07292,1
1,17,96,-1.35911,-1.33693,-3.41916,-2.99602,-1.33693,1
1,15,96,-0.709205,-1.53502,-3.41916,-2.99602,-1.53502,0
1,13,96,-1.09154,-1.88202,-3.41916,-2.99602,-1.09154,0
1,12,96,-0.873195,-0.620653,-3.41916,-2.99602,-0.620653,1
1,9,96,-0.966247,-0.604861,-3.41916,-2.99602,-0.604861,1
1,7,96,-0.466745,-0.590082,-3.41916,-2.99602,-0.590082,0
1,4,96,-0.250068,-0.169197,-3.41916,-2.99602,-0.169197,1
1,3,96,-0.373567,-0.310668,-3.41916,-2.99602,-0.310668,1
1,2,96,-0.501682,-0.0883304,-3.41916,-2.99602,-0.0883304,1
1,19,95,-1.68087,-0.931944,-3.41916,-2.85377,-0.931944,1
1,17,95,-1.51252,-1.30017,-3.41916,-2.85377,-1.30017,1
1,15,95,-0.682784,-1.54574,-3.41916,-2.85377,-1.54574,0
1,13,95,-0.806286,-1.62631,-3.41916,-2.85377,-1.62631,0
1,7,95,-0.385044,-0.419498,-3.41916,-2.85377,-0.419498,0
1,4,95,-0.137896,-0.131411,-3.41916,-2.85377,-0.131411,1
1,2,95,-0.429654,-0.213989,-3.41916,-2.85377,-0.213989,1
1,1,95,-0.170827,-0.98255,-3.41916,-2.85377,-0.98255,0
1,19,94,-1.33971,-0.686809,-3.41916,-2.55553,-0.686809,1
1,17,94,-1.50342,-1.09075,-3.41916,-2.55553,-1.09075,1
1,15,94,-0.598203,-1.23093,-3.41916,-2.55553,-1.23093,0
1,13,94,-0.808783,-1.42829,-3.41916,-2.55553,-1.42829,0
1,7,94,-0.448719,-0.511455,-3.41916,-2.55553,-0.511455,0
1,4,94,-0.145763,-0.0734756,-3.41916,-2.55553,-0.0734756,1
1,2,94,-0.360509,-0.0464839,-3.41916,-2.55553,-0.0464839,1
1,1,94,-0.124115,-0.85209,-3.41916,-2.55553,-0.85209,0
1,19,93,-1.58044,-0.86725,-3.41916,-2.51688,-0.86725,1
1,17,93,-1.40304,-1.07208,-3.41916,-2.51688,-1.07208,1
1,15,93,-0.685052,-1.44417,-3.41916,-2.51688,-1.44417,0
1,13,93,-0.771657,-1.48632,-3.41916,-2.51688,-1.48632,0
1,7,93,-0.457147,-0.379527,-3.41916,-2.51688,-0.379527,1
1,4,93,-0.211783,-0.116844,-3.41916,-2.51688,-0.116844,1
1,2,93,-0.418111,-0.114244,-3.41916,-2.51688,-0.114244,1
1,1,93,-0.125062,-0.8663,-3.41916,-2.51688,-0.8663,0
1,19,92,-1.48345,-0.721822,-6.43894,-2.39982,-0.721822,1
1,17,92,-1.36681,-0.907533,-6.43894,-2.39982,-0.907533,1
1,15,92,-0.70422,-1.21406,-6.43894,-2.39982,-1.21406,0
1,13,92,-0.566597,-1.20082,-6.43894,-2.39982,-1.20082,0
1,7,92,-0.422029,-0.292521,-6.43894,-2.39982,-0.292521,1
1,4,92,-0.123521,-0.0339377,-6.43894,-2.39982,-0.0339377,1
1,2,92,-0.259677,0.0265933,-6.43894,-2.39982,0.0265933,1
1,1,92,-0.129212,-0.831462,-6.43894,-2.39982,-0.831462,0
1,19,91,-1.37129,-0.583138,-6.29331,-2.45927,-0.583138,1
1,17,91,-1.2357,-0.668818,-6.29331,-2.45927,-0.668818,1
1,15,91,-0.840785,-1.21643,-6.29331,-2.45927,-0.840785,0
1,13,91,-0.841801,-1.32913,-6.29331,-2.45927,-1.32913,0
1,7,91,-0.240228,-0.11935,-6.29331,-2.45927,-0.11935,1
1,4,91,-0.12945,-0.00138977,-6.29331,-2.45927,-0.00138977,1
1,2,91,-0.252923,0.0436606,-6.29331,-2.45927,0.0436606,1
1,1,91,-0.0698907,-0.78931,-6.29331,-2.45927,-0.78931,0
1,19,90,-1.42726,-0.54967,-6.05291,-2.36134,-0.54967,1
1,17,90,-1.10357,-0.56355,-6.05291,-2.36134,-0.56355,1
1,15,90,-0.813913,-1.08308,-6.05291,-2.36134,-1.08308,0
1,13,90,-0.668085,-1.28352,-6.05291,-2.36134,-1.28352,0
1,7,90,-0.347368,-0.0856761,-6.05291,-2.36134,-0.0856761,1
1,4,90,-0.122963,-0.0397379,-6.05291,-2.36134,-0.0397379,1
1,2,90,0.035568,0.158924,-6.05291,-2.36134,0.158924,1
1,1,90,0.143599,-0.638748,-6.05291,-2.36134,-0.638748,0
1,19,89,-1.38851,-0.470393,-5.75042,-2.39784,-0.470393,1
1,17,89,-0.839892,-0.436308,-5.75042,-2.39784,-0.839892,1
1,15,89,-0.840841,-1.05476,-5.75042,-2.39784,-1.05476,0
1,13,89,-0.567286,-1.38896,-5.75042,-2.39784,-1.38896,0
1,7,89,0.0816293,0.0225176,-5.75042,-2.39784,0.0225176,0
1,4,89,-0.0539589,-0.0676092,-5.75042,-2.39784,-0.0676092,0
1,2,89,-0.169672,-0.0318648,-5.75042,-2.39784,-0.0318648,1
1,1,89,0.344494,-0.0820999,-5.75042,-2.39784,-0.0820999,0
1,19,88,-1.19592,-0.453222,-5.55605,-2.24038,-1.19592,1
1,17,88,-0.70555,-0.482358,-5.55605,-2.24038,-0.482358,1
1,15,88,-0.692532,-0.869245,-5.55605,-2.24038,-0.869245,0
1,13,88,-0.462585,-1.20392,-5.55605,-2.24038,-1.20392,0
1,7,88,0.178809,0.208756,-5.55605,-2.24038,0.208756,1
1,4,88,-0.0430539,-0.068945,-5.55605,-2.24038,-0.068945,0
1,2,88,-0.216769,-0.0118729,-5.55605,-2.24038,-0.0118729,1
1,1,88,0.0966762,-0.753408,-5.55605,-2.24038,-0.753408,0
1,19,87,-0.907236,-0.152316,-5.60239,-2.09737,-0.152316,1
1,17,87,-0.81736,-0.380407,-5.60239,-2.09737,-0.380407,1
1,15,87,-0.511151,-0.654455,-5.60239,-2.09737,-0.654455,0
1,13,87,-0.139644,-1.32317,-5.60239,-2.09737,-1.32317,0
1,7,87,0.235718,0.181745,-5.60239,-2.09737,0.181745,0
1,4,87,0.142079,0.0829355,-5.60239,-2.09737,0.0829355,0
1,2,87,-0.259776,-0.02968,-5.60239,-2.09737,-0.02968,1
1,1,87,-0.0809641,-0.627801,-5.60239,-2.09737,-0.627801,0
1,19,86,-0.811575,-0.193812,-5.61978,-2.01828,-0.193812,1
1,17,86,-0.601101,-0.29889,-5.61978,-2.01828,-0.601101,1
1,15,86,-0.477208,-0.718564,-5.61978,-2.01828,-0.718564,0
1,13,86,-0.00279859,-1.19289,-5.61978,-2.01828,-0.00279859,0
1,7,86,0.284024,0.188233,-5.61978,-2.01828,0.188233,0
1,4,86,0.222605,0.169235,-5.61978,-2.01828,0.169235,0
1,2,86,0.0972036,0.0363033,-5.61978,-2.01828,0.0363033,0
1,1,86,-0.187292,-0.544751,-5.61978,-2.01828,-0.544751,0
1,19,85,-1.04736,-1.43426,-5.14185,-2.10808,-1.43426,0
1,17,85,-0.394141,-0.397496,-5.14185,-2.10808,-0.397496,0
1,15,85,-0.579787,-2.02104,-5.14185,-2.10808,-2.02104,0
1,13,85,-0.270794,0.0945978,-5.14185,-2.10808,0.0945978,1
1,7,85,0.139757,-0.643106,-5.14185,-2.10808,-0.643106,0
1,4,85,0.353035,-0.0819901,-5.14185,-2.10808,-0.0819901,0
1,2,85,0.11754,1.04235,-5.14185,-2.10808,1.04235,1
1,1,85,0.243658,0.275595,-5.14185,-2.10808,0.275595,1
1,19,84,-0.807509,-1.39761,-5.35927,-2.00544,-1.39761,0
1,17,84,-0.363587,-0.427664,-5.35927,-2.00544,-0.427664,0
1,15,84,-0.442709,-0.777029,-5.35927,-2.00544,-0.777029,0
1,13,84,-0.194867,-0.0404898,-5.35927,-2.00544,-0.0404898,1
1,7,84,0.206763,-0.44625,-5.35927,-2.00544,-0.44625,0
1,4,84,0.393751,-0.152521,-5.35927,-2.00544,-0.152521,0
1,2,84,0.276246,1.10181,-5.35927,-2.00544,1.10181,1
1,1,84,0.210023,0.26871,-5.35927,-2.00544,0.26871,1
1,19,83,-0.664865,-0.978964,-5.22327,-1.89942,-0.664865,0
1,17,83,-0.744499,-0.652003,-5.22327,-1.89942,-0.652003,1
