Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.09737,-1.34594,-3.41916,-3.35117,-1.34594,1
1,19,99,-2.50582,-1.60458,-3.41916,-3.35117,-1.60458,1
1,18,99,-1.55176,-1.33345,-3.41916,-3.35117,-1.33345,1
1,17,99,-2.04129,-0.612897,-3.41916,-3.35117,-0.612897,1
1,15,99,-1.85811,-3.41916,-3.41916,-3.35117,-3.41916,0
1,13,99,-1.28168,-1.48165,-3.41916,-3.35117,-1.48165,0
1,12,99,-0.801154,-0.858026,-3.41916,-3.35117,-0.801154,0
1,10,99,-1.81663,-0.486601,-3.41916,-3.35117,-0.486601,1
1,9,99,-1.75351,-2.02246,-3.41916,-3.35117,-2.02246,0
1,7,99,-0.9411,0.577104,-3.41916,-3.35117,0.577104,1
1,4,99,-0.298288,-0.0129517,-3.41916,-3.35117,-0.0129517,1
1,3,99,-0.51568,-0.257141,-3.41916,-3.35117,-0.257141,1
1,2,99,-0.76325,-0.479694,-3.41916,-3.35117,-0.479694,1
1,1,99,-2.93984,-0.338294,-3.41916,-3.35117,-0.338294,1
1,20,98,-2.01828,-1.28413,-3.41916,-3.12829,-1.28413,1
1,19,98,-2.26595,-1.28073,-3.41916,-3.12829,-1.28073,1
1,18,98,-1.11096,-1.28255,-3.41916,-3.12829,-1.28255,0
1,17,98,-1.49839,-0.347531,-3.41916,-3.12829,-0.347531,1
1,15,98,-1.08388,-3.41916,-3.41916,-3.12829,-3.41916,0
1,13,98,-1.14967,-1.47135,-3.41916,-3.12829,-1.14967,0
1,12,98,-0.814795,-0.426294,-3.41916,-3.12829,-0.426294,1
1,9,98,-1.32492,-1.83236,-3.41916,-3.12829,-1.83236,0
1,7,98,-0.68731,0.738162,-3.41916,-3.12829,0.738162,1
1,4,98,-0.252677,0.119011,-3.41916,-3.12829,0.119011,1
1,3,98,-0.29582,0.000475523,-3.41916,-3.12829,0.000475523,1
1,2,98,-0.471464,-0.247087,-3.41916,-3.12829,-0.247087,1
1,1,98,-2.55502,-0.152732,-3.41916,-3.12829,-0.152732,1
1,20,97,-2.10808,-1.58591,-3.41916,-2.81209,-2.10808,1
1,19,97,-2.14472,-1.29066,-3.41916,-2.81209,-1.29066,1
1,18,97,-1.41804,-0.850279,-3.41916,-2.81209,-0.850279,1
1,17,97,-1.35076,-0.364931,-3.41916,-2.81209,-0.364931,1
1,15,97,-0.96989,-3.41916,-3.41916,-2.81209,-3.41916,0
1,13,97,-1.40392,-1.37415,-3.41916,-2.81209,-1.37415,1
1,12,97,-0.676683,-0.523772,-3.41916,-2.81209,-0.523772,1
1,7,97,-0.900975,0.464436,-3.41916,-2.81209,0.464436,1
1,4,97,-0.250545,-0.221235,-3.41916,-2.81209,-0.221235,1
1,3,97,-0.189029,-0.0141886,-3.41916,-2.81209,-0.0141886,1
1,2,97,-0.176119,-0.277135,-3.41916,-2.81209,-0.277135,0
1,20,96,-2.00544,-1.31713,-3.41916,-2.99602,-1.31713,1
1,19,96,-1.86204,-1.51413,-3.41916,-2.99602,-1.51413,1
1,18,96,-1.35255,-0.828178,-3.41916,-2.99602,-0.828178,1
1,17,96,-1.28308,-0.259464,-3.41916,-2.99602,-0.259464,1
1,15,96,-0.844989,-3.41916,-3.41916,-2.99602,-3.41916,0
1,13,96,-0.461171,-1.53296,-3.41916,-2.99602,-0.461171,0
1,12,96,-0.844589,-0.427785,-3.41916,-2.99602,-0.427785,1
1,9,96,-1.08557,-1.56845,-3.41916,-2.99602,-1.56845,0
1,7,96,-0.764235,0.610097,-3.41916,-2.99602,0.610097,1
1,4,96,0.00965839,0.0308418,-3.41916,-2.99602,0.0308418,1
1,3,96,0.142457,-0.05443,-3.41916,-2.99602,-0.05443,0
1,2,96,-0.0815075,-0.1601,-3.41916,-2.99602,-0.1601,0
1,19,95,-2.02947,-1.79043,-3.41916,-2.85377,-1.79043,1
1,17,95,-1.07141,-0.118675,-3.41916,-2.85377,-0.118675,1
1,15,95,-0.595605,-3.41916,-3.41916,-2.85377,-3.41916,0
1,13,95,-0.880479,-0.954926,-3.41916,-2.85377,-0.954926,0
1,7,95,-0.895521,0.657524,-3.41916,-2.85377,0.657524,1
1,4,95,-0.165533,-0.00897075,-3.41916,-2.85377,-0.00897075,1
1,2,95,-0.0754091,-0.182866,-3.41916,-2.85377,-0.182866,0
1,1,95,-0.449463,-0.233635,-3.41916,-2.85377,-0.233635,1
1,19,94,-1.6292,-0.923524,-3.41916,-2.55553,-0.923524,1
1,17,94,-1.19746,-0.199518,-3.41916,-2.55553,-0.199518,1
1,15,94,-0.833283,-2.09737,-3.41916,-2.55553,-2.09737,0
1,13,94,-0.517542,-0.590442,-3.41916,-2.55553,-0.590442,0
1,7,94,-0.554666,0.954909,-3.41916,-2.55553,0.954909,1
1,4,94,-0.413065,-0.00587609,-3.41916,-2.55553,-0.00587609,1
1,2,94,-0.0084754,-0.0969254,-3.41916,-2.55553,-0.0969254,0
1,1,94,-0.192232,-0.094294,-3.41916,-2.55553,-0.094294,1
1,19,93,-1.61798,-0.948709,-3.41916,-2.51688,-0.948709,1
1,17,93,-1.55487,-0.0903393,-3.41916,-2.51688,-0.0903393,1
1,15,93,-0.802306,-2.01828,-3.41916,-2.51688,-2.01828,0
1,13,93,-0.44798,-0.635834,-3.41916,-2.51688,-0.635834,0
