Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.97498,-1.44587,-3.41916,-3.35117,-1.44587,1
1,19,99,-1.85809,-0.892834,-3.41916,-3.35117,-0.892834,1
1,18,99,-2.30976,-0.517984,-3.41916,-3.35117,-0.517984,1
1,17,99,-1.71321,-1.79272,-3.41916,-3.35117,-1.79272,0
1,15,99,-0.960331,-1.13049,-3.41916,-3.35117,-1.13049,0
1,13,99,-1.0772,-0.812246,-3.41916,-3.35117,-0.812246,1
1,12,99,-1.09351,-0.583905,-3.41916,-3.35117,-1.09351,1
1,10,99,-0.733148,-0.0829537,-3.41916,-3.35117,-0.733148,1
1,9,99,-0.50798,-0.92706,-3.41916,-3.35117,-0.92706,0
1,7,99,0.0160989,-0.428619,-3.41916,-3.35117,-0.428619,0
1,4,99,-0.197181,0.159381,-3.41916,-3.35117,0.159381,1
1,3,99,-0.00572128,-0.0646512,-3.41916,-3.35117,-0.0646512,0
1,2,99,0.0473078,-0.160064,-3.41916,-3.35117,-0.160064,0
1,1,99,-0.353311,-0.3742,-3.41916,-3.35117,-0.3742,0
1,20,98,-1.77316,-1.40363,-3.41916,-3.12829,-1.40363,1
1,19,98,-1.64553,-0.845308,-3.41916,-3.12829,-0.845308,1
1,18,98,-2.16114,-0.509638,-3.41916,-3.12829,-0.509638,1
1,17,98,-1.2906,-1.65931,-3.41916,-3.12829,-1.65931,0
1,15,98,-0.882572,-0.894177,-3.41916,-3.12829,-0.894177,0
1,13,98,-0.72655,-0.875746,-3.41916,-3.12829,-0.72655,0
1,12,98,-0.655059,-0.200007,-3.41916,-3.12829,-0.200007,1
1,9,98,-0.344109,-0.902776,-3.41916,-3.12829,-0.902776,0
1,7,98,0.117839,-0.330679,-3.41916,-3.12829,-0.330679,0
1,4,98,-0.0954785,0.399298,-3.41916,-3.12829,0.399298,1
1,3,98,0.186401,0.254809,-3.41916,-3.12829,0.254809,1
1,2,98,0.0718418,0.34838,-3.41916,-3.12829,0.34838,1
1,1,98,-0.173211,-0.0942989,-3.41916,-3.12829,-0.0942989,1
1,20,97,-1.45213,-1.34646,-3.41916,-2.81209,-1.45213,1
1,19,97,-1.71507,-0.986346,-3.41916,-2.81209,-0.986346,1
1,18,97,-1.73034,-0.423217,-3.41916,-2.81209,-0.423217,1
1,17,97,-1.18773,-1.69039,-3.41916,-2.81209,-1.69039,0
1,15,97,-0.724297,-0.927077,-3.41916,-2.81209,-0.927077,0
1,13,97,-0.656711,-0.662107,-3.41916,-2.81209,-0.662107,0
1,12,97,-0.611858,-0.0344497,-3.41916,-2.81209,-0.0344497,1
1,7,97,0.107956,-0.260547,-3.41916,-2.81209,-0.260547,0
1,4,97,-0.0597591,0.248584,-3.41916,-2.81209,0.248584,1
1,3,97,0.175505,0.124469,-3.41916,-2.81209,0.124469,0
1,2,97,0.0608672,0.185849,-3.41916,-2.81209,0.185849,1
1,20,96,-1.2701,-1.11467,-3.41916,-2.99602,-1.11467,1
1,19,96,-1.51785,-0.923066,-3.41916,-2.99602,-0.923066,1
1,18,96,-1.55679,-0.428418,-3.41916,-2.99602,-0.428418,1
1,17,96,-1.14704,-1.51993,-3.41916,-2.99602,-1.51993,0
1,15,96,-0.417588,-0.843161,-3.41916,-2.99602,-0.843161,0
1,13,96,-0.553837,-0.567662,-3.41916,-2.99602,-0.553837,0
1,12,96,-0.484958,-0.0691639,-3.41916,-2.99602,-0.0691639,1
1,9,96,-0.131166,-0.769191,-3.41916,-2.99602,-0.769191,0
1,7,96,0.10711,-0.264235,-3.41916,-2.99602,-0.264235,0
1,4,96,-0.0689213,0.444517,-3.41916,-2.99602,0.444517,1
1,3,96,0.275487,0.242252,-3.41916,-2.99602,0.242252,0
1,2,96,0.26557,0.240517,-3.41916,-2.99602,0.240517,0
1,19,95,-1.51521,-0.738884,-3.41916,-2.85377,-0.738884,1
1,17,95,-1.06108,-1.50803,-3.41916,-2.85377,-1.50803,0
1,15,95,-0.380166,-0.899098,-3.41916,-2.85377,-0.899098,0
1,13,95,-0.402547,-0.521078,-3.41916,-2.85377,-0.521078,0
1,7,95,0.296588,-0.494163,-3.41916,-2.85377,-0.494163,0
1,4,95,-0.00583129,0.446729,-3.41916,-2.85377,0.446729,1
1,2,95,0.310454,0.456519,-3.41916,-2.85377,0.456519,1
1,1,95,0.482821,-0.0927223,-3.41916,-2.85377,-0.0927223,0
1,19,94,-1.55108,-0.903,-3.41916,-2.55553,-0.903,1
1,17,94,-1.04515,-1.38155,-3.41916,-2.55553,-1.38155,0
1,15,94,-0.414319,-0.704016,-3.41916,-2.55553,-0.704016,0
1,13,94,-0.207768,-0.276535,-3.41916,-2.55553,-0.276535,0
1,7,94,0.384164,-0.102729,-3.41916,-2.55553,-0.102729,0
1,4,94,0.166429,0.538769,-3.41916,-2.55553,0.538769,1
1,2,94,0.422882,0.552965,-3.41916,-2.55553,0.552965,1
1,1,94,0.444168,-0.0392281,-3.41916,-2.55553,-0.0392281,0
1,19,93,-1.65457,-0.975353,-3.41916,-2.51688,-0.975353,1
1,17,93,-0.794417,-1.19908,-3.41916,-2.51688,-1.19908,0
1,15,93,-0.412603,-0.7363,-3.41916,-2.51688,-0.7363,0
1,13,93,-0.206834,-0.401084,-3.41916,-2.51688,-0.401084,0
1,7,93,0.430428,-0.0489352,-3.41916,-2.51688,-0.0489352,0
