Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.4421,-1.08961,-3.41916,-3.35117,-1.08961,1
1,19,99,-2.37112,-0.684487,-3.41916,-3.35117,-0.684487,1
1,18,99,-1.81217,-0.537626,-3.41916,-3.35117,-0.537626,1
1,17,99,-2.16955,-1.0067,-3.41916,-3.35117,-1.0067,1
1,15,99,-0.632628,-1.30884,-3.41916,-3.35117,-1.30884,0
1,13,99,-1.1433,-0.473446,-3.41916,-3.35117,-0.473446,1
1,12,99,0.23624,-0.724625,-3.41916,-3.35117,0.23624,0
1,10,99,-0.821357,-0.199232,-3.41916,-3.35117,-0.199232,1
1,9,99,-0.979924,0.373431,-3.41916,-3.35117,0.373431,1
1,7,99,-0.51678,-0.19569,-3.41916,-3.35117,-0.19569,1
1,4,99,-0.284232,-0.282338,-3.41916,-3.35117,-0.282338,1
1,3,99,-0.25371,-0.118374,-3.41916,-3.35117,-0.118374,1
1,2,99,-0.793341,-0.205988,-3.41916,-3.35117,-0.205988,1
1,1,99,-0.532133,-1.20123,-3.41916,-3.35117,-1.20123,0
1,20,98,-1.15557,-1.04195,-3.41916,-3.12829,-1.04195,1
1,19,98,-1.87594,-0.493564,-3.41916,-3.12829,-0.493564,1
1,18,98,-1.75503,-0.533664,-3.41916,-3.12829,-0.533664,1
1,17,98,-2.20416,-0.875256,-3.41916,-3.12829,-0.875256,1
1,15,98,-0.671498,-1.32429,-3.41916,-3.12829,-1.32429,0
1,13,98,-0.815678,-0.515331,-3.41916,-3.12829,-0.815678,1
1,12,98,0.478042,-0.122937,-3.41916,-3.12829,-0.122937,0
1,9,98,-0.629568,0.427872,-3.41916,-3.12829,0.427872,1
1,7,98,-0.387684,-0.161361,-3.41916,-3.12829,-0.161361,1
1,4,98,-0.272837,-0.11591,-3.41916,-3.12829,-0.11591,1
1,3,98,-0.328463,0.0503282,-3.41916,-3.12829,0.0503282,1
1,2,98,-0.715164,-0.149374,-3.41916,-3.12829,-0.149374,1
1,1,98,-0.0253668,-1.11166,-3.41916,-3.12829,-1.11166,0
1,20,97,-1.1036,-0.938347,-3.41916,-2.81209,-1.1036,1
1,19,97,-1.69673,-0.425324,-3.41916,-2.81209,-0.425324,1
1,18,97,-1.37764,-0.357363,-3.41916,-2.81209,-0.357363,1
1,17,97,-1.83222,-0.866561,-3.41916,-2.81209,-0.866561,1
1,15,97,-0.397282,-1.14372,-3.41916,-2.81209,-1.14372,0
1,13,97,-0.659931,-0.362922,-3.41916,-2.81209,-0.362922,1
1,12,97,0.487427,-0.0867783,-3.41916,-2.81209,-0.0867783,0
1,7,97,-0.290993,0.0195381,-3.41916,-2.81209,0.0195381,1
1,4,97,-0.326838,-0.219995,-3.41916,-2.81209,-0.219995,1
1,3,97,-0.338457,-0.0262479,-3.41916,-2.81209,-0.0262479,1
1,2,97,-0.383924,-0.118152,-3.41916,-2.81209,-0.118152,1
1,20,96,-1.02236,-0.896483,-3.41916,-2.99602,-0.896483,1
1,19,96,-1.35451,-0.555678,-3.41916,-2.99602,-0.555678,1
1,18,96,-1.19297,-0.455793,-3.41916,-2.99602,-0.455793,1
1,17,96,-1.47263,-0.693174,-3.41916,-2.99602,-0.693174,1
1,15,96,-0.507032,-1.08922,-3.41916,-2.99602,-1.08922,0
1,13,96,-0.659344,-0.394666,-3.41916,-2.99602,-0.659344,1
1,12,96,0.712253,0.0334102,-3.41916,-2.99602,0.0334102,0
1,9,96,-0.504823,0.616605,-3.41916,-2.99602,0.616605,1
1,7,96,-0.249188,0.00651179,-3.41916,-2.99602,0.00651179,1
1,4,96,-0.0729006,-0.0792379,-3.41916,-2.99602,-0.0792379,0
1,3,96,-0.150877,0.127868,-3.41916,-2.99602,0.127868,1
1,2,96,-0.252667,0.0088683,-3.41916,-2.99602,0.0088683,1
1,19,95,-1.12663,-0.374808,-3.41916,-2.85377,-0.374808,1
1,17,95,-1.13408,-0.768503,-3.41916,-2.85377,-0.768503,1
1,15,95,-0.34997,-1.06455,-3.41916,-2.85377,-1.06455,0
1,13,95,-0.426012,-0.100013,-3.41916,-2.85377,-0.100013,1
1,7,95,-0.25089,0.0867473,-3.41916,-2.85377,0.0867473,1
