Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.415,-1.45604,-3.41916,-3.35117,-1.45604,1
1,19,99,-2.53201,-0.904436,-3.41916,-3.35117,-0.904436,1
1,18,99,-2.09797,-1.00772,-3.41916,-3.35117,-1.00772,1
1,17,99,-2.70342,-1.89744,-3.41916,-3.35117,-1.89744,1
1,15,99,-1.5624,-1.91647,-3.41916,-3.35117,-1.91647,0
1,13,99,-1.52742,-1.36042,-3.41916,-3.35117,-1.36042,1
1,12,99,-1.49281,-1.73216,-3.41916,-3.35117,-1.49281,0
1,10,99,-1.52818,-1.45123,-3.41916,-3.35117,-1.45123,1
1,9,99,-1.28298,0.315216,-3.41916,-3.35117,0.315216,1
1,7,99,-0.932209,-0.66622,-3.41916,-3.35117,-0.66622,1
1,4,99,-1.02604,-0.403499,-3.41916,-3.35117,-0.403499,1
1,3,99,-0.6654,-0.88885,-3.41916,-3.35117,-0.88885,0
1,2,99,-0.981112,-1.04356,-3.41916,-3.35117,-1.04356,0
1,1,99,-0.98074,-1.33481,-3.41916,-3.35117,-1.33481,0
1,20,98,-2.30234,-1.41411,-3.41916,-3.12829,-1.41411,1
1,19,98,-2.16419,-0.80107,-3.41916,-3.12829,-0.80107,1
1,18,98,-2.10892,-0.942344,-3.41916,-3.12829,-0.942344,1
1,17,98,-2.29958,-1.7632,-3.41916,-3.12829,-1.7632,1
1,15,98,-1.50005,-1.59172,-3.41916,-3.12829,-1.59172,0
1,13,98,-1.19071,-1.20046,-3.41916,-3.12829,-1.19071,0
1,12,98,-1.34582,-1.89963,-3.41916,-3.12829,-1.89963,0
1,9,98,-1.02473,0.432239,-3.41916,-3.12829,0.432239,1
1,7,98,-0.663573,-0.607537,-3.41916,-3.12829,-0.607537,1
1,4,98,-0.870607,-0.234842,-3.41916,-3.12829,-0.234842,1
1,3,98,-0.640143,-0.762833,-3.41916,-3.12829,-0.762833,0
1,2,98,-0.774109,-0.853518,-3.41916,-3.12829,-0.853518,0
1,1,98,-0.871571,-1.11382,-3.41916,-3.12829,-1.11382,0
1,20,97,-1.90964,-1.37741,-3.41916,-2.81209,-1.90964,1
1,19,97,-1.95324,-0.912814,-3.41916,-2.81209,-0.912814,1
1,18,97,-1.71464,-0.826498,-3.41916,-2.81209,-0.826498,1
1,17,97,-2.27282,-1.72443,-3.41916,-2.81209,-1.72443,1
1,15,97,-1.37626,-1.73115,-3.41916,-2.81209,-1.73115,0
1,13,97,-0.967431,-1.24331,-3.41916,-2.81209,-1.24331,0
1,12,97,-1.23954,-1.77147,-3.41916,-2.81209,-1.77147,0
1,7,97,-0.600038,-0.558819,-3.41916,-2.81209,-0.558819,1
1,4,97,-0.78592,-0.20115,-3.41916,-2.81209,-0.20115,1
1,3,97,-0.575657,-0.637605,-3.41916,-2.81209,-0.637605,0
1,2,97,-0.623724,-0.903353,-3.41916,-2.81209,-0.903353,0
1,20,96,-1.64931,-1.16639,-3.41916,-2.99602,-1.16639,1
1,19,96,-1.65881,-0.76064,-3.41916,-2.99602,-0.76064,1
1,18,96,-1.61851,-0.918968,-3.41916,-2.99602,-0.918968,1
