Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.5269,-1.4246,-3.41916,-3.35117,-1.4246,1
1,19,99,-2.46302,-1.83154,-3.41916,-3.35117,-1.83154,1
1,18,99,-2.16408,-0.364592,-3.41916,-3.35117,-0.364592,1
1,17,99,-1.80104,-1.18241,-3.41916,-3.35117,-1.18241,1
1,15,99,-1.45759,-1.4892,-3.41916,-3.35117,-1.4892,0
1,13,99,-1.42072,-0.634566,-3.41916,-3.35117,-0.634566,1
1,12,99,-1.39478,-1.56465,-3.41916,-3.35117,-1.39478,0
1,10,99,-1.60869,-0.467427,-3.41916,-3.35117,-1.60869,1
1,9,99,-0.66773,-0.401765,-3.41916,-3.35117,-0.401765,1
1,7,99,-0.584214,-1.26384,-3.41916,-3.35117,-1.26384,0
1,4,99,-0.81653,-0.38942,-3.41916,-3.35117,-0.38942,1
1,3,99,-0.58162,-0.381856,-3.41916,-3.35117,-0.381856,1
1,2,99,-1.39927,-0.699878,-3.41916,-3.35117,-0.699878,1
1,1,99,0.00851497,-1.1702,-3.41916,-3.35117,-1.1702,0
1,20,98,-2.1745,-1.3122,-3.41916,-3.12829,-1.3122,1
1,19,98,-1.9035,-1.76071,-3.41916,-3.12829,-1.76071,1
1,18,98,-2.21324,-0.39893,-3.41916,-3.12829,-0.39893,1
1,17,98,-1.60386,-1.03441,-3.41916,-3.12829,-1.03441,1
1,15,98,-1.39279,-1.4601,-3.41916,-3.12829,-1.4601,0
1,13,98,-1.32929,-0.88496,-3.41916,-3.12829,-1.32929,1
1,12,98,-1.00214,-0.953726,-3.41916,-3.12829,-0.953726,1
1,9,98,-0.609821,-0.340502,-3.41916,-3.12829,-0.340502,1
1,7,98,-0.502423,-1.27724,-3.41916,-3.12829,-1.27724,0
1,4,98,-0.518702,-0.322049,-3.41916,-3.12829,-0.322049,1
1,3,98,-0.551908,-0.352846,-3.41916,-3.12829,-0.352846,1
1,2,98,-1.17615,-0.562174,-3.41916,-3.12829,-0.562174,1
1,1,98,-0.372209,-1.1988,-3.41916,-3.12829,-1.1988,0
1,20,97,-2.01523,-1.17816,-3.41916,-2.81209,-2.01523,1
1,19,97,-1.79071,-1.22927,-3.41916,-2.81209,-1.22927,1
1,18,97,-1.85081,-0.297809,-3.41916,-2.81209,-0.297809,1
1,17,97,-1.52651,-1.03255,-3.41916,-2.81209,-1.03255,1
1,15,97,-1.20522,-1.31418,-3.41916,-2.81209,-1.31418,0
1,13,97,-1.17507,-0.519104,-3.41916,-2.81209,-0.519104,1
1,12,97,-1.08362,-0.951748,-3.41916,-2.81209,-0.951748,1
1,7,97,-0.494113,-1.19396,-3.41916,-2.81209,-1.19396,0
1,4,97,-0.471737,-0.184566,-3.41916,-2.81209,-0.184566,1
1,3,97,-0.434262,-0.223491,-3.41916,-2.81209,-0.223491,1
1,2,97,-0.71556,-0.365783,-3.41916,-2.81209,-0.365783,1
1,20,96,-1.74417,-1.11117,-3.41916,-2.99602,-1.11117,1
1,19,96,-1.54419,-1.70514,-3.41916,-2.99602,-1.70514,0
1,18,96,-1.49558,-0.39574,-3.41916,-2.99602,-0.39574,1
1,17,96,-1.31654,-0.983806,-3.41916,-2.99602,-0.983806,1
1,15,96,-0.966624,-1.25542,-3.41916,-2.99602,-1.25542,0
1,13,96,-1.10281,-0.459117,-3.41916,-2.99602,-1.10281,1
1,12,96,-0.799519,-0.833678,-3.41916,-2.99602,-0.833678,0
1,9,96,-0.573071,-0.287815,-3.41916,-2.99602,-0.287815,1
1,7,96,-0.587164,-1.16756,-3.41916,-2.99602,-1.16756,0
1,4,96,-0.500555,-0.19411,-3.41916,-2.99602,-0.19411,1
1,3,96,-0.41175,-0.245943,-3.41916,-2.99602,-0.245943,1
1,2,96,-0.395016,-0.349457,-3.41916,-2.99602,-0.349457,1
1,19,95,-1.42674,-1.61979,-3.41916,-2.85377,-1.61979,0
1,17,95,-1.31248,-0.951823,-3.41916,-2.85377,-0.951823,1
1,15,95,-0.969402,-1.38167,-3.41916,-2.85377,-1.38167,0
1,13,95,-0.780811,-0.289761,-3.41916,-2.85377,-0.289761,1
1,7,95,-0.559264,-1.20799,-3.41916,-2.85377,-1.20799,0
1,4,95,-0.378492,-0.118001,-3.41916,-2.85377,-0.118001,1
1,2,95,-0.373409,-0.41012,-3.41916,-2.85377,-0.41012,0
1,1,95,-0.308986,-0.969322,-3.41916,-2.85377,-0.969322,0
1,19,94,-1.55602,-1.51175,-3.41916,-2.55553,-1.51175,1
1,17,94,-1.19199,-0.750712,-3.41916,-2.55553,-0.750712,1
1,15,94,-0.821306,-1.11436,-3.41916,-2.55553,-1.11436,0
1,13,94,-0.666565,-0.306835,-3.41916,-2.55553,-0.306835,1
1,7,94,-0.53721,-1.1511,-3.41916,-2.55553,-1.1511,0
