Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.6095,-1.33848,-3.41916,-3.35117,-1.33848,1
1,19,99,-1.26814,-0.108947,-3.41916,-3.35117,-0.108947,1
1,18,99,-1.8404,0.671616,-3.41916,-3.35117,0.671616,1
1,17,99,-1.4437,-0.755415,-3.41916,-3.35117,-0.755415,1
1,15,99,-0.595372,-1.06977,-3.41916,-3.35117,-1.06977,0
1,13,99,-0.978911,-0.322314,-3.41916,-3.35117,-0.322314,1
1,12,99,-0.724979,-0.285576,-3.41916,-3.35117,-0.724979,1
1,10,99,-0.0473747,1.53079,-3.41916,-3.35117,1.53079,1
1,9,99,0.234321,-0.315425,-3.41916,-3.35117,-0.315425,0
1,7,99,0.744458,0.935468,-3.41916,-3.35117,0.935468,1
1,4,99,0.8685,1.08297,-3.41916,-3.35117,1.08297,1
1,3,99,0.77285,1.30927,-3.41916,-3.35117,1.30927,1
1,2,99,0.693219,1.01045,-3.41916,-3.35117,1.01045,1
1,1,99,0.570132,0.810573,-3.41916,-3.35117,0.810573,1
1,20,98,-2.444,-1.36594,-3.41916,-3.12829,-1.36594,1
1,19,98,-0.966843,0.0861405,-3.41916,-3.12829,0.0861405,1
1,18,98,-1.82945,0.728204,-3.41916,-3.12829,0.728204,1
1,17,98,-0.936731,-0.55938,-3.41916,-3.12829,-0.55938,1
1,15,98,-0.537481,-1.04151,-3.41916,-3.12829,-1.04151,0
1,13,98,-0.626879,-0.344195,-3.41916,-3.12829,-0.626879,1
1,12,98,-0.430659,0.113059,-3.41916,-3.12829,0.113059,1
1,10,98,-0.0737906,1.49344,-3.41916,-3.12829,-0.0737906,1
1,9,98,0.28793,-0.214019,-3.41916,-3.12829,-0.214019,0
1,7,98,0.704634,0.97684,-3.41916,-3.12829,0.97684,1
1,4,98,1.00976,1.09174,-3.41916,-3.12829,1.09174,1
1,3,98,1.45391,1.41082,-3.41916,-3.12829,1.41082,0
1,2,98,0.135786,1.27535,-3.41916,-3.12829,1.27535,1
1,1,98,1.30597,0.655214,-3.41916,-3.12829,0.655214,0
1,20,97,-1.66497,-1.20385,-3.41916,-2.81209,-1.66497,1
1,19,97,-1.00117,0.116724,-3.41916,-2.81209,0.116724,1
1,18,97,-1.4999,0.689658,-3.41916,-2.81209,0.689658,1
