Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.60531,-1.51804,-3.41916,-3.35117,-1.51804,1
1,19,99,-1.84545,-0.604588,-3.41916,-3.35117,-0.604588,1
1,18,99,-1.41537,-0.992223,-3.41916,-3.35117,-0.992223,1
1,17,99,-1.93084,-1.64085,-3.41916,-3.35117,-1.64085,1
1,15,99,-1.17881,-0.946759,-3.41916,-3.35117,-0.946759,1
1,13,99,-1.46951,-0.407655,-3.41916,-3.35117,-0.407655,1
1,12,99,-0.96609,-0.632469,-3.41916,-3.35117,-0.96609,1
1,10,99,-0.925254,-0.0674887,-3.41916,-3.35117,-0.0674887,1
1,9,99,-0.61462,0.0196154,-3.41916,-3.35117,0.0196154,1
1,7,99,-0.00423879,-0.602233,-3.41916,-3.35117,-0.602233,0
1,4,99,0.0403742,0.381155,-3.41916,-3.35117,0.381155,1
1,3,99,0.0932508,0.273651,-3.41916,-3.35117,0.273651,1
1,2,99,-0.680749,0.0519071,-3.41916,-3.35117,0.0519071,1
1,1,99,-0.762554,-0.934775,-3.41916,-3.35117,-0.934775,0
1,20,98,-2.42855,-1.30592,-3.41916,-3.12829,-1.30592,1
1,19,98,-1.71809,-0.60262,-3.41916,-3.12829,-0.60262,1
1,18,98,-1.38141,-1.00435,-3.41916,-3.12829,-1.00435,1
1,17,98,-1.63061,-1.58116,-3.41916,-3.12829,-1.58116,1
1,15,98,-1.06107,-0.812508,-3.41916,-3.12829,-0.812508,1
1,13,98,-0.940698,-0.344379,-3.41916,-3.12829,-0.940698,1
1,12,98,-0.193723,-0.709559,-3.41916,-3.12829,-0.709559,0
1,9,98,-0.511073,0.210558,-3.41916,-3.12829,0.210558,1
1,7,98,0.000630805,-0.400258,-3.41916,-3.12829,-0.400258,0
1,4,98,0.048863,0.259023,-3.41916,-3.12829,0.259023,1
1,3,98,0.0565342,0.0894371,-3.41916,-3.12829,0.0894371,1
1,2,98,-0.53494,-0.144386,-3.41916,-3.12829,-0.144386,1
1,1,98,-0.410701,-0.840259,-3.41916,-3.12829,-0.840259,0
1,20,97,-2.13535,-1.27216,-3.41916,-2.81209,-2.13535,1
1,19,97,-1.40681,-0.550498,-3.41916,-2.81209,-0.550498,1
1,18,97,-1.09585,-0.940658,-3.41916,-2.81209,-0.940658,1
1,17,97,-1.6579,-1.60292,-3.41916,-2.81209,-1.60292,1
1,15,97,-0.858828,-0.762713,-3.41916,-2.81209,-0.762713,1
1,13,97,-0.898339,-0.289516,-3.41916,-2.81209,-0.289516,1
1,12,97,-0.310983,-0.555273,-3.41916,-2.81209,-0.555273,0
1,7,97,0.061085,-0.441406,-3.41916,-2.81209,-0.441406,0
1,4,97,0.170739,0.563458,-3.41916,-2.81209,0.563458,1
1,3,97,0.131369,0.348614,-3.41916,-2.81209,0.348614,1
1,2,97,-0.170492,0.241618,-3.41916,-2.81209,0.241618,1
1,20,96,-1.9738,-1.18175,-3.41916,-2.99602,-1.18175,1
1,19,96,-1.28088,-0.547619,-3.41916,-2.99602,-0.547619,1
1,18,96,-1.04068,-0.883539,-3.41916,-2.99602,-0.883539,1
1,17,96,-1.60398,-1.50458,-3.41916,-2.99602,-1.50458,1
1,15,96,-0.715195,-0.799329,-3.41916,-2.99602,-0.799329,0
1,13,96,-0.842112,-0.429749,-3.41916,-2.99602,-0.842112,1
1,12,96,-0.245709,-0.537313,-3.41916,-2.99602,-0.537313,0
1,9,96,-0.389365,0.403531,-3.41916,-2.99602,0.403531,1
1,7,96,0.10228,-0.305044,-3.41916,-2.99602,-0.305044,0
1,4,96,0.111784,0.423396,-3.41916,-2.99602,0.423396,1
1,3,96,0.158329,0.208534,-3.41916,-2.99602,0.208534,1
1,2,96,-0.0484788,0.17471,-3.41916,-2.99602,0.17471,1
1,19,95,-1.75883,-0.563124,-3.41916,-2.85377,-0.563124,1
1,17,95,-1.35539,-1.35089,-3.41916,-2.85377,-1.35089,1
1,15,95,-0.700136,-1.03386,-3.41916,-2.85377,-1.03386,0
1,13,95,-0.514541,-0.12282,-3.41916,-2.85377,-0.12282,1
1,7,95,0.115955,-0.240584,-3.41916,-2.85377,-0.240584,0
1,4,95,0.290091,0.580379,-3.41916,-2.85377,0.580379,1
1,2,95,-0.0646551,0.198964,-3.41916,-2.85377,0.198964,1
1,1,95,0.282745,-0.503863,-3.41916,-2.85377,-0.503863,0
1,19,94,-1.64762,-0.500879,-3.41916,-2.55553,-0.500879,1
1,17,94,-1.42767,-1.34678,-3.41916,-2.55553,-1.34678,1
1,15,94,-0.847086,-0.850774,-3.41916,-2.55553,-0.850774,0
1,13,94,-0.515795,-0.0418565,-3.41916,-2.55553,-0.0418565,1
1,7,94,0.323321,-0.030803,-3.41916,-2.55553,-0.030803,0
1,4,94,0.260624,0.418477,-3.41916,-2.55553,0.418477,1
1,2,94,0.0529408,0.600496,-3.41916,-2.55553,0.600496,1
1,1,94,0.140301,-0.52503,-3.41916,-2.55553,-0.52503,0
1,19,93,-1.67299,-0.595045,-3.41916,-2.51688,-0.595045,1
1,17,93,-1.40613,-1.29482,-3.41916,-2.51688,-1.29482,1
1,15,93,-0.689428,-0.662745,-3.41916,-2.51688,-0.662745,1
1,13,93,-0.471349,-0.542345,-3.41916,-2.51688,-0.542345,0
1,7,93,0.377466,-0.0548469,-3.41916,-2.51688,-0.0548469,0
1,4,93,0.262399,0.514108,-3.41916,-2.51688,0.514108,1
1,2,93,0.00894964,0.412445,-3.41916,-2.51688,0.412445,1
1,1,93,0.399319,-0.429587,-3.41916,-2.51688,-0.429587,0
1,19,92,-1.71548,-0.534619,-6.43894,-2.39982,-0.534619,1
1,17,92,-1.24851,-1.20744,-6.43894,-2.39982,-1.20744,1
1,15,92,-0.647814,-0.622733,-6.43894,-2.39982,-0.622733,1
1,13,92,-0.627825,-0.225455,-6.43894,-2.39982,-0.225455,1
1,7,92,0.479058,0.0594465,-6.43894,-2.39982,0.0594465,0
1,4,92,0.480206,0.593233,-6.43894,-2.39982,0.593233,1
1,2,92,0.0975175,0.713433,-6.43894,-2.39982,0.713433,1
1,1,92,0.140213,-0.276842,-6.43894,-2.39982,-0.276842,0
1,19,91,-1.64662,-0.610693,-6.29331,-2.45927,-0.610693,1
1,17,91,-1.41408,-1.42126,-6.29331,-2.45927,-1.42126,0
1,15,91,-0.770852,-0.625474,-6.29331,-2.45927,-0.770852,1
1,13,91,-0.20148,-0.114841,-6.29331,-2.45927,-0.114841,1
1,7,91,0.465357,0.0479623,-6.29331,-2.45927,0.0479623,0
1,4,91,0.512584,0.690449,-6.29331,-2.45927,0.690449,1
1,2,91,0.0667627,0.150968,-6.29331,-2.45927,0.150968,1
1,1,91,0.446988,-0.392882,-6.29331,-2.45927,-0.392882,0
1,19,90,-1.73384,-0.899109,-6.05291,-2.36134,-0.899109,1
1,17,90,-1.32582,-1.14162,-6.05291,-2.36134,-1.14162,1
1,15,90,-0.57368,-0.58788,-6.05291,-2.36134,-0.58788,0
1,13,90,-0.161943,-0.0672054,-6.05291,-2.36134,-0.0672054,1
1,7,90,0.529416,0.0301675,-6.05291,-2.36134,0.0301675,0
1,4,90,0.546081,0.910008,-6.05291,-2.36134,0.910008,1
1,2,90,0.533319,0.642342,-6.05291,-2.36134,0.642342,1
1,1,90,0.107408,-0.105465,-6.05291,-2.36134,-0.105465,0
1,19,89,-2.25887,-1.28722,-5.75042,-2.39784,-1.28722,1
1,17,89,-1.12155,-0.910873,-5.75042,-2.39784,-1.12155,1
1,15,89,-0.926751,-0.728614,-5.75042,-2.39784,-0.728614,1
1,13,89,-0.0830961,-0.211163,-5.75042,-2.39784,-0.211163,0
1,7,89,0.660933,0.232542,-5.75042,-2.39784,0.232542,0
1,4,89,0.561781,0.811073,-5.75042,-2.39784,0.811073,1
1,2,89,0.30721,0.495872,-5.75042,-2.39784,0.495872,1
1,1,89,0.243463,0.56748,-5.75042,-2.39784,0.56748,1
1,19,88,-1.65055,-0.642713,-5.55605,-2.24038,-1.65055,1
1,17,88,-1.31511,-1.05427,-5.55605,-2.24038,-1.05427,1
1,15,88,-0.66967,-0.753836,-5.55605,-2.24038,-0.753836,0
1,13,88,0.0239495,-0.227816,-5.55605,-2.24038,-0.227816,0
1,7,88,0.712349,0.285668,-5.55605,-2.24038,0.285668,0
1,4,88,0.747009,0.886411,-5.55605,-2.24038,0.886411,1
1,2,88,0.337308,0.607511,-5.55605,-2.24038,0.607511,1
1,1,88,0.446531,-0.0705762,-5.55605,-2.24038,-0.0705762,0
1,19,87,-1.50862,-0.621432,-5.60239,-2.09737,-0.621432,1
1,17,87,-1.7322,-1.17279,-5.60239,-2.09737,-1.17279,1
1,15,87,-0.450919,-0.593964,-5.60239,-2.09737,-0.593964,0
1,13,87,-0.273272,-0.242451,-5.60239,-2.09737,-0.242451,1
1,7,87,0.201934,0.387929,-5.60239,-2.09737,0.387929,1
1,4,87,0.704313,0.813702,-5.60239,-2.09737,0.813702,1
1,2,87,0.525148,0.917541,-5.60239,-2.09737,0.917541,1
1,1,87,0.340103,-0.0661641,-5.60239,-2.09737,-0.0661641,0
1,19,86,-1.51455,-0.462275,-5.61978,-2.01828,-0.462275,1
1,17,86,-0.869865,-0.625785,-5.61978,-2.01828,-0.869865,1
1,15,86,-0.712058,-0.91773,-5.61978,-2.01828,-0.91773,0
1,13,86,-0.058204,-0.100259,-5.61978,-2.01828,-0.058204,0
1,7,86,0.40195,0.294961,-5.61978,-2.01828,0.294961,0
1,4,86,0.977096,0.966871,-5.61978,-2.01828,0.966871,0
1,2,86,0.760013,0.777425,-5.61978,-2.01828,0.777425,1
1,1,86,1.04801,0.096565,-5.61978,-2.01828,0.096565,0
1,19,85,-1.35228,-1.86744,-5.14185,-2.10808,-1.86744,0
1,17,85,-0.731079,-0.674677,-5.14185,-2.10808,-0.674677,1
1,15,85,-1.46063,-0.396943,-5.14185,-2.10808,-0.396943,1
1,13,85,-0.0225379,0.717053,-5.14185,-2.10808,0.717053,1
1,7,85,0.8257,0.489994,-5.14185,-2.10808,0.489994,0
1,4,85,0.87429,0.504486,-5.14185,-2.10808,0.504486,0
1,2,85,0.795929,0.97451,-5.14185,-2.10808,0.97451,1
1,1,85,0.773163,1.13433,-5.14185,-2.10808,1.13433,1
1,19,84,-1.23963,-2.19294,-5.35927,-2.00544,-2.19294,0
1,17,84,-0.646445,-0.7724,-5.35927,-2.00544,-0.7724,0
1,15,84,-0.962324,0.00940806,-5.35927,-2.00544,0.00940806,1
1,13,84,-0.223801,0.478642,-5.35927,-2.00544,0.478642,1
1,7,84,0.770633,0.370659,-5.35927,-2.00544,0.370659,0
1,4,84,0.958783,0.41083,-5.35927,-2.00544,0.41083,0
1,2,84,0.986373,0.953995,-5.35927,-2.00544,0.953995,0
1,1,84,0.836245,0.891198,-5.35927,-2.00544,0.891198,1
1,19,83,-0.683222,-1.63174,-5.22327,-1.89942,-0.683222,0
1,17,83,-0.931454,-0.800998,-5.22327,-1.89942,-0.800998,1
1,15,83,-0.8003,0.134222,-5.22327,-1.89942,0.134222,1
1,13,83,-0.308686,0.390283,-5.22327,-1.89942,0.390283,1
1,7,83,0.843257,0.491284,-5.22327,-1.89942,0.491284,0
1,4,83,0.939031,0.535322,-5.22327,-1.89942,0.535322,0
1,2,83,0.952177,0.984145,-5.22327,-1.89942,0.984145,1
1,1,83,0.886767,1.06817,-5.22327,-1.89942,1.06817,1
1,19,82,-0.780248,-2.12171,-5.04662,-1.89873,-2.12171,0
1,17,82,-1.30058,-1.22641,-5.04662,-1.89873,-1.30058,1
1,15,82,-0.806484,0.0354815,-5.04662,-1.89873,0.0354815,1
1,13,82,-0.149109,0.511645,-5.04662,-1.89873,0.511645,1
1,9,82,0.229487,0.392794,-5.04662,-1.89873,0.392794,1
1,7,82,0.916553,0.495281,-5.04662,-1.89873,0.495281,0
1,4,82,0.912865,0.597266,-5.04662,-1.89873,0.597266,0
1,2,82,0.999579,1.09469,-5.04662,-1.89873,1.09469,1
1,1,82,0.981731,1.14972,-5.04662,-1.89873,1.14972,1
1,19,81,-0.800292,-1.93812,-4.70389,-1.77463,-1.93812,0
1,17,81,-0.625659,-0.48904,-4.70389,-1.77463,-0.48904,1
1,15,81,-1.26869,0.139,-4.70389,-1.77463,0.139,1
1,13,81,-0.0809054,0.70478,-4.70389,-1.77463,0.70478,1
1,7,81,0.753287,0.601193,-4.70389,-1.77463,0.601193,0
1,4,81,0.936085,0.505157,-4.70389,-1.77463,0.505157,0
1,2,81,1.01929,1.1428,-4.70389,-1.77463,1.1428,1
1,1,81,1.053,1.04145,-4.70389,-1.77463,1.04145,0
1,19,80,-0.533425,-1.76893,-4.82344,-1.66435,-1.76893,0
1,17,80,-0.963398,-0.590342,-4.82344,-1.66435,-0.590342,1
1,15,80,-1.1435,-0.14369,-4.82344,-1.66435,-0.14369,1
1,13,80,-0.0256757,0.569168,-4.82344,-1.66435,0.569168,1
1,7,80,0.877122,0.664418,-4.82344,-1.66435,0.664418,0
1,4,80,1.07957,0.661032,-4.82344,-1.66435,0.661032,0
1,2,80,1.08623,1.0371,-4.82344,-1.66435,1.0371,0
1,1,80,0.926458,1.00985,-4.82344,-1.66435,1.00985,1
1,19,79,-0.371651,-1.33474,-4.30456,-1.7295,-1.33474,0
1,17,79,-0.959233,-0.641015,-4.30456,-1.7295,-0.641015,1
1,15,79,-0.568089,0.320722,-4.30456,-1.7295,0.320722,1
1,13,79,-0.255494,0.481649,-4.30456,-1.7295,0.481649,1
1,9,79,-0.0820891,0.291673,-4.30456,-1.7295,0.291673,1
1,7,79,1.00073,0.713034,-4.30456,-1.7295,0.713034,0
1,4,79,1.06904,0.576987,-4.30456,-1.7295,0.576987,0
1,2,79,1.05572,1.06972,-4.30456,-1.7295,1.06972,1
1,1,79,1.07011,1.11209,-4.30456,-1.7295,1.11209,1
1,19,78,-0.396596,-1.4566,-4.65291,-1.66623,-1.4566,0
1,17,78,-0.657246,-0.568878,-4.65291,-1.66623,-0.568878,1
1,15,78,-1.08793,0.278981,-4.65291,-1.66623,0.278981,1
1,13,78,-0.253985,-0.0971865,-4.65291,-1.66623,-0.0971865,1
1,9,78,0.40239,0.554185,-4.65291,-1.66623,0.554185,1
1,7,78,0.687206,0.57857,-4.65291,-1.66623,0.57857,0
1,4,78,1.06435,0.6636,-4.65291,-1.66623,0.6636,0
1,2,78,1.11727,1.24823,-4.65291,-1.66623,1.24823,1
1,1,78,0.918586,1.27947,-4.65291,-1.66623,1.27947,1
1,19,77,-0.304864,-1.33831,-4.67517,-1.58996,-1.33831,0
1,17,77,-0.299062,-0.222463,-4.67517,-1.58996,-0.222463,1
1,15,77,-0.900848,0.326769,-4.67517,-1.58996,0.326769,1
1,13,77,0.200823,0.581723,-4.67517,-1.58996,0.581723,1
1,9,77,0.503751,0.607185,-4.67517,-1.58996,0.607185,1
1,7,77,0.531798,0.501383,-4.67517,-1.58996,0.501383,0
1,4,77,1.02604,0.69301,-4.67517,-1.58996,0.69301,0
1,2,77,1.18205,1.23557,-4.67517,-1.58996,1.23557,1
1,1,77,1.14064,1.40313,-4.67517,-1.58996,1.40313,1
1,19,76,0.145611,-1.2231,-4.75214,-1.45125,-1.2231,0
1,17,76,-0.552634,-0.335186,-4.75214,-1.45125,-0.335186,1
1,15,76,-0.604124,0.681496,-4.75214,-1.45125,0.681496,1
1,13,76,0.146116,0.340257,-4.75214,-1.45125,0.340257,1
1,9,76,0.509767,0.65737,-4.75214,-1.45125,0.65737,1
1,7,76,0.875967,0.69002,-4.75214,-1.45125,0.69002,0
1,4,76,1.04703,0.592715,-4.75214,-1.45125,0.592715,0
1,2,76,1.03092,1.33619,-4.75214,-1.45125,1.33619,1
1,1,76,1.07473,1.40958,-4.75214,-1.45125,1.40958,1
1,19,75,0.133853,-1.41038,-4.90201,-1.41384,-1.41038,0
1,17,75,-0.350749,-0.145459,-4.90201,-1.41384,-0.145459,1
1,15,75,-0.161539,0.780488,-4.90201,-1.41384,-0.161539,1
1,13,75,0.103467,0.370211,-4.90201,-1.41384,0.370211,1
1,9,75,0.719645,0.565544,-4.90201,-1.41384,0.565544,0
1,7,75,0.964183,0.631067,-4.90201,-1.41384,0.631067,0
1,4,75,0.874843,0.39203,-4.90201,-1.41384,0.39203,0
1,2,75,1.0361,1.23558,-4.90201,-1.41384,1.23558,1
1,1,75,0.988448,1.41754,-4.90201,-1.41384,1.41754,1
1,19,74,0.40606,-1.2415,-4.86797,-1.45906,-1.2415,0
1,17,74,0.0316724,0.180656,-4.86797,-1.45906,0.0316724,1
1,15,74,-0.381339,0.68538,-4.86797,-1.45906,0.68538,1
1,13,74,0.205415,0.650109,-4.86797,-1.45906,0.650109,1
1,9,74,0.227153,0.30785,-4.86797,-1.45906,0.30785,1
1,7,74,0.698158,0.80636,-4.86797,-1.45906,0.80636,1
1,4,74,0.75445,0.559633,-4.86797,-1.45906,0.559633,0
1,2,74,1.02007,1.34625,-4.86797,-1.45906,1.34625,1
1,1,74,0.962238,1.4698,-4.86797,-1.45906,1.4698,1
1,19,73,0.378877,-1.28345,-4.58061,-1.30758,-1.28345,0
