Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.94994,-1.32093,-3.41916,-3.35117,-1.32093,1
1,19,99,-2.59639,-0.48246,-3.41916,-3.35117,-0.48246,1
1,18,99,-1.98767,-0.597675,-3.41916,-3.35117,-0.597675,1
1,17,99,-1.95171,-0.845402,-3.41916,-3.35117,-0.845402,1
1,15,99,-0.794429,-1.37765,-3.41916,-3.35117,-1.37765,0
1,13,99,-0.957417,-0.636785,-3.41916,-3.35117,-0.636785,1
1,12,99,-1.01713,-0.931906,-3.41916,-3.35117,-1.01713,1
1,10,99,-0.474976,-0.184134,-3.41916,-3.35117,-0.474976,1
1,9,99,-1.15322,0.0529563,-3.41916,-3.35117,0.0529563,1
1,7,99,-0.193998,-0.198405,-3.41916,-3.35117,-0.198405,0
1,4,99,-0.124156,0.136518,-3.41916,-3.35117,0.136518,1
1,3,99,0.036546,0.0562083,-3.41916,-3.35117,0.0562083,1
1,2,99,-0.788263,-0.113155,-3.41916,-3.35117,-0.113155,1
1,1,99,-0.0298138,-0.287443,-3.41916,-3.35117,-0.287443,0
1,20,98,-1.72967,-1.22567,-3.41916,-3.12829,-1.22567,1
1,19,98,-2.33434,-0.342629,-3.41916,-3.12829,-0.342629,1
1,18,98,-1.70159,-0.755653,-3.41916,-3.12829,-0.755653,1
1,17,98,-1.32509,-0.72127,-3.41916,-3.12829,-0.72127,1
1,15,98,-0.589822,-1.1631,-3.41916,-3.12829,-1.1631,0
1,13,98,-0.776301,-0.628381,-3.41916,-3.12829,-0.776301,1
1,12,98,-0.737937,-0.458486,-3.41916,-3.12829,-0.458486,1
1,9,98,-0.993048,0.102628,-3.41916,-3.12829,0.102628,1
1,7,98,0.0783464,-0.130036,-3.41916,-3.12829,-0.130036,0
1,4,98,-0.0344707,0.172704,-3.41916,-3.12829,0.172704,1
1,3,98,0.0690933,0.107478,-3.41916,-3.12829,0.107478,1
1,2,98,-0.793268,-0.0579827,-3.41916,-3.12829,-0.0579827,1
1,1,98,-0.105183,-0.185803,-3.41916,-3.12829,-0.185803,0
1,20,97,-1.50918,-1.24851,-3.41916,-2.81209,-1.50918,1
1,19,97,-1.81925,-0.494897,-3.41916,-2.81209,-0.494897,1
1,18,97,-1.56369,-0.648482,-3.41916,-2.81209,-0.648482,1
1,17,97,-1.16924,-0.810837,-3.41916,-2.81209,-0.810837,1
1,15,97,-0.547485,-1.23215,-3.41916,-2.81209,-1.23215,0
1,13,97,-0.654594,-0.497885,-3.41916,-2.81209,-0.497885,1
1,12,97,-0.703499,-0.333254,-3.41916,-2.81209,-0.333254,1
1,7,97,0.276137,-0.0733719,-3.41916,-2.81209,-0.0733719,0
1,4,97,0.0337752,0.207125,-3.41916,-2.81209,0.207125,1
1,3,97,0.00195226,0.13848,-3.41916,-2.81209,0.13848,1
1,2,97,-0.0599364,-0.108657,-3.41916,-2.81209,-0.108657,0
1,20,96,-1.27551,-1.10196,-3.41916,-2.99602,-1.10196,1
1,19,96,-1.60774,-0.41677,-3.41916,-2.99602,-0.41677,1
1,18,96,-1.32267,-0.600397,-3.41916,-2.99602,-0.600397,1
1,17,96,-1.08162,-0.706849,-3.41916,-2.99602,-0.706849,1
1,15,96,-0.247696,-1.07804,-3.41916,-2.99602,-1.07804,0
1,13,96,-0.404726,-0.418109,-3.41916,-2.99602,-0.404726,0
1,12,96,-0.565508,-0.265873,-3.41916,-2.99602,-0.265873,1
1,9,96,-0.599213,-0.0305275,-3.41916,-2.99602,-0.0305275,1
