Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.01503,-0.966336,-3.41916,-3.35117,-0.966336,1
1,19,99,-2.18067,-0.633263,-3.41916,-3.35117,-0.633263,1
1,18,99,-1.28402,-0.966641,-3.41916,-3.35117,-0.966641,1
1,17,99,-1.18362,0.0201767,-3.41916,-3.35117,0.0201767,1
1,15,99,-1.77969,-1.16907,-3.41916,-3.35117,-1.16907,1
1,13,99,-1.35977,-0.38795,-3.41916,-3.35117,-0.38795,1
1,12,99,-0.706998,-0.250564,-3.41916,-3.35117,-0.706998,1
1,10,99,-0.588127,0.176758,-3.41916,-3.35117,0.176758,1
1,9,99,0.0905354,-0.298658,-3.41916,-3.35117,-0.298658,0
1,7,99,0.207036,0.350262,-3.41916,-3.35117,0.350262,1
1,4,99,-0.0406796,0.367717,-3.41916,-3.35117,0.367717,1
1,3,99,0.0115754,0.361202,-3.41916,-3.35117,0.361202,1
1,2,99,-0.220417,0.16713,-3.41916,-3.35117,0.16713,1
1,1,99,-0.677504,-1.0044,-3.41916,-3.35117,-1.0044,0
1,20,98,-1.78644,-1.11659,-3.41916,-3.12829,-1.11659,1
1,19,98,-1.67309,-0.31272,-3.41916,-3.12829,-0.31272,1
1,18,98,-1.4897,-1.21862,-3.41916,-3.12829,-1.21862,1
1,17,98,-0.961181,-0.0336269,-3.41916,-3.12829,-0.0336269,1
1,15,98,-1.33853,-0.885243,-3.41916,-3.12829,-0.885243,1
1,13,98,-0.75185,-0.453486,-3.41916,-3.12829,-0.75185,1
1,12,98,-0.244371,0.259687,-3.41916,-3.12829,0.259687,1
1,9,98,0.152245,-0.244909,-3.41916,-3.12829,-0.244909,0
1,7,98,0.221088,0.479739,-3.41916,-3.12829,0.479739,1
1,4,98,-0.0321806,0.47599,-3.41916,-3.12829,0.47599,1
1,3,98,-0.175494,0.441356,-3.41916,-3.12829,0.441356,1
1,2,98,-0.131335,0.358985,-3.41916,-3.12829,0.358985,1
1,1,98,-0.585566,-0.767831,-3.41916,-3.12829,-0.767831,0
1,20,97,-1.42631,-0.934212,-3.41916,-2.81209,-1.42631,1
1,19,97,-1.53999,-0.427317,-3.41916,-2.81209,-0.427317,1
1,18,97,-0.941344,-0.908419,-3.41916,-2.81209,-0.908419,1
1,17,97,-0.951704,-0.0744532,-3.41916,-2.81209,-0.0744532,1
1,15,97,-1.07769,-1.0569,-3.41916,-2.81209,-1.0569,1
1,13,97,-0.679493,-0.273719,-3.41916,-2.81209,-0.273719,1
1,12,97,-0.108868,0.283785,-3.41916,-2.81209,0.283785,1
1,7,97,0.366574,0.493785,-3.41916,-2.81209,0.493785,1
1,4,97,0.00572077,0.410187,-3.41916,-2.81209,0.410187,1
1,3,97,0.166389,0.376036,-3.41916,-2.81209,0.376036,1
1,2,97,0.177674,0.158736,-3.41916,-2.81209,0.158736,0
1,20,96,-1.2548,-0.862026,-3.41916,-2.99602,-0.862026,1
1,19,96,-1.33952,-0.298097,-3.41916,-2.99602,-0.298097,1
1,18,96,-0.737636,-0.877575,-3.41916,-2.99602,-0.877575,0
1,17,96,-0.622584,0.131655,-3.41916,-2.99602,0.131655,1
1,15,96,-0.90026,-1.15342,-3.41916,-2.99602,-1.15342,0
1,13,96,-0.633456,-0.367391,-3.41916,-2.99602,-0.633456,1
