Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.14391,-1.66177,-3.41916,-3.35117,-1.66177,1
1,19,99,-2.55932,-0.51076,-3.41916,-3.35117,-0.51076,1
1,18,99,-2.35543,-0.850265,-3.41916,-3.35117,-0.850265,1
1,17,99,-2.00473,-1.56452,-3.41916,-3.35117,-1.56452,1
1,15,99,-1.23124,-1.39647,-3.41916,-3.35117,-1.39647,0
1,13,99,-0.83791,-1.20393,-3.41916,-3.35117,-1.20393,0
1,12,99,-1.16859,-1.06189,-3.41916,-3.35117,-1.16859,1
1,10,99,-0.564359,-0.883971,-3.41916,-3.35117,-0.564359,0
1,9,99,-1.1595,-0.551752,-3.41916,-3.35117,-0.551752,1
1,7,99,-0.409728,-0.423523,-3.41916,-3.35117,-0.423523,0
1,4,99,-0.446581,-0.310258,-3.41916,-3.35117,-0.310258,1
1,3,99,-0.695785,-0.461711,-3.41916,-3.35117,-0.461711,1
1,2,99,-0.968299,-0.511172,-3.41916,-3.35117,-0.511172,1
1,1,99,-0.757154,-1.08879,-3.41916,-3.35117,-1.08879,0
1,20,98,-1.89679,-1.58167,-3.41916,-3.12829,-1.58167,1
1,19,98,-2.18447,-0.424666,-3.41916,-3.12829,-0.424666,1
1,18,98,-2.36803,-1.017,-3.41916,-3.12829,-1.017,1
1,17,98,-1.54725,-1.44824,-3.41916,-3.12829,-1.44824,1
1,15,98,-1.32117,-1.57789,-3.41916,-3.12829,-1.57789,0
1,13,98,-0.719116,-1.1455,-3.41916,-3.12829,-0.719116,0
1,12,98,-0.990621,-0.634301,-3.41916,-3.12829,-0.634301,1
1,9,98,-1.1076,-0.46478,-3.41916,-3.12829,-0.46478,1
1,7,98,-0.382542,-0.387817,-3.41916,-3.12829,-0.387817,0
1,4,98,-0.346714,-0.147229,-3.41916,-3.12829,-0.147229,1
1,3,98,-0.61754,-0.325146,-3.41916,-3.12829,-0.325146,1
1,2,98,-0.945177,-0.31451,-3.41916,-3.12829,-0.31451,1
1,1,98,-0.522644,-0.939817,-3.41916,-3.12829,-0.939817,0
1,20,97,-1.7359,-1.55027,-3.41916,-2.81209,-1.7359,1
1,19,97,-1.91479,-0.358962,-3.41916,-2.81209,-0.358962,1
1,18,97,-1.91843,-0.824787,-3.41916,-2.81209,-0.824787,1
1,17,97,-1.60735,-1.52482,-3.41916,-2.81209,-1.52482,1
1,15,97,-1.01475,-1.25826,-3.41916,-2.81209,-1.25826,0
1,13,97,-0.621602,-1.07639,-3.41916,-2.81209,-1.07639,0
1,12,97,-0.961658,-0.409538,-3.41916,-2.81209,-0.409538,1
1,7,97,-0.374821,-0.315349,-3.41916,-2.81209,-0.315349,1
1,4,97,-0.401926,-0.218801,-3.41916,-2.81209,-0.218801,1
1,3,97,-0.39108,-0.292382,-3.41916,-2.81209,-0.292382,1
1,2,97,-0.456551,-0.35712,-3.41916,-2.81209,-0.35712,1
1,20,96,-1.62131,-1.39663,-3.41916,-2.99602,-1.39663,1
1,19,96,-1.80111,-0.399743,-3.41916,-2.99602,-0.399743,1
1,18,96,-1.70889,-0.808928,-3.41916,-2.99602,-0.808928,1
1,17,96,-1.37025,-1.42598,-3.41916,-2.99602,-1.42598,0
1,15,96,-0.853463,-1.16136,-3.41916,-2.99602,-1.16136,0
