Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.33854,-1.356,-3.41916,-3.35117,-1.356,1
1,19,99,-2.14154,-0.965721,-3.41916,-3.35117,-0.965721,1
1,18,99,-1.97893,-1.02022,-3.41916,-3.35117,-1.02022,1
1,17,99,-1.8855,-1.79416,-3.41916,-3.35117,-1.79416,1
1,15,99,-1.00724,-1.5522,-3.41916,-3.35117,-1.5522,0
1,13,99,-1.20335,-1.29374,-3.41916,-3.35117,-1.29374,0
1,12,99,-0.616073,-1.01906,-3.41916,-3.35117,-0.616073,0
1,10,99,-0.895036,-0.508401,-3.41916,-3.35117,-0.508401,1
1,9,99,-0.432468,0.719213,-3.41916,-3.35117,0.719213,1
1,7,99,-0.432968,-0.282051,-3.41916,-3.35117,-0.282051,1
1,4,99,-0.308533,-0.390079,-3.41916,-3.35117,-0.390079,0
1,3,99,-0.59555,-0.406087,-3.41916,-3.35117,-0.406087,1
1,2,99,-0.791936,-0.395775,-3.41916,-3.35117,-0.395775,1
1,1,99,-0.314964,-0.830879,-3.41916,-3.35117,-0.830879,0
1,20,98,-2.20067,-1.41568,-3.41916,-3.12829,-1.41568,1
1,19,98,-1.94655,-0.843118,-3.41916,-3.12829,-0.843118,1
1,18,98,-1.78163,-1.00659,-3.41916,-3.12829,-1.00659,1
1,17,98,-1.4474,-1.64604,-3.41916,-3.12829,-1.64604,0
1,15,98,-1.17094,-1.75168,-3.41916,-3.12829,-1.75168,0
1,13,98,-0.85057,-1.19666,-3.41916,-3.12829,-0.85057,0
1,12,98,-0.484928,-0.975293,-3.41916,-3.12829,-0.975293,0
1,9,98,-0.43325,0.742743,-3.41916,-3.12829,0.742743,1
1,7,98,-0.405213,-0.222488,-3.41916,-3.12829,-0.222488,1
1,4,98,-0.34152,-0.259003,-3.41916,-3.12829,-0.259003,1
1,3,98,-0.589003,-0.312403,-3.41916,-3.12829,-0.312403,1
1,2,98,-0.871499,-0.303763,-3.41916,-3.12829,-0.303763,1
1,1,98,-0.22831,-0.65735,-3.41916,-3.12829,-0.65735,0
1,20,97,-1.94039,-1.17606,-3.41916,-2.81209,-1.94039,1
1,19,97,-1.61971,-0.872316,-3.41916,-2.81209,-0.872316,1
1,18,97,-1.73266,-0.872028,-3.41916,-2.81209,-0.872028,1
1,17,97,-1.42567,-1.58182,-3.41916,-2.81209,-1.58182,0
1,15,97,-0.795526,-1.3674,-3.41916,-2.81209,-1.3674,0
