Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.83356,-0.203968,-1000,-3.35117,-0.203968,1
1,19,99,-1.45582,2.97757,-1000,-3.35117,2.97757,1
1,18,99,3.7012,6.06151,-1000,-3.35117,6.06151,1
1,17,99,0.148664,3.94356,-1000,-3.35117,3.94356,1
1,15,99,-0.0558442,1.86626,-1000,-3.35117,1.86626,1
1,13,99,-0.765762,6.30008,-1000,-3.35117,6.30008,1
1,12,99,6.19401,1.96324,-1000,-3.35117,6.19401,0
1,10,99,6.02226,3.76884,-1000,-3.35117,6.02226,0
1,9,99,6.12269,6.21948,-1000,-3.35117,6.21948,1
1,7,99,6.12642,5.09198,-1000,-3.35117,6.12642,0
1,4,99,6.30744,6.30744,-1000,-3.35117,6.30744,0
1,3,99,3.92419,5.00157,-1000,-3.35117,5.00157,1
1,2,99,6.1096,6.09427,-1000,-3.35117,6.1096,0
1,1,99,6.04774,6.04774,-1000,-3.35117,6.04774,0
2,20,99,-2.24906,-2.41348,-1000,-3.35117,-2.24906,0
2,18,99,-2.68381,-0.731061,-1000,-3.35117,-0.731061,1
2,17,99,1.74103,-2.65974,-1000,-3.35117,1.74103,0
2,16,99,1.86242,-3.17359,-1000,-3.35117,1.86242,0
2,15,99,-3.26708,-1.99304,-1000,-3.35117,-1.99304,1
2,13,99,3.79242,6.30008,-1000,-3.35117,6.30008,1
2,10,99,-2.61842,1.35918,-1000,-3.35117,1.35918,1
2,8,99,3.82401,5.95554,-1000,-3.35117,5.95554,1
2,7,99,-2.70465,6.12642,-1000,-3.35117,6.12642,1
2,4,99,1.78048,6.30744,-1000,-3.35117,6.30744,1
2,3,99,3.92419,3.62443,-1000,-3.35117,3.92419,0
2,2,99,6.1096,1.38325,-1000,-3.35117,6.1096,0
2,1,99,1.47694,6.04774,-1000,-3.35117,6.04774,1
3,20,99,-2.67868,-3.17359,-1000,-3.35117,-2.67868,0
3,16,99,-3.17359,-4.35522,-1000,-3.35117,-3.17359,0
3,15,99,-3.35117,-3.11501,-1000,-3.35117,-3.11501,1
3,13,99,-2.98734,6.30008,-1000,-3.35117,6.30008,1
3,11,99,-3.10247,-2.45736,-1000,-3.35117,-2.45736,1
3,10,99,-3.35117,-2.8755,-1000,-3.35117,-2.8755,1
3,9,99,-2.45927,-3.35117,-1000,-3.35117,-2.45927,0
3,8,99,-2.92489,1.43416,-1000,-3.35117,1.43416,1
3,5,99,-2.85377,6.08802,-1000,-3.35117,6.08802,1
3,4,99,6.37305,1.41333,-1000,-3.35117,6.37305,0
3,2,99,1.38325,1.36059,-1000,-3.35117,1.38325,0
3,1,99,6.13156,1.20703,-1000,-3.35117,6.13156,0
4,17,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,16,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,15,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,14,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,13,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,12,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,9,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,8,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,7,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,5,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,3,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,1,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
1,20,98,-1.82645,-0.147561,-1000,-3.12829,-0.147561,1
