Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.47186,-1.8019,-3.41916,-3.35117,-1.8019,1
1,19,99,-2.40744,-1.48359,-3.41916,-3.35117,-1.48359,1
1,18,99,-2.00758,-1.49622,-3.41916,-3.35117,-1.49622,1
1,17,99,-1.98309,-1.62499,-3.41916,-3.35117,-1.62499,1
1,15,99,-1.36736,-1.49618,-3.41916,-3.35117,-1.49618,0
1,13,99,-2.07836,-1.97595,-3.41916,-3.35117,-1.97595,1
1,12,99,-1.91751,-1.35437,-3.41916,-3.35117,-1.91751,1
1,10,99,-1.47802,-1.17442,-3.41916,-3.35117,-1.47802,1
1,9,99,-1.5194,-1.00559,-3.41916,-3.35117,-1.00559,1
1,7,99,-1.20881,-0.843078,-3.41916,-3.35117,-0.843078,1
1,4,99,-0.97562,-0.701299,-3.41916,-3.35117,-0.701299,1
1,3,99,-1.1515,-0.855944,-3.41916,-3.35117,-0.855944,1
1,2,99,-0.939304,-1.12169,-3.41916,-3.35117,-1.12169,0
1,1,99,-1.68176,-1.26663,-3.41916,-3.35117,-1.26663,1
1,20,98,-2.21768,-1.69615,-3.41916,-3.12829,-1.69615,1
1,19,98,-2.12052,-1.12818,-3.41916,-3.12829,-1.12818,1
1,18,98,-1.88814,-1.53313,-3.41916,-3.12829,-1.53313,1
1,17,98,-1.618,-1.56125,-3.41916,-3.12829,-1.56125,1
1,15,98,-1.72295,-1.79404,-3.41916,-3.12829,-1.79404,0
1,13,98,-1.75537,-1.97376,-3.41916,-3.12829,-1.75537,0
1,12,98,-1.57239,-0.67048,-3.41916,-3.12829,-0.67048,1
1,9,98,-1.32583,-0.971225,-3.41916,-3.12829,-0.971225,1
1,7,98,-0.983624,-0.722377,-3.41916,-3.12829,-0.722377,1
1,4,98,-0.917694,-0.564699,-3.41916,-3.12829,-0.564699,1
1,3,98,-1.11187,-0.716347,-3.41916,-3.12829,-0.716347,1
1,2,98,-0.889355,-1.12632,-3.41916,-3.12829,-1.12632,0
1,1,98,-1.66222,-1.14055,-3.41916,-3.12829,-1.14055,1
1,20,97,-2.07077,-1.642,-3.41916,-2.81209,-2.07077,1
1,19,97,-1.75966,-1.11906,-3.41916,-2.81209,-1.11906,1
1,18,97,-1.60156,-1.33336,-3.41916,-2.81209,-1.33336,1
1,17,97,-1.57592,-1.61418,-3.41916,-2.81209,-1.61418,0
1,15,97,-1.09564,-1.26126,-3.41916,-2.81209,-1.26126,0
1,13,97,-1.52766,-1.91207,-3.41916,-2.81209,-1.91207,0
1,12,97,-1.50073,-0.734357,-3.41916,-2.81209,-0.734357,1
1,7,97,-0.89452,-0.770812,-3.41916,-2.81209,-0.770812,1
1,4,97,-0.852072,-0.724186,-3.41916,-2.81209,-0.724186,1
1,3,97,-1.05471,-0.687573,-3.41916,-2.81209,-0.687573,1
1,2,97,-0.91135,-1.11498,-3.41916,-2.81209,-1.11498,0
1,20,96,-1.76668,-1.59518,-3.41916,-2.99602,-1.59518,1
1,19,96,-1.82158,-1.10968,-3.41916,-2.99602,-1.10968,1
1,18,96,-1.43183,-1.2814,-3.41916,-2.99602,-1.2814,1
1,17,96,-1.43768,-1.47728,-3.41916,-2.99602,-1.47728,0
1,15,96,-0.938623,-1.2068,-3.41916,-2.99602,-1.2068,0
1,13,96,-1.66679,-1.94895,-3.41916,-2.99602,-1.66679,0
1,12,96,-1.35515,-0.693489,-3.41916,-2.99602,-0.693489,1
1,9,96,-1.24934,-0.963085,-3.41916,-2.99602,-0.963085,1
1,7,96,-0.83608,-0.675349,-3.41916,-2.99602,-0.675349,1
1,4,96,-0.711649,-0.588277,-3.41916,-2.99602,-0.588277,1
1,3,96,-0.875726,-0.521876,-3.41916,-2.99602,-0.521876,1
1,2,96,-0.831953,-0.94484,-3.41916,-2.99602,-0.94484,0
1,19,95,-1.74258,-0.908474,-3.41916,-2.85377,-0.908474,1
1,17,95,-1.20402,-1.30913,-3.41916,-2.85377,-1.30913,0
1,15,95,-1.31456,-1.55407,-3.41916,-2.85377,-1.55407,0
1,13,95,-1.21226,-1.70665,-3.41916,-2.85377,-1.70665,0
1,7,95,-0.913936,-0.642511,-3.41916,-2.85377,-0.642511,1
1,4,95,-0.721084,-0.533682,-3.41916,-2.85377,-0.533682,1
1,2,95,-0.721271,-0.860512,-3.41916,-2.85377,-0.860512,0
1,1,95,-0.981714,-0.996068,-3.41916,-2.85377,-0.996068,0
1,19,94,-1.56619,-0.720567,-3.41916,-2.55553,-0.720567,1
1,17,94,-1.29559,-1.32022,-3.41916,-2.55553,-1.32022,0
1,15,94,-0.875649,-1.04707,-3.41916,-2.55553,-1.04707,0
1,13,94,-1.09137,-1.34763,-3.41916,-2.55553,-1.34763,0
1,7,94,-0.793905,-0.576941,-3.41916,-2.55553,-0.576941,1
1,4,94,-0.658112,-0.345034,-3.41916,-2.55553,-0.345034,1
1,2,94,-0.604895,-0.709941,-3.41916,-2.55553,-0.709941,0
1,1,94,-0.926394,-0.829343,-3.41916,-2.55553,-0.829343,1
1,19,93,-1.66677,-0.788977,-3.41916,-2.51688,-0.788977,1
1,17,93,-1.2621,-1.25959,-3.41916,-2.51688,-1.25959,1
