Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.15307,-0.979899,-3.41916,-3.35117,-0.979899,1
1,19,99,-2.16684,-0.302825,-3.41916,-3.35117,-0.302825,1
1,18,99,-1.82023,-0.183752,-3.41916,-3.35117,-0.183752,1
1,17,99,-1.33084,-1.02659,-3.41916,-3.35117,-1.02659,1
1,15,99,-0.7421,-1.37649,-3.41916,-3.35117,-1.37649,0
1,13,99,-1.00534,-0.721128,-3.41916,-3.35117,-0.721128,1
1,12,99,-0.617353,-0.87224,-3.41916,-3.35117,-0.617353,0
1,10,99,-0.366542,-0.512141,-3.41916,-3.35117,-0.366542,0
1,9,99,-0.196653,0.360884,-3.41916,-3.35117,0.360884,1
1,7,99,-0.217681,-0.582346,-3.41916,-3.35117,-0.582346,0
1,4,99,-0.366569,0.0660185,-3.41916,-3.35117,0.0660185,1
1,3,99,0.0838569,-0.216587,-3.41916,-3.35117,-0.216587,0
1,2,99,-0.988871,-0.504449,-3.41916,-3.35117,-0.504449,1
1,1,99,-1.41305,-0.84364,-3.41916,-3.35117,-0.84364,1
1,20,98,-1.9724,-0.742694,-3.41916,-3.12829,-0.742694,1
1,19,98,-1.7075,-0.0405301,-3.41916,-3.12829,-0.0405301,1
1,18,98,-1.7308,-0.583488,-3.41916,-3.12829,-0.583488,1
1,17,98,-0.916354,-0.821823,-3.41916,-3.12829,-0.821823,1
1,15,98,-0.890489,-1.36269,-3.41916,-3.12829,-1.36269,0
1,13,98,-0.833761,-0.683755,-3.41916,-3.12829,-0.833761,1
1,12,98,-0.0968578,-0.0134082,-3.41916,-3.12829,-0.0134082,1
1,9,98,0.0367866,0.389774,-3.41916,-3.12829,0.389774,1
1,7,98,-0.206724,-0.446718,-3.41916,-3.12829,-0.446718,0
1,4,98,-0.253849,0.282258,-3.41916,-3.12829,0.282258,1
1,3,98,0.0692779,-0.0518585,-3.41916,-3.12829,-0.0518585,0
1,2,98,-0.880947,-0.299331,-3.41916,-3.12829,-0.299331,1
1,1,98,-1.34016,-0.74564,-3.41916,-3.12829,-0.74564,1
1,20,97,-1.86031,-0.836536,-3.41916,-2.81209,-1.86031,1
1,19,97,-1.53985,-0.121733,-3.41916,-2.81209,-0.121733,1
1,18,97,-1.54752,-0.162774,-3.41916,-2.81209,-0.162774,1
1,17,97,-0.835726,-0.846008,-3.41916,-2.81209,-0.846008,0
1,15,97,-0.546234,-1.11829,-3.41916,-2.81209,-1.11829,0
1,13,97,-0.545249,-0.56648,-3.41916,-2.81209,-0.56648,0
1,12,97,-0.0992519,0.0597065,-3.41916,-2.81209,0.0597065,1
1,7,97,-0.224673,-0.48028,-3.41916,-2.81209,-0.48028,0
1,4,97,-0.173281,0.254813,-3.41916,-2.81209,0.254813,1
1,3,97,0.133205,-0.0267701,-3.41916,-2.81209,-0.0267701,0
1,2,97,-0.0942382,-0.284944,-3.41916,-2.81209,-0.284944,0
1,20,96,-1.5799,-0.652624,-3.41916,-2.99602,-0.652624,1
1,19,96,-1.45207,-0.118762,-3.41916,-2.99602,-0.118762,1
1,18,96,-1.24289,-0.264501,-3.41916,-2.99602,-0.264501,1
1,17,96,-0.652077,-0.686497,-3.41916,-2.99602,-0.686497,0
1,15,96,-0.321569,-1.02247,-3.41916,-2.99602,-1.02247,0
1,13,96,-0.670234,-0.51834,-3.41916,-2.99602,-0.670234,1
1,12,96,0.0538564,0.139931,-3.41916,-2.99602,0.139931,1
1,9,96,0.134899,0.490011,-3.41916,-2.99602,0.490011,1
1,7,96,-0.146112,-0.14714,-3.41916,-2.99602,-0.14714,0
1,4,96,-0.0247817,0.275509,-3.41916,-2.99602,0.275509,1
1,3,96,0.271222,0.039568,-3.41916,-2.99602,0.039568,0
1,2,96,0.0150379,-0.171781,-3.41916,-2.99602,-0.171781,0
1,19,95,-1.42815,-0.0364422,-3.41916,-2.85377,-0.0364422,1
1,17,95,-0.611434,-0.684654,-3.41916,-2.85377,-0.684654,0
1,15,95,-0.392383,-1.03269,-3.41916,-2.85377,-1.03269,0
1,13,95,-0.309379,-0.331121,-3.41916,-2.85377,-0.331121,0
