Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.04764,-1.35175,-3.41916,-3.35117,-1.35175,1
1,19,99,-1.83865,-0.528066,-3.41916,-3.35117,-0.528066,1
1,18,99,-2.71244,-0.669829,-3.41916,-3.35117,-0.669829,1
1,17,99,-0.906747,-1.25873,-3.41916,-3.35117,-1.25873,0
1,15,99,-0.676866,-1.22038,-3.41916,-3.35117,-1.22038,0
1,13,99,-0.912369,-0.876191,-3.41916,-3.35117,-0.876191,1
1,12,99,-0.771865,-0.224042,-3.41916,-3.35117,-0.771865,1
1,10,99,-0.518885,-0.0527023,-3.41916,-3.35117,-0.0527023,1
1,9,99,-0.0923132,0.0705689,-3.41916,-3.35117,0.0705689,1
1,7,99,-0.147473,-0.0278694,-3.41916,-3.35117,-0.0278694,1
1,4,99,0.220987,0.636449,-3.41916,-3.35117,0.636449,1
1,3,99,0.319121,-0.0209024,-3.41916,-3.35117,-0.0209024,0
1,2,99,-0.136532,0.389469,-3.41916,-3.35117,0.389469,1
1,1,99,-1.33287,-1.0559,-3.41916,-3.35117,-1.0559,1
1,20,98,-1.93442,-1.32417,-3.41916,-3.12829,-1.32417,1
1,19,98,-1.69051,-0.539116,-3.41916,-3.12829,-0.539116,1
1,18,98,-2.37671,-0.504087,-3.41916,-3.12829,-0.504087,1
1,17,98,-0.903876,-1.318,-3.41916,-3.12829,-1.318,0
1,15,98,-0.766256,-1.31813,-3.41916,-3.12829,-1.31813,0
1,13,98,-0.611759,-0.95257,-3.41916,-3.12829,-0.611759,0
1,12,98,-0.602495,0.0864,-3.41916,-3.12829,0.0864,1
1,9,98,0.0629895,0.138,-3.41916,-3.12829,0.138,1
1,7,98,0.112929,0.0258392,-3.41916,-3.12829,0.0258392,0
1,4,98,0.3682,0.661273,-3.41916,-3.12829,0.661273,1
1,3,98,0.506216,0.198872,-3.41916,-3.12829,0.198872,0
1,2,98,-0.0154104,0.170374,-3.41916,-3.12829,0.170374,1
1,1,98,-1.20619,-1.0798,-3.41916,-3.12829,-1.0798,1
1,20,97,-1.6355,-1.30943,-3.41916,-2.81209,-1.6355,1
1,19,97,-1.34313,-0.562982,-3.41916,-2.81209,-0.562982,1
