Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.55594,-1.62449,-3.41916,-3.35117,-1.62449,1
1,19,99,-1.90385,-1.1088,-3.41916,-3.35117,-1.1088,1
1,18,99,-2.01079,-0.696394,-3.41916,-3.35117,-0.696394,1
1,17,99,-1.93706,-1.53601,-3.41916,-3.35117,-1.53601,1
1,15,99,-1.5037,-1.68149,-3.41916,-3.35117,-1.68149,0
1,13,99,-1.79129,-1.20628,-3.41916,-3.35117,-1.20628,1
1,12,99,-1.66934,-1.4046,-3.41916,-3.35117,-1.66934,1
1,10,99,-1.39132,-0.6786,-3.41916,-3.35117,-1.39132,1
1,9,99,-1.2512,-1.36534,-3.41916,-3.35117,-1.36534,0
1,7,99,-0.932729,-0.903898,-3.41916,-3.35117,-0.903898,1
1,4,99,-1.2427,-0.497216,-3.41916,-3.35117,-0.497216,1
1,3,99,-0.93236,-1.08924,-3.41916,-3.35117,-1.08924,0
1,2,99,-1.24984,-1.26903,-3.41916,-3.35117,-1.26903,0
1,1,99,-0.637522,-1.49122,-3.41916,-3.35117,-1.49122,0
1,20,98,-2.25835,-1.47323,-3.41916,-3.12829,-1.47323,1
1,19,98,-1.74509,-1.04899,-3.41916,-3.12829,-1.04899,1
1,18,98,-1.94666,-0.822862,-3.41916,-3.12829,-0.822862,1
1,17,98,-1.35085,-1.19559,-3.41916,-3.12829,-1.19559,1
1,15,98,-1.46113,-1.49938,-3.41916,-3.12829,-1.49938,0
1,13,98,-1.49341,-1.15275,-3.41916,-3.12829,-1.49341,1
1,12,98,-1.3607,-1.14885,-3.41916,-3.12829,-1.14885,1
1,9,98,-0.848261,-1.25819,-3.41916,-3.12829,-1.25819,0
1,7,98,-0.787561,-0.819918,-3.41916,-3.12829,-0.819918,0
1,4,98,-1.25862,-0.502399,-3.41916,-3.12829,-0.502399,1
1,3,98,-0.988411,-0.930747,-3.41916,-3.12829,-0.930747,1
1,2,98,-1.00664,-0.9506,-3.41916,-3.12829,-0.9506,1
1,1,98,-0.416833,-1.39769,-3.41916,-3.12829,-1.39769,0
1,20,97,-2.03906,-1.39391,-3.41916,-2.81209,-2.03906,1
1,19,97,-1.49894,-0.877326,-3.41916,-2.81209,-0.877326,1
1,18,97,-1.55554,-0.661255,-3.41916,-2.81209,-0.661255,1
1,17,97,-1.43269,-1.48344,-3.41916,-2.81209,-1.48344,0
1,15,97,-1.35723,-1.37592,-3.41916,-2.81209,-1.37592,0
1,13,97,-1.27655,-1.0885,-3.41916,-2.81209,-1.0885,1
1,12,97,-1.24287,-1.09543,-3.41916,-2.81209,-1.09543,1
1,7,97,-0.847078,-0.813677,-3.41916,-2.81209,-0.813677,1
1,4,97,-1.13267,-0.652626,-3.41916,-2.81209,-0.652626,1
1,3,97,-0.704943,-1.07997,-3.41916,-2.81209,-1.07997,0
1,2,97,-0.938554,-0.860761,-3.41916,-2.81209,-0.860761,1
1,20,96,-1.7736,-1.4092,-3.41916,-2.99602,-1.4092,1
1,19,96,-1.45401,-0.950373,-3.41916,-2.99602,-0.950373,1
1,18,96,-1.35423,-0.625333,-3.41916,-2.99602,-0.625333,1
