Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.06523,-1.31382,-3.41916,-3.35117,-1.31382,1
1,19,99,-2.49388,-0.516369,-3.41916,-3.35117,-0.516369,1
1,18,99,-2.17818,-1.23171,-3.41916,-3.35117,-1.23171,1
1,17,99,-1.49777,-0.920757,-3.41916,-3.35117,-0.920757,1
1,15,99,-0.895594,-1.65951,-3.41916,-3.35117,-1.65951,0
1,13,99,-0.885406,-0.775943,-3.41916,-3.35117,-0.775943,1
1,12,99,-0.88937,-1.26585,-3.41916,-3.35117,-0.88937,0
1,10,99,-0.953969,-0.224095,-3.41916,-3.35117,-0.953969,1
1,9,99,-0.237208,0.0678349,-3.41916,-3.35117,0.0678349,1
1,7,99,-0.4268,-0.643372,-3.41916,-3.35117,-0.643372,0
1,4,99,-0.181953,0.225189,-3.41916,-3.35117,0.225189,1
1,3,99,-0.104949,0.138056,-3.41916,-3.35117,0.138056,1
1,2,99,-0.592482,0.270863,-3.41916,-3.35117,0.270863,1
1,1,99,-0.470448,-0.311066,-3.41916,-3.35117,-0.311066,1
1,20,98,-1.84117,-1.30484,-3.41916,-3.12829,-1.30484,1
1,19,98,-2.1239,-0.279018,-3.41916,-3.12829,-0.279018,1
1,18,98,-1.97886,-1.19694,-3.41916,-3.12829,-1.19694,1
1,17,98,-1.3654,-0.909596,-3.41916,-3.12829,-0.909596,1
1,15,98,-0.960446,-1.44175,-3.41916,-3.12829,-1.44175,0
1,13,98,-0.751664,-0.839509,-3.41916,-3.12829,-0.751664,0
1,12,98,-0.616852,-1.19631,-3.41916,-3.12829,-1.19631,0
1,9,98,-0.236042,0.161676,-3.41916,-3.12829,0.161676,1
1,7,98,-0.151082,-0.493129,-3.41916,-3.12829,-0.493129,0
1,4,98,-0.119976,0.309829,-3.41916,-3.12829,0.309829,1
1,3,98,0.0219468,0.291344,-3.41916,-3.12829,0.291344,1
1,2,98,-0.413073,0.514012,-3.41916,-3.12829,0.514012,1
1,1,98,-0.220472,-0.186477,-3.41916,-3.12829,-0.186477,1
1,20,97,-1.61741,-1.2197,-3.41916,-2.81209,-1.61741,1
1,19,97,-1.82674,-0.405809,-3.41916,-2.81209,-0.405809,1
1,18,97,-1.54072,-1.06978,-3.41916,-2.81209,-1.06978,1
1,17,97,-1.37916,-0.891925,-3.41916,-2.81209,-0.891925,1
1,15,97,-0.583645,-1.31123,-3.41916,-2.81209,-1.31123,0
1,13,97,-0.604305,-0.67626,-3.41916,-2.81209,-0.67626,0
1,12,97,-0.606345,-1.22064,-3.41916,-2.81209,-1.22064,0
1,7,97,-0.0357003,-0.357527,-3.41916,-2.81209,-0.357527,0
1,4,97,-0.168041,0.129283,-3.41916,-2.81209,0.129283,1
1,3,97,0.135153,0.191921,-3.41916,-2.81209,0.191921,1
1,2,97,-0.0440407,0.428541,-3.41916,-2.81209,0.428541,1
1,20,96,-1.33974,-1.06386,-3.41916,-2.99602,-1.06386,1
1,19,96,-1.6646,-0.358539,-3.41916,-2.99602,-0.358539,1
1,18,96,-1.43288,-1.08907,-3.41916,-2.99602,-1.08907,1
1,17,96,-1.04973,-0.750076,-3.41916,-2.99602,-0.750076,1
1,15,96,-0.516858,-1.37477,-3.41916,-2.99602,-1.37477,0
1,13,96,-0.50727,-0.715101,-3.41916,-2.99602,-0.50727,0
1,12,96,-0.539028,-1.07921,-3.41916,-2.99602,-1.07921,0
1,9,96,-0.0503006,0.214958,-3.41916,-2.99602,0.214958,1
1,7,96,0.0751171,-0.344414,-3.41916,-2.99602,-0.344414,0
1,4,96,-0.00686878,0.165796,-3.41916,-2.99602,0.165796,1
1,3,96,0.23451,0.179729,-3.41916,-2.99602,0.179729,0
1,2,96,0.0913672,0.498366,-3.41916,-2.99602,0.498366,1
1,19,95,-1.4578,-0.081838,-3.41916,-2.85377,-0.081838,1
