Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.45111,-1.79114,-3.41916,-3.35117,-1.79114,1
1,19,99,-2.8528,-0.809741,-3.41916,-3.35117,-0.809741,1
1,18,99,-2.05182,-1.41357,-3.41916,-3.35117,-1.41357,1
1,17,99,-2.05867,-1.38872,-3.41916,-3.35117,-1.38872,1
1,15,99,-1.74344,-1.80507,-3.41916,-3.35117,-1.80507,0
1,13,99,-1.87814,-1.70715,-3.41916,-3.35117,-1.70715,1
1,12,99,-2.01811,-1.7649,-3.41916,-3.35117,-2.01811,1
1,10,99,-1.07958,-1.663,-3.41916,-3.35117,-1.663,0
1,9,99,-1.14871,-1.34764,-3.41916,-3.35117,-1.34764,0
1,7,99,-1.12901,-0.786404,-3.41916,-3.35117,-0.786404,1
1,4,99,-0.815768,-0.633438,-3.41916,-3.35117,-0.633438,1
1,3,99,-1.02591,-0.52758,-3.41916,-3.35117,-0.52758,1
1,2,99,-0.718574,-0.568384,-3.41916,-3.35117,-0.568384,1
1,1,99,-0.555162,-1.17427,-3.41916,-3.35117,-1.17427,0
1,20,98,-2.30127,-1.90431,-3.41916,-3.12829,-1.90431,1
1,19,98,-2.49997,-0.652747,-3.41916,-3.12829,-0.652747,1
1,18,98,-1.89182,-1.55384,-3.41916,-3.12829,-1.55384,1
1,17,98,-2.05016,-1.25231,-3.41916,-3.12829,-1.25231,1
1,15,98,-1.67995,-1.75962,-3.41916,-3.12829,-1.75962,0
1,13,98,-1.3127,-1.7497,-3.41916,-3.12829,-1.3127,0
1,12,98,-1.61147,-0.880883,-3.41916,-3.12829,-0.880883,1
1,9,98,-1.13735,-1.39783,-3.41916,-3.12829,-1.39783,0
1,7,98,-0.933189,-0.77052,-3.41916,-3.12829,-0.77052,1
1,4,98,-0.73306,-0.559756,-3.41916,-3.12829,-0.559756,1
1,3,98,-0.979916,-0.589116,-3.41916,-3.12829,-0.589116,1
1,2,98,-0.750726,-0.460493,-3.41916,-3.12829,-0.460493,1
1,1,98,-0.00921226,-0.894546,-3.41916,-3.12829,-0.894546,0
1,20,97,-1.99921,-1.68544,-3.41916,-2.81209,-1.99921,1
1,19,97,-2.39744,-0.882484,-3.41916,-2.81209,-0.882484,1
1,18,97,-1.57452,-1.2606,-3.41916,-2.81209,-1.2606,1
1,17,97,-1.99404,-1.41411,-3.41916,-2.81209,-1.41411,1
1,15,97,-1.24514,-1.64886,-3.41916,-2.81209,-1.64886,0
1,13,97,-1.56529,-2.00315,-3.41916,-2.81209,-2.00315,0
1,12,97,-1.62816,-0.974666,-3.41916,-2.81209,-0.974666,1
1,7,97,-0.810575,-0.660532,-3.41916,-2.81209,-0.660532,1
1,4,97,-0.767429,-0.483802,-3.41916,-2.81209,-0.483802,1
1,3,97,-0.716616,-0.383803,-3.41916,-2.81209,-0.383803,1
1,2,97,-0.40724,-0.487454,-3.41916,-2.81209,-0.487454,0
1,20,96,-1.72826,-1.67749,-3.41916,-2.99602,-1.67749,1
1,19,96,-1.88992,-0.478272,-3.41916,-2.99602,-0.478272,1
1,18,96,-1.73498,-1.44037,-3.41916,-2.99602,-1.44037,1
1,17,96,-1.50922,-1.04016,-3.41916,-2.99602,-1.04016,1
1,15,96,-1.16539,-1.74846,-3.41916,-2.99602,-1.74846,0
1,13,96,-1.46302,-1.80883,-3.41916,-2.99602,-1.46302,0
1,12,96,-1.67423,-1.56774,-3.41916,-2.99602,-1.56774,1
1,9,96,-0.71264,-1.23848,-3.41916,-2.99602,-1.23848,0
1,7,96,-0.885676,-0.615933,-3.41916,-2.99602,-0.615933,1
1,4,96,-0.563374,-0.522504,-3.41916,-2.99602,-0.522504,1
