Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.02587,-1.32412,-3.41916,-3.35117,-1.32412,1
1,19,99,-2.31451,-0.887575,-3.41916,-3.35117,-0.887575,1
1,18,99,-2.1142,-0.795115,-3.41916,-3.35117,-0.795115,1
1,17,99,-1.61559,-1.36872,-3.41916,-3.35117,-1.36872,1
1,15,99,-1.0926,-1.4943,-3.41916,-3.35117,-1.4943,0
1,13,99,-1.18467,-1.01675,-3.41916,-3.35117,-1.01675,1
1,12,99,-1.51052,-1.159,-3.41916,-3.35117,-1.51052,1
1,10,99,-0.605651,-0.0965626,-3.41916,-3.35117,-0.605651,1
1,9,99,-0.305323,-0.23334,-3.41916,-3.35117,-0.23334,1
1,7,99,-0.415351,-0.270849,-3.41916,-3.35117,-0.270849,1
1,4,99,-0.21038,-0.0139203,-3.41916,-3.35117,-0.0139203,1
1,3,99,-0.199767,-0.194127,-3.41916,-3.35117,-0.194127,1
1,2,99,0.149133,-0.562784,-3.41916,-3.35117,-0.562784,0
1,1,99,-0.778053,-0.780701,-3.41916,-3.35117,-0.780701,0
1,20,98,-1.72276,-1.20774,-3.41916,-3.12829,-1.20774,1
1,19,98,-2.21135,-0.821465,-3.41916,-3.12829,-0.821465,1
1,18,98,-2.07647,-0.976381,-3.41916,-3.12829,-0.976381,1
1,17,98,-1.20249,-1.27687,-3.41916,-3.12829,-1.27687,0
1,15,98,-1.2453,-1.25766,-3.41916,-3.12829,-1.25766,0
1,13,98,-1.03036,-0.913189,-3.41916,-3.12829,-1.03036,1
1,12,98,-0.970342,-0.464942,-3.41916,-3.12829,-0.464942,1
1,9,98,-0.492969,-0.322678,-3.41916,-3.12829,-0.322678,1
1,7,98,-0.131296,-0.0970329,-3.41916,-3.12829,-0.0970329,1
1,4,98,-0.20952,0.320602,-3.41916,-3.12829,0.320602,1
1,3,98,-0.140391,-0.000495611,-3.41916,-3.12829,-0.000495611,1
1,2,98,0.0252548,0.0985797,-3.41916,-3.12829,0.0985797,1
1,1,98,-0.414296,-0.4872,-3.41916,-3.12829,-0.4872,0
1,20,97,-1.35162,-1.08514,-3.41916,-2.81209,-1.35162,1
1,19,97,-1.77583,-1.00629,-3.41916,-2.81209,-1.00629,1
1,18,97,-1.87809,-0.738916,-3.41916,-2.81209,-0.738916,1
1,17,97,-1.19773,-1.27491,-3.41916,-2.81209,-1.27491,0
1,15,97,-0.846631,-1.26746,-3.41916,-2.81209,-1.26746,0
1,13,97,-0.918992,-0.849777,-3.41916,-2.81209,-0.849777,1
1,12,97,-0.828684,-0.395673,-3.41916,-2.81209,-0.395673,1
1,7,97,-0.385623,0.016847,-3.41916,-2.81209,0.016847,1
1,4,97,-0.126419,0.29487,-3.41916,-2.81209,0.29487,1
