Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.31543,-1.19074,-3.41916,-3.35117,-1.19074,1
1,19,99,-2.41525,-0.833156,-3.41916,-3.35117,-0.833156,1
1,18,99,-2.28088,-0.977446,-3.41916,-3.35117,-0.977446,1
1,17,99,-1.75108,-1.85935,-3.41916,-3.35117,-1.85935,0
1,15,99,-1.20663,-1.38645,-3.41916,-3.35117,-1.38645,0
1,13,99,-1.1951,-1.18787,-3.41916,-3.35117,-1.18787,1
1,12,99,-0.552488,-1.09203,-3.41916,-3.35117,-0.552488,0
1,10,99,-0.449195,0.359415,-3.41916,-3.35117,-0.449195,1
1,9,99,-0.445788,0.0865327,-3.41916,-3.35117,0.0865327,1
1,7,99,0.294585,-0.397403,-3.41916,-3.35117,-0.397403,0
1,4,99,0.0866996,0.292595,-3.41916,-3.35117,0.292595,1
1,3,99,0.133734,0.39146,-3.41916,-3.35117,0.39146,1
1,2,99,0.155903,0.65886,-3.41916,-3.35117,0.65886,1
1,1,99,-2.1374,-0.242629,-3.41916,-3.35117,-0.242629,1
1,20,98,-2.22637,-1.38441,-3.41916,-3.12829,-1.38441,1
1,19,98,-2.17049,-0.634535,-3.41916,-3.12829,-0.634535,1
1,18,98,-2.31721,-1.08979,-3.41916,-3.12829,-1.08979,1
1,17,98,-1.42709,-1.77012,-3.41916,-3.12829,-1.77012,0
1,15,98,-1.46845,-1.44128,-3.41916,-3.12829,-1.44128,1
1,13,98,-0.938312,-1.17183,-3.41916,-3.12829,-0.938312,0
1,12,98,-0.411858,-0.533533,-3.41916,-3.12829,-0.533533,0
1,9,98,-0.411514,0.0846001,-3.41916,-3.12829,0.0846001,1
1,7,98,0.2472,-0.283113,-3.41916,-3.12829,-0.283113,0
1,4,98,0.140705,0.250077,-3.41916,-3.12829,0.250077,1
1,3,98,0.189083,0.259421,-3.41916,-3.12829,0.259421,1
1,2,98,0.0224494,0.525542,-3.41916,-3.12829,0.525542,1
1,1,98,-2.27771,-0.384811,-3.41916,-3.12829,-0.384811,1
1,20,97,-1.86923,-1.14419,-3.41916,-2.81209,-1.86923,1
1,19,97,-2.10346,-0.855047,-3.41916,-2.81209,-0.855047,1
1,18,97,-2.30707,-0.963624,-3.41916,-2.81209,-0.963624,1
1,17,97,-1.44338,-1.6963,-3.41916,-2.81209,-1.6963,0
1,15,97,-0.873258,-1.05524,-3.41916,-2.81209,-1.05524,0
1,13,97,-0.811417,-1.14863,-3.41916,-2.81209,-1.14863,0
1,12,97,-0.403204,-0.475734,-3.41916,-2.81209,-0.475734,0
1,7,97,0.437164,-0.29651,-3.41916,-2.81209,-0.29651,0
1,4,97,0.139269,0.290775,-3.41916,-2.81209,0.290775,1
1,3,97,0.333315,0.303896,-3.41916,-2.81209,0.303896,0
1,2,97,0.451649,0.341306,-3.41916,-2.81209,0.341306,0
1,20,96,-1.72159,-1.07616,-3.41916,-2.99602,-1.07616,1
1,19,96,-1.90886,-0.630573,-3.41916,-2.99602,-0.630573,1
1,18,96,-1.97123,-1.16319,-3.41916,-2.99602,-1.16319,1
1,17,96,-1.32375,-1.65342,-3.41916,-2.99602,-1.65342,0
1,15,96,-0.720394,-1.00824,-3.41916,-2.99602,-1.00824,0
1,13,96,-1.0059,-1.20299,-3.41916,-2.99602,-1.0059,0
1,12,96,-0.373817,-0.413591,-3.41916,-2.99602,-0.413591,0
1,9,96,-0.141695,0.208405,-3.41916,-2.99602,0.208405,1
1,7,96,0.489567,-0.0736453,-3.41916,-2.99602,-0.0736453,0
1,4,96,0.10944,0.165107,-3.41916,-2.99602,0.165107,1
1,3,96,0.163786,0.0948703,-3.41916,-2.99602,0.0948703,0
1,2,96,0.363589,0.411052,-3.41916,-2.99602,0.411052,1
1,19,95,-1.87105,-0.591051,-3.41916,-2.85377,-0.591051,1
1,17,95,-1.3089,-1.67186,-3.41916,-2.85377,-1.67186,0
1,15,95,-0.879146,-1.02662,-3.41916,-2.85377,-0.879146,0
1,13,95,-0.374201,-0.876304,-3.41916,-2.85377,-0.876304,0
1,7,95,0.487876,-0.174556,-3.41916,-2.85377,-0.174556,0
1,4,95,0.0788146,0.297359,-3.41916,-2.85377,0.297359,1
1,2,95,0.393465,0.429529,-3.41916,-2.85377,0.429529,1
1,1,95,0.0653943,0.0202198,-3.41916,-2.85377,0.0202198,0
1,19,94,-1.56055,-0.412148,-3.41916,-2.55553,-0.412148,1
1,17,94,-1.26429,-1.6329,-3.41916,-2.55553,-1.6329,0
1,15,94,-0.726934,-0.845232,-3.41916,-2.55553,-0.845232,0
1,13,94,-0.383597,-0.772912,-3.41916,-2.55553,-0.772912,0
1,7,94,0.376695,-0.0538493,-3.41916,-2.55553,-0.0538493,0
1,4,94,0.175423,0.362481,-3.41916,-2.55553,0.362481,1
1,2,94,0.425913,0.549941,-3.41916,-2.55553,0.549941,1
1,1,94,0.0256306,-0.117377,-3.41916,-2.55553,-0.117377,0
1,19,93,-1.71073,-0.451432,-3.41916,-2.51688,-0.451432,1
1,17,93,-1.1665,-1.38251,-3.41916,-2.51688,-1.38251,0
1,15,93,-0.854782,-1.03104,-3.41916,-2.51688,-1.03104,0
1,13,93,-0.485101,-0.93217,-3.41916,-2.51688,-0.93217,0
1,7,93,0.300749,-0.148108,-3.41916,-2.51688,-0.148108,0
1,4,93,0.297848,0.471737,-3.41916,-2.51688,0.471737,1
1,2,93,0.373945,0.387193,-3.41916,-2.51688,0.387193,1
1,1,93,0.0549855,0.0382929,-3.41916,-2.51688,0.0382929,0
1,19,92,-1.61041,-0.420559,-6.43894,-2.39982,-0.420559,1
1,17,92,-0.957717,-1.40762,-6.43894,-2.39982,-1.40762,0
1,15,92,-0.676378,-0.812736,-6.43894,-2.39982,-0.812736,0
1,13,92,-0.301705,-0.782316,-6.43894,-2.39982,-0.782316,0
1,7,92,0.276489,-0.126629,-6.43894,-2.39982,-0.126629,0
1,4,92,0.219334,0.373573,-6.43894,-2.39982,0.373573,1
1,2,92,0.580351,0.43497,-6.43894,-2.39982,0.43497,0
1,1,92,0.0942291,-0.181392,-6.43894,-2.39982,-0.181392,0
1,19,91,-1.33187,-0.0875096,-6.29331,-2.45927,-0.0875096,1
1,17,91,-0.957598,-1.23852,-6.29331,-2.45927,-1.23852,0
1,15,91,-0.604145,-0.689516,-6.29331,-2.45927,-0.604145,0
1,13,91,-0.404654,-1.09266,-6.29331,-2.45927,-1.09266,0
1,7,91,0.286818,-0.0327152,-6.29331,-2.45927,-0.0327152,0
1,4,91,0.241016,0.378768,-6.29331,-2.45927,0.378768,1
1,2,91,0.464069,0.564572,-6.29331,-2.45927,0.564572,1
1,1,91,0.2099,-0.0357543,-6.29331,-2.45927,-0.0357543,0
1,19,90,-1.25955,-0.127997,-6.05291,-2.36134,-0.127997,1
1,17,90,-0.912688,-1.16998,-6.05291,-2.36134,-1.16998,0
1,15,90,-0.446008,-0.561057,-6.05291,-2.36134,-0.561057,0
1,13,90,-0.292471,-0.752847,-6.05291,-2.36134,-0.752847,0
1,7,90,0.376509,0.320345,-6.05291,-2.36134,0.320345,0
1,4,90,0.186945,0.303485,-6.05291,-2.36134,0.303485,1
1,2,90,0.489143,0.582512,-6.05291,-2.36134,0.582512,1
1,1,90,0.14566,-0.0224021,-6.05291,-2.36134,-0.0224021,0
1,19,89,-1.3568,-0.140977,-5.75042,-2.39784,-0.140977,1
1,17,89,-0.800786,-0.901338,-5.75042,-2.39784,-0.800786,0
1,15,89,-0.352649,-0.49518,-5.75042,-2.39784,-0.49518,0
1,13,89,-0.212943,-0.738467,-5.75042,-2.39784,-0.738467,0
1,7,89,0.49384,0.23887,-5.75042,-2.39784,0.23887,0
1,4,89,0.164774,0.319061,-5.75042,-2.39784,0.319061,1
1,2,89,0.543248,0.584015,-5.75042,-2.39784,0.584015,1
1,1,89,0.154928,0.0673131,-5.75042,-2.39784,0.0673131,0
1,19,88,-1.12587,0.0385306,-5.55605,-2.24038,-1.12587,1
1,17,88,-0.781514,-1.0095,-5.55605,-2.24038,-1.0095,0
1,15,88,-0.321355,-0.346216,-5.55605,-2.24038,-0.346216,0
1,13,88,-0.102278,-0.634839,-5.55605,-2.24038,-0.634839,0
1,7,88,0.531258,0.170312,-5.55605,-2.24038,0.170312,0
1,4,88,0.186353,0.0981425,-5.55605,-2.24038,0.0981425,0
1,2,88,0.593829,0.584559,-5.55605,-2.24038,0.584559,0
1,1,88,0.232171,0.00122513,-5.55605,-2.24038,0.00122513,0
1,19,87,-1.09435,0.113737,-5.60239,-2.09737,0.113737,1
1,17,87,-0.886989,-0.874459,-5.60239,-2.09737,-0.874459,1
1,15,87,-0.231124,-0.20141,-5.60239,-2.09737,-0.20141,1
1,13,87,0.0445208,-0.64604,-5.60239,-2.09737,-0.64604,0
1,7,87,0.579904,0.299183,-5.60239,-2.09737,0.299183,0
1,4,87,0.405952,0.46907,-5.60239,-2.09737,0.46907,1
1,2,87,0.479579,0.506954,-5.60239,-2.09737,0.506954,1
1,1,87,0.181376,0.0223239,-5.60239,-2.09737,0.0223239,0
1,19,86,-0.949974,0.0744328,-5.61978,-2.01828,0.0744328,1
1,17,86,-0.479455,-0.84795,-5.61978,-2.01828,-0.479455,0
1,15,86,-0.170645,-0.225937,-5.61978,-2.01828,-0.225937,0
1,13,86,0.109949,-0.612277,-5.61978,-2.01828,0.109949,0
1,7,86,0.695839,0.397129,-5.61978,-2.01828,0.397129,0
1,4,86,0.656917,0.560869,-5.61978,-2.01828,0.560869,0
1,2,86,0.472949,0.581316,-5.61978,-2.01828,0.581316,1
1,1,86,0.0928697,0.108361,-5.61978,-2.01828,0.108361,1
1,19,85,0.142589,-0.519643,-5.14185,-2.10808,-0.519643,0
1,17,85,-0.186688,-0.0428567,-5.14185,-2.10808,-0.0428567,1
