Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.48078,-1.40452,-3.41916,-3.35117,-1.40452,1
1,19,99,-2.76498,-0.894018,-3.41916,-3.35117,-0.894018,1
1,18,99,-2.36392,-0.708689,-3.41916,-3.35117,-0.708689,1
1,17,99,-1.82022,-1.68413,-3.41916,-3.35117,-1.68413,1
1,15,99,-1.23222,-1.30918,-3.41916,-3.35117,-1.30918,0
1,13,99,-1.42436,-0.668189,-3.41916,-3.35117,-0.668189,1
1,12,99,-1.08984,-1.71806,-3.41916,-3.35117,-1.08984,0
1,10,99,-0.601453,-0.0964749,-3.41916,-3.35117,-0.601453,1
1,9,99,-0.556897,0.233879,-3.41916,-3.35117,0.233879,1
1,7,99,-0.230238,-0.21369,-3.41916,-3.35117,-0.21369,1
1,4,99,0.202489,0.100232,-3.41916,-3.35117,0.100232,0
1,3,99,0.0820166,0.171672,-3.41916,-3.35117,0.171672,1
1,2,99,-0.191421,0.651468,-3.41916,-3.35117,0.651468,1
1,1,99,-0.311537,-0.628712,-3.41916,-3.35117,-0.628712,0
1,20,98,-2.31052,-1.40634,-3.41916,-3.12829,-1.40634,1
1,19,98,-2.51739,-0.744371,-3.41916,-3.12829,-0.744371,1
1,18,98,-2.14192,-0.668232,-3.41916,-3.12829,-0.668232,1
1,17,98,-1.55134,-1.57887,-3.41916,-3.12829,-1.57887,0
1,15,98,-1.09161,-1.0743,-3.41916,-3.12829,-1.0743,1
1,13,98,-0.806214,-0.840329,-3.41916,-3.12829,-0.806214,0
1,12,98,-0.691341,-1.42108,-3.41916,-3.12829,-1.42108,0
1,9,98,-0.480794,0.237752,-3.41916,-3.12829,0.237752,1
1,7,98,-0.155281,-0.16428,-3.41916,-3.12829,-0.16428,0
1,4,98,0.0832596,0.402609,-3.41916,-3.12829,0.402609,1
1,3,98,0.0520282,-0.0171292,-3.41916,-3.12829,-0.0171292,0
1,2,98,0.201313,0.760185,-3.41916,-3.12829,0.760185,1
1,1,98,-0.229223,-0.589673,-3.41916,-3.12829,-0.589673,0
1,20,97,-2.05811,-1.27478,-3.41916,-2.81209,-2.05811,1
1,19,97,-2.0419,-0.841322,-3.41916,-2.81209,-0.841322,1
1,18,97,-1.86691,-0.46722,-3.41916,-2.81209,-0.46722,1
1,17,97,-1.46484,-1.45827,-3.41916,-2.81209,-1.45827,1
1,15,97,-0.932486,-1.14142,-3.41916,-2.81209,-1.14142,0
1,13,97,-0.748364,-0.641959,-3.41916,-2.81209,-0.641959,1
1,12,97,-0.587165,-1.26625,-3.41916,-2.81209,-1.26625,0
1,7,97,-0.0908904,-0.0761775,-3.41916,-2.81209,-0.0761775,1
1,4,97,0.180285,0.143573,-3.41916,-2.81209,0.143573,0
1,3,97,0.141732,0.213661,-3.41916,-2.81209,0.213661,1
1,2,97,-0.0316663,0.681106,-3.41916,-2.81209,0.681106,1
1,20,96,-1.80084,-1.17253,-3.41916,-2.99602,-1.17253,1
1,19,96,-1.83803,-0.662328,-3.41916,-2.99602,-0.662328,1
1,18,96,-1.71185,-0.571817,-3.41916,-2.99602,-0.571817,1
1,17,96,-1.18416,-1.36524,-3.41916,-2.99602,-1.36524,0
1,15,96,-0.785632,-1.11584,-3.41916,-2.99602,-1.11584,0
