Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.02432,-2.19434,-3.41916,-3.35117,-2.19434,0
1,19,99,-1.87079,-1.8787,-3.41916,-3.35117,-1.8787,0
1,18,99,-0.655949,-1.25762,-3.41916,-3.35117,-1.25762,0
1,17,99,-1.13747,-1.09746,-3.41916,-3.35117,-1.09746,1
1,15,99,0.943251,-0.875134,-3.41916,-3.35117,-0.875134,0
1,13,99,-0.573796,-1.2255,-3.41916,-3.35117,-1.2255,0
1,12,99,-1.44905,-1.71141,-3.41916,-3.35117,-1.44905,0
1,10,99,-1.04091,-1.50859,-3.41916,-3.35117,-1.04091,0
1,9,99,-1.20574,-1.29702,-3.41916,-3.35117,-1.29702,0
1,7,99,-1.11191,-2.23794,-3.41916,-3.35117,-2.23794,0
1,4,99,-1.99416,-0.803286,-3.41916,-3.35117,-0.803286,1
1,3,99,-1.72089,-0.979122,-3.41916,-3.35117,-0.979122,1
1,2,99,-1.03664,-0.692158,-3.41916,-3.35117,-0.692158,1
1,1,99,-0.838482,-0.67118,-3.41916,-3.35117,-0.67118,1
1,20,98,-1.19128,-2.23379,-3.41916,-3.12829,-2.23379,0
1,19,98,-1.39577,-1.61831,-3.41916,-3.12829,-1.61831,0
1,18,98,-0.945945,-1.37891,-3.41916,-3.12829,-1.37891,0
1,17,98,-1.10467,-1.23843,-3.41916,-3.12829,-1.23843,0
1,15,98,0.85458,-0.929156,-3.41916,-3.12829,-0.929156,0
1,13,98,-0.29089,-1.14927,-3.41916,-3.12829,-0.29089,0
1,12,98,-1.11413,-1.62495,-3.41916,-3.12829,-1.62495,0
1,9,98,-0.904976,-1.349,-3.41916,-3.12829,-1.349,0
1,7,98,-1.17139,-2.39744,-3.41916,-3.12829,-2.39744,0
1,4,98,-1.56741,-0.828568,-3.41916,-3.12829,-0.828568,1
1,3,98,-1.71343,-0.955142,-3.41916,-3.12829,-0.955142,1
1,2,98,-0.995547,-0.618927,-3.41916,-3.12829,-0.618927,1
1,1,98,-0.933287,-0.723525,-3.41916,-3.12829,-0.723525,1
1,20,97,-1.08271,-2.18205,-3.41916,-2.81209,-1.08271,0
1,19,97,-1.52879,-1.71047,-3.41916,-2.81209,-1.71047,0
1,18,97,-0.642958,-1.13224,-3.41916,-2.81209,-1.13224,0
1,17,97,-1.31469,-1.48314,-3.41916,-2.81209,-1.48314,0
1,15,97,0.894357,-0.745252,-3.41916,-2.81209,-0.745252,0
1,13,97,0.145044,-1.01598,-3.41916,-2.81209,-1.01598,0
1,12,97,-0.778954,-1.33362,-3.41916,-2.81209,-1.33362,0
1,7,97,-0.882353,-2.23903,-3.41916,-2.81209,-2.23903,0
1,4,97,-1.46763,-0.513647,-3.41916,-2.81209,-0.513647,1
1,3,97,-1.56938,-0.677448,-3.41916,-2.81209,-0.677448,1
1,2,97,-0.677442,-0.518651,-3.41916,-2.81209,-0.518651,1
1,20,96,-0.986092,-2.01862,-3.41916,-2.99602,-2.01862,0
1,19,96,-1.37188,-1.72588,-3.41916,-2.99602,-1.72588,0
1,18,96,-0.74754,-1.19819,-3.41916,-2.99602,-1.19819,0
1,17,96,-1.13323,-1.19873,-3.41916,-2.99602,-1.19873,0
1,15,96,0.774247,-0.756183,-3.41916,-2.99602,-0.756183,0
1,13,96,0.114704,-1.08675,-3.41916,-2.99602,0.114704,0
1,12,96,-0.743691,-1.35284,-3.41916,-2.99602,-1.35284,0
1,9,96,-0.677832,-0.976816,-3.41916,-2.99602,-0.976816,0
1,7,96,-0.933725,-2.22863,-3.41916,-2.99602,-2.22863,0
1,4,96,-1.18397,-0.658489,-3.41916,-2.99602,-0.658489,1
1,3,96,-1.612,-0.713342,-3.41916,-2.99602,-0.713342,1
1,2,96,-0.842914,-0.513637,-3.41916,-2.99602,-0.513637,1
1,19,95,-1.36543,-1.59994,-3.41916,-2.85377,-1.59994,0
1,17,95,-1.21422,-1.04972,-3.41916,-2.85377,-1.04972,1
1,15,95,0.931304,-0.807368,-3.41916,-2.85377,-0.807368,0
1,13,95,0.298785,-0.875516,-3.41916,-2.85377,-0.875516,0
1,7,95,-0.816611,-1.92032,-3.41916,-2.85377,-1.92032,0
1,4,95,-1.12278,-0.512196,-3.41916,-2.85377,-0.512196,1
1,2,95,-0.718547,-0.443363,-3.41916,-2.85377,-0.443363,1
1,1,95,-0.675062,-0.328719,-3.41916,-2.85377,-0.328719,1
1,19,94,-1.25012,-1.51585,-3.41916,-2.55553,-1.51585,0
1,17,94,-1.1678,-1.171,-3.41916,-2.55553,-1.171,0
1,15,94,1.05422,-0.698279,-3.41916,-2.55553,-0.698279,0
1,13,94,0.278518,-0.870096,-3.41916,-2.55553,-0.870096,0
1,7,94,-0.539308,-1.88365,-3.41916,-2.55553,-1.88365,0
1,4,94,-1.07563,-0.491989,-3.41916,-2.55553,-0.491989,1
1,2,94,-0.714335,-0.374995,-3.41916,-2.55553,-0.374995,1
1,1,94,-0.790163,-0.413418,-3.41916,-2.55553,-0.413418,1
1,19,93,-1.32547,-1.54454,-3.41916,-2.51688,-1.54454,0
1,17,93,-1.04569,-0.967188,-3.41916,-2.51688,-0.967188,1
1,15,93,1.12651,-0.617799,-3.41916,-2.51688,-0.617799,0
1,13,93,0.111423,-0.909926,-3.41916,-2.51688,-0.909926,0
1,7,93,-0.480707,-1.73326,-3.41916,-2.51688,-1.73326,0
1,4,93,-1.09346,-0.472998,-3.41916,-2.51688,-0.472998,1
1,2,93,-0.506595,-0.317571,-3.41916,-2.51688,-0.317571,1
1,1,93,-0.53158,-0.280848,-3.41916,-2.51688,-0.280848,1
1,19,92,-1.21164,-1.39178,-6.43894,-2.39982,-1.39178,0
1,17,92,-0.927911,-0.856564,-6.43894,-2.39982,-0.856564,1
1,15,92,1.09146,-0.502339,-6.43894,-2.39982,-0.502339,0
1,13,92,0.274178,-0.692163,-6.43894,-2.39982,-0.692163,0
1,7,92,-0.430331,-1.59002,-6.43894,-2.39982,-1.59002,0
1,4,92,-0.91595,-0.167866,-6.43894,-2.39982,-0.167866,1
1,2,92,-0.527449,-0.281059,-6.43894,-2.39982,-0.281059,1
1,1,92,-0.687264,-0.251261,-6.43894,-2.39982,-0.251261,1
1,19,91,-1.1067,-1.21984,-6.29331,-2.45927,-1.21984,0
1,17,91,-1.02061,-0.892489,-6.29331,-2.45927,-0.892489,1
1,15,91,1.25541,-0.346429,-6.29331,-2.45927,1.25541,0
1,13,91,0.335045,-0.668508,-6.29331,-2.45927,-0.668508,0
1,7,91,-0.543705,-1.60913,-6.29331,-2.45927,-1.60913,0
1,4,91,-0.793553,-0.135423,-6.29331,-2.45927,-0.135423,1
1,2,91,-0.500249,-0.543904,-6.29331,-2.45927,-0.543904,0
1,1,91,-0.471488,-0.0582021,-6.29331,-2.45927,-0.0582021,1
1,19,90,-1.21247,-1.51681,-6.05291,-2.36134,-1.51681,0
1,17,90,-0.870918,-0.841668,-6.05291,-2.36134,-0.841668,1
1,15,90,1.43196,-0.276615,-6.05291,-2.36134,-0.276615,0
1,13,90,0.367009,-0.708874,-6.05291,-2.36134,-0.708874,0
1,7,90,-0.601388,-1.52237,-6.05291,-2.36134,-1.52237,0
1,4,90,-0.691539,-0.0767861,-6.05291,-2.36134,-0.0767861,1
1,2,90,-0.594522,-0.160018,-6.05291,-2.36134,-0.160018,1
