Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.56709,-1.84173,-3.41916,-3.35117,-1.84173,0
1,19,99,-1.62521,-2.19624,-3.41916,-3.35117,-2.19624,0
1,18,99,-0.203278,-1.00847,-3.41916,-3.35117,-1.00847,0
1,17,99,-1.1784,-1.20731,-3.41916,-3.35117,-1.20731,0
1,15,99,-0.672001,-0.784255,-3.41916,-3.35117,-0.784255,0
1,13,99,-0.853642,-1.48939,-3.41916,-3.35117,-1.48939,0
1,12,99,-1.74572,-1.32738,-3.41916,-3.35117,-1.74572,1
1,10,99,-1.46367,-1.10969,-3.41916,-3.35117,-1.10969,1
1,9,99,-1.50722,-2.52772,-3.41916,-3.35117,-2.52772,0
1,7,99,-0.805799,-1.12912,-3.41916,-3.35117,-1.12912,0
1,4,99,-0.342102,-0.73919,-3.41916,-3.35117,-0.73919,0
1,3,99,-0.509212,-0.3436,-3.41916,-3.35117,-0.3436,1
1,2,99,-0.666318,0.388887,-3.41916,-3.35117,0.388887,1
1,1,99,-0.54757,-0.316244,-3.41916,-3.35117,-0.316244,1
1,20,98,-1.81015,-1.91824,-3.41916,-3.12829,-1.91824,0
1,19,98,-1.12929,-1.97129,-3.41916,-3.12829,-1.97129,0
1,18,98,-0.465662,-1.29693,-3.41916,-3.12829,-1.29693,0
1,17,98,-1.0722,-1.01233,-3.41916,-3.12829,-1.01233,1
1,15,98,-0.739564,-0.659519,-3.41916,-3.12829,-0.659519,1
1,13,98,-0.628764,-1.17951,-3.41916,-3.12829,-0.628764,0
1,12,98,-1.26601,-1.15427,-3.41916,-3.12829,-1.15427,1
1,9,98,-1.34414,-2.47231,-3.41916,-3.12829,-2.47231,0
1,7,98,-0.661034,-1.00954,-3.41916,-3.12829,-1.00954,0
1,4,98,-0.182224,-0.779295,-3.41916,-3.12829,-0.779295,0
1,3,98,-0.525496,-0.453654,-3.41916,-3.12829,-0.453654,1
1,2,98,-0.582208,0.467212,-3.41916,-3.12829,0.467212,1
1,1,98,-0.418624,-0.374484,-3.41916,-3.12829,-0.374484,1
1,20,97,-1.64641,-1.86988,-3.41916,-2.81209,-1.64641,0
1,19,97,-1.47868,-1.82121,-3.41916,-2.81209,-1.82121,0
1,18,97,-0.288693,-1.00153,-3.41916,-2.81209,-1.00153,0
1,17,97,-1.26397,-1.31183,-3.41916,-2.81209,-1.31183,0
1,15,97,-0.55831,-0.693257,-3.41916,-2.81209,-0.693257,0
1,13,97,-0.41063,-1.01389,-3.41916,-2.81209,-1.01389,0
1,12,97,-0.965583,-0.682394,-3.41916,-2.81209,-0.682394,1
1,7,97,-0.53981,-1.04254,-3.41916,-2.81209,-1.04254,0
1,4,97,0.0370774,-0.724533,-3.41916,-2.81209,-0.724533,0
1,3,97,-0.370373,-0.160739,-3.41916,-2.81209,-0.160739,1
1,2,97,-0.343308,0.371726,-3.41916,-2.81209,0.371726,1
1,20,96,-1.29057,-1.51277,-3.41916,-2.99602,-1.51277,0
1,19,96,-1.21654,-1.98733,-3.41916,-2.99602,-1.98733,0
1,18,96,-0.34241,-1.22716,-3.41916,-2.99602,-1.22716,0
1,17,96,-0.990326,-0.963045,-3.41916,-2.99602,-0.963045,1
1,15,96,-0.525417,-0.592675,-3.41916,-2.99602,-0.592675,0
1,13,96,-0.275337,-0.959265,-3.41916,-2.99602,-0.275337,0
1,12,96,-0.727475,-0.776698,-3.41916,-2.99602,-0.776698,0
1,9,96,-1.34164,-2.37586,-3.41916,-2.99602,-2.37586,0
1,7,96,-0.434865,-0.88274,-3.41916,-2.99602,-0.88274,0
1,4,96,0.180032,-0.557409,-3.41916,-2.99602,-0.557409,0
1,3,96,-0.310216,-0.43154,-3.41916,-2.99602,-0.43154,0
1,2,96,-0.25875,0.238568,-3.41916,-2.99602,0.238568,1
1,19,95,-0.844768,-1.65964,-3.41916,-2.85377,-1.65964,0
1,17,95,-1.28139,-1.17228,-3.41916,-2.85377,-1.17228,1
1,15,95,-0.576221,-0.578495,-3.41916,-2.85377,-0.578495,0
1,13,95,-0.251763,-0.789273,-3.41916,-2.85377,-0.789273,0
1,7,95,-0.610455,-1.1025,-3.41916,-2.85377,-1.1025,0
1,4,95,0.159424,-0.619178,-3.41916,-2.85377,-0.619178,0
1,2,95,-0.37924,0.593607,-3.41916,-2.85377,0.593607,1
1,1,95,-0.539343,0.0569304,-3.41916,-2.85377,0.0569304,1
1,19,94,-0.995708,-1.81816,-3.41916,-2.55553,-1.81816,0
1,17,94,-1.1823,-1.17342,-3.41916,-2.55553,-1.17342,1
1,15,94,-0.358447,-0.501273,-3.41916,-2.55553,-0.501273,0
1,13,94,-0.162024,-0.857607,-3.41916,-2.55553,-0.857607,0
1,7,94,-0.286526,-0.712522,-3.41916,-2.55553,-0.712522,0
1,4,94,0.228846,-0.422712,-3.41916,-2.55553,-0.422712,0
1,2,94,-0.187887,0.496279,-3.41916,-2.55553,0.496279,1
1,1,94,-0.234535,-0.316345,-3.41916,-2.55553,-0.316345,0
1,19,93,-1.01447,-1.58389,-3.41916,-2.51688,-1.58389,0
1,17,93,-0.627641,-0.482801,-3.41916,-2.51688,-0.482801,1
1,15,93,-0.689354,-0.542257,-3.41916,-2.51688,-0.542257,1
1,13,93,-0.228844,-0.818816,-3.41916,-2.51688,-0.818816,0
1,7,93,-0.35654,-0.633695,-3.41916,-2.51688,-0.633695,0
1,4,93,-0.178095,-0.378283,-3.41916,-2.51688,-0.378283,0
1,2,93,-0.018135,0.715827,-3.41916,-2.51688,0.715827,1
1,1,93,-0.248523,0.10432,-3.41916,-2.51688,0.10432,1
1,19,92,-0.814392,-1.53414,-6.43894,-2.39982,-1.53414,0
1,17,92,-0.679431,-0.288177,-6.43894,-2.39982,-0.288177,1
1,15,92,-0.607491,-0.307324,-6.43894,-2.39982,-0.307324,1
1,13,92,-0.124666,-0.337828,-6.43894,-2.39982,-0.337828,0
1,7,92,-0.0531417,-0.605142,-6.43894,-2.39982,-0.605142,0
1,4,92,0.405428,0.054519,-6.43894,-2.39982,0.054519,0
1,2,92,0.149947,0.776292,-6.43894,-2.39982,0.776292,1
1,1,92,-0.110924,0.150096,-6.43894,-2.39982,0.150096,1
1,19,91,-0.698399,-1.4796,-6.29331,-2.45927,-1.4796,0
1,17,91,-0.817897,-0.226955,-6.29331,-2.45927,-0.226955,1
1,15,91,0.218749,-0.166637,-6.29331,-2.45927,0.218749,0
1,13,91,0.0655457,-0.393902,-6.29331,-2.45927,-0.393902,0
1,7,91,-0.0490528,-0.429561,-6.29331,-2.45927,-0.429561,0
1,4,91,0.474173,0.247642,-6.29331,-2.45927,0.247642,0
1,2,91,0.140009,0.49208,-6.29331,-2.45927,0.49208,1
1,1,91,-0.0291186,0.0666466,-6.29331,-2.45927,0.0666466,1
1,19,90,-1.11656,-1.69267,-6.05291,-2.36134,-1.69267,0
1,17,90,-0.573593,-0.181942,-6.05291,-2.36134,-0.181942,1
1,15,90,0.168513,-0.194404,-6.05291,-2.36134,-0.194404,0
1,13,90,0.0408833,-0.418822,-6.05291,-2.36134,-0.418822,0
1,7,90,-0.241154,-0.270086,-6.05291,-2.36134,-0.270086,0
1,4,90,0.563632,0.241868,-6.05291,-2.36134,0.241868,0
1,2,90,-0.0887129,0.819367,-6.05291,-2.36134,0.819367,1
1,1,90,-0.074734,0.475575,-6.05291,-2.36134,0.475575,1
1,19,89,-1.02382,-1.47466,-5.75042,-2.39784,-1.47466,0
1,17,89,-0.338177,-0.101571,-5.75042,-2.39784,-0.338177,1
1,15,89,0.211542,-0.0647552,-5.75042,-2.39784,-0.0647552,0
1,13,89,0.254552,-0.123411,-5.75042,-2.39784,-0.123411,0
1,7,89,0.0793887,-0.43194,-5.75042,-2.39784,-0.43194,0
1,4,89,0.791642,0.211355,-5.75042,-2.39784,0.211355,0
1,2,89,0.454314,1.02617,-5.75042,-2.39784,1.02617,1
1,1,89,0.326667,-0.130433,-5.75042,-2.39784,-0.130433,0
1,19,88,-0.677118,-1.20086,-5.55605,-2.24038,-0.677118,0
1,17,88,-0.885733,-0.349929,-5.55605,-2.24038,-0.349929,1
1,15,88,0.327356,-0.15512,-5.55605,-2.24038,-0.15512,0
1,13,88,0.131898,-0.235875,-5.55605,-2.24038,-0.235875,0
1,7,88,0.131902,-0.365894,-5.55605,-2.24038,-0.365894,0
1,4,88,0.653994,-0.0802213,-5.55605,-2.24038,-0.0802213,0
1,2,88,0.532589,0.937613,-5.55605,-2.24038,0.937613,1
1,1,88,0.548143,0.0813412,-5.55605,-2.24038,0.0813412,0
1,19,87,-0.694341,-1.14144,-5.60239,-2.09737,-1.14144,0
1,17,87,-0.73713,-0.139088,-5.60239,-2.09737,-0.139088,1
1,15,87,0.269226,0.112991,-5.60239,-2.09737,0.112991,0
1,13,87,0.476439,0.0550014,-5.60239,-2.09737,0.0550014,0
1,7,87,-0.0340891,-0.304415,-5.60239,-2.09737,-0.304415,0
1,4,87,0.529689,0.397989,-5.60239,-2.09737,0.397989,0
1,2,87,0.479788,0.812802,-5.60239,-2.09737,0.812802,1
1,1,87,0.500716,0.467022,-5.60239,-2.09737,0.467022,0
1,19,86,-0.701299,-1.06959,-5.61978,-2.01828,-1.06959,0
1,17,86,-0.438026,0.0784852,-5.61978,-2.01828,-0.438026,1
1,15,86,-0.0953804,-0.106809,-5.61978,-2.01828,-0.106809,0
1,13,86,0.379427,0.0702387,-5.61978,-2.01828,0.379427,0
1,7,86,0.0863216,-0.0702304,-5.61978,-2.01828,-0.0702304,0
1,4,86,0.774139,0.0473709,-5.61978,-2.01828,0.0473709,0
1,2,86,0.356076,1.01315,-5.61978,-2.01828,1.01315,1
1,1,86,0.761464,0.616512,-5.61978,-2.01828,0.616512,0
1,19,85,-0.759826,-0.34614,-5.14185,-2.10808,-0.34614,1
1,17,85,-0.429771,-0.145056,-5.14185,-2.10808,-0.145056,1
1,15,85,-0.569519,-0.33228,-5.14185,-2.10808,-0.33228,1
1,13,85,-0.340432,-0.537769,-5.14185,-2.10808,-0.537769,0
1,7,85,-0.20352,0.396699,-5.14185,-2.10808,0.396699,1
1,4,85,0.0943883,-1.12648,-5.14185,-2.10808,-1.12648,0
1,2,85,0.788618,-0.191689,-5.14185,-2.10808,-0.191689,0
1,1,85,0.620527,1.03076,-5.14185,-2.10808,1.03076,1
1,19,84,-0.812923,-0.098345,-5.35927,-2.00544,-0.098345,1
1,17,84,-0.425066,-0.12775,-5.35927,-2.00544,-0.12775,1
1,15,84,-0.192022,-0.0786508,-5.35927,-2.00544,-0.0786508,1
1,13,84,-0.826701,-0.606495,-5.35927,-2.00544,-0.606495,1
1,7,84,-0.480074,0.562845,-5.35927,-2.00544,0.562845,1
1,4,84,0.109187,-1.10834,-5.35927,-2.00544,-1.10834,0
1,2,84,0.342436,-0.110326,-5.35927,-2.00544,-0.110326,0
1,1,84,0.927284,0.943498,-5.35927,-2.00544,0.943498,1
1,19,83,-0.560963,-0.0800546,-5.22327,-1.89942,-0.560963,1
1,17,83,-0.350511,0.0822864,-5.22327,-1.89942,0.0822864,1
1,15,83,-0.105863,-0.0582078,-5.22327,-1.89942,-0.0582078,1
1,13,83,-0.744625,-0.388651,-5.22327,-1.89942,-0.388651,1
1,7,83,0.279292,0.894977,-5.22327,-1.89942,0.894977,1
1,4,83,-0.00711685,-1.19068,-5.22327,-1.89942,-1.19068,0
1,2,83,0.429472,0.047672,-5.22327,-1.89942,0.047672,0
1,1,83,0.56721,0.924163,-5.22327,-1.89942,0.924163,1
1,19,82,-0.57717,-0.000886863,-5.04662,-1.89873,-0.000886863,1
1,17,82,-0.368842,0.0572992,-5.04662,-1.89873,-0.368842,1
1,15,82,-0.37232,-0.0801187,-5.04662,-1.89873,-0.0801187,1
1,13,82,-0.43189,-0.106934,-5.04662,-1.89873,-0.106934,1
1,9,82,-0.00264502,0.230333,-5.04662,-1.89873,0.230333,1
1,7,82,0.0810204,0.686093,-5.04662,-1.89873,0.686093,1
1,4,82,-0.190066,-1.31839,-5.04662,-1.89873,-1.31839,0
1,2,82,0.852504,-0.0300507,-5.04662,-1.89873,-0.0300507,0
1,1,82,0.525477,1.20818,-5.04662,-1.89873,1.20818,1
1,19,81,-0.496318,0.0700385,-4.70389,-1.77463,0.0700385,1
1,17,81,-0.0915879,0.218542,-4.70389,-1.77463,0.218542,1
1,15,81,0.214832,0.0565541,-4.70389,-1.77463,0.0565541,0
1,13,81,-0.246205,-0.0636289,-4.70389,-1.77463,-0.0636289,1
1,7,81,0.201765,0.69806,-4.70389,-1.77463,0.69806,1
1,4,81,-0.249406,-1.15588,-4.70389,-1.77463,-1.15588,0
1,2,81,0.784473,0.216663,-4.70389,-1.77463,0.216663,0
1,1,81,1.12077,1.25836,-4.70389,-1.77463,1.25836,1
1,19,80,-0.416815,0.168866,-4.82344,-1.66435,0.168866,1
1,17,80,-0.102749,0.294554,-4.82344,-1.66435,0.294554,1
1,15,80,0.206927,0.110473,-4.82344,-1.66435,0.206927,0
1,13,80,-0.133627,-0.0102413,-4.82344,-1.66435,-0.0102413,1
1,7,80,0.181028,0.840461,-4.82344,-1.66435,0.840461,1
1,4,80,0.416712,-0.856858,-4.82344,-1.66435,-0.856858,0
1,2,80,0.779979,0.0713913,-4.82344,-1.66435,0.0713913,0
1,1,80,0.956983,1.09439,-4.82344,-1.66435,1.09439,1
1,19,79,-0.378648,0.0316071,-4.30456,-1.7295,0.0316071,1
1,17,79,-0.130134,0.16485,-4.30456,-1.7295,0.16485,1
1,15,79,0.388622,0.184958,-4.30456,-1.7295,0.184958,0
1,13,79,-0.286281,0.0376149,-4.30456,-1.7295,0.0376149,1
1,9,79,0.127897,0.272768,-4.30456,-1.7295,0.272768,1
1,7,79,0.420629,0.829385,-4.30456,-1.7295,0.829385,1
1,4,79,0.371077,-0.786066,-4.30456,-1.7295,-0.786066,0
1,2,79,0.584027,-0.416196,-4.30456,-1.7295,-0.416196,0
1,1,79,0.989141,1.42248,-4.30456,-1.7295,1.42248,1
1,19,78,-0.187903,0.316103,-4.65291,-1.66623,0.316103,1
1,17,78,0.0560024,0.306236,-4.65291,-1.66623,0.306236,1
1,15,78,0.343397,0.21999,-4.65291,-1.66623,0.21999,0
1,13,78,0.00436397,0.191979,-4.65291,-1.66623,0.191979,1
1,9,78,0.370698,0.473074,-4.65291,-1.66623,0.473074,1
1,7,78,-0.332666,0.734474,-4.65291,-1.66623,0.734474,1
1,4,78,0.615409,-0.671129,-4.65291,-1.66623,-0.671129,0
1,2,78,1.04277,0.408628,-4.65291,-1.66623,0.408628,0
1,1,78,1.12625,1.16239,-4.65291,-1.66623,1.16239,1
1,19,77,-0.00614881,0.730856,-4.67517,-1.58996,0.730856,1
1,17,77,-0.0322066,0.37375,-4.67517,-1.58996,0.37375,1
1,15,77,0.217664,0.145637,-4.67517,-1.58996,0.145637,0
1,13,77,0.0881673,0.295006,-4.67517,-1.58996,0.295006,1
1,9,77,0.34389,0.653837,-4.67517,-1.58996,0.653837,1
1,7,77,0.184149,0.923593,-4.67517,-1.58996,0.923593,1
1,4,77,0.573805,-0.62478,-4.67517,-1.58996,-0.62478,0
1,2,77,1.04714,0.382289,-4.67517,-1.58996,0.382289,0
1,1,77,1.2159,1.31033,-4.67517,-1.58996,1.31033,1
1,19,76,0.0653115,0.804887,-4.75214,-1.45125,0.804887,1
1,17,76,0.18679,0.540823,-4.75214,-1.45125,0.540823,1
1,15,76,0.475714,0.397729,-4.75214,-1.45125,0.475714,0
1,13,76,0.0183286,0.265307,-4.75214,-1.45125,0.265307,1
1,9,76,0.587535,0.644518,-4.75214,-1.45125,0.644518,1
1,7,76,0.439603,1.01381,-4.75214,-1.45125,1.01381,1
1,4,76,0.648201,-0.652246,-4.75214,-1.45125,-0.652246,0
1,2,76,1.12089,0.448293,-4.75214,-1.45125,0.448293,0
1,1,76,1.15888,1.58458,-4.75214,-1.45125,1.58458,1
1,19,75,-0.0663209,0.650353,-4.90201,-1.41384,0.650353,1
1,17,75,0.606969,0.55381,-4.90201,-1.41384,0.55381,0
1,15,75,0.334593,0.26231,-4.90201,-1.41384,0.26231,0
1,13,75,0.245114,-0.0712179,-4.90201,-1.41384,-0.0712179,0
1,9,75,0.536511,0.594038,-4.90201,-1.41384,0.594038,1
1,7,75,0.455404,0.922829,-4.90201,-1.41384,0.922829,1
1,4,75,0.0690536,-0.99479,-4.90201,-1.41384,-0.99479,0
