Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-0.870857,-1.67089,-3.41916,-3.35117,-1.67089,0
1,19,99,-1.39473,-2.05356,-3.41916,-3.35117,-2.05356,0
1,18,99,-1.21741,-0.701813,-3.41916,-3.35117,-0.701813,1
1,17,99,-0.133074,-1.10438,-3.41916,-3.35117,-1.10438,0
1,15,99,-0.365867,-0.764081,-3.41916,-3.35117,-0.764081,0
1,13,99,-0.264924,-0.80007,-3.41916,-3.35117,-0.80007,0
1,12,99,-1.04801,-1.54207,-3.41916,-3.35117,-1.04801,0
1,10,99,-0.46881,-0.461938,-3.41916,-3.35117,-0.46881,1
1,9,99,0.0173846,-0.991131,-3.41916,-3.35117,-0.991131,0
1,7,99,-0.447813,-0.26192,-3.41916,-3.35117,-0.26192,1
1,4,99,-0.0642625,-0.447005,-3.41916,-3.35117,-0.447005,0
1,3,99,-1.00794,-0.666606,-3.41916,-3.35117,-0.666606,1
1,2,99,-0.650896,0.0918993,-3.41916,-3.35117,0.0918993,1
1,1,99,-0.837238,0.0610535,-3.41916,-3.35117,0.0610535,1
1,20,98,-1.10066,-1.84636,-3.41916,-3.12829,-1.84636,0
1,19,98,-1.03406,-1.84281,-3.41916,-3.12829,-1.84281,0
1,18,98,-1.38439,-0.804902,-3.41916,-3.12829,-0.804902,1
1,17,98,-0.0532151,-0.953003,-3.41916,-3.12829,-0.953003,0
1,15,98,-0.633681,-0.573043,-3.41916,-3.12829,-0.573043,1
1,13,98,-0.0215739,-0.693878,-3.41916,-3.12829,-0.0215739,0
1,12,98,-0.895375,-1.50696,-3.41916,-3.12829,-1.50696,0
1,9,98,-0.0344411,-0.97642,-3.41916,-3.12829,-0.97642,0
1,7,98,-0.364822,-0.277587,-3.41916,-3.12829,-0.277587,1
1,4,98,-0.075947,-0.314991,-3.41916,-3.12829,-0.314991,0
1,3,98,-0.764693,-0.583733,-3.41916,-3.12829,-0.583733,1
1,2,98,-0.715348,0.196015,-3.41916,-3.12829,0.196015,1
1,1,98,-0.878074,0.293706,-3.41916,-3.12829,0.293706,1
1,20,97,-0.894689,-1.6434,-3.41916,-2.81209,-0.894689,0
1,19,97,-1.36796,-2.13554,-3.41916,-2.81209,-2.13554,0
1,18,97,-1.15595,-0.470347,-3.41916,-2.81209,-0.470347,1
1,17,97,-0.140543,-1.04497,-3.41916,-2.81209,-1.04497,0
1,15,97,-0.259658,-0.381294,-3.41916,-2.81209,-0.381294,0
1,13,97,0.213039,-0.364032,-3.41916,-2.81209,-0.364032,0
1,12,97,-0.929305,-1.34131,-3.41916,-2.81209,-1.34131,0
1,7,97,-0.335402,-0.126796,-3.41916,-2.81209,-0.126796,1
1,4,97,0.0330362,-0.410779,-3.41916,-2.81209,-0.410779,0
1,3,97,-0.655888,-0.534774,-3.41916,-2.81209,-0.534774,1
1,2,97,-0.18363,0.142029,-3.41916,-2.81209,0.142029,1
1,20,96,-0.932075,-1.52086,-3.41916,-2.99602,-1.52086,0
1,19,96,-1.06648,-1.75743,-3.41916,-2.99602,-1.75743,0
1,18,96,-1.46495,-0.653817,-3.41916,-2.99602,-0.653817,1
1,17,96,-0.0772691,-0.625761,-3.41916,-2.99602,-0.625761,0
1,15,96,-0.237191,-0.38971,-3.41916,-2.99602,-0.38971,0
1,13,96,0.150758,-0.481422,-3.41916,-2.99602,0.150758,0
1,12,96,-0.653936,-1.35433,-3.41916,-2.99602,-1.35433,0
1,9,96,0.120431,-0.832262,-3.41916,-2.99602,-0.832262,0
1,7,96,-0.308014,-0.144684,-3.41916,-2.99602,-0.144684,1
1,4,96,0.192398,-0.248207,-3.41916,-2.99602,-0.248207,0
1,3,96,-0.453169,-0.417242,-3.41916,-2.99602,-0.417242,1
1,2,96,0.0148976,0.193207,-3.41916,-2.99602,0.193207,1
1,19,95,-1.0496,-1.56869,-3.41916,-2.85377,-1.56869,0
1,17,95,-0.205822,-0.965533,-3.41916,-2.85377,-0.965533,0
1,15,95,-0.36145,-0.446866,-3.41916,-2.85377,-0.446866,0
1,13,95,0.394808,-0.181871,-3.41916,-2.85377,-0.181871,0
1,7,95,-0.176922,-0.129931,-3.41916,-2.85377,-0.129931,1
1,4,95,0.0418603,-0.151723,-3.41916,-2.85377,-0.151723,0
1,2,95,0.00743239,0.390055,-3.41916,-2.85377,0.390055,1
1,1,95,-0.275671,0.321556,-3.41916,-2.85377,0.321556,1
1,19,94,-0.936561,-1.46909,-3.41916,-2.55553,-1.46909,0
1,17,94,-0.0998786,-0.893597,-3.41916,-2.55553,-0.893597,0
1,15,94,0.20582,-0.350952,-3.41916,-2.55553,-0.350952,0
