Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-0.968709,-2.39134,-3.41916,-3.35117,-2.39134,0
1,19,99,-1.60482,-1.82894,-3.41916,-3.35117,-1.82894,0
1,18,99,-1.22447,-1.30743,-3.41916,-3.35117,-1.30743,0
1,17,99,0.384287,-1.00355,-3.41916,-3.35117,-1.00355,0
1,15,99,-0.255385,-0.682139,-3.41916,-3.35117,-0.682139,0
1,13,99,-1.39904,-0.600072,-3.41916,-3.35117,-0.600072,1
1,12,99,-1.82376,-1.27711,-3.41916,-3.35117,-1.82376,1
1,10,99,-0.728953,-1.19333,-3.41916,-3.35117,-0.728953,0
1,9,99,-1.40929,-1.19525,-3.41916,-3.35117,-1.19525,1
1,7,99,-0.630697,0.317468,-3.41916,-3.35117,0.317468,1
1,4,99,-0.145847,-0.448224,-3.41916,-3.35117,-0.448224,0
1,3,99,-0.905916,-0.0370871,-3.41916,-3.35117,-0.0370871,1
1,2,99,-0.75657,-0.383864,-3.41916,-3.35117,-0.383864,1
1,1,99,-0.973647,0.0168684,-3.41916,-3.35117,0.0168684,1
1,20,98,-1.175,-2.34277,-3.41916,-3.12829,-2.34277,0
1,19,98,-1.19547,-1.58749,-3.41916,-3.12829,-1.58749,0
1,18,98,-1.40435,-1.33915,-3.41916,-3.12829,-1.33915,1
1,17,98,0.719251,-1.0124,-3.41916,-3.12829,-1.0124,0
1,15,98,-0.357699,-0.791786,-3.41916,-3.12829,-0.791786,0
1,13,98,-1.03495,-0.533209,-3.41916,-3.12829,-1.03495,1
1,12,98,-1.47708,-1.10026,-3.41916,-3.12829,-1.10026,1
1,9,98,-0.878725,-1.20984,-3.41916,-3.12829,-1.20984,0
1,7,98,-0.537331,0.445668,-3.41916,-3.12829,0.445668,1
1,4,98,0.19525,-0.336418,-3.41916,-3.12829,-0.336418,0
1,3,98,-0.817458,0.133329,-3.41916,-3.12829,0.133329,1
1,2,98,-0.81247,-0.248664,-3.41916,-3.12829,-0.248664,1
1,1,98,-0.928296,0.105127,-3.41916,-3.12829,0.105127,1
1,20,97,-1.05842,-2.3567,-3.41916,-2.81209,-1.05842,0
1,19,97,-1.38491,-1.58439,-3.41916,-2.81209,-1.58439,0
1,18,97,-1.06074,-1.11497,-3.41916,-2.81209,-1.11497,0
1,17,97,0.682264,-0.945424,-3.41916,-2.81209,-0.945424,0
1,15,97,-0.107913,-0.610291,-3.41916,-2.81209,-0.610291,0
1,13,97,-0.676953,-0.55663,-3.41916,-2.81209,-0.55663,1
1,12,97,-1.29161,-0.696664,-3.41916,-2.81209,-0.696664,1
1,7,97,-0.484906,0.446933,-3.41916,-2.81209,0.446933,1
1,4,97,0.225767,-0.315604,-3.41916,-2.81209,-0.315604,0
1,3,97,-0.715742,0.164815,-3.41916,-2.81209,0.164815,1
1,2,97,-0.496412,-0.278722,-3.41916,-2.81209,-0.278722,1
1,20,96,-0.845483,-2.01764,-3.41916,-2.99602,-2.01764,0
1,19,96,-1.26311,-1.63639,-3.41916,-2.99602,-1.63639,0
1,18,96,-1.22762,-1.2022,-3.41916,-2.99602,-1.2022,1
1,17,96,0.731839,-0.833516,-3.41916,-2.99602,-0.833516,0
1,15,96,-0.0276776,-0.517852,-3.41916,-2.99602,-0.517852,0
1,13,96,-0.881442,-0.634476,-3.41916,-2.99602,-0.881442,1
1,12,96,-1.11123,-0.574659,-3.41916,-2.99602,-0.574659,1
1,9,96,-0.63962,-0.978327,-3.41916,-2.99602,-0.978327,0
1,7,96,-0.619777,0.5491,-3.41916,-2.99602,0.5491,1
1,4,96,0.295593,-0.316771,-3.41916,-2.99602,-0.316771,0
1,3,96,-0.62016,0.246861,-3.41916,-2.99602,0.246861,1
1,2,96,-0.320385,-0.19666,-3.41916,-2.99602,-0.19666,1
1,19,95,-1.05124,-1.45358,-3.41916,-2.85377,-1.45358,0
1,17,95,0.620745,-0.85346,-3.41916,-2.85377,-0.85346,0
1,15,95,-0.0123201,-0.540857,-3.41916,-2.85377,-0.540857,0
1,13,95,-0.631455,-0.414892,-3.41916,-2.85377,-0.414892,1
1,7,95,-0.375766,0.530203,-3.41916,-2.85377,0.530203,1
1,4,95,0.349465,-0.194273,-3.41916,-2.85377,-0.194273,0
