Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.36343,-2.36762,-3.41916,-3.35117,-2.36762,0
1,19,99,-1.75403,-2.26789,-3.41916,-3.35117,-2.26789,0
1,18,99,-1.42111,-1.58716,-3.41916,-3.35117,-1.58716,0
1,17,99,-1.2484,-0.84602,-3.41916,-3.35117,-0.84602,1
1,15,99,-0.449119,-1.18643,-3.41916,-3.35117,-1.18643,0
1,13,99,-1.35416,-1.48364,-3.41916,-3.35117,-1.48364,0
1,12,99,-1.84138,-0.899198,-3.41916,-3.35117,-1.84138,1
1,10,99,-2.14556,-1.08247,-3.41916,-3.35117,-2.14556,1
1,9,99,-1.79644,-1.38725,-3.41916,-3.35117,-1.38725,1
1,7,99,-1.39004,-0.934844,-3.41916,-3.35117,-0.934844,1
1,4,99,-0.747885,-1.30973,-3.41916,-3.35117,-1.30973,0
1,3,99,-1.83038,-0.585671,-3.41916,-3.35117,-0.585671,1
1,2,99,-0.871062,-0.566976,-3.41916,-3.35117,-0.566976,1
1,1,99,-0.924505,-0.773163,-3.41916,-3.35117,-0.773163,1
1,20,98,-1.6232,-2.45946,-3.41916,-3.12829,-2.45946,0
1,19,98,-1.41475,-2.16995,-3.41916,-3.12829,-2.16995,0
1,18,98,-1.55244,-1.74242,-3.41916,-3.12829,-1.74242,0
1,17,98,-1.128,-0.762422,-3.41916,-3.12829,-0.762422,1
1,15,98,-0.508628,-1.28227,-3.41916,-3.12829,-1.28227,0
1,13,98,-0.885052,-1.43097,-3.41916,-3.12829,-0.885052,0
1,12,98,-1.48943,-0.89653,-3.41916,-3.12829,-0.89653,1
1,9,98,-1.74878,-1.34865,-3.41916,-3.12829,-1.34865,1
1,7,98,-1.3432,-0.795195,-3.41916,-3.12829,-0.795195,1
1,4,98,-0.556236,-1.28068,-3.41916,-3.12829,-1.28068,0
1,3,98,-1.83953,-0.562029,-3.41916,-3.12829,-0.562029,1
1,2,98,-0.8903,-0.520392,-3.41916,-3.12829,-0.520392,1
1,1,98,-0.897112,-0.69637,-3.41916,-3.12829,-0.69637,1
1,20,97,-1.40171,-2.36927,-3.41916,-2.81209,-1.40171,0
1,19,97,-1.69401,-2.1486,-3.41916,-2.81209,-2.1486,0
1,18,97,-1.28557,-1.43344,-3.41916,-2.81209,-1.43344,0
1,17,97,-1.21286,-0.75073,-3.41916,-2.81209,-0.75073,1
1,15,97,-0.303954,-1.10618,-3.41916,-2.81209,-1.10618,0
1,13,97,-0.425242,-1.40304,-3.41916,-2.81209,-1.40304,0
1,12,97,-1.18823,-0.759586,-3.41916,-2.81209,-0.759586,1
1,7,97,-0.80685,-0.753216,-3.41916,-2.81209,-0.753216,1
1,4,97,-0.533897,-1.29222,-3.41916,-2.81209,-1.29222,0
1,3,97,-1.88071,-0.56948,-3.41916,-2.81209,-0.56948,1
1,2,97,-0.982003,-0.475374,-3.41916,-2.81209,-0.475374,1
1,20,96,-1.29094,-2.20256,-3.41916,-2.99602,-2.20256,0
1,19,96,-1.44527,-2.18555,-3.41916,-2.99602,-2.18555,0
1,18,96,-1.40835,-1.51736,-3.41916,-2.99602,-1.51736,0
1,17,96,-1.17925,-0.725244,-3.41916,-2.99602,-0.725244,1
1,15,96,-0.223846,-1.04145,-3.41916,-2.99602,-1.04145,0
1,13,96,-0.704082,-1.48518,-3.41916,-2.99602,-0.704082,0
1,12,96,-1.04994,-0.681924,-3.41916,-2.99602,-0.681924,1
1,9,96,-1.31777,-1.24921,-3.41916,-2.99602,-1.24921,1
1,7,96,-0.709041,-0.703072,-3.41916,-2.99602,-0.703072,1
1,4,96,-0.529279,-1.21793,-3.41916,-2.99602,-1.21793,0
1,3,96,-1.54092,-0.462712,-3.41916,-2.99602,-0.462712,1
1,2,96,-0.721187,-0.40229,-3.41916,-2.99602,-0.40229,1
1,19,95,-1.34007,-1.99334,-3.41916,-2.85377,-1.99334,0
1,17,95,-1.3802,-0.72484,-3.41916,-2.85377,-0.72484,1
1,15,95,-0.268087,-0.988403,-3.41916,-2.85377,-0.988403,0
1,13,95,-0.405135,-1.35336,-3.41916,-2.85377,-1.35336,0
1,7,95,-0.730331,-0.880271,-3.41916,-2.85377,-0.880271,0
1,4,95,-0.422874,-1.05371,-3.41916,-2.85377,-1.05371,0
1,2,95,-0.765938,-0.351263,-3.41916,-2.85377,-0.351263,1
1,1,95,-0.890075,-0.617378,-3.41916,-2.85377,-0.617378,1
1,19,94,-1.25993,-1.96616,-3.41916,-2.55553,-1.96616,0
1,17,94,-1.13081,-0.646824,-3.41916,-2.55553,-0.646824,1
1,15,94,-0.185828,-0.930256,-3.41916,-2.55553,-0.930256,0
1,13,94,-0.278802,-1.25829,-3.41916,-2.55553,-1.25829,0
1,7,94,-0.642798,-0.62358,-3.41916,-2.55553,-0.62358,1
1,4,94,-0.354688,-0.947224,-3.41916,-2.55553,-0.947224,0
1,2,94,-0.865792,-0.259772,-3.41916,-2.55553,-0.259772,1
1,1,94,-0.878458,-0.429763,-3.41916,-2.55553,-0.429763,1
1,19,93,-1.36923,-1.86273,-3.41916,-2.51688,-1.86273,0
1,17,93,-1.04752,-0.594163,-3.41916,-2.51688,-0.594163,1
1,15,93,-0.339997,-0.940098,-3.41916,-2.51688,-0.940098,0
1,13,93,-0.40956,-1.15752,-3.41916,-2.51688,-1.15752,0
1,7,93,-0.679358,-0.571061,-3.41916,-2.51688,-0.571061,1
1,4,93,-0.319942,-0.924191,-3.41916,-2.51688,-0.924191,0
