Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-0.931396,-2.29462,-3.41916,-3.35117,-2.29462,0
1,19,99,-1.4951,-1.43155,-3.41916,-3.35117,-1.43155,1
1,18,99,-0.885602,-1.10005,-3.41916,-3.35117,-1.10005,0
1,17,99,0.565003,-0.649092,-3.41916,-3.35117,-0.649092,0
1,15,99,0.179398,-0.519144,-3.41916,-3.35117,-0.519144,0
1,13,99,-0.973492,-0.18266,-3.41916,-3.35117,-0.18266,1
1,12,99,-1.25084,-0.476986,-3.41916,-3.35117,-1.25084,1
1,10,99,-0.775453,-0.237347,-3.41916,-3.35117,-0.237347,1
1,9,99,-0.302482,0.0407403,-3.41916,-3.35117,0.0407403,1
1,7,99,-0.411541,-0.388249,-3.41916,-3.35117,-0.388249,1
1,4,99,-0.60349,-0.399585,-3.41916,-3.35117,-0.399585,1
1,3,99,-0.79518,0.0308749,-3.41916,-3.35117,0.0308749,1
1,2,99,-0.209586,0.434039,-3.41916,-3.35117,0.434039,1
1,1,99,-0.515259,0.0940254,-3.41916,-3.35117,0.0940254,1
1,20,98,-1.3417,-2.37927,-3.41916,-3.12829,-2.37927,0
1,19,98,-0.79907,-1.1034,-3.41916,-3.12829,-1.1034,0
1,18,98,-1.43285,-1.22179,-3.41916,-3.12829,-1.22179,1
1,17,98,0.712415,-0.561751,-3.41916,-3.12829,-0.561751,0
1,15,98,0.136274,-0.532709,-3.41916,-3.12829,-0.532709,0
1,13,98,-0.908689,-0.0993995,-3.41916,-3.12829,-0.908689,1
1,12,98,-1.19488,-0.484345,-3.41916,-3.12829,-0.484345,1
1,9,98,-0.256714,0.130608,-3.41916,-3.12829,0.130608,1
1,7,98,-0.356854,-0.292006,-3.41916,-3.12829,-0.292006,1
1,4,98,-0.175926,-0.402682,-3.41916,-3.12829,-0.402682,0
1,3,98,-0.672478,0.0901453,-3.41916,-3.12829,0.0901453,1
1,2,98,-0.0366749,0.493478,-3.41916,-3.12829,0.493478,1
1,1,98,-0.260694,0.0811523,-3.41916,-3.12829,0.0811523,1
1,20,97,-0.969341,-2.23168,-3.41916,-2.81209,-0.969341,0
1,19,97,-1.21824,-1.45388,-3.41916,-2.81209,-1.45388,0
1,18,97,-0.863263,-0.798908,-3.41916,-2.81209,-0.798908,1
1,17,97,0.784444,-0.57348,-3.41916,-2.81209,-0.57348,0
1,15,97,0.0143925,-0.47511,-3.41916,-2.81209,-0.47511,0
1,13,97,-0.6617,0.079686,-3.41916,-2.81209,0.079686,1
1,12,97,-0.908918,-0.142168,-3.41916,-2.81209,-0.142168,1
1,7,97,-0.281928,-0.182503,-3.41916,-2.81209,-0.182503,1
1,4,97,-0.220394,-0.308259,-3.41916,-2.81209,-0.308259,0
1,3,97,-0.55754,0.111174,-3.41916,-2.81209,0.111174,1
1,2,97,-0.0170333,0.51672,-3.41916,-2.81209,0.51672,1
1,20,96,-0.76383,-2.06866,-3.41916,-2.99602,-2.06866,0
1,19,96,-0.862817,-1.18859,-3.41916,-2.99602,-1.18859,0
1,18,96,-0.967315,-1.14443,-3.41916,-2.99602,-1.14443,0
1,17,96,0.963775,-0.195807,-3.41916,-2.99602,-0.195807,0
1,15,96,0.0859806,-0.38758,-3.41916,-2.99602,-0.38758,0
1,13,96,-0.755668,0.0908434,-3.41916,-2.99602,-0.755668,1
1,12,96,-0.652694,-0.00661512,-3.41916,-2.99602,-0.00661512,1
1,9,96,0.0973583,0.147007,-3.41916,-2.99602,0.147007,1
1,7,96,-0.251942,-0.200345,-3.41916,-2.99602,-0.200345,1
1,4,96,-0.128866,-0.189865,-3.41916,-2.99602,-0.189865,0
1,3,96,-0.617768,0.254958,-3.41916,-2.99602,0.254958,1
1,2,96,-0.0631151,0.56883,-3.41916,-2.99602,0.56883,1
1,19,95,-0.656482,-1.07169,-3.41916,-2.85377,-1.07169,0
1,17,95,0.829084,-0.218582,-3.41916,-2.85377,-0.218582,0
1,15,95,0.281153,-0.381104,-3.41916,-2.85377,-0.381104,0
1,13,95,-0.581551,-0.0347917,-3.41916,-2.85377,-0.0347917,1
1,7,95,-0.0582889,-0.357283,-3.41916,-2.85377,-0.357283,0
1,4,95,-0.0335963,-0.00436804,-3.41916,-2.85377,-0.00436804,1
1,2,95,0.111808,0.589467,-3.41916,-2.85377,0.589467,1
1,1,95,0.0346716,0.151164,-3.41916,-2.85377,0.151164,1
1,19,94,-0.815031,-1.15805,-3.41916,-2.55553,-1.15805,0
1,17,94,0.875887,-0.17929,-3.41916,-2.55553,-0.17929,0
1,15,94,0.450112,-0.316084,-3.41916,-2.55553,-0.316084,0
1,13,94,-0.433685,0.0281473,-3.41916,-2.55553,0.0281473,1
1,7,94,-0.0026011,-0.0861426,-3.41916,-2.55553,-0.0861426,0
1,4,94,0.0735801,0.010244,-3.41916,-2.55553,0.010244,0
1,2,94,0.137797,0.794668,-3.41916,-2.55553,0.794668,1
1,1,94,-0.108263,0.458776,-3.41916,-2.55553,0.458776,1
1,19,93,-0.531937,-0.977259,-3.41916,-2.51688,-0.977259,0
1,17,93,0.930747,-0.287965,-3.41916,-2.51688,-0.287965,0
1,15,93,0.305324,-0.282605,-3.41916,-2.51688,-0.282605,0
1,13,93,-0.512734,0.262212,-3.41916,-2.51688,0.262212,1
1,7,93,0.0388999,-0.0137902,-3.41916,-2.51688,-0.0137902,0
1,4,93,0.0293263,-0.104044,-3.41916,-2.51688,-0.104044,0
1,2,93,0.212995,0.788312,-3.41916,-2.51688,0.788312,1
1,1,93,0.100916,0.521899,-3.41916,-2.51688,0.521899,1
1,19,92,-0.691854,-1.08818,-6.43894,-2.39982,-1.08818,0
1,17,92,0.96163,-0.112821,-6.43894,-2.39982,-0.112821,0
1,15,92,0.28502,-0.253631,-6.43894,-2.39982,-0.253631,0
1,13,92,-0.388258,0.42901,-6.43894,-2.39982,0.42901,1
1,7,92,0.0960949,0.190935,-6.43894,-2.39982,0.190935,1
1,4,92,0.135571,0.12192,-6.43894,-2.39982,0.12192,0
1,2,92,0.3609,0.759821,-6.43894,-2.39982,0.759821,1
1,1,92,0.254138,0.496676,-6.43894,-2.39982,0.496676,1
1,19,91,-0.416857,-0.833553,-6.29331,-2.45927,-0.833553,0
1,17,91,1.00638,-0.0799051,-6.29331,-2.45927,-0.0799051,0
1,15,91,0.237935,-0.064341,-6.29331,-2.45927,0.237935,0
1,13,91,-0.446219,0.331676,-6.29331,-2.45927,0.331676,1
1,7,91,0.198869,0.238174,-6.29331,-2.45927,0.238174,1
1,4,91,0.447879,0.409479,-6.29331,-2.45927,0.409479,0
1,2,91,0.132859,0.522731,-6.29331,-2.45927,0.522731,1
1,1,91,0.180791,0.632295,-6.29331,-2.45927,0.632295,1
1,19,90,-0.717361,-1.11063,-6.05291,-2.36134,-1.11063,0
1,17,90,0.847247,-0.16714,-6.05291,-2.36134,-0.16714,0
1,15,90,0.299343,-0.0616248,-6.05291,-2.36134,-0.0616248,0
1,13,90,-0.41087,0.254407,-6.05291,-2.36134,0.254407,1
1,7,90,0.0508217,0.192383,-6.05291,-2.36134,0.192383,1
1,4,90,0.300369,0.271955,-6.05291,-2.36134,0.271955,0
1,2,90,-0.0852048,0.895362,-6.05291,-2.36134,0.895362,1
1,1,90,0.176892,0.718427,-6.05291,-2.36134,0.718427,1
1,19,89,-0.919974,-1.2378,-5.75042,-2.39784,-1.2378,0
1,17,89,1.25127,0.147015,-5.75042,-2.39784,1.25127,0
1,15,89,0.318456,-0.0825979,-5.75042,-2.39784,-0.0825979,0
1,13,89,-0.219679,0.218241,-5.75042,-2.39784,0.218241,1
1,7,89,0.190451,0.257507,-5.75042,-2.39784,0.257507,1
1,4,89,0.432637,0.320496,-5.75042,-2.39784,0.320496,0
1,2,89,0.248315,1.05911,-5.75042,-2.39784,1.05911,1
1,1,89,0.234604,0.403635,-5.75042,-2.39784,0.403635,1
1,19,88,-0.249319,-0.667505,-5.55605,-2.24038,-0.249319,0
1,17,88,0.996752,-0.153949,-5.55605,-2.24038,-0.153949,0
1,15,88,0.197124,-0.119658,-5.55605,-2.24038,-0.119658,0
1,13,88,-0.178609,0.262188,-5.55605,-2.24038,0.262188,1
1,7,88,0.318464,0.432631,-5.55605,-2.24038,0.432631,1
1,4,88,0.520011,0.349185,-5.55605,-2.24038,0.349185,0
1,2,88,0.323511,1.07725,-5.55605,-2.24038,1.07725,1
1,1,88,0.159483,0.841154,-5.55605,-2.24038,0.841154,1
1,19,87,-0.313894,-0.526483,-5.60239,-2.09737,-0.526483,0
1,17,87,0.670276,-0.458599,-5.60239,-2.09737,-0.458599,0
1,15,87,0.484239,0.216944,-5.60239,-2.09737,0.216944,0
1,13,87,-0.307124,0.452013,-5.60239,-2.09737,0.452013,1
1,7,87,0.289566,0.472167,-5.60239,-2.09737,0.472167,1
1,4,87,0.512007,0.254607,-5.60239,-2.09737,0.254607,0
1,2,87,0.347734,1.10078,-5.60239,-2.09737,1.10078,1
1,1,87,0.0502138,0.804743,-5.60239,-2.09737,0.804743,1
1,19,86,-0.995734,-0.966791,-5.61978,-2.01828,-0.966791,1
1,17,86,1.24869,0.236169,-5.61978,-2.01828,1.24869,0
1,15,86,0.216958,-0.101531,-5.61978,-2.01828,-0.101531,0
1,13,86,-0.426777,0.221777,-5.61978,-2.01828,-0.426777,1
1,7,86,0.308545,0.529786,-5.61978,-2.01828,0.529786,1
1,4,86,0.662399,0.28749,-5.61978,-2.01828,0.28749,0
1,2,86,0.40039,1.11146,-5.61978,-2.01828,1.11146,1
1,1,86,0.266339,0.850504,-5.61978,-2.01828,0.850504,1
1,19,85,-0.951222,-0.450057,-5.14185,-2.10808,-0.450057,1
1,17,85,-0.237768,0.169976,-5.14185,-2.10808,0.169976,1
1,15,85,-0.572645,-1.01294,-5.14185,-2.10808,-1.01294,0
1,13,85,-0.17136,-1.26293,-5.14185,-2.10808,-1.26293,0
