Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.08704,-2.20027,-3.41916,-3.35117,-2.20027,0
1,19,99,-1.78132,-1.83348,-3.41916,-3.35117,-1.83348,0
1,18,99,-1.1756,-1.60977,-3.41916,-3.35117,-1.60977,0
1,17,99,-0.0882253,-0.935976,-3.41916,-3.35117,-0.935976,0
1,15,99,0.0803251,-0.628187,-3.41916,-3.35117,-0.628187,0
1,13,99,-1.26592,-0.777771,-3.41916,-3.35117,-0.777771,1
1,12,99,-1.50047,-1.59685,-3.41916,-3.35117,-1.50047,0
1,10,99,-1.53425,-1.35934,-3.41916,-3.35117,-1.53425,1
1,9,99,-1.0583,-0.0422598,-3.41916,-3.35117,-0.0422598,1
1,7,99,-1.08458,-1.16856,-3.41916,-3.35117,-1.16856,0
1,4,99,-0.624861,-0.813768,-3.41916,-3.35117,-0.813768,0
1,3,99,-0.874345,-0.464609,-3.41916,-3.35117,-0.464609,1
1,2,99,-0.682829,-0.20585,-3.41916,-3.35117,-0.20585,1
1,1,99,-1.47264,-0.535488,-3.41916,-3.35117,-0.535488,1
1,20,98,-1.28785,-2.31803,-3.41916,-3.12829,-2.31803,0
1,19,98,-1.20868,-1.71571,-3.41916,-3.12829,-1.71571,0
1,18,98,-1.22425,-1.70481,-3.41916,-3.12829,-1.70481,0
1,17,98,0.120886,-0.895909,-3.41916,-3.12829,-0.895909,0
1,15,98,0.061302,-0.663056,-3.41916,-3.12829,-0.663056,0
1,13,98,-1.17285,-0.719396,-3.41916,-3.12829,-1.17285,1
1,12,98,-1.26577,-1.44257,-3.41916,-3.12829,-1.44257,0
1,9,98,-1.05935,-0.0893153,-3.41916,-3.12829,-0.0893153,1
1,7,98,-0.975952,-1.08292,-3.41916,-3.12829,-1.08292,0
1,4,98,-0.615836,-0.710021,-3.41916,-3.12829,-0.710021,0
1,3,98,-0.674548,-0.370639,-3.41916,-3.12829,-0.370639,1
1,2,98,-0.661835,-0.139636,-3.41916,-3.12829,-0.139636,1
1,1,98,-1.4225,-0.478574,-3.41916,-3.12829,-0.478574,1
1,20,97,-1.14054,-2.15757,-3.41916,-2.81209,-1.14054,0
1,19,97,-1.37848,-1.94144,-3.41916,-2.81209,-1.94144,0
1,18,97,-0.979434,-1.12088,-3.41916,-2.81209,-1.12088,0
1,17,97,-0.101244,-0.867852,-3.41916,-2.81209,-0.867852,0
1,15,97,0.163528,-0.520248,-3.41916,-2.81209,-0.520248,0
1,13,97,-0.929618,-0.291316,-3.41916,-2.81209,-0.291316,1
1,12,97,-1.0355,-1.15445,-3.41916,-2.81209,-1.15445,0
1,7,97,-0.939384,-0.986109,-3.41916,-2.81209,-0.986109,0
1,4,97,-0.522291,-0.682417,-3.41916,-2.81209,-0.682417,0
1,3,97,-0.778197,-0.330412,-3.41916,-2.81209,-0.330412,1
1,2,97,-0.598949,-0.0479551,-3.41916,-2.81209,-0.0479551,1
1,20,96,-1.00907,-1.98661,-3.41916,-2.99602,-1.98661,0
1,19,96,-1.25967,-1.6593,-3.41916,-2.99602,-1.6593,0
1,18,96,-1.24272,-1.47561,-3.41916,-2.99602,-1.47561,0
1,17,96,0.219425,-0.662759,-3.41916,-2.99602,-0.662759,0
1,15,96,0.235517,-0.513453,-3.41916,-2.99602,-0.513453,0
1,13,96,-0.920769,-0.483162,-3.41916,-2.99602,-0.920769,1
1,12,96,-0.913069,-1.10124,-3.41916,-2.99602,-1.10124,0
1,9,96,-0.436086,0.285512,-3.41916,-2.99602,0.285512,1
1,7,96,-0.771644,-1.14403,-3.41916,-2.99602,-1.14403,0
1,4,96,-0.419363,-0.577611,-3.41916,-2.99602,-0.577611,0
