Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-0.935042,-1.90586,-3.41916,-3.35117,-1.90586,0
1,19,99,-1.05327,-1.7034,-3.41916,-3.35117,-1.7034,0
1,18,99,-0.963,-1.13014,-3.41916,-3.35117,-1.13014,0
1,17,99,-0.419105,-0.571517,-3.41916,-3.35117,-0.571517,0
1,15,99,0.0750123,-0.265316,-3.41916,-3.35117,-0.265316,0
1,13,99,-1.29905,-0.661305,-3.41916,-3.35117,-0.661305,1
1,12,99,-1.37074,-0.907514,-3.41916,-3.35117,-1.37074,1
1,10,99,-0.853027,-0.784701,-3.41916,-3.35117,-0.784701,1
1,9,99,-1.01402,-1.50287,-3.41916,-3.35117,-1.50287,0
1,7,99,-0.497288,-0.251304,-3.41916,-3.35117,-0.251304,1
1,4,99,-0.532359,-0.356443,-3.41916,-3.35117,-0.356443,1
1,3,99,-1.49229,-0.0437551,-3.41916,-3.35117,-0.0437551,1
1,2,99,-0.675516,-0.355476,-3.41916,-3.35117,-0.355476,1
1,1,99,-1.47207,0.669568,-3.41916,-3.35117,0.669568,1
1,20,98,-1.52263,-2.0167,-3.41916,-3.12829,-2.0167,0
1,19,98,-0.72866,-1.39108,-3.41916,-3.12829,-1.39108,0
1,18,98,-1.19601,-1.24877,-3.41916,-3.12829,-1.24877,0
1,17,98,-0.137319,-0.634207,-3.41916,-3.12829,-0.634207,0
1,15,98,-0.114468,-0.262537,-3.41916,-3.12829,-0.262537,0
1,13,98,-1.2269,-0.462581,-3.41916,-3.12829,-1.2269,1
1,12,98,-1.45053,-0.816298,-3.41916,-3.12829,-0.816298,1
1,9,98,-0.952629,-1.43058,-3.41916,-3.12829,-1.43058,0
1,7,98,-0.427248,-0.145069,-3.41916,-3.12829,-0.145069,1
1,4,98,-0.352424,-0.262842,-3.41916,-3.12829,-0.262842,1
1,3,98,-1.40018,-0.00906299,-3.41916,-3.12829,-0.00906299,1
1,2,98,-0.581655,-0.277861,-3.41916,-3.12829,-0.277861,1
1,1,98,-1.38102,0.664704,-3.41916,-3.12829,0.664704,1
1,20,97,-1.0709,-1.91387,-3.41916,-2.81209,-1.0709,0
1,19,97,-0.745968,-1.66629,-3.41916,-2.81209,-1.66629,0
1,18,97,-0.759962,-0.764284,-3.41916,-2.81209,-0.764284,0
1,17,97,-0.451026,-0.588907,-3.41916,-2.81209,-0.588907,0
1,15,97,0.174945,-0.0295484,-3.41916,-2.81209,-0.0295484,0
1,13,97,-0.258746,-0.409029,-3.41916,-2.81209,-0.409029,0
1,12,97,-0.856444,-0.505042,-3.41916,-2.81209,-0.505042,1
1,7,97,-0.358695,-0.0297298,-3.41916,-2.81209,-0.0297298,1
1,4,97,-0.330008,-0.224854,-3.41916,-2.81209,-0.224854,1
1,3,97,-1.34574,0.115677,-3.41916,-2.81209,0.115677,1
1,2,97,-0.416799,-0.167444,-3.41916,-2.81209,-0.167444,1
1,20,96,-0.888812,-1.72511,-3.41916,-2.99602,-1.72511,0
1,19,96,-0.896409,-1.4489,-3.41916,-2.99602,-1.4489,0
1,18,96,-1.06621,-1.0691,-3.41916,-2.99602,-1.0691,0
1,17,96,-0.150863,-0.438837,-3.41916,-2.99602,-0.438837,0
1,15,96,0.152197,0.0403619,-3.41916,-2.99602,0.0403619,0
1,13,96,-0.480758,-0.517422,-3.41916,-2.99602,-0.480758,0
1,12,96,-0.816549,-0.489043,-3.41916,-2.99602,-0.489043,1
1,9,96,-0.58562,-1.15072,-3.41916,-2.99602,-1.15072,0
1,7,96,-0.305329,0.0597262,-3.41916,-2.99602,0.0597262,1
1,4,96,-0.0837899,-0.0787516,-3.41916,-2.99602,-0.0787516,1
1,3,96,-1.25396,0.137991,-3.41916,-2.99602,0.137991,1
1,2,96,-0.380227,-0.133162,-3.41916,-2.99602,-0.133162,1
1,19,95,-0.698248,-1.26686,-3.41916,-2.85377,-1.26686,0
1,17,95,-0.396861,-0.297731,-3.41916,-2.85377,-0.297731,1
1,15,95,0.159916,0.0317306,-3.41916,-2.85377,0.0317306,0
1,13,95,-0.108675,-0.253956,-3.41916,-2.85377,-0.253956,0
1,7,95,-0.382278,-0.130908,-3.41916,-2.85377,-0.130908,1
1,4,95,-0.00215132,-0.0499991,-3.41916,-2.85377,-0.0499991,0
1,2,95,-0.152553,-0.115515,-3.41916,-2.85377,-0.115515,1
1,1,95,-0.369487,0.858109,-3.41916,-2.85377,0.858109,1
1,19,94,-0.576987,-1.23165,-3.41916,-2.55553,-1.23165,0
1,17,94,-0.211101,-0.535038,-3.41916,-2.55553,-0.535038,0
1,15,94,0.287403,0.119301,-3.41916,-2.55553,0.119301,0
1,13,94,-0.0431819,-0.251821,-3.41916,-2.55553,-0.251821,0
1,7,94,-0.108057,0.18691,-3.41916,-2.55553,0.18691,1
1,4,94,0.000548349,0.0158246,-3.41916,-2.55553,0.0158246,1
1,2,94,-0.147183,0.0713913,-3.41916,-2.55553,0.0713913,1
1,1,94,-0.435894,1.0503,-3.41916,-2.55553,1.0503,1
1,19,93,-0.448533,-1.10193,-3.41916,-2.51688,-1.10193,0
1,17,93,-0.11701,-0.711559,-3.41916,-2.51688,-0.711559,0
1,15,93,0.360365,0.237252,-3.41916,-2.51688,0.237252,0
1,13,93,-0.120378,-0.127718,-3.41916,-2.51688,-0.127718,0
1,7,93,-0.0842484,0.230926,-3.41916,-2.51688,0.230926,1
1,4,93,-0.0177254,0.136571,-3.41916,-2.51688,0.136571,1
1,2,93,-0.0832372,0.136857,-3.41916,-2.51688,0.136857,1
1,1,93,-0.245591,1.13255,-3.41916,-2.51688,1.13255,1
1,19,92,-0.542885,-1.16179,-6.43894,-2.39982,-1.16179,0
1,17,92,0.0290994,-0.60965,-6.43894,-2.39982,-0.60965,0
1,15,92,0.1506,0.132975,-6.43894,-2.39982,0.132975,0
1,13,92,0.0847868,-0.0671483,-6.43894,-2.39982,-0.0671483,0
1,7,92,0.109207,0.300481,-6.43894,-2.39982,0.300481,1
1,4,92,0.128174,0.274789,-6.43894,-2.39982,0.274789,1
1,2,92,0.0534354,0.198051,-6.43894,-2.39982,0.198051,1
1,1,92,-0.131193,1.13455,-6.43894,-2.39982,1.13455,1
1,19,91,-0.505235,-0.986617,-6.29331,-2.45927,-0.986617,0
1,17,91,0.0445149,-0.647489,-6.29331,-2.45927,-0.647489,0
1,15,91,0.280661,0.270152,-6.29331,-2.45927,0.280661,0
1,13,91,0.0743751,-0.0581669,-6.29331,-2.45927,-0.0581669,0
1,7,91,0.0421927,0.281055,-6.29331,-2.45927,0.281055,1
1,4,91,0.231438,0.274898,-6.29331,-2.45927,0.274898,1
1,2,91,0.0582509,-0.0010087,-6.29331,-2.45927,-0.0010087,0
1,1,91,-0.0543056,1.2485,-6.29331,-2.45927,1.2485,1
1,19,90,-0.581782,-1.18283,-6.05291,-2.36134,-1.18283,0
1,17,90,0.060767,-0.486292,-6.05291,-2.36134,-0.486292,0
1,15,90,0.380428,0.335435,-6.05291,-2.36134,0.335435,0
1,13,90,-0.136202,-0.149207,-6.05291,-2.36134,-0.149207,0
1,7,90,-0.205877,0.0776412,-6.05291,-2.36134,0.0776412,1
1,4,90,0.360338,0.37302,-6.05291,-2.36134,0.37302,1
1,2,90,-0.109578,0.201548,-6.05291,-2.36134,0.201548,1
1,1,90,-0.151494,1.32773,-6.05291,-2.36134,1.32773,1
1,19,89,-0.857886,-1.50429,-5.75042,-2.39784,-1.50429,0
1,17,89,0.2219,-0.545425,-5.75042,-2.39784,0.2219,0
1,15,89,0.406362,0.365614,-5.75042,-2.39784,0.365614,0
1,13,89,0.0753868,0.000835423,-5.75042,-2.39784,0.000835423,0
1,7,89,0.032095,0.381328,-5.75042,-2.39784,0.381328,1
1,4,89,0.521191,0.544291,-5.75042,-2.39784,0.544291,1
1,2,89,0.255959,0.374563,-5.75042,-2.39784,0.374563,1
1,1,89,0.0612019,1.38161,-5.75042,-2.39784,1.38161,1
1,19,88,-0.350347,-0.966846,-5.55605,-2.24038,-0.350347,0
1,17,88,0.0594173,-0.644304,-5.55605,-2.24038,-0.644304,0
1,15,88,0.35443,0.324731,-5.55605,-2.24038,0.324731,0
1,13,88,0.155587,0.107136,-5.55605,-2.24038,0.107136,0
1,7,88,-0.0470537,0.331402,-5.55605,-2.24038,0.331402,1
1,4,88,0.580295,0.525443,-5.55605,-2.24038,0.525443,0
1,2,88,0.43516,0.480748,-5.55605,-2.24038,0.480748,1
1,1,88,0.122504,1.39335,-5.55605,-2.24038,1.39335,1
1,19,87,-0.0698988,-0.774085,-5.60239,-2.09737,-0.774085,0
1,17,87,-0.319362,-0.865145,-5.60239,-2.09737,-0.865145,0
1,15,87,0.337552,0.462028,-5.60239,-2.09737,0.462028,1
1,13,87,0.2463,0.141817,-5.60239,-2.09737,0.141817,0
1,7,87,0.108572,0.356025,-5.60239,-2.09737,0.356025,1
1,4,87,0.343553,0.376413,-5.60239,-2.09737,0.376413,1
1,2,87,0.453642,0.583068,-5.60239,-2.09737,0.583068,1
1,1,87,0.25721,1.52994,-5.60239,-2.09737,1.52994,1
1,19,86,-0.0779059,-0.829207,-5.61978,-2.01828,-0.829207,0
1,17,86,-0.00546786,-0.460672,-5.61978,-2.01828,-0.00546786,0
1,15,86,0.141554,0.424587,-5.61978,-2.01828,0.424587,1
1,13,86,0.0953194,0.0901302,-5.61978,-2.01828,0.0953194,0
1,7,86,0.158622,0.420492,-5.61978,-2.01828,0.420492,1
1,4,86,0.489964,0.559144,-5.61978,-2.01828,0.559144,1
1,2,86,0.382164,0.546711,-5.61978,-2.01828,0.546711,1
1,1,86,0.283538,1.56024,-5.61978,-2.01828,1.56024,1
1,19,85,-1.02962,-0.465589,-5.14185,-2.10808,-0.465589,1
1,17,85,-0.291796,-0.643257,-5.14185,-2.10808,-0.643257,0
1,15,85,-1.15396,-0.739263,-5.14185,-2.10808,-0.739263,1
1,13,85,-0.502669,-0.212639,-5.14185,-2.10808,-0.212639,1
1,7,85,0.601631,-0.0512917,-5.14185,-2.10808,-0.0512917,0
1,4,85,0.41162,-0.135365,-5.14185,-2.10808,-0.135365,0
1,2,85,1.25718,-0.130916,-5.14185,-2.10808,-0.130916,0
1,1,85,0.866418,0.626787,-5.14185,-2.10808,0.626787,0
1,19,84,-1.04127,-0.0679239,-5.35927,-2.00544,-0.0679239,1
1,17,84,-0.410127,-0.712212,-5.35927,-2.00544,-0.712212,0
1,15,84,-0.981805,-0.550197,-5.35927,-2.00544,-0.550197,1
1,13,84,-0.676024,-0.336371,-5.35927,-2.00544,-0.336371,1
1,7,84,0.357839,-0.2408,-5.35927,-2.00544,-0.2408,0
1,4,84,0.6153,-0.106339,-5.35927,-2.00544,-0.106339,0
1,2,84,1.30638,0.0038753,-5.35927,-2.00544,0.0038753,0
1,1,84,0.906342,0.704325,-5.35927,-2.00544,0.704325,0
1,19,83,-0.832887,-0.104871,-5.22327,-1.89942,-0.832887,1
1,17,83,-0.483897,-0.640876,-5.22327,-1.89942,-0.640876,0
1,15,83,-0.659843,-0.163247,-5.22327,-1.89942,-0.163247,1
1,13,83,-0.876638,-0.387259,-5.22327,-1.89942,-0.387259,1
1,7,83,0.588481,-0.0521229,-5.22327,-1.89942,-0.0521229,0
1,4,83,0.713697,-0.0797677,-5.22327,-1.89942,-0.0797677,0
1,2,83,1.37198,0.0588129,-5.22327,-1.89942,0.0588129,0
1,1,83,0.870869,0.73382,-5.22327,-1.89942,0.73382,0
1,19,82,-1.01487,-0.0127734,-5.04662,-1.89873,-0.0127734,1
1,17,82,-0.24418,-0.481017,-5.04662,-1.89873,-0.24418,0
