Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.32414,-2.07617,-3.41916,-3.35117,-2.07617,0
1,19,99,-1.68571,-2.27376,-3.41916,-3.35117,-2.27376,0
1,18,99,-0.622914,-1.19822,-3.41916,-3.35117,-1.19822,0
1,17,99,-1.04917,-1.19675,-3.41916,-3.35117,-1.19675,0
1,15,99,-0.223944,-0.878392,-3.41916,-3.35117,-0.878392,0
1,13,99,-0.666189,-0.611189,-3.41916,-3.35117,-0.611189,1
1,12,99,-1.53111,-0.439561,-3.41916,-3.35117,-1.53111,1
1,10,99,-1.30316,-2.0081,-3.41916,-3.35117,-2.0081,0
1,9,99,-1.29356,-1.72302,-3.41916,-3.35117,-1.72302,0
1,7,99,-1.23,-1.41795,-3.41916,-3.35117,-1.41795,0
1,4,99,-0.770696,-0.722942,-3.41916,-3.35117,-0.722942,1
1,3,99,-1.26433,-0.51268,-3.41916,-3.35117,-0.51268,1
1,2,99,-0.827651,-0.553938,-3.41916,-3.35117,-0.553938,1
1,1,99,-0.8775,-0.143841,-3.41916,-3.35117,-0.143841,1
1,20,98,-1.71018,-2.1546,-3.41916,-3.12829,-2.1546,0
1,19,98,-1.29083,-2.12676,-3.41916,-3.12829,-2.12676,0
1,18,98,-0.682496,-1.21902,-3.41916,-3.12829,-1.21902,0
1,17,98,-0.857662,-1.06381,-3.41916,-3.12829,-1.06381,0
1,15,98,-0.177533,-0.9161,-3.41916,-3.12829,-0.9161,0
1,13,98,-0.171454,-0.516987,-3.41916,-3.12829,-0.171454,0
1,12,98,-1.07157,-0.207788,-3.41916,-3.12829,-0.207788,1
1,9,98,-1.24806,-1.92813,-3.41916,-3.12829,-1.92813,0
1,7,98,-0.72004,-1.26669,-3.41916,-3.12829,-1.26669,0
1,4,98,-0.756453,-0.452236,-3.41916,-3.12829,-0.452236,1
1,3,98,-0.91109,-0.427708,-3.41916,-3.12829,-0.427708,1
1,2,98,-0.72633,-0.386785,-3.41916,-3.12829,-0.386785,1
1,1,98,-0.889051,-0.0646225,-3.41916,-3.12829,-0.0646225,1
1,20,97,-1.43486,-1.95595,-3.41916,-2.81209,-1.43486,0
1,19,97,-1.48363,-2.5699,-3.41916,-2.81209,-2.5699,0
1,18,97,-0.462524,-0.951516,-3.41916,-2.81209,-0.951516,0
1,17,97,-1.11577,-1.28332,-3.41916,-2.81209,-1.28332,0
1,15,97,-0.130126,-0.786719,-3.41916,-2.81209,-0.786719,0
1,13,97,0.0486363,-0.324979,-3.41916,-2.81209,-0.324979,0
1,12,97,-0.937264,-0.032681,-3.41916,-2.81209,-0.032681,1
1,7,97,-0.782143,-1.14939,-3.41916,-2.81209,-1.14939,0
1,4,97,-0.620999,-0.374742,-3.41916,-2.81209,-0.374742,1
1,3,97,-1.06223,-0.241739,-3.41916,-2.81209,-0.241739,1
1,2,97,-0.673033,-0.145247,-3.41916,-2.81209,-0.145247,1
1,20,96,-1.27905,-1.75404,-3.41916,-2.99602,-1.75404,0
1,19,96,-1.30088,-1.92998,-3.41916,-2.99602,-1.92998,0
1,18,96,-0.54084,-1.14519,-3.41916,-2.99602,-1.14519,0
1,17,96,-0.872474,-1.02933,-3.41916,-2.99602,-1.02933,0
1,15,96,-0.00836465,-0.71465,-3.41916,-2.99602,-0.71465,0
1,13,96,0.0427822,-0.604023,-3.41916,-2.99602,0.0427822,0
1,12,96,-0.815701,0.0480377,-3.41916,-2.99602,0.0480377,1
1,9,96,-0.800031,-1.66166,-3.41916,-2.99602,-1.66166,0
1,7,96,-0.807679,-1.28828,-3.41916,-2.99602,-1.28828,0
1,4,96,-0.310333,-0.327613,-3.41916,-2.99602,-0.327613,0
1,3,96,-0.803485,-0.258176,-3.41916,-2.99602,-0.258176,1
1,2,96,-0.621868,-0.29398,-3.41916,-2.99602,-0.29398,1
1,19,95,-1.16719,-1.76806,-3.41916,-2.85377,-1.76806,0
1,17,95,-1.01822,-1.19027,-3.41916,-2.85377,-1.19027,0
1,15,95,0.00159208,-0.618047,-3.41916,-2.85377,-0.618047,0
1,13,95,0.194514,-0.423707,-3.41916,-2.85377,-0.423707,0
1,7,95,-0.713917,-1.1408,-3.41916,-2.85377,-1.1408,0
1,4,95,-0.204158,-0.175844,-3.41916,-2.85377,-0.175844,1
1,2,95,-0.646914,-0.181105,-3.41916,-2.85377,-0.181105,1
1,1,95,-0.641919,0.148882,-3.41916,-2.85377,0.148882,1
1,19,94,-1.11178,-1.69775,-3.41916,-2.55553,-1.69775,0
1,17,94,-0.844597,-1.05585,-3.41916,-2.55553,-1.05585,0
1,15,94,0.0486872,-0.675466,-3.41916,-2.55553,-0.675466,0
1,13,94,0.249141,-0.347566,-3.41916,-2.55553,-0.347566,0
1,7,94,-0.645018,-0.965848,-3.41916,-2.55553,-0.965848,0
1,4,94,-0.147556,-0.223394,-3.41916,-2.55553,-0.223394,0
1,2,94,-0.447268,0.0909355,-3.41916,-2.55553,0.0909355,1
1,1,94,-0.331201,0.451841,-3.41916,-2.55553,0.451841,1
1,19,93,-1.23973,-1.55938,-3.41916,-2.51688,-1.55938,0
1,17,93,-0.772004,-0.980819,-3.41916,-2.51688,-0.772004,0
1,15,93,-0.0369662,-0.450764,-3.41916,-2.51688,-0.450764,0
1,13,93,0.197983,-0.260215,-3.41916,-2.51688,-0.260215,0
1,7,93,-0.288876,-0.603628,-3.41916,-2.51688,-0.603628,0
1,4,93,-0.208295,-0.27838,-3.41916,-2.51688,-0.27838,0
1,2,93,-0.356911,0.0612725,-3.41916,-2.51688,0.0612725,1
1,1,93,-0.196757,0.372519,-3.41916,-2.51688,0.372519,1
1,19,92,-1.14658,-1.4701,-6.43894,-2.39982,-1.4701,0
1,17,92,-0.703344,-0.820882,-6.43894,-2.39982,-0.820882,0
1,15,92,0.11678,-0.221105,-6.43894,-2.39982,-0.221105,0
1,13,92,0.280831,-0.585494,-6.43894,-2.39982,-0.585494,0
1,7,92,-0.0702809,-0.334256,-6.43894,-2.39982,-0.334256,0
1,4,92,0.0565765,0.00308398,-6.43894,-2.39982,0.00308398,0
1,2,92,-0.38438,0.057865,-6.43894,-2.39982,0.057865,1
1,1,92,-0.247285,0.340683,-6.43894,-2.39982,0.340683,1
1,19,91,-0.801975,-1.29401,-6.29331,-2.45927,-1.29401,0
1,17,91,-0.777426,-0.86331,-6.29331,-2.45927,-0.86331,0
1,15,91,0.126158,-0.198826,-6.29331,-2.45927,0.126158,0
1,13,91,0.314247,-0.740218,-6.29331,-2.45927,-0.740218,0
1,7,91,-0.158302,-0.492982,-6.29331,-2.45927,-0.492982,0
1,4,91,0.00216631,0.229563,-6.29331,-2.45927,0.229563,1
1,2,91,-0.469151,-0.192303,-6.29331,-2.45927,-0.192303,1
1,1,91,-0.384992,0.652369,-6.29331,-2.45927,0.652369,1
1,19,90,-1.0038,-1.49016,-6.05291,-2.36134,-1.49016,0
1,17,90,-0.704295,-0.85787,-6.05291,-2.36134,-0.85787,0
1,15,90,0.211565,-0.0900422,-6.05291,-2.36134,-0.0900422,0
1,13,90,0.477338,-0.633774,-6.05291,-2.36134,-0.633774,0
1,7,90,-0.135465,-0.576647,-6.05291,-2.36134,-0.576647,0
1,4,90,0.113484,0.260712,-6.05291,-2.36134,0.260712,1
1,2,90,-0.619195,0.349195,-6.05291,-2.36134,0.349195,1
1,1,90,-0.15873,0.449759,-6.05291,-2.36134,0.449759,1
1,19,89,-1.17364,-1.40782,-5.75042,-2.39784,-1.40782,0
1,17,89,-0.329027,-0.476702,-5.75042,-2.39784,-0.329027,0
