Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.19714,-0.592225,-3.41916,-3.35117,-0.592225,1
1,19,99,-1.26208,-0.829383,-3.41916,-3.35117,-0.829383,1
1,18,99,-1.31494,-0.744442,-3.41916,-3.35117,-0.744442,1
1,17,99,-1.34056,-1.04747,-3.41916,-3.35117,-1.04747,1
1,15,99,-1.16161,-0.678801,-3.41916,-3.35117,-0.678801,1
1,13,99,-1.41637,-1.51041,-3.41916,-3.35117,-1.51041,0
1,12,99,-1.27333,-1.12957,-3.41916,-3.35117,-1.27333,1
1,10,99,-1.49955,-0.413062,-3.41916,-3.35117,-1.49955,1
1,9,99,-0.469521,-0.777856,-3.41916,-3.35117,-0.777856,0
1,7,99,0.0250793,-1.0983,-3.41916,-3.35117,-1.0983,0
1,4,99,-0.73716,-1.06195,-3.41916,-3.35117,-1.06195,0
1,3,99,-0.50836,-0.726822,-3.41916,-3.35117,-0.726822,0
1,2,99,-0.454542,-1.1987,-3.41916,-3.35117,-1.1987,0
1,1,99,-0.620066,-0.842884,-3.41916,-3.35117,-0.842884,0
1,20,98,-1.72187,-0.593482,-3.41916,-3.12829,-0.593482,1
1,19,98,-1.00182,-0.585938,-3.41916,-3.12829,-0.585938,1
1,18,98,-1.46159,-0.729648,-3.41916,-3.12829,-0.729648,1
1,17,98,-1.18441,-0.975206,-3.41916,-3.12829,-0.975206,1
1,15,98,-1.52097,-1.1589,-3.41916,-3.12829,-1.1589,1
1,13,98,-1.15543,-1.46244,-3.41916,-3.12829,-1.15543,0
1,12,98,-1.37848,-1.39166,-3.41916,-3.12829,-1.39166,0
1,9,98,-0.315909,-1.11292,-3.41916,-3.12829,-1.11292,0
1,7,98,0.0155068,-1.04875,-3.41916,-3.12829,-1.04875,0
1,4,98,-0.426929,-0.812667,-3.41916,-3.12829,-0.812667,0
1,3,98,-0.482684,-0.677519,-3.41916,-3.12829,-0.677519,0
1,2,98,-0.124326,-0.897835,-3.41916,-3.12829,-0.897835,0
1,1,98,-0.13156,-0.761691,-3.41916,-3.12829,-0.761691,0
1,20,97,-1.15637,-0.423983,-3.41916,-2.81209,-1.15637,1
1,19,97,-1.15888,-1.07305,-3.41916,-2.81209,-1.07305,1
1,18,97,-1.27723,-0.473273,-3.41916,-2.81209,-0.473273,1
1,17,97,-1.37432,-1.2303,-3.41916,-2.81209,-1.2303,1
1,15,97,-1.01115,-0.406586,-3.41916,-2.81209,-0.406586,1
1,13,97,-1.15104,-1.41826,-3.41916,-2.81209,-1.41826,0
1,12,97,-1.3037,-1.33168,-3.41916,-2.81209,-1.33168,0
1,7,97,0.120071,-1.02004,-3.41916,-2.81209,-1.02004,0
1,4,97,-0.35186,-0.935286,-3.41916,-2.81209,-0.935286,0
1,3,97,-0.193207,-0.74205,-3.41916,-2.81209,-0.74205,0
1,2,97,-0.21768,-0.910089,-3.41916,-2.81209,-0.910089,0
1,20,96,-1.26883,-0.424726,-3.41916,-2.99602,-0.424726,1
1,19,96,-0.83958,-0.478451,-3.41916,-2.99602,-0.478451,1
1,18,96,-1.38613,-0.738625,-3.41916,-2.99602,-0.738625,1
1,17,96,-1.10181,-0.859198,-3.41916,-2.99602,-0.859198,1
1,15,96,-0.999945,-0.428085,-3.41916,-2.99602,-0.428085,1
1,13,96,-1.30003,-1.33471,-3.41916,-2.99602,-1.30003,0
1,12,96,-1.2395,-1.26457,-3.41916,-2.99602,-1.26457,0
1,9,96,-0.039428,-0.617916,-3.41916,-2.99602,-0.617916,0
1,7,96,0.283528,-0.825273,-3.41916,-2.99602,-0.825273,0
1,4,96,-0.388256,-0.762121,-3.41916,-2.99602,-0.762121,0
1,3,96,-0.199668,-0.549025,-3.41916,-2.99602,-0.549025,0
1,2,96,-0.0367212,-0.836809,-3.41916,-2.99602,-0.836809,0
1,19,95,-0.818744,-0.432911,-3.41916,-2.85377,-0.432911,1
1,17,95,-1.21931,-0.857023,-3.41916,-2.85377,-0.857023,1
1,15,95,-1.00363,-0.431852,-3.41916,-2.85377,-0.431852,1
1,13,95,-0.971806,-1.21283,-3.41916,-2.85377,-1.21283,0
1,7,95,0.230871,-0.781303,-3.41916,-2.85377,-0.781303,0
1,4,95,-0.282986,-0.666646,-3.41916,-2.85377,-0.666646,0
1,2,95,0.186348,-0.731836,-3.41916,-2.85377,-0.731836,0
1,1,95,0.150284,-0.550496,-3.41916,-2.85377,-0.550496,0
1,19,94,-0.624134,-0.179854,-3.41916,-2.55553,-0.179854,1
1,17,94,-0.882641,-0.478719,-3.41916,-2.55553,-0.478719,1
1,15,94,-0.802176,-0.291173,-3.41916,-2.55553,-0.291173,1
1,13,94,-1.01849,-0.959302,-3.41916,-2.55553,-0.959302,1
1,7,94,0.397108,-0.744933,-3.41916,-2.55553,-0.744933,0
1,4,94,-0.365952,-0.725558,-3.41916,-2.55553,-0.725558,0
1,2,94,-0.0839273,-0.813048,-3.41916,-2.55553,-0.813048,0
1,1,94,-0.232696,-0.488795,-3.41916,-2.55553,-0.488795,0
1,19,93,-0.894959,-0.447309,-3.41916,-2.51688,-0.447309,1
1,17,93,-0.913251,-0.555739,-3.41916,-2.51688,-0.555739,1
