Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.60169,-1.08614,-3.41916,-3.35117,-1.08614,1
1,19,99,-0.90451,-0.398059,-3.41916,-3.35117,-0.398059,1
1,18,99,-0.342132,-0.760717,-3.41916,-3.35117,-0.760717,0
1,17,99,-1.04555,-0.590612,-3.41916,-3.35117,-0.590612,1
1,15,99,-1.03099,-0.227577,-3.41916,-3.35117,-0.227577,1
1,13,99,-0.625497,-0.172043,-3.41916,-3.35117,-0.172043,1
1,12,99,-0.688311,-0.386734,-3.41916,-3.35117,-0.688311,1
1,10,99,-0.867917,-2.05241,-3.41916,-3.35117,-2.05241,0
1,9,99,-0.272903,-0.479944,-3.41916,-3.35117,-0.479944,0
1,7,99,-1.51978,-0.760679,-3.41916,-3.35117,-0.760679,1
1,4,99,-1.25118,-1.64051,-3.41916,-3.35117,-1.64051,0
1,3,99,-1.07425,-0.931034,-3.41916,-3.35117,-0.931034,1
1,2,99,-1.55016,-1.60002,-3.41916,-3.35117,-1.60002,0
1,1,99,-0.348589,-2.23848,-3.41916,-3.35117,-2.23848,0
1,20,98,-1.42941,-1.07953,-3.41916,-3.12829,-1.07953,1
1,19,98,-0.761184,-0.41391,-3.41916,-3.12829,-0.41391,1
1,18,98,-0.510197,-0.667922,-3.41916,-3.12829,-0.667922,0
1,17,98,-0.733486,-0.55701,-3.41916,-3.12829,-0.55701,1
1,15,98,-1.29674,-0.187121,-3.41916,-3.12829,-0.187121,1
1,13,98,-0.505771,-0.0346798,-3.41916,-3.12829,-0.505771,1
1,12,98,-0.428296,-0.325104,-3.41916,-3.12829,-0.325104,1
1,9,98,-0.245803,-0.268303,-3.41916,-3.12829,-0.268303,0
1,7,98,-1.33421,-0.497092,-3.41916,-3.12829,-0.497092,1
1,4,98,-1.09669,-1.40072,-3.41916,-3.12829,-1.40072,0
1,3,98,-1.55683,-0.780909,-3.41916,-3.12829,-0.780909,1
1,2,98,-1.51396,-1.36254,-3.41916,-3.12829,-1.36254,1
1,1,98,-0.235239,-2.14129,-3.41916,-3.12829,-2.14129,0
1,20,97,-1.3491,-0.884274,-3.41916,-2.81209,-1.3491,1
1,19,97,-0.671815,-0.450612,-3.41916,-2.81209,-0.450612,1
1,18,97,-0.437435,-0.734541,-3.41916,-2.81209,-0.734541,0
1,17,97,-0.906286,-0.559606,-3.41916,-2.81209,-0.559606,1
1,15,97,-0.95601,0.114699,-3.41916,-2.81209,0.114699,1
1,13,97,-0.385197,0.0648841,-3.41916,-2.81209,0.0648841,1
1,12,97,-0.212851,-0.22536,-3.41916,-2.81209,-0.22536,0
1,7,97,-1.15306,-0.242872,-3.41916,-2.81209,-0.242872,1
1,4,97,-0.831171,-1.08133,-3.41916,-2.81209,-1.08133,0
1,3,97,-1.32155,-0.161531,-3.41916,-2.81209,-0.161531,1
1,2,97,-1.20363,-0.94893,-3.41916,-2.81209,-0.94893,1
1,20,96,-1.28027,-0.787013,-3.41916,-2.99602,-0.787013,1
1,19,96,-0.582798,-0.146341,-3.41916,-2.99602,-0.146341,1
1,18,96,-0.838205,-0.846431,-3.41916,-2.99602,-0.846431,0
1,17,96,-0.78225,-0.4299,-3.41916,-2.99602,-0.4299,1
1,15,96,-0.649894,0.259167,-3.41916,-2.99602,0.259167,1
1,13,96,-0.580601,0.200148,-3.41916,-2.99602,-0.580601,1
1,12,96,0.263178,-0.0980607,-3.41916,-2.99602,-0.0980607,0
1,9,96,0.0146749,0.09814,-3.41916,-2.99602,0.09814,1
1,7,96,-0.952219,-0.0385867,-3.41916,-2.99602,-0.0385867,1
1,4,96,-0.663242,-0.971035,-3.41916,-2.99602,-0.971035,0
1,3,96,-0.910703,0.170416,-3.41916,-2.99602,0.170416,1
1,2,96,-1.00478,-0.897427,-3.41916,-2.99602,-0.897427,1
1,19,95,-0.543407,-0.0244851,-3.41916,-2.85377,-0.0244851,1
1,17,95,-0.90221,-0.430775,-3.41916,-2.85377,-0.430775,1
1,15,95,-0.75173,0.0780678,-3.41916,-2.85377,0.0780678,1
1,13,95,-0.290815,0.22889,-3.41916,-2.85377,0.22889,1
1,7,95,-0.837015,-0.0573858,-3.41916,-2.85377,-0.0573858,1
1,4,95,-0.492255,-0.923327,-3.41916,-2.85377,-0.923327,0
1,2,95,-0.759039,-0.848305,-3.41916,-2.85377,-0.848305,0
1,1,95,0.139293,-1.85943,-3.41916,-2.85377,-1.85943,0
1,19,94,-0.314806,0.108372,-3.41916,-2.55553,0.108372,1
1,17,94,-0.569042,-0.209283,-3.41916,-2.55553,-0.209283,1
1,15,94,-0.790213,0.369041,-3.41916,-2.55553,0.369041,1
1,13,94,-0.28374,0.290934,-3.41916,-2.55553,0.290934,1
1,7,94,-0.820072,0.134125,-3.41916,-2.55553,0.134125,1
1,4,94,-0.308047,-0.895345,-3.41916,-2.55553,-0.895345,0
1,2,94,-0.129702,-0.734793,-3.41916,-2.55553,-0.734793,0
1,1,94,0.620738,-1.78748,-3.41916,-2.55553,-1.78748,0
1,19,93,-0.337821,0.0681369,-3.41916,-2.51688,0.0681369,1
1,17,93,-0.410033,0.00416641,-3.41916,-2.51688,0.00416641,1
1,15,93,-0.777299,0.240019,-3.41916,-2.51688,0.240019,1
1,13,93,-0.362373,0.372757,-3.41916,-2.51688,0.372757,1
1,7,93,-0.610558,0.405193,-3.41916,-2.51688,0.405193,1
1,4,93,-0.17656,-0.790212,-3.41916,-2.51688,-0.790212,0
1,2,93,0.0648253,-0.564239,-3.41916,-2.51688,-0.564239,0
1,1,93,0.755366,-1.72398,-3.41916,-2.51688,-1.72398,0
1,19,92,-0.413069,0.11046,-6.43894,-2.39982,0.11046,1
1,17,92,-0.241713,0.127739,-6.43894,-2.39982,0.127739,1
1,15,92,-0.604795,0.321218,-6.43894,-2.39982,0.321218,1
1,13,92,-0.370711,0.407092,-6.43894,-2.39982,0.407092,1
1,7,92,-0.426592,0.505239,-6.43894,-2.39982,0.505239,1
1,4,92,0.42994,-0.369387,-6.43894,-2.39982,-0.369387,0
1,2,92,0.100207,-0.456912,-6.43894,-2.39982,-0.456912,0
1,1,92,0.706327,-1.55368,-6.43894,-2.39982,-1.55368,0
1,19,91,-0.241648,0.305438,-6.29331,-2.45927,0.305438,1
1,17,91,-0.42376,0.0519818,-6.29331,-2.45927,0.0519818,1
1,15,91,-0.4077,0.557004,-6.29331,-2.45927,-0.4077,1
1,13,91,-0.378584,0.373532,-6.29331,-2.45927,0.373532,1
1,7,91,-0.126857,0.688545,-6.29331,-2.45927,0.688545,1
1,4,91,-0.424431,-0.614635,-6.29331,-2.45927,-0.614635,0
1,2,91,-0.460766,-0.306714,-6.29331,-2.45927,-0.306714,1
1,1,91,0.25249,-1.35983,-6.29331,-2.45927,-1.35983,0
1,19,90,-0.324999,0.296479,-6.05291,-2.36134,0.296479,1
1,17,90,-0.517741,0.176034,-6.05291,-2.36134,0.176034,1
1,15,90,-0.165666,0.699088,-6.05291,-2.36134,0.699088,1
1,13,90,-0.153904,0.565603,-6.05291,-2.36134,0.565603,1
1,7,90,-0.0776095,0.780672,-6.05291,-2.36134,0.780672,1
1,4,90,-0.154926,-0.434798,-6.05291,-2.36134,-0.434798,0
1,2,90,-0.357813,-0.310976,-6.05291,-2.36134,-0.310976,1
1,1,90,0.401794,-1.18937,-6.05291,-2.36134,-1.18937,0
1,19,89,-0.831307,0.171618,-5.75042,-2.39784,0.171618,1
1,17,89,-0.168392,0.260743,-5.75042,-2.39784,-0.168392,1
1,15,89,-0.344384,0.588884,-5.75042,-2.39784,0.588884,1
1,13,89,0.0572047,0.579112,-5.75042,-2.39784,0.579112,1
1,7,89,0.00259375,0.76327,-5.75042,-2.39784,0.76327,1
1,4,89,0.193823,-0.263644,-5.75042,-2.39784,-0.263644,0
1,2,89,0.247467,0.0440192,-5.75042,-2.39784,0.0440192,0
1,1,89,0.954772,0.284555,-5.75042,-2.39784,0.284555,0
1,19,88,-0.148131,0.489965,-5.55605,-2.24038,-0.148131,1
1,17,88,-0.0700436,0.218088,-5.55605,-2.24038,0.218088,1
1,15,88,-0.300486,0.437756,-5.55605,-2.24038,0.437756,1
1,13,88,0.209061,0.623051,-5.55605,-2.24038,0.623051,1
1,7,88,0.221281,0.754508,-5.55605,-2.24038,0.754508,1
1,4,88,1.17199,0.269402,-5.55605,-2.24038,0.269402,0
1,2,88,0.905537,0.143272,-5.55605,-2.24038,0.143272,0
1,1,88,1.42515,-1.183,-5.55605,-2.24038,-1.183,0
1,19,87,0.108615,0.608002,-5.60239,-2.09737,0.608002,1
1,17,87,-0.638934,0.198885,-5.60239,-2.09737,0.198885,1
1,15,87,-0.00494196,0.602415,-5.60239,-2.09737,0.602415,1
1,13,87,0.122847,0.626816,-5.60239,-2.09737,0.626816,1
1,7,87,-0.514334,0.883937,-5.60239,-2.09737,0.883937,1
1,4,87,1.0963,0.380999,-5.60239,-2.09737,0.380999,0
1,2,87,1.12859,0.331155,-5.60239,-2.09737,0.331155,0
1,1,87,1.47842,-0.911869,-5.60239,-2.09737,-0.911869,0
1,19,86,0.200165,0.559535,-5.61978,-2.01828,0.559535,1
1,17,86,-0.00374043,0.441986,-5.61978,-2.01828,-0.00374043,1
1,15,86,-0.0477793,0.651017,-5.61978,-2.01828,0.651017,1
1,13,86,0.250019,0.573046,-5.61978,-2.01828,0.250019,1
1,7,86,-0.044713,0.928033,-5.61978,-2.01828,0.928033,1
1,4,86,1.32812,0.394724,-5.61978,-2.01828,0.394724,0
1,2,86,1.27004,0.376591,-5.61978,-2.01828,0.376591,0
1,1,86,1.59149,-0.827382,-5.61978,-2.01828,-0.827382,0
1,19,85,0.328161,0.0358269,-5.14185,-2.10808,0.0358269,0
1,17,85,-0.184942,0.0685875,-5.14185,-2.10808,0.0685875,1
1,15,85,-0.22904,-1.1333,-5.14185,-2.10808,-1.1333,0
1,13,85,0.380206,-0.489711,-5.14185,-2.10808,-0.489711,0
1,7,85,0.497948,0.771875,-5.14185,-2.10808,0.771875,1
1,4,85,1.12704,1.128,-5.14185,-2.10808,1.128,1
1,2,85,1.11441,1.41332,-5.14185,-2.10808,1.41332,1
1,1,85,1.15612,1.37583,-5.14185,-2.10808,1.37583,1
1,19,84,0.500704,-0.044296,-5.35927,-2.00544,-0.044296,0
1,17,84,-0.218049,0.123883,-5.35927,-2.00544,0.123883,1
1,15,84,0.339856,-0.513283,-5.35927,-2.00544,-0.513283,0
1,13,84,0.281536,-0.578376,-5.35927,-2.00544,-0.578376,0
1,7,84,0.759009,0.840926,-5.35927,-2.00544,0.840926,1
1,4,84,1.12564,1.12249,-5.35927,-2.00544,1.12249,0
1,2,84,1.09194,1.51791,-5.35927,-2.00544,1.51791,1
1,1,84,1.32093,1.1437,-5.35927,-2.00544,1.1437,0
1,19,83,0.783468,0.452148,-5.22327,-1.89942,0.783468,0
1,17,83,0.0553041,0.0872185,-5.22327,-1.89942,0.0872185,1
1,15,83,0.438606,-0.485574,-5.22327,-1.89942,-0.485574,0
1,13,83,-0.0213107,-0.835148,-5.22327,-1.89942,-0.835148,0
1,7,83,0.777838,1.00123,-5.22327,-1.89942,1.00123,1
1,4,83,0.955127,1.04432,-5.22327,-1.89942,1.04432,1
1,2,83,1.18338,1.5302,-5.22327,-1.89942,1.5302,1
1,1,83,1.21851,1.32223,-5.22327,-1.89942,1.32223,1
1,19,82,0.33941,0.027306,-5.04662,-1.89873,0.027306,0
1,17,82,0.170891,0.31559,-5.04662,-1.89873,0.170891,1
1,15,82,0.383718,-0.501837,-5.04662,-1.89873,-0.501837,0
1,13,82,0.172406,-0.538055,-5.04662,-1.89873,-0.538055,0
1,9,82,0.45217,0.400173,-5.04662,-1.89873,0.400173,0
1,7,82,0.856612,1.11052,-5.04662,-1.89873,1.11052,1
1,4,82,1.03535,1.25291,-5.04662,-1.89873,1.25291,1
1,2,82,1.33671,1.62727,-5.04662,-1.89873,1.62727,1
1,1,82,1.07993,1.32067,-5.04662,-1.89873,1.32067,1
1,19,81,0.046162,-0.242812,-4.70389,-1.77463,-0.242812,0
1,17,81,0.494332,0.45864,-4.70389,-1.77463,0.45864,0
1,15,81,0.590055,-0.247734,-4.70389,-1.77463,-0.247734,0
1,13,81,0.205712,-0.481498,-4.70389,-1.77463,-0.481498,0
1,7,81,0.790212,1.14792,-4.70389,-1.77463,1.14792,1
1,4,81,1.3107,1.24592,-4.70389,-1.77463,1.24592,0
1,2,81,1.53302,1.60921,-4.70389,-1.77463,1.60921,1
1,1,81,1.21154,1.38559,-4.70389,-1.77463,1.38559,1
1,19,80,0.524351,0.181165,-4.82344,-1.66435,0.181165,0
1,17,80,0.118835,0.267286,-4.82344,-1.66435,0.267286,1
1,15,80,0.592438,-0.214442,-4.82344,-1.66435,0.592438,0
1,13,80,0.235599,-0.443839,-4.82344,-1.66435,-0.443839,0
1,7,80,0.616954,1.05942,-4.82344,-1.66435,1.05942,1
1,4,80,1.44928,1.17758,-4.82344,-1.66435,1.17758,0
1,2,80,1.34447,1.50514,-4.82344,-1.66435,1.50514,1
1,1,80,1.5074,1.45064,-4.82344,-1.66435,1.45064,0
1,19,79,0.355293,0.21638,-4.30456,-1.7295,0.21638,0
1,17,79,-0.19015,0.209201,-4.30456,-1.7295,0.209201,1
1,15,79,0.928701,0.0724411,-4.30456,-1.7295,0.0724411,0
1,13,79,0.343925,-0.406912,-4.30456,-1.7295,-0.406912,0
1,9,79,0.247719,0.232654,-4.30456,-1.7295,0.232654,0
1,7,79,0.888468,1.18319,-4.30456,-1.7295,1.18319,1
1,4,79,1.29033,1.32131,-4.30456,-1.7295,1.32131,1
1,2,79,1.37328,1.55929,-4.30456,-1.7295,1.55929,1
1,1,79,1.51716,1.34476,-4.30456,-1.7295,1.34476,0
1,19,78,0.348788,0.232794,-4.65291,-1.66623,0.232794,0
1,17,78,0.311884,0.486518,-4.65291,-1.66623,0.486518,1
1,15,78,0.551501,-0.250566,-4.65291,-1.66623,-0.250566,0
1,13,78,0.381377,-0.479469,-4.65291,-1.66623,-0.479469,0
1,9,78,0.690297,0.705993,-4.65291,-1.66623,0.705993,1
1,7,78,0.916527,1.11432,-4.65291,-1.66623,1.11432,1
1,4,78,1.46403,1.38031,-4.65291,-1.66623,1.38031,0
1,2,78,1.55114,1.65101,-4.65291,-1.66623,1.65101,1
1,1,78,1.42826,1.46015,-4.65291,-1.66623,1.46015,1
1,19,77,0.268583,0.172021,-4.67517,-1.58996,0.172021,0
1,17,77,0.30268,0.314011,-4.67517,-1.58996,0.314011,1
1,15,77,0.136459,-0.542763,-4.67517,-1.58996,-0.542763,0
1,13,77,0.809382,-0.0476086,-4.67517,-1.58996,-0.0476086,0
1,9,77,0.760577,0.726244,-4.67517,-1.58996,0.726244,0
1,7,77,0.648753,1.17263,-4.67517,-1.58996,1.17263,1
1,4,77,1.407,1.27276,-4.67517,-1.58996,1.27276,0
1,2,77,1.31354,1.80659,-4.67517,-1.58996,1.80659,1
1,1,77,1.58233,1.63204,-4.67517,-1.58996,1.63204,1
1,19,76,0.642488,0.55146,-4.75214,-1.45125,0.55146,0
1,17,76,0.276332,0.157559,-4.75214,-1.45125,0.157559,0
1,15,76,0.717738,-0.0206733,-4.75214,-1.45125,-0.0206733,0
1,13,76,0.416652,-0.267028,-4.75214,-1.45125,-0.267028,0
1,9,76,0.725972,0.727238,-4.75214,-1.45125,0.727238,1
1,7,76,1.11354,1.17841,-4.75214,-1.45125,1.17841,1
1,4,76,1.22813,1.39819,-4.75214,-1.45125,1.39819,1
1,2,76,1.44527,1.78088,-4.75214,-1.45125,1.78088,1
1,1,76,1.51202,1.59618,-4.75214,-1.45125,1.59618,1
1,19,75,-0.455655,-0.0375504,-4.90201,-1.41384,-0.0375504,1
1,17,75,0.331437,0.341675,-4.90201,-1.41384,0.341675,1
1,15,75,0.800988,-0.0274831,-4.90201,-1.41384,-0.0274831,0
1,13,75,0.118987,-0.813877,-4.90201,-1.41384,-0.813877,0
1,9,75,0.877549,0.948326,-4.90201,-1.41384,0.948326,1
1,7,75,1.15451,1.23894,-4.90201,-1.41384,1.23894,1
1,4,75,1.37911,1.38809,-4.90201,-1.41384,1.38809,1
