Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-0.41598,-0.700625,-3.41916,-3.35117,-0.700625,0
1,19,99,-1.21383,0.0195147,-3.41916,-3.35117,0.0195147,1
1,18,99,-0.602744,0.20774,-3.41916,-3.35117,0.20774,1
1,17,99,-0.285478,-0.278216,-3.41916,-3.35117,-0.278216,1
1,15,99,-1.16354,-0.141439,-3.41916,-3.35117,-0.141439,1
1,13,99,-0.41038,-0.165549,-3.41916,-3.35117,-0.165549,1
1,12,99,-0.394822,0.0482474,-3.41916,-3.35117,-0.394822,1
1,10,99,0.133119,0.0497739,-3.41916,-3.35117,0.0497739,0
1,9,99,0.103953,-0.160484,-3.41916,-3.35117,-0.160484,0
1,7,99,-0.0496249,-0.84553,-3.41916,-3.35117,-0.84553,0
1,4,99,-0.0710164,-0.198466,-3.41916,-3.35117,-0.198466,0
1,3,99,0.0232288,-0.202968,-3.41916,-3.35117,-0.202968,0
1,2,99,0.36138,-0.112277,-3.41916,-3.35117,-0.112277,0
1,1,99,0.891672,-0.748066,-3.41916,-3.35117,-0.748066,0
1,20,98,-1.27713,-0.803449,-3.41916,-3.12829,-0.803449,1
1,19,98,-0.915002,-0.0464818,-3.41916,-3.12829,-0.0464818,1
1,18,98,-0.867542,0.168299,-3.41916,-3.12829,0.168299,1
1,17,98,-0.166901,-0.124522,-3.41916,-3.12829,-0.124522,1
1,15,98,-1.20036,-0.708531,-3.41916,-3.12829,-0.708531,1
1,13,98,-0.0528414,0.145832,-3.41916,-3.12829,-0.0528414,1
1,12,98,-0.377098,0.0194843,-3.41916,-3.12829,0.0194843,1
1,9,98,0.175395,0.118203,-3.41916,-3.12829,0.118203,0
1,7,98,0.0754896,-0.716119,-3.41916,-3.12829,-0.716119,0
1,4,98,0.0262005,-0.191835,-3.41916,-3.12829,-0.191835,0
1,3,98,0.205609,-0.134158,-3.41916,-3.12829,-0.134158,0
1,2,98,0.367993,-0.0318459,-3.41916,-3.12829,-0.0318459,0
1,1,98,0.820186,-0.699128,-3.41916,-3.12829,-0.699128,0
1,20,97,-0.158197,-0.616548,-3.41916,-2.81209,-0.158197,0
1,19,97,-0.884718,-0.335124,-3.41916,-2.81209,-0.335124,1
1,18,97,-0.424771,0.17126,-3.41916,-2.81209,0.17126,1
1,17,97,-0.412383,-0.575505,-3.41916,-2.81209,-0.575505,0
1,15,97,-0.877326,0.0760916,-3.41916,-2.81209,0.0760916,1
1,13,97,0.0311402,-0.0283431,-3.41916,-2.81209,-0.0283431,0
1,12,97,-0.133116,0.111803,-3.41916,-2.81209,0.111803,1
1,7,97,0.168575,-0.606646,-3.41916,-2.81209,-0.606646,0
1,4,97,0.118347,-0.163875,-3.41916,-2.81209,-0.163875,0
1,3,97,0.257656,-0.132084,-3.41916,-2.81209,-0.132084,0
1,2,97,0.586796,-0.0538535,-3.41916,-2.81209,-0.0538535,0
1,20,96,0.00671224,-0.646652,-3.41916,-2.99602,-0.646652,0
1,19,96,-0.523587,0.0456284,-3.41916,-2.99602,0.0456284,1
1,18,96,-0.334407,0.253742,-3.41916,-2.99602,0.253742,1
1,17,96,0.149092,-0.148328,-3.41916,-2.99602,-0.148328,0
1,15,96,-0.45296,0.103814,-3.41916,-2.99602,0.103814,1
1,13,96,-0.0290376,0.106853,-3.41916,-2.99602,-0.0290376,1
1,12,96,-0.129321,0.171585,-3.41916,-2.99602,0.171585,1
1,9,96,0.263439,0.0218581,-3.41916,-2.99602,0.0218581,0
1,7,96,0.269863,-0.372555,-3.41916,-2.99602,-0.372555,0
1,4,96,0.190772,-0.164745,-3.41916,-2.99602,-0.164745,0
1,3,96,0.39536,-0.0769984,-3.41916,-2.99602,-0.0769984,0
1,2,96,0.688468,0.00366454,-3.41916,-2.99602,0.00366454,0
1,19,95,-0.693994,0.186505,-3.41916,-2.85377,0.186505,1
1,17,95,0.0401881,-0.211468,-3.41916,-2.85377,-0.211468,0
1,15,95,-0.5192,0.0483387,-3.41916,-2.85377,0.0483387,1
1,13,95,0.175993,0.236648,-3.41916,-2.85377,0.236648,1
1,7,95,0.360788,-0.591851,-3.41916,-2.85377,-0.591851,0
1,4,95,0.210769,0.0499031,-3.41916,-2.85377,0.0499031,0
1,2,95,0.836196,0.0982514,-3.41916,-2.85377,0.0982514,0
1,1,95,1.2191,-0.493281,-3.41916,-2.85377,-0.493281,0
1,19,94,-0.313722,0.38257,-3.41916,-2.55553,0.38257,1
1,17,94,0.272848,0.174426,-3.41916,-2.55553,0.174426,0
1,15,94,-0.24404,0.278143,-3.41916,-2.55553,0.278143,1
1,13,94,0.180636,0.283068,-3.41916,-2.55553,0.283068,1
1,7,94,0.354526,-0.398496,-3.41916,-2.55553,-0.398496,0
1,4,94,0.31921,0.119102,-3.41916,-2.55553,0.119102,0
1,2,94,0.970996,0.177698,-3.41916,-2.55553,0.177698,0
1,1,94,1.26991,-0.376121,-3.41916,-2.55553,-0.376121,0
1,19,93,-0.0110017,0.518564,-3.41916,-2.51688,0.518564,1
1,17,93,0.228374,0.0706456,-3.41916,-2.51688,0.0706456,0
1,15,93,-0.441207,0.32431,-3.41916,-2.51688,0.32431,1
1,13,93,0.157841,0.23173,-3.41916,-2.51688,0.23173,1
1,7,93,0.369981,-0.347406,-3.41916,-2.51688,-0.347406,0
1,4,93,0.720931,0.232025,-3.41916,-2.51688,0.232025,0
1,2,93,0.935356,0.225126,-3.41916,-2.51688,0.225126,0
1,1,93,1.22156,-0.262469,-3.41916,-2.51688,-0.262469,0
1,19,92,-0.0735163,0.449496,-6.43894,-2.39982,0.449496,1
1,17,92,0.410597,0.346185,-6.43894,-2.39982,0.346185,0
1,15,92,0.169419,0.500728,-6.43894,-2.39982,0.500728,1
1,13,92,0.266553,0.388153,-6.43894,-2.39982,0.388153,1
1,7,92,0.548013,-0.166771,-6.43894,-2.39982,-0.166771,0
1,4,92,1.1055,0.248933,-6.43894,-2.39982,0.248933,0
1,2,92,0.97997,0.335763,-6.43894,-2.39982,0.335763,0
1,1,92,1.58025,-0.251482,-6.43894,-2.39982,-0.251482,0
1,19,91,0.22935,0.654411,-6.29331,-2.45927,0.654411,1
1,17,91,0.515311,0.433977,-6.29331,-2.45927,0.433977,0
1,15,91,0.230031,0.665582,-6.29331,-2.45927,0.230031,1
1,13,91,0.429976,0.414901,-6.29331,-2.45927,0.414901,0
1,7,91,0.563845,-0.109934,-6.29331,-2.45927,-0.109934,0
1,4,91,0.51272,0.272466,-6.29331,-2.45927,0.272466,0
1,2,91,1.07212,1.32912,-6.29331,-2.45927,1.32912,1
1,1,91,1.64695,-0.196186,-6.29331,-2.45927,-0.196186,0
1,19,90,0.17705,0.583853,-6.05291,-2.36134,0.583853,1
1,17,90,0.513454,0.435679,-6.05291,-2.36134,0.435679,0
1,15,90,0.142372,0.783133,-6.05291,-2.36134,0.783133,1
1,13,90,0.523251,0.577827,-6.05291,-2.36134,0.577827,1
1,7,90,0.638433,0.422271,-6.05291,-2.36134,0.422271,0
1,4,90,0.561276,0.276697,-6.05291,-2.36134,0.276697,0
1,2,90,1.42961,0.50521,-6.05291,-2.36134,0.50521,0
1,1,90,1.82336,-0.151446,-6.05291,-2.36134,-0.151446,0
1,19,89,0.0222192,0.488141,-5.75042,-2.39784,0.488141,1
1,17,89,0.622569,0.664428,-5.75042,-2.39784,0.622569,1
1,15,89,0.460444,0.808653,-5.75042,-2.39784,0.808653,1
1,13,89,0.48034,0.524621,-5.75042,-2.39784,0.524621,1
1,7,89,0.796,0.199385,-5.75042,-2.39784,0.199385,0
1,4,89,0.934272,0.446042,-5.75042,-2.39784,0.446042,0
1,2,89,1.38104,0.48591,-5.75042,-2.39784,0.48591,0
1,1,89,1.58337,1.43428,-5.75042,-2.39784,1.43428,0
1,19,88,0.515556,0.770313,-5.55605,-2.24038,0.515556,1
1,17,88,0.991969,0.496994,-5.55605,-2.24038,0.496994,0
1,15,88,0.242945,0.809543,-5.55605,-2.24038,0.809543,1
1,13,88,0.689919,0.738841,-5.55605,-2.24038,0.738841,1
1,7,88,0.854507,0.288266,-5.55605,-2.24038,0.288266,0
1,4,88,1.23091,0.586142,-5.55605,-2.24038,0.586142,0
1,2,88,1.41841,0.56085,-5.55605,-2.24038,0.56085,0
1,1,88,1.63833,-0.0321944,-5.55605,-2.24038,-0.0321944,0
1,19,87,0.752576,0.807584,-5.60239,-2.09737,0.807584,1
1,17,87,0.897383,0.399266,-5.60239,-2.09737,0.399266,0
1,15,87,0.646382,0.964441,-5.60239,-2.09737,0.964441,1
1,13,87,0.945566,0.728658,-5.60239,-2.09737,0.728658,0
1,7,87,0.853255,0.139914,-5.60239,-2.09737,0.139914,0
1,4,87,1.50374,0.558982,-5.60239,-2.09737,0.558982,0
1,2,87,1.42647,0.601274,-5.60239,-2.09737,0.601274,0
1,1,87,1.69071,0.0372881,-5.60239,-2.09737,0.0372881,0
1,19,86,0.821465,0.897207,-5.61978,-2.01828,0.897207,1
1,17,86,1.17381,0.700851,-5.61978,-2.01828,1.17381,0
1,15,86,0.583405,0.931656,-5.61978,-2.01828,0.931656,1
1,13,86,0.93472,0.751826,-5.61978,-2.01828,0.93472,0
1,7,86,0.950053,0.363722,-5.61978,-2.01828,0.363722,0
1,4,86,1.66656,0.654318,-5.61978,-2.01828,0.654318,0
1,2,86,1.51768,0.582174,-5.61978,-2.01828,0.582174,0
1,1,86,1.73557,0.822078,-5.61978,-2.01828,0.822078,0
1,19,85,0.519139,0.42593,-5.14185,-2.10808,0.42593,0
1,17,85,0.32184,0.460382,-5.14185,-2.10808,0.460382,1
1,15,85,0.415786,0.21086,-5.14185,-2.10808,0.21086,0
1,13,85,0.3295,0.525342,-5.14185,-2.10808,0.525342,1
1,7,85,1.21669,0.971225,-5.14185,-2.10808,0.971225,0
1,4,85,1.5325,1.09291,-5.14185,-2.10808,1.09291,0
1,2,85,1.52919,1.30262,-5.14185,-2.10808,1.30262,0
1,1,85,1.12651,1.81918,-5.14185,-2.10808,1.81918,1
1,19,84,0.585334,0.409612,-5.35927,-2.00544,0.409612,0
1,17,84,0.318537,0.455566,-5.35927,-2.00544,0.455566,1
1,15,84,0.855471,0.554582,-5.35927,-2.00544,0.554582,0
1,13,84,0.394883,0.474567,-5.35927,-2.00544,0.474567,1
1,7,84,1.33728,0.943781,-5.35927,-2.00544,0.943781,0
1,4,84,1.46996,1.35558,-5.35927,-2.00544,1.35558,0
1,2,84,1.65498,1.39179,-5.35927,-2.00544,1.39179,0
1,1,84,1.35721,1.80418,-5.35927,-2.00544,1.80418,1
1,19,83,0.851277,0.733385,-5.22327,-1.89942,0.851277,0
1,17,83,0.377383,0.547944,-5.22327,-1.89942,0.547944,1
1,15,83,0.921663,0.57286,-5.22327,-1.89942,0.57286,0
1,13,83,0.358318,0.486891,-5.22327,-1.89942,0.486891,1
1,7,83,1.41029,1.07456,-5.22327,-1.89942,1.07456,0
1,4,83,1.48535,1.17808,-5.22327,-1.89942,1.17808,0
1,2,83,1.71102,1.46078,-5.22327,-1.89942,1.46078,0
1,1,83,1.48235,1.86075,-5.22327,-1.89942,1.86075,1
1,19,82,0.596182,0.438516,-5.04662,-1.89873,0.438516,0
1,17,82,0.43934,0.578913,-5.04662,-1.89873,0.43934,1
1,15,82,0.821735,0.572201,-5.04662,-1.89873,0.572201,0
1,13,82,0.641565,0.708679,-5.04662,-1.89873,0.708679,1
1,9,82,1.21698,1.67327,-5.04662,-1.89873,1.67327,1
1,7,82,1.42648,1.21084,-5.04662,-1.89873,1.21084,0
1,4,82,1.7366,1.21935,-5.04662,-1.89873,1.21935,0
1,2,82,1.73448,1.3479,-5.04662,-1.89873,1.3479,0
1,1,82,1.52129,1.89932,-5.04662,-1.89873,1.89932,1
1,19,81,0.568862,0.381466,-4.70389,-1.77463,0.381466,0
1,17,81,0.713505,0.739424,-4.70389,-1.77463,0.739424,1
1,15,81,0.99162,0.724456,-4.70389,-1.77463,0.724456,0
1,13,81,0.70368,0.740779,-4.70389,-1.77463,0.740779,1
1,7,81,1.5792,1.25194,-4.70389,-1.77463,1.25194,0
1,4,81,1.77718,1.21836,-4.70389,-1.77463,1.21836,0
1,2,81,1.79074,1.50666,-4.70389,-1.77463,1.50666,0
1,1,81,1.49258,1.86094,-4.70389,-1.77463,1.86094,1
1,19,80,0.906366,0.640904,-4.82344,-1.66435,0.640904,0
1,17,80,0.417154,0.567302,-4.82344,-1.66435,0.567302,1
1,15,80,0.965504,0.691074,-4.82344,-1.66435,0.691074,0
1,13,80,0.65839,0.805522,-4.82344,-1.66435,0.805522,1
1,7,80,1.44612,1.24558,-4.82344,-1.66435,1.24558,0
1,4,80,1.88521,1.60304,-4.82344,-1.66435,1.60304,0
1,2,80,1.90184,1.58307,-4.82344,-1.66435,1.58307,0
1,1,80,1.55444,1.86536,-4.82344,-1.66435,1.86536,1
1,19,79,0.992968,0.75751,-4.30456,-1.7295,0.75751,0
1,17,79,0.449159,0.640962,-4.30456,-1.7295,0.640962,1
1,15,79,1.23016,0.757679,-4.30456,-1.7295,0.757679,0
1,13,79,0.757943,0.875344,-4.30456,-1.7295,0.875344,1
1,9,79,1.36827,1.76753,-4.30456,-1.7295,1.76753,1
1,7,79,1.66957,1.38635,-4.30456,-1.7295,1.38635,0
1,4,79,1.91699,1.4626,-4.30456,-1.7295,1.4626,0
1,2,79,1.88763,1.70902,-4.30456,-1.7295,1.70902,0
1,1,79,1.67777,2.06984,-4.30456,-1.7295,2.06984,1
1,19,78,0.971464,0.764353,-4.65291,-1.66623,0.764353,0
1,17,78,0.737429,0.864183,-4.65291,-1.66623,0.864183,1
1,15,78,1.04921,0.643403,-4.65291,-1.66623,0.643403,0
1,13,78,0.759364,0.890748,-4.65291,-1.66623,0.890748,1
1,9,78,1.51861,1.74843,-4.65291,-1.66623,1.74843,1
1,7,78,1.61801,1.41788,-4.65291,-1.66623,1.41788,0
1,4,78,1.93318,1.514,-4.65291,-1.66623,1.514,0
1,2,78,1.93309,1.80807,-4.65291,-1.66623,1.80807,0
1,1,78,1.77938,2.08623,-4.65291,-1.66623,2.08623,1
1,19,77,0.988011,0.756212,-4.67517,-1.58996,0.756212,0
1,17,77,0.834994,0.88979,-4.67517,-1.58996,0.88979,1
1,15,77,1.03921,0.611463,-4.67517,-1.58996,0.611463,0
1,13,77,0.852164,0.929,-4.67517,-1.58996,0.929,1
1,9,77,1.69463,1.90834,-4.67517,-1.58996,1.90834,1
1,7,77,1.74529,1.19537,-4.67517,-1.58996,1.19537,0
1,4,77,1.83758,1.41813,-4.67517,-1.58996,1.41813,0
1,2,77,2.0403,1.96248,-4.67517,-1.58996,1.96248,0
1,1,77,1.82912,2.32016,-4.67517,-1.58996,2.32016,1
1,19,76,1.08577,0.959879,-4.75214,-1.45125,0.959879,0
1,17,76,0.870609,1.09735,-4.75214,-1.45125,1.09735,1
1,15,76,1.20126,0.761166,-4.75214,-1.45125,0.761166,0
1,13,76,0.777742,0.813588,-4.75214,-1.45125,0.813588,1
1,9,76,1.72466,1.91093,-4.75214,-1.45125,1.91093,1
1,7,76,1.50776,1.61207,-4.75214,-1.45125,1.61207,1
1,4,76,2.14432,1.71678,-4.75214,-1.45125,1.71678,0
1,2,76,2.22696,2.08044,-4.75214,-1.45125,2.08044,0
1,1,76,1.85382,2.23957,-4.75214,-1.45125,2.23957,1
1,19,75,0.658113,0.746636,-4.90201,-1.41384,0.746636,1
1,17,75,0.887981,1.13023,-4.90201,-1.41384,1.13023,1
1,15,75,1.35117,0.939717,-4.90201,-1.41384,0.939717,0
1,13,75,0.666309,1.01169,-4.90201,-1.41384,1.01169,1
1,9,75,1.73371,1.89027,-4.90201,-1.41384,1.89027,1
1,7,75,1.7484,1.59042,-4.90201,-1.41384,1.59042,0
1,4,75,2.14462,1.8558,-4.90201,-1.41384,1.8558,0
1,2,75,2.27491,2.09946,-4.90201,-1.41384,2.09946,0
1,1,75,1.9512,2.5081,-4.90201,-1.41384,2.5081,1
1,19,74,0.857667,0.942755,-4.86797,-1.45906,0.942755,1
1,17,74,0.952898,1.11269,-4.86797,-1.45906,0.952898,1
1,15,74,1.34422,0.911521,-4.86797,-1.45906,0.911521,0
1,13,74,0.948258,1.13932,-4.86797,-1.45906,1.13932,1
1,9,74,1.81406,2.10303,-4.86797,-1.45906,2.10303,1
1,7,74,1.89827,1.65884,-4.86797,-1.45906,1.65884,0
1,4,74,2.30994,1.91025,-4.86797,-1.45906,1.91025,0
1,2,74,2.32571,2.15836,-4.86797,-1.45906,2.15836,0
1,1,74,1.96297,2.5128,-4.86797,-1.45906,2.5128,1
1,19,73,0.7479,0.940496,-4.58061,-1.30758,0.940496,1
1,17,73,0.617965,0.96705,-4.58061,-1.30758,0.96705,1
1,15,73,1.30006,0.943674,-4.58061,-1.30758,0.943674,0
1,13,73,1.00863,1.276,-4.58061,-1.30758,1.276,1
1,9,73,1.95086,2.10842,-4.58061,-1.30758,2.10842,1
1,7,73,1.89105,1.85971,-4.58061,-1.30758,1.85971,0
1,4,73,2.2051,2.01851,-4.58061,-1.30758,2.01851,0
1,2,73,2.36326,2.1149,-4.58061,-1.30758,2.1149,0
1,1,73,2.15763,2.51134,-4.58061,-1.30758,2.51134,1
1,19,72,0.799224,0.992569,-4.69937,-1.21867,0.992569,1
1,17,72,1.04191,1.54393,-4.69937,-1.21867,1.54393,1
1,15,72,1.47552,1.04985,-4.69937,-1.21867,1.04985,0
1,13,72,0.961488,1.24317,-4.69937,-1.21867,1.24317,1
1,9,72,1.83743,1.97566,-4.69937,-1.21867,1.97566,1
1,7,72,2.05918,1.83262,-4.69937,-1.21867,1.83262,0
1,4,72,2.34285,2.04978,-4.69937,-1.21867,2.04978,0
1,2,72,2.42832,2.10175,-4.69937,-1.21867,2.10175,0
1,1,72,2.22116,2.59162,-4.69937,-1.21867,2.59162,1
1,19,71,0.812281,0.877827,-4.4203,-1.13959,0.877827,1
1,17,71,0.970846,1.34136,-4.4203,-1.13959,0.970846,1
1,15,71,1.33402,1.03883,-4.4203,-1.13959,1.03883,0
1,13,71,1.07355,1.38577,-4.4203,-1.13959,1.38577,1
