Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-0.865416,-1.32795,-3.41916,-3.35117,-1.32795,0
1,19,99,-0.5037,-0.0597437,-3.41916,-3.35117,-0.0597437,1
1,18,99,-0.614541,-0.469108,-3.41916,-3.35117,-0.469108,1
1,17,99,-1.13175,-0.818214,-3.41916,-3.35117,-0.818214,1
1,15,99,-0.680436,-0.764132,-3.41916,-3.35117,-0.764132,0
1,13,99,-0.499064,-1.28642,-3.41916,-3.35117,-1.28642,0
1,12,99,-0.688444,-0.573104,-3.41916,-3.35117,-0.688444,1
1,10,99,0.469252,-0.345523,-3.41916,-3.35117,-0.345523,0
1,9,99,-0.243821,-0.1331,-3.41916,-3.35117,-0.1331,1
1,7,99,-0.712157,0.380218,-3.41916,-3.35117,0.380218,1
1,4,99,0.406404,-0.00184622,-3.41916,-3.35117,-0.00184622,0
1,3,99,0.54321,-0.135817,-3.41916,-3.35117,-0.135817,0
1,2,99,0.407307,0.186079,-3.41916,-3.35117,0.186079,0
1,1,99,0.100732,-0.167053,-3.41916,-3.35117,-0.167053,0
1,20,98,-0.900902,-1.38621,-3.41916,-3.12829,-1.38621,0
1,19,98,-0.421888,-0.0238037,-3.41916,-3.12829,-0.0238037,1
1,18,98,-0.720018,-0.482374,-3.41916,-3.12829,-0.482374,1
1,17,98,-0.976534,-0.617147,-3.41916,-3.12829,-0.617147,1
1,15,98,-0.827712,-0.953494,-3.41916,-3.12829,-0.953494,0
1,13,98,-0.410035,-1.16329,-3.41916,-3.12829,-0.410035,0
1,12,98,-0.588818,-0.527382,-3.41916,-3.12829,-0.527382,1
1,9,98,-0.146662,-0.176328,-3.41916,-3.12829,-0.176328,0
1,7,98,-0.655273,0.690922,-3.41916,-3.12829,0.690922,1
1,4,98,0.347843,0.0759173,-3.41916,-3.12829,0.0759173,0
1,3,98,0.49876,-0.0510026,-3.41916,-3.12829,-0.0510026,0
1,2,98,0.633585,0.321336,-3.41916,-3.12829,0.321336,0
1,1,98,0.698892,-0.0933887,-3.41916,-3.12829,-0.0933887,0
1,20,97,-0.564441,-1.25955,-3.41916,-2.81209,-0.564441,0
1,19,97,-0.555515,-0.255482,-3.41916,-2.81209,-0.255482,1
1,18,97,-0.568519,-0.429221,-3.41916,-2.81209,-0.429221,1
1,17,97,-1.03851,-0.785955,-3.41916,-2.81209,-0.785955,1
1,15,97,-0.362595,-0.22907,-3.41916,-2.81209,-0.22907,1
1,13,97,-0.248422,-1.05486,-3.41916,-2.81209,-1.05486,0
1,12,97,-0.538883,-0.481975,-3.41916,-2.81209,-0.481975,1
1,7,97,-0.607822,0.786255,-3.41916,-2.81209,0.786255,1
1,4,97,0.402369,0.0120645,-3.41916,-2.81209,0.0120645,0
1,3,97,0.531368,-0.0442469,-3.41916,-2.81209,-0.0442469,0
1,2,97,0.406601,0.0247458,-3.41916,-2.81209,0.0247458,0
1,20,96,-0.391528,-1.07153,-3.41916,-2.99602,-1.07153,0
1,19,96,-0.632256,0.0586527,-3.41916,-2.99602,0.0586527,1
1,18,96,-0.882666,-0.343344,-3.41916,-2.99602,-0.343344,1
1,17,96,-0.907426,-0.574663,-3.41916,-2.99602,-0.574663,1
1,15,96,-0.278732,-0.120481,-3.41916,-2.99602,-0.120481,1
1,13,96,-0.415363,-1.13907,-3.41916,-2.99602,-0.415363,0
1,12,96,-0.338309,-0.326646,-3.41916,-2.99602,-0.326646,1
1,9,96,-0.0331685,-0.0454863,-3.41916,-2.99602,-0.0454863,0
1,7,96,-0.55475,0.851865,-3.41916,-2.99602,0.851865,1
1,4,96,0.509279,0.247674,-3.41916,-2.99602,0.247674,0
1,3,96,0.46289,0.072925,-3.41916,-2.99602,0.072925,0
1,2,96,0.380466,0.224712,-3.41916,-2.99602,0.224712,0
1,19,95,-0.123139,0.177047,-3.41916,-2.85377,0.177047,1
1,17,95,-1.00299,-0.532639,-3.41916,-2.85377,-0.532639,1
1,15,95,-0.428774,-0.103268,-3.41916,-2.85377,-0.103268,1
1,13,95,-0.0286306,-0.914703,-3.41916,-2.85377,-0.914703,0
1,7,95,-0.515969,0.822415,-3.41916,-2.85377,0.822415,1
1,4,95,0.645262,0.17297,-3.41916,-2.85377,0.17297,0
1,2,95,0.559483,0.259952,-3.41916,-2.85377,0.259952,0
1,1,95,0.295883,0.0720222,-3.41916,-2.85377,0.0720222,0
