Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-0.927202,-0.630029,-3.41916,-3.35117,-0.630029,1
1,19,99,-1.33779,-0.0450758,-3.41916,-3.35117,-0.0450758,1
1,18,99,-0.572728,0.289259,-3.41916,-3.35117,0.289259,1
1,17,99,-0.786096,-0.595037,-3.41916,-3.35117,-0.595037,1
1,15,99,-0.560888,-0.138904,-3.41916,-3.35117,-0.138904,1
1,13,99,-0.935502,-0.770269,-3.41916,-3.35117,-0.770269,1
1,12,99,-0.45427,-1.06201,-3.41916,-3.35117,-0.45427,0
1,10,99,-0.550908,-0.0194048,-3.41916,-3.35117,-0.0194048,1
1,9,99,-0.418232,0.319636,-3.41916,-3.35117,0.319636,1
1,7,99,-0.421678,-0.330748,-3.41916,-3.35117,-0.330748,1
1,4,99,-0.0697169,-0.334001,-3.41916,-3.35117,-0.334001,0
1,3,99,0.0802783,-0.49676,-3.41916,-3.35117,-0.49676,0
1,2,99,0.256788,-0.384801,-3.41916,-3.35117,-0.384801,0
1,1,99,0.464978,-0.344672,-3.41916,-3.35117,-0.344672,0
1,20,98,-1.36706,-0.731509,-3.41916,-3.12829,-0.731509,1
1,19,98,-0.958686,-0.203254,-3.41916,-3.12829,-0.203254,1
1,18,98,-0.72366,0.100589,-3.41916,-3.12829,0.100589,1
1,17,98,-0.613178,-0.657549,-3.41916,-3.12829,-0.657549,0
1,15,98,-0.677822,-0.605588,-3.41916,-3.12829,-0.605588,1
1,13,98,-0.819975,-0.691421,-3.41916,-3.12829,-0.819975,1
1,12,98,-0.312831,-1.08019,-3.41916,-3.12829,-1.08019,0
1,9,98,-0.415726,0.261563,-3.41916,-3.12829,0.261563,1
1,7,98,-0.376447,-0.282977,-3.41916,-3.12829,-0.282977,1
1,4,98,0.1242,-0.194021,-3.41916,-3.12829,-0.194021,0
1,3,98,0.0048249,-0.365249,-3.41916,-3.12829,-0.365249,0
1,2,98,0.396226,-0.240951,-3.41916,-3.12829,-0.240951,0
1,1,98,0.910122,-0.290956,-3.41916,-3.12829,-0.290956,0
1,20,97,-0.95055,-0.592172,-3.41916,-2.81209,-0.95055,1
1,19,97,-1.0525,-0.26531,-3.41916,-2.81209,-0.26531,1
1,18,97,-0.611452,0.374885,-3.41916,-2.81209,0.374885,1
1,17,97,-0.910805,-0.899469,-3.41916,-2.81209,-0.899469,1
1,15,97,-0.318462,0.111808,-3.41916,-2.81209,0.111808,1
1,13,97,-0.518838,-0.538875,-3.41916,-2.81209,-0.538875,0
1,12,97,-0.213707,-1.0258,-3.41916,-2.81209,-1.0258,0
1,7,97,-0.372929,-0.255757,-3.41916,-2.81209,-0.255757,1
1,4,97,0.236968,-0.281757,-3.41916,-2.81209,-0.281757,0
1,3,97,0.287365,-0.514387,-3.41916,-2.81209,-0.514387,0
1,2,97,0.361463,-0.0690075,-3.41916,-2.81209,-0.0690075,0
1,20,96,-0.70936,-0.442536,-3.41916,-2.99602,-0.442536,1
1,19,96,-1.00055,-0.208828,-3.41916,-2.99602,-0.208828,1
1,18,96,-0.841884,0.308096,-3.41916,-2.99602,0.308096,1
1,17,96,-0.8157,-0.540007,-3.41916,-2.99602,-0.540007,1
1,15,96,-0.191733,0.155434,-3.41916,-2.99602,0.155434,1
1,13,96,-0.590658,-0.518658,-3.41916,-2.99602,-0.590658,1
1,12,96,-0.0758987,-0.640898,-3.41916,-2.99602,-0.640898,0
1,9,96,-0.33003,0.302967,-3.41916,-2.99602,0.302967,1
1,7,96,-0.308539,-0.246805,-3.41916,-2.99602,-0.246805,1
1,4,96,0.177727,-0.137069,-3.41916,-2.99602,-0.137069,0
1,3,96,0.329194,-0.310613,-3.41916,-2.99602,-0.310613,0
1,2,96,0.603841,-0.124117,-3.41916,-2.99602,-0.124117,0
1,19,95,-0.7623,0.136886,-3.41916,-2.85377,0.136886,1
1,17,95,-0.926176,-0.59003,-3.41916,-2.85377,-0.59003,1
1,15,95,-0.357962,-0.01981,-3.41916,-2.85377,-0.01981,1
1,13,95,-0.315342,-0.397503,-3.41916,-2.85377,-0.397503,0
1,7,95,-0.344895,-0.24675,-3.41916,-2.85377,-0.24675,1
1,4,95,0.25748,-0.172855,-3.41916,-2.85377,-0.172855,0
1,2,95,0.582754,-0.0914928,-3.41916,-2.85377,-0.0914928,0
1,1,95,1.01539,-0.205377,-3.41916,-2.85377,-0.205377,0
1,19,94,-0.898889,0.277612,-3.41916,-2.55553,0.277612,1
1,17,94,-0.911738,-0.380854,-3.41916,-2.55553,-0.380854,1
1,15,94,-0.160804,0.278511,-3.41916,-2.55553,0.278511,1
1,13,94,-0.317003,-0.508451,-3.41916,-2.55553,-0.508451,0
1,7,94,-0.124841,-0.0224151,-3.41916,-2.55553,-0.0224151,1
1,4,94,0.349881,-0.049332,-3.41916,-2.55553,-0.049332,0
1,2,94,0.586662,-0.0670079,-3.41916,-2.55553,-0.0670079,0
1,1,94,1.11752,-0.125511,-3.41916,-2.55553,-0.125511,0
1,19,93,-0.376005,0.380978,-3.41916,-2.51688,0.380978,1
1,17,93,-0.592961,-0.200891,-3.41916,-2.51688,-0.200891,1
1,15,93,-0.249547,0.128996,-3.41916,-2.51688,0.128996,1
1,13,93,-0.334792,-0.546914,-3.41916,-2.51688,-0.546914,0
1,7,93,0.0251472,0.0349402,-3.41916,-2.51688,0.0349402,1
1,4,93,0.227247,-0.103288,-3.41916,-2.51688,-0.103288,0
1,2,93,0.527016,-0.0809438,-3.41916,-2.51688,-0.0809438,0
1,1,93,1.08498,-0.132449,-3.41916,-2.51688,-0.132449,0
1,19,92,-0.822921,0.342571,-6.43894,-2.39982,0.342571,1
1,17,92,-0.440949,-0.334756,-6.43894,-2.39982,-0.334756,1
1,15,92,-0.431907,0.369509,-6.43894,-2.39982,0.369509,1
1,13,92,-0.345662,-0.476528,-6.43894,-2.39982,-0.476528,0
1,7,92,0.0881446,0.0872421,-6.43894,-2.39982,0.0872421,0
1,4,92,0.667801,-0.0341761,-6.43894,-2.39982,-0.0341761,0
1,2,92,0.536276,-0.120168,-6.43894,-2.39982,-0.120168,0
1,1,92,1.09257,-0.155052,-6.43894,-2.39982,-0.155052,0
1,19,91,-0.240974,0.534378,-6.29331,-2.45927,0.534378,1
1,17,91,-0.111451,0.0640336,-6.29331,-2.45927,0.0640336,1
1,15,91,-0.0860594,0.439567,-6.29331,-2.45927,-0.0860594,1
1,13,91,-0.43803,-0.5513,-6.29331,-2.45927,-0.5513,0
1,7,91,0.290469,0.304441,-6.29331,-2.45927,0.304441,1
1,4,91,0.351351,0.0441892,-6.29331,-2.45927,0.0441892,0
1,2,91,0.449459,0.600208,-6.29331,-2.45927,0.600208,1
1,1,91,1.10669,0.0158802,-6.29331,-2.45927,0.0158802,0
1,19,90,-0.221196,0.548628,-6.05291,-2.36134,0.548628,1
1,17,90,-0.15605,-0.32719,-6.05291,-2.36134,-0.32719,0
1,15,90,-0.300188,0.662659,-6.05291,-2.36134,0.662659,1
1,13,90,-0.448782,-0.402671,-6.05291,-2.36134,-0.402671,1
1,7,90,0.416444,0.253814,-6.05291,-2.36134,0.253814,0
1,4,90,0.463653,-0.0479811,-6.05291,-2.36134,-0.0479811,0
1,2,90,0.58896,-0.150065,-6.05291,-2.36134,-0.150065,0
1,1,90,1.08099,-0.184433,-6.05291,-2.36134,-0.184433,0
1,19,89,-0.164707,0.558341,-5.75042,-2.39784,0.558341,1
1,17,89,0.0562419,0.219468,-5.75042,-2.39784,0.0562419,1
1,15,89,0.0496113,0.697704,-5.75042,-2.39784,0.697704,1
1,13,89,-0.283944,-0.179064,-5.75042,-2.39784,-0.179064,1
1,7,89,0.637312,0.601304,-5.75042,-2.39784,0.601304,0
1,4,89,0.405015,0.200843,-5.75042,-2.39784,0.200843,0
1,2,89,0.366448,-0.0348507,-5.75042,-2.39784,-0.0348507,0
1,1,89,0.980257,0.650801,-5.75042,-2.39784,0.650801,0
1,19,88,-0.134858,0.772582,-5.55605,-2.24038,-0.134858,1
1,17,88,0.0431576,0.251727,-5.55605,-2.24038,0.251727,1
1,15,88,-0.385254,0.670273,-5.55605,-2.24038,0.670273,1
1,13,88,-0.235343,-0.145498,-5.55605,-2.24038,-0.145498,1
1,7,88,0.630544,0.549388,-5.55605,-2.24038,0.549388,0
1,4,88,1.12507,0.350382,-5.55605,-2.24038,0.350382,0
1,2,88,0.57026,0.127938,-5.55605,-2.24038,0.127938,0
1,1,88,1.25731,0.0833227,-5.55605,-2.24038,0.0833227,0
1,19,87,0.0889012,0.758621,-5.60239,-2.09737,0.758621,1
1,17,87,-0.108814,0.325134,-5.60239,-2.09737,0.325134,1
1,15,87,0.258988,0.845396,-5.60239,-2.09737,0.845396,1
1,13,87,0.135584,-0.037319,-5.60239,-2.09737,-0.037319,0
1,7,87,0.182977,0.645338,-5.60239,-2.09737,0.645338,1
1,4,87,0.772829,0.310407,-5.60239,-2.09737,0.310407,0
1,2,87,0.442275,0.101709,-5.60239,-2.09737,0.101709,0
1,1,87,0.934124,0.231411,-5.60239,-2.09737,0.231411,0
1,19,86,0.0738244,0.75683,-5.61978,-2.01828,0.75683,1
1,17,86,-0.106727,0.364697,-5.61978,-2.01828,-0.106727,1
1,15,86,0.176274,0.824421,-5.61978,-2.01828,0.824421,1
1,13,86,-0.149535,-0.307333,-5.61978,-2.01828,-0.149535,0
1,7,86,0.423371,0.591641,-5.61978,-2.01828,0.591641,1
1,4,86,1.28723,0.614793,-5.61978,-2.01828,0.614793,0
1,2,86,0.817,0.262168,-5.61978,-2.01828,0.262168,0
1,1,86,1.35488,0.229766,-5.61978,-2.01828,0.229766,0
1,19,85,-0.161826,-0.406204,-5.14185,-2.10808,-0.406204,0
1,17,85,-0.182785,-0.0453843,-5.14185,-2.10808,-0.0453843,1
1,15,85,0.579544,-0.185838,-5.14185,-2.10808,-0.185838,0
1,13,85,0.309374,0.155612,-5.14185,-2.10808,0.155612,0
1,7,85,0.528476,0.513014,-5.14185,-2.10808,0.513014,0
1,4,85,1.06346,0.488892,-5.14185,-2.10808,0.488892,0
1,2,85,1.3328,1.43409,-5.14185,-2.10808,1.43409,1
1,1,85,0.879815,1.65866,-5.14185,-2.10808,1.65866,1
1,19,84,0.0973828,0.103214,-5.35927,-2.00544,0.103214,1
1,17,84,-0.121624,-0.0409048,-5.35927,-2.00544,-0.0409048,1
1,15,84,0.689127,-0.233414,-5.35927,-2.00544,-0.233414,0
1,13,84,0.196406,0.106999,-5.35927,-2.00544,0.106999,0
1,7,84,0.43253,0.539954,-5.35927,-2.00544,0.539954,1
1,4,84,0.999223,0.984076,-5.35927,-2.00544,0.984076,0
1,2,84,1.46765,1.54311,-5.35927,-2.00544,1.54311,1
1,1,84,1.09978,1.46029,-5.35927,-2.00544,1.46029,1
1,19,83,0.408891,0.247418,-5.22327,-1.89942,0.408891,0
1,17,83,-0.0011688,-0.0879972,-5.22327,-1.89942,-0.0879972,0
1,15,83,0.676096,-0.189074,-5.22327,-1.89942,-0.189074,0
1,13,83,0.272844,0.0992201,-5.22327,-1.89942,0.0992201,0
1,7,83,0.675482,0.620603,-5.22327,-1.89942,0.620603,0
1,4,83,1.08533,0.582853,-5.22327,-1.89942,0.582853,0
1,2,83,1.51606,1.59708,-5.22327,-1.89942,1.59708,1
1,1,83,1.24005,1.69278,-5.22327,-1.89942,1.69278,1
1,19,82,0.196221,-0.379952,-5.04662,-1.89873,-0.379952,0
1,17,82,0.342706,0.215266,-5.04662,-1.89873,0.342706,0
1,15,82,0.648419,-0.195936,-5.04662,-1.89873,-0.195936,0
1,13,82,0.2629,0.184914,-5.04662,-1.89873,0.184914,0
1,9,82,0.0512896,1.08883,-5.04662,-1.89873,1.08883,1
1,7,82,0.906158,0.886259,-5.04662,-1.89873,0.886259,0
1,4,82,1.10409,0.528488,-5.04662,-1.89873,0.528488,0
1,2,82,1.48046,1.65897,-5.04662,-1.89873,1.65897,1
1,1,82,1.33021,1.66377,-5.04662,-1.89873,1.66377,1
1,19,81,0.179491,-0.502048,-4.70389,-1.77463,-0.502048,0
1,17,81,0.51904,0.386345,-4.70389,-1.77463,0.386345,0
1,15,81,0.502347,-0.25213,-4.70389,-1.77463,-0.25213,0
1,13,81,0.329871,0.288127,-4.70389,-1.77463,0.288127,0
1,7,81,0.830651,0.94848,-4.70389,-1.77463,0.94848,1
1,4,81,1.25851,0.695412,-4.70389,-1.77463,0.695412,0
1,2,81,1.78333,1.68934,-4.70389,-1.77463,1.68934,0
1,1,81,1.26709,1.55247,-4.70389,-1.77463,1.55247,1
1,19,80,0.537961,-0.152862,-4.82344,-1.66435,-0.152862,0
1,17,80,0.239576,0.189191,-4.82344,-1.66435,0.189191,0
1,15,80,0.951059,0.109329,-4.82344,-1.66435,0.109329,0
1,13,80,0.334686,0.306307,-4.82344,-1.66435,0.306307,0
1,7,80,0.831634,0.884098,-4.82344,-1.66435,0.884098,1
1,4,80,1.48159,0.849117,-4.82344,-1.66435,0.849117,0
1,2,80,1.72661,1.75498,-4.82344,-1.66435,1.75498,1
1,1,80,1.38631,2.03734,-4.82344,-1.66435,2.03734,1
1,19,79,0.489112,-0.116169,-4.30456,-1.7295,-0.116169,0
1,17,79,0.155407,0.148299,-4.30456,-1.7295,0.148299,0
1,15,79,1.02348,0.156781,-4.30456,-1.7295,0.156781,0
1,13,79,0.100428,0.29119,-4.30456,-1.7295,0.29119,1
