Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.42417,-0.849646,-3.41916,-3.35117,-0.849646,1
1,19,99,-1.44744,-0.183433,-3.41916,-3.35117,-0.183433,1
1,18,99,-0.983555,-0.153966,-3.41916,-3.35117,-0.153966,1
1,17,99,-0.90046,-0.639073,-3.41916,-3.35117,-0.639073,1
1,15,99,-1.08141,-1.48548,-3.41916,-3.35117,-1.48548,0
1,13,99,-1.30758,-1.99242,-3.41916,-3.35117,-1.99242,0
1,12,99,-1.74243,-0.582293,-3.41916,-3.35117,-1.74243,1
1,10,99,-1.12786,-0.630057,-3.41916,-3.35117,-0.630057,1
1,9,99,-1.3424,-0.695702,-3.41916,-3.35117,-0.695702,1
1,7,99,-0.556366,-1.3047,-3.41916,-3.35117,-1.3047,0
1,4,99,-0.643898,-0.416893,-3.41916,-3.35117,-0.416893,1
1,3,99,-0.532808,-0.748715,-3.41916,-3.35117,-0.748715,0
1,2,99,-0.562828,-0.637235,-3.41916,-3.35117,-0.637235,0
1,1,99,-0.151236,-1.09305,-3.41916,-3.35117,-1.09305,0
1,20,98,-1.49471,-0.85239,-3.41916,-3.12829,-0.85239,1
1,19,98,-1.3366,-0.198611,-3.41916,-3.12829,-0.198611,1
1,18,98,-1.11889,-0.165044,-3.41916,-3.12829,-0.165044,1
1,17,98,-0.680678,-0.524105,-3.41916,-3.12829,-0.524105,1
1,15,98,-1.46304,-1.897,-3.41916,-3.12829,-1.897,0
1,13,98,-1.19172,-1.93581,-3.41916,-3.12829,-1.19172,0
1,12,98,-1.59728,-0.431448,-3.41916,-3.12829,-0.431448,1
1,9,98,-1.03577,-0.620385,-3.41916,-3.12829,-0.620385,1
1,7,98,-0.501809,-1.32027,-3.41916,-3.12829,-1.32027,0
1,4,98,-0.620372,-0.309767,-3.41916,-3.12829,-0.309767,1
1,3,98,-0.670878,-0.673435,-3.41916,-3.12829,-0.673435,0
1,2,98,-0.650263,-0.74877,-3.41916,-3.12829,-0.74877,0
1,1,98,-0.233174,-0.873998,-3.41916,-3.12829,-0.873998,0
1,20,97,-1.31625,-0.747362,-3.41916,-2.81209,-1.31625,1
1,19,97,-1.25996,-0.32141,-3.41916,-2.81209,-0.32141,1
1,18,97,-0.977657,-0.0737173,-3.41916,-2.81209,-0.0737173,1
1,17,97,-0.742442,-0.719096,-3.41916,-2.81209,-0.719096,1
1,15,97,-0.800325,-1.03234,-3.41916,-2.81209,-1.03234,0
1,13,97,-1.16178,-1.93009,-3.41916,-2.81209,-1.93009,0
1,12,97,-1.48953,-0.459125,-3.41916,-2.81209,-0.459125,1
1,7,97,-0.435298,-1.17113,-3.41916,-2.81209,-1.17113,0
1,4,97,-0.418672,-0.497946,-3.41916,-2.81209,-0.497946,0
