Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.2367,-1.36698,-3.41916,-3.35117,-1.36698,0
1,19,99,-1.33942,-0.877846,-3.41916,-3.35117,-0.877846,1
1,18,99,-1.37532,-1.12396,-3.41916,-3.35117,-1.12396,1
1,17,99,-1.76212,-0.844067,-3.41916,-3.35117,-0.844067,1
1,15,99,-1.15854,-0.893221,-3.41916,-3.35117,-0.893221,1
1,13,99,-1.26466,-1.63972,-3.41916,-3.35117,-1.63972,0
1,12,99,-1.52499,-1.32284,-3.41916,-3.35117,-1.52499,1
1,10,99,-1.08811,-1.48004,-3.41916,-3.35117,-1.48004,0
1,9,99,-1.37021,-0.905446,-3.41916,-3.35117,-0.905446,1
1,7,99,-1.73534,-1.22632,-3.41916,-3.35117,-1.22632,1
1,4,99,-0.813854,-1.17376,-3.41916,-3.35117,-1.17376,0
1,3,99,-1.26353,-1.13977,-3.41916,-3.35117,-1.13977,1
1,2,99,-0.877304,-1.68561,-3.41916,-3.35117,-1.68561,0
1,1,99,-1.10932,-1.36433,-3.41916,-3.35117,-1.36433,0
1,20,98,-1.65578,-1.45299,-3.41916,-3.12829,-1.45299,1
1,19,98,-1.30312,-1.10944,-3.41916,-3.12829,-1.10944,1
1,18,98,-1.23026,-1.12591,-3.41916,-3.12829,-1.12591,1
1,17,98,-1.48965,-0.951772,-3.41916,-3.12829,-0.951772,1
1,15,98,-1.30787,-0.819697,-3.41916,-3.12829,-0.819697,1
1,13,98,-1.13851,-1.55212,-3.41916,-3.12829,-1.13851,0
1,12,98,-1.47162,-1.69118,-3.41916,-3.12829,-1.69118,0
1,9,98,-1.10908,-0.749468,-3.41916,-3.12829,-0.749468,1
1,7,98,-1.71196,-1.15928,-3.41916,-3.12829,-1.15928,1
1,4,98,-0.754004,-1.04357,-3.41916,-3.12829,-1.04357,0
1,3,98,-1.14007,-1.1592,-3.41916,-3.12829,-1.1592,0
1,2,98,-0.88231,-1.59856,-3.41916,-3.12829,-1.59856,0
1,1,98,-0.61547,-1.3142,-3.41916,-3.12829,-1.3142,0
1,20,97,-1.07227,-1.22036,-3.41916,-2.81209,-1.07227,0
1,19,97,-1.62359,-1.31534,-3.41916,-2.81209,-1.31534,1
1,18,97,-1.10857,-0.959179,-3.41916,-2.81209,-0.959179,1
1,17,97,-1.30632,-1.03738,-3.41916,-2.81209,-1.03738,1
1,15,97,-1.01907,-0.452063,-3.41916,-2.81209,-0.452063,1
1,13,97,-1.15695,-1.52524,-3.41916,-2.81209,-1.52524,0
1,12,97,-1.28961,-1.61862,-3.41916,-2.81209,-1.61862,0
1,7,97,-1.59621,-0.978932,-3.41916,-2.81209,-0.978932,1
1,4,97,-0.63397,-0.850433,-3.41916,-2.81209,-0.850433,0
1,3,97,-0.919226,-0.93341,-3.41916,-2.81209,-0.93341,0
1,2,97,-0.816049,-1.58246,-3.41916,-2.81209,-1.58246,0
1,20,96,-1.08338,-1.30227,-3.41916,-2.99602,-1.30227,0
1,19,96,-1.08389,-0.75928,-3.41916,-2.99602,-0.75928,1
1,18,96,-1.44641,-1.20409,-3.41916,-2.99602,-1.20409,1
1,17,96,-1.17725,-0.832904,-3.41916,-2.99602,-0.832904,1
1,15,96,-1.0867,-0.328583,-3.41916,-2.99602,-0.328583,1
1,13,96,-1.00352,-1.37913,-3.41916,-2.99602,-1.00352,0
1,12,96,-1.22685,-1.53572,-3.41916,-2.99602,-1.53572,0
1,9,96,-0.982413,-0.664583,-3.41916,-2.99602,-0.664583,1
1,7,96,-1.33988,-0.819005,-3.41916,-2.99602,-0.819005,1
1,4,96,-0.689228,-0.971961,-3.41916,-2.99602,-0.971961,0
1,3,96,-0.845613,-0.823485,-3.41916,-2.99602,-0.823485,1
1,2,96,-0.649194,-1.4937,-3.41916,-2.99602,-1.4937,0
1,19,95,-1.35996,-0.779812,-3.41916,-2.85377,-0.779812,1
1,17,95,-1.57315,-0.951673,-3.41916,-2.85377,-0.951673,1
1,15,95,-0.874568,-0.406173,-3.41916,-2.85377,-0.406173,1
1,13,95,-1.02894,-1.2886,-3.41916,-2.85377,-1.2886,0
1,7,95,-1.40119,-0.955601,-3.41916,-2.85377,-0.955601,1
1,4,95,-0.498945,-0.989428,-3.41916,-2.85377,-0.989428,0
