Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-0.472531,-0.318042,-3.41916,-3.35117,-0.318042,1
1,19,99,-0.740706,-0.0991883,-3.41916,-3.35117,-0.0991883,1
1,18,99,-0.436586,0.116657,-3.41916,-3.35117,0.116657,1
1,17,99,-1.0782,-0.0797843,-3.41916,-3.35117,-0.0797843,1
1,15,99,-0.972464,-0.225237,-3.41916,-3.35117,-0.225237,1
1,13,99,-0.538003,-1.03802,-3.41916,-3.35117,-1.03802,0
1,12,99,-0.414768,-0.165998,-3.41916,-3.35117,-0.414768,1
1,10,99,0.511208,0.358499,-3.41916,-3.35117,0.358499,0
1,9,99,0.314346,0.855153,-3.41916,-3.35117,0.855153,1
1,7,99,-0.609005,-0.102322,-3.41916,-3.35117,-0.102322,1
1,4,99,0.390218,-0.241705,-3.41916,-3.35117,-0.241705,0
1,3,99,0.542421,-0.0733591,-3.41916,-3.35117,-0.0733591,0
1,2,99,0.568227,-0.511469,-3.41916,-3.35117,-0.511469,0
1,1,99,1.14406,0.335452,-3.41916,-3.35117,0.335452,0
1,20,98,-1.33032,-0.414481,-3.41916,-3.12829,-0.414481,1
1,19,98,-0.566944,-0.0794978,-3.41916,-3.12829,-0.0794978,1
1,18,98,-0.525635,0.147293,-3.41916,-3.12829,0.147293,1
1,17,98,-0.709123,-0.0682812,-3.41916,-3.12829,-0.0682812,1
1,15,98,-1.20885,-0.512435,-3.41916,-3.12829,-0.512435,1
1,13,98,-0.399386,-0.865692,-3.41916,-3.12829,-0.399386,0
1,12,98,-0.310728,-0.156614,-3.41916,-3.12829,-0.156614,1
1,9,98,0.429964,0.855222,-3.41916,-3.12829,0.855222,1
1,7,98,-0.555428,-0.134141,-3.41916,-3.12829,-0.134141,1
1,4,98,0.393959,-0.187203,-3.41916,-3.12829,-0.187203,0
1,3,98,0.737713,0.0426476,-3.41916,-3.12829,0.0426476,0
1,2,98,0.679093,-0.431371,-3.41916,-3.12829,-0.431371,0
1,1,98,0.926953,0.418351,-3.41916,-3.12829,0.418351,0
1,20,97,-0.312554,-0.228976,-3.41916,-2.81209,-0.312554,1
1,19,97,-0.509984,-0.356571,-3.41916,-2.81209,-0.356571,1
1,18,97,-0.218652,0.428213,-3.41916,-2.81209,0.428213,1
1,17,97,-0.769319,-0.60298,-3.41916,-2.81209,-0.60298,1
1,15,97,-0.776211,-0.0242772,-3.41916,-2.81209,-0.0242772,1
1,13,97,-0.352375,-0.89873,-3.41916,-2.81209,-0.89873,0
1,12,97,-0.226065,-0.0766155,-3.41916,-2.81209,-0.0766155,1
1,7,97,-0.536639,-0.0232317,-3.41916,-2.81209,-0.0232317,1
1,4,97,0.444622,-0.244169,-3.41916,-2.81209,-0.244169,0
1,3,97,0.80413,0.018363,-3.41916,-2.81209,0.018363,0
1,2,97,0.769176,-0.45372,-3.41916,-2.81209,-0.45372,0
1,20,96,-0.0796589,-0.167587,-3.41916,-2.99602,-0.167587,0
1,19,96,-0.355096,0.0246312,-3.41916,-2.99602,0.0246312,1
1,18,96,-0.464854,0.207002,-3.41916,-2.99602,0.207002,1
1,17,96,-0.495629,-0.0062576,-3.41916,-2.99602,-0.0062576,1
1,15,96,-0.509855,-0.00366013,-3.41916,-2.99602,-0.00366013,1
1,13,96,-0.451102,-0.8253,-3.41916,-2.99602,-0.451102,0
1,12,96,-0.202813,0.0407358,-3.41916,-2.99602,0.0407358,1
1,9,96,0.339182,0.902811,-3.41916,-2.99602,0.902811,1
1,7,96,-0.367101,0.00509702,-3.41916,-2.99602,0.00509702,1
1,4,96,0.46391,-0.173769,-3.41916,-2.99602,-0.173769,0
1,3,96,0.738156,0.0504379,-3.41916,-2.99602,0.0504379,0
1,2,96,0.733867,-0.407909,-3.41916,-2.99602,-0.407909,0
1,19,95,-0.285332,0.136427,-3.41916,-2.85377,0.136427,1
1,17,95,-0.861403,0.005359,-3.41916,-2.85377,0.005359,1
1,15,95,-0.511947,-0.0769973,-3.41916,-2.85377,-0.0769973,1
1,13,95,-0.197542,-0.671818,-3.41916,-2.85377,-0.671818,0
1,7,95,-0.217303,-0.00443964,-3.41916,-2.85377,-0.00443964,1
1,4,95,0.533458,-0.155217,-3.41916,-2.85377,-0.155217,0
1,2,95,0.791692,-0.372451,-3.41916,-2.85377,-0.372451,0
1,1,95,1.28706,0.42759,-3.41916,-2.85377,0.42759,0
1,19,94,-0.1811,0.176435,-3.41916,-2.55553,0.176435,1
1,17,94,-0.294774,-0.0824641,-3.41916,-2.55553,-0.0824641,1
1,15,94,-0.161572,0.142779,-3.41916,-2.55553,0.142779,1
1,13,94,-0.182717,-0.606481,-3.41916,-2.55553,-0.606481,0
1,7,94,-0.188812,0.0173822,-3.41916,-2.55553,0.0173822,1
1,4,94,0.578712,-0.0706734,-3.41916,-2.55553,-0.0706734,0
1,2,94,0.837155,-0.293225,-3.41916,-2.55553,-0.293225,0
1,1,94,1.41341,0.553348,-3.41916,-2.55553,0.553348,0
1,19,93,-0.252585,0.0403658,-3.41916,-2.51688,0.0403658,1
